"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"DISTRICT OF COLUMBIA PUBLIC LIBRARY" 658893 "901 G STREET, N.W. " 38.89841 -77.024209 1 25 570 1815540 86416 140667 2071 1000 26626022 2.25 129975.2775 26755997.2775 10.3458074245196 0.00934267452727453 249972.574216326 19.9249381734127 0.00251887163049606 67394.9224879245
"FRANKFORD PUBLIC LIBRARY" 7719 "8 MAIN STREET
FRANKFORD, DE 19945
" 38.517361 -75.234625 1 0 4.21 13428 713 1900 56 10 209711 7 2252.49 211963.49 91.1425278525134 0.00012038097617569 25.5163718398062 120.041756247903 6.93961406675841e-05 14.7094481684321
"GEORGETOWN PUBLIC LIBRARY" 15885 "123 WEST PINE STREET
GEORGETOWN, DE 19947
" 38.687288 -75.387152 1 0 5.28 27990 985 1154 73 24 393706 4.5 2936.475 396642.475 81.0916126432193 0.000152071603607421 60.3180572320662 105.51406166503 8.98212961467196e-05 35.6269412113428
"HARRINGTON PUBLIC LIBRARY" 12346 "110 CENTER STREET
HARRINGTON, DE 19952
" 38.928421 -75.575476 1 0 3.45 19177 755 1350 3 8 277065 4.5 2184.21 279249.21 71.0473753442129 0.000198108870814411 55.3217456689165 87.948475772677 0.000129283578823569 36.1023372524543
"LAUREL PUBLIC LIBRARY" 15185 "101 E. FOURTH ST
LAUREL, DE 19956
" 38.556064 -75.570801 1 0 8.16 52929 1741 3195 105 19 754465 4.5 3273.975 757738.975 72.820615919754 0.00018857812105079 142.892992152452 105.674375831086 8.95489746205599e-05 67.8547482412841
"LEWES PUBLIC LIBRARY" 17602 "111 ADAMS AVENUE
LEWES, DE 19958
" 38.767708 -75.141499 1 0 7.65 48680 2243 3568 94 25 710730 4.5 3523.77 714253.77 93.9603187523981 0.000113268992391788 80.9028048399356 117.789280077547 7.20756329917744e-05 51.4802925895113
"MILFORD PUBLIC LIBRARY" 26077 "11 S.E. FRONT STREET
MILFORD, DE 19963
" 38.912449 -75.427281 1 0 11.38 46997 3080 3930 79 34 704648 3 4053.93 708701.93 78.8585601721122 0.000160806023794147 113.963539418538 96.5227981657077 0.000107334711433475 76.0683171488965
"MILLSBORO PUBLIC LIBRARY" 17639 "217 WEST STATE STREET
MILLSBORO, DE 19966
" 38.593069 -75.29572 1 0 5.46 34243 1339 2848 86 8 501068 4.5 3200.265 504268.265 86.8755894687825 0.00013249651984175 66.8137901791375 113.924341655586 7.70489890672746e-05 38.8533600369585
"NEW CASTLE PUBLIC LIBRARY" 28130 "424 DELAWARE STREET
NEW CASTLE, DE 19720
" 39.66111 -75.565671 1 0 8.43 30067 1775 2918 96 22 454118 3 3796.2 457914.2 92.5404084242937 0.000116771585275605 53.4713670542103 109.923322604297 8.27599664075631e-05 37.8969638095461
"REHOBOTH BEACH PUBLIC LIBRARY" 14537 "226 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
" 38.71584 -75.082919 1 0 6.28 33566 1885 1741 108 21 485845 4.5 2904.495 488749.495 97.2933189934043 0.00010564135482626 51.6321588224505 120.863832378491 6.84553315654307e-05 33.4575087326618
"SEAFORD DISTRICT LIBRARY" 22874 "600 N MARKET ST EXT
SEAFORD, DE 19973
" 38.656285 -75.617502 1 0 9.77 33317 1357 1885 57 42 477898 4.5 4553.49 482451.49 69.0110190576508 0.00020997283837791 101.301708734952 96.4712242285657 0.000107449505319476 51.8391739411441
"SELBYVILLE PUBLIC LIBRARY" 5161 "11 MAIN & MCCABE STREET
SELBYVILLE, DE 19975
" 38.455674 -75.219479 1 0 4.03 21632 1341 2302 37 9 329461 7 1688.31 331149.31 92.969436639411 0.000115696334920015 38.3127614782918 124.70702275467 6.4301066753755e-05 21.2932538877699
"SMYRNA PUBLIC LIBRARY" 33116 "107 SOUTH MAIN STREET
SMYRNA, DE 19977
" 39.299674 -75.604654 1 0 5.53 24024 833 2272 7 7 353083 3 3809.94 356892.94 77.0193967011023 0.000168577564494273 60.1641426104006 94.029229373532 0.000113103031732281 40.3656735178472
"WILMINGTON INSTITUTE LIBRARY" 62169 "10 EAST 10TH STREET
WILMINGTON, DE 19801
" 39.745197 -75.547473 1 1 27.64 161008 4674 8506 244 45 2269641 2.25 8342.4075 2277983.4075 97.0863549105212 0.000106092237350769 241.676356349604 111.687399803646 8.01662630665868e-05 182.617417106965
"BRIDGEVILLE PUBLIC LIBRARY" 8511 "600 SOUTH CANNON STREET
BRIDGEVILLE, DE 19933
" 38.736125 -75.601878 1 0 5.98 26175 3046 2003 104 11 407759 7 2684.31 410443.31 69.2564662038381 0.00020848717467116 85.5721660645789 90.9900953185778 0.000120784654130094 49.575253238361
"CORBIT-CALLOWAY MEMORIAL LIBRARY" 16232 "115 HIGH STREET
ODESSA, DE 19730
" 39.454694 -75.655652 1 0 4.23 39374 438 1155 109 4 534168 4.5 2825.82 536993.82 80.09278207379 0.000155888199557014 83.7109997730431 99.2201772155045 0.000101578080834229 54.5468016554415
"DELAWARE CITY PUBLIC LIBRARY" 7353 "250 FIFTH STREET
DELAWARE CITY, DE 19706
