"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"RANGEVIEW LIBRARY DISTRICT" 359495 "5877 EAST 120TH AVENUE
THORNTON, CO 80602
" 39.914076 -104.919411 0 7 112.5 303465 34578 53424 816 312 5113719 2.25 41140.9125 5154859.9125 16.9633093921247 0.00347519223815781 17914.1291567109 32.027414965141 0.000974891371153931 5025.42844820356
"AKRON PUBLIC LIBRARY" 1688 "302 MAIN AVENUE
AKRON, CO 80720
" 40.16122 -103.212824 1 0 1 8738 201 344 2 3 120840 14.25 871.62 121711.62 87.8822336632879 0.000129478549848316 15.7590440572893 119.621708277928 6.98843612018998e-05 8.50573881454837
"ARAPAHOE LIBRARY DISTRICT" 253896 "12855 E. ADAM AIRCRAFT CIRCLE
ENGLEWOOD, CO 80112
" 39.577378 -104.839443 0 8 233.68 424638 52654 74932 1963 235 7215006 2.25 52189.98 7267195.98 9.68550303341353 0.0106599615212763 77468.0295143738 20.2294108143711 0.00244361921747552 17758.2597538889
"AURORA PUBLIC LIBRARY" 344637 "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
" 39.709076 -104.81416 1 3 61.6 209135 17173 11608 156 252 3106276 2.25 32502.9975 3138778.9975 3.02653116725173 0.109171605887487 342665.543682993 3.8624529310152 0.0670306761084029 210394.47835728
"BERTHOUD COMMUNITY LIBRARY DISTRICT" 11696 "236 WELCH AVENUE
BERTHOUD, CO 80513
" 40.304205 -105.076525 1 0 6 21551 1286 2654 22 11 332164 4.5 2478.96 334642.96 44.9127500722532 0.000495747694639186 165.898475947233 62.1217393465644 0.000259127070900008 86.7150500221086
"BOULDER PUBLIC LIBRARY" 102760 "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
" 40.013593 -105.281293 1 4 76.88 226712 18722 19530 407 60 3452523 2.25 18468.3 3470991.3 35.1465917259951 0.00080953115431461 2809.87559370497 39.1992990915531 0.000650793784877517 2258.89956540393
"BROOMFIELD/EISENHOWER PUBLIC LIBRARY" 59450 "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
" 39.917283 -105.06854 1 0 28.84 139238 10096 11061 226 37 2089738 2.25 8338.875 2098076.875 22.2053498040505 0.00202807850383974 4255.06460959076 27.2465731293574 0.00134702676326084 2826.16570200366
"EAST MORGAN COUNTY LIBRARY DISTRICT/BRUSH" 8184 "500 CLAYTON STREET
BRUSH, CO 80723
" 40.258432 -103.623143 1 0 8 31191 2280 2143 57 17 464488 7 2918.64 467406.64 71.3893561808352 0.000196215390641886 91.7123764562116 95.4900766773957 0.000109668907175818 51.2599754155208
"NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA)" 9000 "131 LINDERMAN AVENUE
BUENA VISTA, CO 81211
" 38.841104 -106.133358 1 0 4.5 24565 2363 3171 100 12 393127 7 2565 395692 94.7387047956457 0.000111415371805027 44.0861713002748 130.353436812606 5.88511600699887e-05 23.286933230414
