"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"COLUMBIA COUNTY LIBRARY" 25603 "2057 NORTH JACKSON
MAGNOLIA, AR 71753
" 33.286316 -93.235268 1 1 7 148252 1686 2274 73 23 1980740 3 3354.27 1984094.27 59.5393695821292 0.000282092497699257 559.698108295084 78.6626815961823 0.000161607869639718 320.645248139072
"BARTON LIBRARY" 45629 "200 EAST 5TH STREET
EL DORADO, AR 71730
" 33.221953 -92.662178 1 5 9 57975 1654 1213 102 14 792902 3 5456.61 798358.61 76.3100501197914 0.000171726185194716 137.099078512656 94.4014316427852 0.000112212913547993 89.5861456842256
"TEXARKANA PUBLIC LIBRARY" 61230 "600 WEST THIRD ST.
TEXARKANA, AR 75501
" 33.424873 -94.038071 1 0 10 84147 3630 6771 59 21 1230836 2.25 5633.025 1236469.025 67.5670635615998 0.000219043267801592 270.840215771448 77.7616911280401 0.00016537452365556 204.48047602423
"LAFAYETTE COUNTY LIBRARY" 8027 "219 E. THIRD STREET
LEWISVILLE, AR 71845
" 33.357223 -93.575563 1 1 5 17404 100 0 60 12 228872 7 2435.67 231307.67 59.3576101748674 0.000283822738074485 65.6503762370293 64.2493195968534 0.000242249525098259 56.0341732090848
"PUBLIC LIBRARY OF CAMDEN & OUACHITA COUNTY" 28790 "239 GARDEN OAKS DRIVE
CAMDEN, AR 71701
" 33.582323 -92.846862 1 2 3 10958 667 0 31 10 151978 3 3041.1 155019.1 88.2800760961283 0.000128314165049837 19.8911463832772 114.335069034511 7.64964151598813e-05 11.8584054313112
"CALHOUN COUNTY LIBRARY" 5559 "109 SOUTH 2ND ST.
HAMPTON, AR 71744
" 33.537781 -92.471776 1 1 3 18339 701 1155 25 4 263040 7 1617.39 264657.39 99.304449050654 0.000101405751413053 26.8377814999674 119.770216361987 6.97111635806205e-05 18.4495746071101
"HEMPSTEAD COUNTY LIBRARY" 22000 "500 S. ELM STREET
HOPE, AR 71801
" 33.664986 -93.592123 1 0 3 42715 618 346 29 5 568429 4.5 3420 571849 80.5455312516329 0.00015414061923308 88.1451589678176 87.6937129506506 0.000130035844661557 74.3608677338666
"GRANT PARISH" 22384 "300 MAIN STREET
COLFAX, LA 71417
" 31.517218 -92.711742 1 4 8.5 67912 2205 3957 63 29 965086 4.5 4296.84 969382.84 87.829449859306 0.000129634224831328 125.665193028191 125.421601401817 6.35704545476727e-05 61.6241077695139
"CLAIBORNE PARISH" 16412 "909 EDGEWOOD DRIVE
HOMER, LA 71040
" 32.796098 -93.062697 1 1 10.73 75759 511 2962 123 42 1033505 4.5 3825.12 1037330.12 40.1617767981975 0.000619974980497562 643.118720916533 52.2089800787901 0.000366867788363124 380.563006926854
"WINN PARISH" 14743 "200 NORTH ST. JOHN STREET
WINNFIELD, LA 71483
