"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"LIVE OAK PUBLIC LIBRARIES" 406815 "2002 BULL STREET
SAVANNAH, GA 31401
" 32.057809 -81.100009 1 17 154 418732 33384 51323 948 403 6575166 2.25 50560.0125 6625726.0125 83.4560506695267 0.000143576823874213 951.300696735505 109.211850820833 8.3841775292726e-05 555.512631491195
"SCREVEN-JENKINS REGIONAL LIBRARY SYSTEM" 23186 "106 S. COMMUNITY DR
SYLVANIA, GA 30467
" 32.748534 -81.642451 1 1 7.09 80115 1658 4475 86 40 1124142 4.5 4193.61 1128335.61 92.0117128885431 0.000118117370109465 133.276034854059 110.097306970559 8.24986055525532e-05 93.0861144202895
"ALLENDALE HAMPTON JASPER REGIONAL LIBRARY" 56286 "297 MAIN STREET NORTH
ALLENDALE, SC 29810
" 33.009419 -81.307225 1 4 19.5 91376 2945 3034 451 83 1275213 2.25 6724.305 1281937.305 72.3092607538449 0.000191254717730941 245.176557416538 80.235375992643 0.000155334604422046 199.129224166039
"BEAUFORT COUNTY LIBRARY" 162233 "311 SCOTT STREET
BEAUFORT, SC 29902
" 32.432218 -80.67086 1 4 74.38 290309 17465 30816 436 197 4416203 2.25 22107.7275 4438310.7275 47.4179355845618 0.000444748728656201 1973.9330534368 73.3642362707694 0.000185793791849892 824.610579470279
"BERKELEY COUNTY LIBRARY SYSTEM" 177843 "100 LIBRARY ST.
MONCKS CORNER, SC 29461
" 33.194792 -80.009137 1 5 57 230195 9629 18660 370 128 3370862 2.25 20554.4025 3391416.4025 21.0938434580398 0.0022474423619964 7622.01289014793 24.0862713907565 0.00172369669585794 5845.77324726766
"CALHOUN COUNTY LIBRARY SYSTEM" 15175 "900 F.R. HUFF DRIVE
ST. MATTHEWS, SC 29135
" 33.663446 -80.778288 1 0 11.06 37777 1283 2230 101 33 539568 4.5 3707.625 543275.625 67.1916739562046 0.000221497627237307 120.334261873365 76.351175015845 0.000171541241883536 93.1941753975541
"CHAPIN MEMORIAL LIBRARY" 27109 "400 14TH AVE. N.
MYRTLE BEACH, SC 29577
" 33.697153 -78.87746 1 0 11 123644 4749 8054 112 49 1777472 3 4089.81 1781561.81 88.505220394897 0.000127662170565526 227.438047661246 107.680788397728 8.62429387400534e-05 153.647126041449
"CHARLESTON COUNTY PUBLIC LIBRARY SYSTEM" 350209 "68 CALHOUN STREET
CHARLESTON, SC 29401
" 32.788162 -79.930928 1 15 221 925340 37329 150581 1205 337 14503080 2.25 56789.1075 14559869.1075 10.8673853549884 0.00846739588690961 123284.175794788 14.0858985671145 0.00504000406348862 73381.7994656624
"CLARENDON COUNTY LIBRARY SYSTEM" 34971 "215 N. BROOKS ST.
MANNING, SC 29102
" 33.699525 -80.210583 1 0 11.5 46291 1029 4678 52 27 677865 3 4872.39 682737.39 56.3167340738921 0.000315300803563927 215.267647690138 79.225645295587 0.000159319314664541 108.773253070657
"COLLETON COUNTY MEMORIAL LIBRARY" 38892 "600 HAMPTON STREET
WALTERBORO, SC 29488
" 32.901621 -80.656694 1 1 9 123951 925 3822 124 25 1675811 3 4850.28 1680661.28 34.1322208570852 0.000858362835510093 1442.61718183282 38.7189779661228 0.000667040540781438 1121.06920908162
"DARLINGTON COUNTY LIBRARY SYSTEM" 68681 "204 N. MAIN STREET
DARLINGTON, SC 29532
" 34.305655 -79.873202 1 3 26.75 232111 5198 11177 320 61 3237223 2.25 8648.4675 3245871.4675 98.2975044027862 0.000103493962681453 335.928100526239 130.631190425889 5.86011624332756e-05 190.211841104502
"DORCHESTER COUNTY LIBRARY SYSTEM" 136555 "506 N. PARLER AVENUE
ST. GEORGE, SC 29477
" 33.188299 -80.571704 1 1 39 186710 9929 19389 249 96 2815921 2.25 15067.4625 2830988.4625 35.5496564191726 0.000791278170222002 2240.0993705266 44.0478705556315 0.000515406824135658 1459.11077262181
"FLORENCE COUNTY LIBRARY SYSTEM" 136885 "509 SOUTH DARGAN STREET
FLORENCE, SC 29506
" 34.188838 -79.765337 1 5 48 336479 15019 9603 82 202 4704469 2.25 16439.7375 4720908.7375 91.2628076473064 0.000120063873120806 566.810587674103 127.580250288938 6.14374384884382e-05 290.040540169687
"GEORGETOWN COUNTY LIBRARY" 60158 "405 CLELAND STREET
GEORGETOWN, SC 29440
" 33.373314 -79.285044 1 3 31 172882 8617 13012 147 99 2535009 2.25 8710.665 2543719.665 56.2302296671213 0.000316271665285279 804.506454468461 70.3331800613916 0.000202152674605754 514.219733727003
"HORRY COUNTY MEMORIAL LIBRARY" 269291 "1008 5TH AVENUE
CONWAY, SC 29526
" 33.837094 -79.048436 1 9 56 339362 28803 15388 659 188 5003216 2.25 26577.1425 5029793.1425 87.9340997359873 0.000129325854514226 650.482296183609 107.092348416121 8.71933001552997e-05 438.564263193071
"KERSHAW COUNTY LIBRARY SYSTEM" 61697 "1304 BROAD STREET
CAMDEN, SC 29020
" 34.249947 -80.607458 0 3 15.01 107673 2460 3142 191 32 1476498 2.25 6416.0475 1482914.0475 98.7925206541099 0.000102459413873057 151.938504130973 118.813302347546 7.0838583106819e-05 105.047529994098
"LEE COUNTY PUBLIC LIBRARY SYSTEM" 19220 "200 NORTH MAIN STREET
BISHOPVILLE, SC 29010
" 34.218938 -80.247429 1 0 4 24952 370 667 93 15 339741 4.5 3194.7 342935.7 92.2236538877525 0.000117575098210107 40.3206986072519 119.174941280276 7.04093129910585e-05 24.1458670371077
"MARION COUNTY LIBRARY SYSTEM" 33062 "101 EAST COURT STREET
MARION, SC 29571
" 34.172949 -79.391056 1 2 14.82 88960 1482 1080 186 30 1193554 3 5198.58 1198752.58 96.7206392775215 0.000106896056342075 128.141923331887 116.634148160115 7.35103611382254e-05 88.1207350711794
