"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"JASPER PUBLIC LIBRARY" 14235 "98 EAST 18TH STREET
JASPER, AL 35501
" 33.833395 -87.273908 1 0 4.7 60375 445 1655 29 17 813317 4.5 2626.725 815943.725 68.2085741286802 0.000214942382393754 175.380888150734 81.4799855841525 0.000150625365243796 122.901821596509
"CARL ELLIOTT REGIONAL LIBRARY SYSTEM" 66099 "98 18TH STREET EAST
JASPER, AL 35501
" 33.833395 -87.273908 1 0 3.5 0 0 0 0 4 180 2.25 4986.6825 5166.6825 68.2085741286802 0.000214942382393754 1.11053904562211 81.4799855841525 0.000150625365243796 0.77823343866123
"ARLEY PUBLIC LIBRARY" 354 "6788 COUNTY ROAD 41
ARLEY, AL 35541
" 34.050051 -87.223437 1 0 1 9429 272 148 8 5 128366 22.5 388.95 128754.95 75.3063163471858 0.000176334459636608 22.7039345337885 109.93575005903 8.27412566138223e-05 10.6533463582499
"DOUBLE SPRINGS PUBLIC LIBRARY" 1068 "637 BLAKE DRIVE
DOUBLE SPRINGS, AL 35553
" 34.146999 -87.3834 1 0 1.5 11092 5 6 0 5 144564 14.25 681.57 145245.57 70.0053865792916 0.000204050227652476 29.6373916240137 91.9140765779761 0.000118368445242242 17.1924922992233
"HALEYVILLE PUBLIC LIBRARY" 4103 "913 20TH STREET
HALEYVILLE, AL 35565
" 34.2264 -87.623363 1 0 2 12690 100 180 18 6 169114 10 1530.9 170644.9 61.9872481451257 0.000260252725571998 44.4108003299611 82.0653187020766 0.000148484348970001 25.338096881551
"SUMITON PUBLIC LIBRARY" 2474 "416 STATE STREET
SUMITON, AL 35148
" 33.749577 -87.049527 1 0 1.55 10743 43 131 3 5 142185 14.25 1290.135 143475.135 80.1580544562283 0.000155634424650969 22.3296700874451 99.4221233549157 0.000101165849284932 14.5147838835453
"FLORENCE - LAUDERDALE PUBLIC LIBRARY" 89572 "350 NORTH WOOD AVENUE
FLORENCE, AL 35630
" 34.803563 -87.674653 1 0 21 72710 3521 5326 82 40 1063107 2.25 9196.11 1072303.11 91.7617210691468 0.000118761834900491 127.348684913103 110.783302471821 8.14800684528113e-05 87.3713308049624
"TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY" 12786 "511 NORTH MAIN STREET
TUSCUMBIA, AL 35674
" 34.736541 -87.703497 1 0 4 36330 1235 1648 20 12 510569 4.5 2326.11 512895.11 86.9090551563765 0.000132394499783538 67.9044915298729 109.174568456634 8.38990478493058e-05 43.0314113755649
"LEIGHTON PUBLIC LIBRARY" 5102 "8740 MAIN STREET
LEIGHTON, AL 35646
" 34.700231 -87.528957 1 0 1 7304 56 517 0 7 102716 7 1221.42 103937.42 90.0806660851154 0.00012323578116794 12.8088091462802 109.94693476829 8.27244232236161e-05 8.59816312085074
"MUSCLE SHOALS PUBLIC LIBRARY" 17748 "1918 EAST AVALON AVENUE
MUSCLE SHOALS, AL 35661
" 34.744458 -87.645404 1 0 11 52953 2187 8381 56 56 829021 4.5 4045.98 833066.98 89.0292640987239 0.000126163704584025 105.102816363426 107.734847825817 8.61564101130858e-05 71.7740603805498
"SHEFFIELD PUBLIC LIBRARY" 13395 "316 NORTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
" 34.761459 -87.698542 1 0 6 56635 1134 4577 52 38 812884 4.5 2708.325 815592.325 88.5548722420176 0.000127519052848733 104.003560794696 110.785787962767 8.14764124658036e-05 66.4515366756437
"NORTHWEST REGIONAL LIBRARY" 34992 "185 ASHWOOD DRIVE
WINFIELD, AL 35594
" 33.930841 -87.815045 1 0 1.9 80482 53 219 0 0 1049802 3 3434.28 1053236.28 41.1030858183178 0.000591903822162039 623.414579771728 48.809449836579 0.000419751421022909 442.097425202883
"HAMILTON - CLYDE NIX PUBLIC LIBRARY" 6629 "350 BEXAR AVENUE WEST
HAMILTON, AL 35570
