"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"COCHISE COUNTY LIBRARY DISTRICT" 129628 "100 CLAWSON AVENUE
BISBEE, AZ 85603
" 31.443278 -109.916922 1 5 8 97956 5785 6104 64 25 1429942 2.25 9949.89 1439891.89 74.1858519495879 0.000181701211515061 261.630100863711 87.0928455143102 0.000131836310237526 189.830033918537
"SAFFORD CITY-GRAHAM COUNTY LIBRARY" 38315 "808 SOUTH 7TH AVENUE
SAFFORD, AZ 85546
" 32.831331 -109.715028 1 0 8.85 38088 1880 2844 12 17 557477 3 4775.85 562252.85 81.5720307058309 0.000150285628504103 84.4985229404731 119.819304808182 6.96540557259127e-05 39.1631913459533
"CHANDLER PUBLIC LIBRARY" 249423 "22 SOUTH DELAWARE STREET
CHANDLER, AZ 85225
" 33.302642 -111.837484 1 3 78.7399999999999 353685 28373 22283 437 258 5273724 2.25 28647.0525 5302371.0525 97.6232339483367 0.000104928537403282 556.370039308325 107.042017224452 8.72753160694849e-05 462.766109524625
"PINAL COUNTY LIBRARY DISTRICT" 396237 "92 WEST BUTTE AVENUE
FLORENCE, AZ 85132
" 33.031373 -111.388195 1 3 11 33075 2820 7733 43 51 570018 2.25 28395.9975 598413.9975 67.9559752089094 0.000216543275379395 129.582527051527 87.0331937315918 0.000132017091055655 79.0008751969361
"PIMA COUNTY PUBLIC LIBRARY" 1007162 "101 NORTH STONE AVENUE
TUCSON, AZ 85701
" 32.223309 -110.971458 1 26 375 968328 94420 130609 2842 667 15580602 2.25 124233.435 15704835.435 8.0164061150116 0.015561110214685 244384.675107526 12.1459728832938 0.00677852786392472 106455.6645945
"NOGALES/SANTA CRUZ COUNTY PUBLIC LIBRARY" 49544 "518 NORTH GRAND AVENUE
NOGALES, AZ 85621
" 31.340973 -110.936135 1 3 7.5 72105 2089 3047 56 38 1006571 3 5583.96 1012154.96 56.503665624229 0.000313218029921408 317.025182546382 73.7923620863211 0.000183644182561183 185.876370254446
"PATAGONIA PUBLIC LIBRARY" 953 "346 DUQUESNE AVENUE
PATAGONIA, AZ 85624
" 31.538704 -110.753917 1 0 1.9 12456 1416 1374 54 11 199395 22.5 928.275 200323.275 43.1091106055021 0.000538098614937432 107.79367681723 52.6787378676973 0.000360353942380866 72.1872818968964
"GILA COUNTY LIBRARY DISTRICT" 54219 "1400 EAST ASH STREET
GLOBE, AZ 85501
" 33.395389 -110.774453 1 0 3.97 2232 42 56 6 0 30368 2.25 4255.2825 34623.2825 85.9282905557402 0.000135433984537174 4.68916910673122 115.561037443921 7.4881948373735e-05 2.59265885269424
"PIMA PUBLIC LIBRARY" 2479 "50 SOUTH 200 WEST
PIMA, AZ 85543
" 32.895348 -109.831567 1 0 1.38 10264 197 986 3 7 149165 14.25 1266.7725 150431.7725 78.8831387877804 0.000160705830678895 24.175262960111 128.62042825009 6.04477440691766e-05 9.0932612839526
"BENSON PUBLIC LIBRARY" 5027 "300 SOUTH HUACHUCA STREET
BENSON, AZ 85602
" 31.965899 -110.296601 1 0 5 28822 2855 3042 43 17 452671 7 1805.67 454476.67 35.5639385817696 0.000790642757232687 359.32868746673 38.6841810928704 0.000668241102031284 303.699990808308
"COPPER QUEEN LIBRARY" 5394 "6 MAIN STREET
BISBEE, AZ 85603
" 31.441626 -109.915163 1 0 3 37867 1479 3823 112 14 563283 7 1582.74 564865.74 74.3394214444686 0.000180951274507256 102.213175578484 86.9437160575143 0.000132288960288095 74.7255014469653
"DOUGLAS PUBLIC LIBRARY" 16989 "560 EAST 10TH STREET
DOUGLAS, AZ 85607
" 31.344477 -109.553315 1 0 7.75 48929 3348 6369 47 30 764359 4.5 3456.015 767815.015 95.1758918260017 0.000110394157666276 84.7622918244437 110.659027924491 8.16631820172353e-05 62.7022173255112
"HUACHUCA CITY PUBLIC LIBRARY" 1810 "506 NORTH GONZALES BOULEVARD
HUACHUCA CITY, AZ 85616
" 31.631372 -110.335242 1 0 2.89 19307 1411 938 0 17 282293 14.25 1207.275 283500.275 47.5957683111349 0.000441431495730415 125.145950433234 58.7178594951968 0.00029004111713592 82.2267364693404
"SIERRA VISTA PUBLIC LIBRARY" 44286 "2600 EAST TACOMA STREET
SIERRA VISTA, AZ 85635
" 31.56599 -110.270783 1 0 13.25 95643 8802 6331 235 26 1444313 3 5973.24 1450286.24 53.5014670494506 0.000349356331307752 506.666680152514 65.8400338026769 0.000230685294089912 334.559707788953
"TOMBSTONE CITY LIBRARY" 1344 "CORNER OF 4TH AND TOUGHNUT STREET
TOMBSTONE, AZ 85638
" 31.720816 -110.054876 1 0 2 15125 655 2400 11 5 236708 14.25 874.56 237582.56 56.0375771287494 0.000318450034848255 75.6581745113376 64.0057414840866 0.00024409682684654 57.9931490100777
"ELSIE S. HOGAN COMMUNITY LIBRARY" 3674 "100 NORTH CURTIS AVENUE
WILLCOX, AZ 85643
" 32.253209 -109.833615 1 0 4 28883 893 2513 29 17 420899 10 1702.2 422601.2 60.4905614574722 0.000273290647077765 115.49295540384 73.9464625250103 0.000182879570958165 77.2851261424055
"APACHE JUNCTION PUBLIC LIBRARY" 37639 "1177 NORTH IDAHO ROAD
APACHE JUNCTION, AZ 85119
" 33.426683 -111.546099 1 0 24.25 88427 7559 24101 254 91 1568528 3 7025.01 1575553.01 96.5583905587337 0.000107255596711031 168.986878237411 130.47895410541 5.87379880206005e-05 92.5448138272011
"CASA GRANDE PUBLIC LIBRARY" 50821 "449 NORTH DRYLAKE STREET
CASA GRANDE, AZ 85122
" 32.876852 -111.750102 1 1 18.59 85526 6226 9864 238 58 1326712 2.25 6218.9175 1332930.9175 71.9949182276066 0.0001929284674557 257.160319137595 77.1167062273976 0.000168152394542252 224.135525537025
"VENITO GARCIA LIBRARY" 7174 "MAIN STREET, TRIBAL BUILDING
SELLS, AZ 85634
" 32.090454 -112.057802 1 0 2 10937 0 0 13 10 142800 7 1806.54 144606.54 70.2796116532289 0.000202460960999478 29.2771790552095 83.8542508108914 0.000142216450048534 20.5654287726013
"GLOBE PUBLIC LIBRARY" 7525 "339 SOUTH BROAD STREET
GLOBE, AZ 85501
" 33.393723 -110.785667 1 0 4.54 18952 190 1547 15 10 269602 7 2261.25 271863.25 85.7776423387301 0.000135910118041645 36.9489663986852 116.434687511651 7.37624334971943e-05 20.0532948984561
"HAYDEN PUBLIC LIBRARY" 661 "219 EAST 5TH STREET
HAYDEN, AZ 85135
" 33.005402 -110.788443 1 0 2.5 20046 1050 150 15 6 276663 22.5 821.175 277484.175 58.9556074139535 0.000287706559472422 79.8340172972935 82.0994942025924 0.00014836075574183 41.1677619093982
"MIAMI MEMORIAL LIBRARY" 1826 "282 SOUTH ADONIS AVENUE
MIAMI, AZ 85539
" 33.396597 -110.869168 1 0 1.5 31008 359 982 5 10 421052 14.25 1005.615 422057.615 85.8671356395044 0.000135626966481116 57.2423940027049 135.188959449215 5.47164042403128e-05 23.0934750750423
"SAN CARLOS PUBLIC LIBRARY" 10068 "89 SAN CARLOS AVENUE
SAN CARLOS, AZ 85550
" 33.350939 -110.452474 1 0 1 9245 124 526 3 10 129124 4.5 1509.18 130633.18 86.0474883628462 0.000135059022922924 17.6431896521144 130.46217704152 5.87530960674415e-05 7.67510377413537
"COOLIDGE PUBLIC LIBRARY" 12027 "160 WEST CENTRAL AVENUE
COOLIDGE, AZ 85128
" 32.977661 -111.517206 1 0 5.45 26183 1828 2893 45 27 403552 4.5 2441.145 405993.145 68.5657411023865 0.00021270889475937 86.3583531528308 76.8010488771795 0.000169537469829927 68.8310505715948
"ELOY SANTA CRUZ LIBRARY" 16531 "1000 NORTH MAIN STREET
ELOY, AZ 85131
" 32.75946 -111.554862 1 0 4.48 21430 519 4520 72 20 345933 4.5 2903.685 348836.685 58.2126124266586 0.000295097697276597 102.940902469102 62.6747610821828 0.000254574339596457 88.8048687108922
"FLORENCE COMMUNITY LIBRARY" 26828 "1000 SOUTH WILLOW STREET
FLORENCE, AZ 85132
" 33.027347 -111.389311 1 0 6.25 20309 2239 3676 33 51 343636 3 3352.02 346988.02 67.7376163425092 0.000217941622685943 75.6231321313825 86.8169560192377 0.000132675548265343 46.0368257950059
"KEARNY PUBLIC LIBRARY" 1991 "912-A TILBURY ROAD
KEARNY, AZ 85137
" 33.054489 -110.91464 1 0 1.7 16189 738 1750 8 16 243625 14.25 1106.1525 244731.1525 62.2806141067339 0.00025780671649727 63.0933348506176 90.7316042601315 0.000121473856710996 29.728436951502
"MAMMOTH PUBLIC LIBRARY" 1451 "125 NORTH CLARK STREET
MAMMOTH, AZ 85618
" 32.721682 -110.641176 1 0 1 8085 562 4217 40 17 168517 14.25 770.3025 169287.3025 41.2204009206484 0.000588539447129105 99.6322554193275 59.7474741198255 0.000280130825063139 47.4225917220381
"MARICOPA PUBLIC LIBRARY" 46708 "41600 WEST SMITH ENKE ROAD
MARICOPA, AZ 85138
" 33.073125 -112.014838 1 0 8.5 30027 2264 6838 48 20 510201 3 5478.72 515679.72 92.4863308879034 0.000116908179856151 60.2871774539298 101.073110716194 9.78878378087012e-05 50.4787727925964
"SUPERIOR PUBLIC LIBRARY" 2895 "99 KELLNER AVENUE
SUPERIOR, AZ 85173
" 33.294505 -111.097474 1 0 1.25 18823 621 2556 28 10 286814 10 1056 287870 80.0001644282739 0.000156249357704035 44.9795026022606 118.005517789901 7.18117268526723e-05 20.6724418090788
"IRA H. HAYES MEMORIAL LIBRARY" 11712 "94 NORTH CHURCH STREET
SACATON, AZ 85147
" 33.080526 -111.741347 1 0 2.36 31983 1253 1916 43 6 457805 4.5 1935.12 459740.12 82.0331151582002 0.000148600952144522 68.317819571037 90.4476369194825 0.000122237807179314 56.1976241411548
"DR. FERNANDO ESCALANTE COMMUNITY LIBRARY & RESOURCE CENTER" 4043 "7441 SOUTH CAMINO COCOIM
TUCSON, AZ 85757
" 32.116078 -111.07114 1 0 2.45 7454 85 161 3 6 100409 10 1580.4 101989.4 12.6275190053588 0.00627139186539522 639.615493516539 14.6003951930605 0.00469105773204291 478.438163456417
"AK-CHIN INDIAN COMMUNITY LIBRARY" 1419 "46521 WEST FARRELL ROAD
MARICOPA, AZ 85139
" 33.02898 -112.064246 1 0 7 11500 242 1364 31 30 172131 14.25 1656.6225 173787.6225 92.5916717452674 0.000116642320039461 20.270991482542 107.447152248748 8.66184047147309e-05 15.0532066201159
"SAN XAVIER LEARNING CENTER LIBRARY" 1885 "1960 WEST WALK LANE
TUCSON, AZ 85746
" 32.143503 -111.112401 1 0 2 3800 20 25 18 10 50669 14.25 1105.8375 51774.8375 14.7699980468618 0.00458394210883164 237.332857794165 19.6254365143475 0.00259633871639893 134.425015136513
