"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"CHADRON PUBLIC LIBRARY" 5787 "507 BORDEAUX STREET
CHADRON, NE 69337
" 42.826233 -103.000066 1 0 6 38479 1028 2519 85 17 548208 7 2115.27 550323.27 91.3970611751925 0.000119711407522927 65.8799732443198 110.181192290007 8.23730344393547e-05 45.3317976724883
"JACKSON COUNTY LIBRARY" 3216 "910 MAIN ST
KADOKA, SD 57543
" 43.829806 -101.508562 1 0 1 9535 168 272 26 6 130283 10 1114.8 131397.8 80.9702656566566 0.000152527752748321 20.0418111500734 87.7123541327501 0.000129980578461041 17.0791620525082
"HAAKON COUNTY PUBLIC LIBRARY" 1894 "140 S HOWARD
PHILIP, SD 57567
" 44.038997 -101.666878 1 0 0.75 8671 188 377 1 8 120441 14.25 922.185 121363.185 70.3437385333006 0.000202091993635591 24.5265280106151 77.6504654081798 0.000165848624459962 20.1279172923298
"FAITH PUBLIC LIBRARY" 27202 "204 W FIFTH ST
FAITH, SD 57626
" 45.019129 -102.041455 1 0 1.48 18171 130 1300 33 9 255647 3 2670.18 258317.18 78.9720618153754 0.000160344122927544 41.4196416642166 114.822846632781 7.58478685719929e-05 19.5928075185278
"RAPID CITY PUBLIC LIBRARIES" 105761 "610 QUINCY STREET
RAPID CITY, SD 57701
" 44.07794 -103.22831 1 2 38.88 110373 4793 9232 112 107 1623445 2.25 12970.8675 1636415.8675 8.97163409109757 0.0124238699007293 20330.6178413091 11.9601824350355 0.00699075998287911 11439.7905618674
"BELLE FOURCHE PUBLIC LIBRARY" 10330 "905 5TH AVE
BELLE FOURCHE, SD 57717
