"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"LAKE AGASSIZ REGIONAL LIBRARY" 144085 "118 5TH ST S
MOORHEAD, MN 56560
" 46.873143 -96.772379 1 12 47.67 206114 9627 19035 485 120 3063793 2.25 16876.2375 3080669.2375 79.9384482762679 0.000156490714192193 482.096129166294 94.7587209663589 0.000111368307565598 343.088919149776
"NORTHWEST REGIONAL LIBRARY" 48625 "210 LABREE AVENUE NORTH
THIEF RIVER FALLS, MN 56701
" 48.118262 -96.180019 1 6 16.6499999999999 140678 6933 14797 335 54 2118089 3 6873.74999999999 2124962.75 56.786227752654 0.000310108706952281 658.969450724263 69.1333093069209 0.000209230651424646 444.607340435606
"EAST GRAND FORKS CAMPBELL LIBRARY" 8640 "422 4TH STREET NORTHWEST
EAST GRAND FORKS, MN 56721
" 47.930148 -97.025021 1 0 7.33 50077 1554 2723 40 19 707977 7 2913.9 710890.9 16.6348520788769 0.00361378335541662 2569.00570193714 18.6728721090633 0.00286799080454889 2038.82856423748
"CAVALIER PUBLIC LIBRARY" 2733 "106 WEST 2ND AVE SOUTH
CAVALIER, ND 58220
" 48.793791 -97.625517 1 0 1.15 14572 154 620 46 7 200411 10 992.4 201403.4 59.2555355531021 0.000284801416317024 57.3599735710641 73.3605080343495 0.000185812676691376 37.4233048487439
"JAMES RIVER VALLEY LIBRARY SYSTEM" 21120 "105 THIRD STREET SE
JAMESTOWN, ND 58401
" 46.906337 -98.708278 1 1 10.5 69304 2985 6833 144 16 1031178 4.5 4426.2 1035604.2 95.3198577641264 0.000110060942806677 113.979574626555 138.976226279096 5.17748644327181e-05 53.6182670609535
"CANDO COMMUNITY LIBRARY" 1115 "523 MAIN
CANDO, ND 58324
" 48.489868 -99.203228 1 0 1 26000 360 280 6 4 346578 14.25 626.6625 347204.6625 91.7752725262899 0.000118726764950807 41.2224863544617 111.002025675121 8.11592810931135e-05 28.1788808006771
"LAKE REGION PUBLIC LIBRARY" 11554 "423 7TH STREET NE
DEVILS LAKE, ND 58301
" 48.114826 -98.859547 1 0 3.55 39124 803 743 60 8 529850 4.5 2092.29 531942.29 69.2394620314646 0.000208589589885541 110.957624113876 76.3194850062759 0.000171683729014225 91.3258359675663
"CARNEGIE REGIONAL LIBRARY" 14199 "49 WEST 7TH STREET
GRAFTON, ND 58237
" 48.417578 -97.411906 1 0 3 30144 739 2272 26 7 431668 4.5 2366.865 434034.865 32.1982563562991 0.000964573424683102 418.658496164918 34.8813799445736 0.000821888085027691 356.728084030102
"CARRINGTON CITY LIBRARY" 2065 "87 8TH AVE N
CARRINGTON, ND 58421
" 47.450415 -99.123378 1 0 1 21722 344 979 42 16 300851 14.25 1032.7875 301883.7875 88.1719174173983 0.00012862915882717 38.8310576496852 118.507586961114 7.12045407480946e-05 21.4954964482329
"CASSELTON PUBLIC LIBRARY" 2329 "702 1ST STREET NORTH
CASSELTON, ND 58012
" 46.901561 -97.210755 1 0 1.01 22022 441 490 20 4 298829 14.25 1147.1475 299976.1475 73.1409833227046 0.000186929743662649 56.0744643570841 83.1154386270148 0.000144756007953526 43.423349593378
"CAVALIER COUNTY LIBRARY" 3896 "600 FIFTH AVENUE
LANGDON, ND 58249
" 48.75974 -98.37356 1 0 2 25004 507 1632 26 4 353377 10 1468.8 354845.8 72.0634121209958 0.000192561897470819 68.3297805575506 100.73446257472 9.85471008729995e-05 34.9690248469602
"EDNA RALSTON PUBLIC LIBRARY" 1346 "116 1/2 TOWNER AVENUE
LARIMORE, ND 58251
" 47.903872 -97.623735 1 0 0.25 18207 69 550 8 3 244977 14.25 612.915 245589.915 11.679003956155 0.00733142487796914 1800.52401260933 15.0620751363913 0.00440788627000076 1082.53241437915
"ENDERLIN MUNICIPAL LIBRARY" 886 "303 RAILWAY STREET
ENDERLIN, ND 58027
" 46.626864 -97.605536 1 0 1 21558 532 875 24 11 299352 22.5 748.05 300100.05 92.2954083962828 0.000117392353172968 35.2294510568253 110.734214025625 8.15523246480808e-05 24.4738567045053
"FARGO PUBLIC LIBRARY" 113658 "102 NORTH 3RD STREET
FARGO, ND 58102
" 46.877272 -96.783088 1 2 40 212092 22207 25538 526 92 3388859 2.25 13671.915 3402530.915 79.4930784696784 0.000158249143513572 538.4476030772 94.3647706513229 0.000112300120579939 382.104632031469
"GRAND FORKS PUBLIC LIBRARY" 69179 "2110 LIBRARY CIRCLE
GRAND FORKS, ND 58201
" 47.899243 -97.047754 1 0 26 197591 14710 15203 270 68 2964122 2.25 8569.5825 2972691.5825 15.9456573297261 0.00393292030513634 11691.3590857221 20.0411348751662 0.00248974792088896 7401.25268697349
"GRIGGS COUNTY LIBRARY" 2296 "902 BURREL AVE SE
COOPERSTOWN, ND 58425
" 47.444572 -98.123735 1 0 2 23968 852 987 38 7 336300 14.25 1281.54 337581.54 49.2498515432433 0.000412277988601834 139.17743830031 71.5529347434352 0.000195319272451688 65.9361807859205
