"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"SOUTH BANNOCK DISTRICT" 6931 "18 N MAIN
DOWNEY, ID 83234
" 42.428981 -112.124367 1 2 6.13 59897 1670 5223 120 10 870280 7 2375.01 872655.01 89.9606009995692 0.000123564951678721 107.829574142844 101.155753290169 9.77279576627343e-05 85.282791871453
"ONEIDA COUNTY DISTRICT" 4295 "31 N 100 W
MALAD, ID 83252
" 42.186048 -112.248109 1 0 3.79 26289 1544 1775 42 11 385945 10 1857 387802 74.0777906459026 0.000182231713055472 70.6698227863383 80.8480495109797 0.000152989246724159 59.3295358581222
"BEAR LAKE COUNTY DISTRICT" 5982 "138 N 6TH ST
MONTPELIER, ID 83254
" 42.319273 -111.302522 1 1 4.5 60747 1980 4255 48 11 871885 7 1931.22 873816.22 89.5425682953438 0.000124721379657244 108.983564525278 127.546696161159 6.14697678373531e-05 53.7132801759135
"LARSEN-SANT/FRANKLIN DISTRICT" 13224 "109 S 1ST E
PRESTON, ID 83263
" 42.093832 -111.874026 1 0 5.4 47692 1734 1069 47 17 657811 4.5 2595.24 660406.24 66.8141172185072 0.000224008001079655 147.936281722931 82.394646252501 0.000147299751094749 97.2776747734191
"BOX ELDER COUNTY BOOKMOBILE LIBRARY" 22035 "80 WEST 50 SOUTH
WILLARD, UT 84340
" 41.409455 -112.03809 0 1 3.31 32361 2091 729 0 0 457353 4.5 3471.225 460824.225 19.3214347769841 0.00267868258068747 1234.4018242663 23.09704599401 0.00187450723779894 863.818345115588
"BRIGHAM CITY LIBRARY" 18454 "26 EAST FOREST STREET
BRIGHAM CITY, UT 84302
" 41.509994 -112.015319 1 0 7.8 60416 2144 4401 62 22 872289 4.5 3661.29 875950.29 26.1629744461809 0.001460917750675 1279.69132736991 32.2560801322281 0.000961118244472345 841.891804969841
"GARLAND PUBLIC LIBRARY" 2402 "86 WEST FACTORY ROAD
GARLAND, UT 84312
