"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"FLORALA PUBLIC LIBRARY" 6445 "1214 FOURTH STREET
FLORALA, AL 36442
" 31.020628 -86.326526 1 0 3 16945 201 1409 31 10 242068 7 1803.45 243871.45 46.7468217276823 0.000457610332688319 111.598095367683 60.9933264568084 0.000268803773342291 65.553565970456
"SATSUMA PUBLIC LIBRARY" 6133 "5466 OLD HIGHWAY 43
SATSUMA, AL 36572
" 30.845112 -88.059791 1 0 4 15451 184 46 5 15 204593 7 1887.93 206480.93 86.3052553106978 0.000134253469122751 27.7207811601919 109.879205139995 8.28264374535691e-05 17.1020798339998
"OZARK - DALE COUNTY PUBLIC LIBRARY" 37931 "416 JAMES STREET
OZARK, AL 36360
" 31.452208 -85.632765 1 0 7 62515 2472 2289 0 42 876478 3 4463.79 880941.79 95.0456442614056 0.000110696926346816 97.5175484434623 116.932407073707 7.313583436929e-05 64.4284128424259
"MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY" 2403 "1318 HINTON WATERS AVENUE
MIDLAND CITY, AL 36350
" 31.336223 -85.523526 1 0 2 8581 130 771 0 18 124076 14.25 1327.2825 125403.2825 93.9211781545612 0.000113363419228289 14.2161448866511 123.302098997104 6.57747279547906e-05 8.24836679107525
"NEWTON PUBLIC LIBRARY" 2162 "209 OATES DRIVE
NEWTON, AL 36352
" 31.331947 -85.596851 1 0 1 12955 260 50 0 8 172805 14.25 1074.255 173879.255 90.5407300951015 0.000121986568748043 21.210933693916 107.655312115526 8.62837617960886e-05 15.0029562197014
"ANDALUSIA PUBLIC LIBRARY" 18322 "212 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
" 31.306848 -86.482913 1 0 8 49917 1211 1660 0 32 687684 4.5 3673.47 691357.47 62.3773482644831 0.000257007728437583 177.684212903055 79.6258093379895 0.000157722001878977 109.042284182385
"BRANTLEY PUBLIC LIBRARY" 3526 "10 MLK DRIVE
BRANTLEY, AL 36009
