"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ALBUQUERQUE/BERNALILLO COUNTY LIBRARY SYSTEM" 662564 "501 COPPER AVE. NW
ALBUQUERQUE, NM 87102
" 35.085731 -106.652923 1 16 132.5 945040 52301 106881 1389 292 14386083 2.25 64598.07 14450681.07 9.47470100747916 0.0111395839891419 160974.575479568 15.4181217144917 0.00420665659550964 60789.0528327218
"BELEN PUBLIC LIBRARY" 23093 "333 BECKER AVENUE
BELEN, NM 87002
" 34.659932 -106.771047 1 1 6 47583 893 5075 33 36 698212 4.5 4017.555 702229.555 28.5214305236612 0.00122929861272012 863.249817772567 42.4472143860216 0.000555011025255861 389.745145285517
"TOWN OF BERNALILLO PUBLIC LIBRARY" 8320 "124 CALLE MALINCHE
BERNALILLO, NM 87004
" 35.304109 -106.549866 1 0 2 16880 266 1005 0 10 236413 7 2047.2 238460.2 20.2659556255655 0.00243481419613582 580.606280173387 27.8729168479004 0.00128716778453975 306.938287334906
"MOTHER WHITESIDE MEMORIAL LIBRARY" 9182 "525 W. HIGH ST
GRANTS, NM 87020
" 35.153804 -107.854156 1 0 5 30577 853 852 40 15 420861 7 2678.22 423539.22 76.6372026768431 0.000170263168662399 72.113129650001 91.3275007145786 0.000119893835637593 50.7797416287542
"LAGUNA PUBLIC LIBRARY" 4881 "29 RODEO DRIVE
LAGUNA, NM 87026
" 35.042541 -107.371814 1 0 4.6 9653 192 845 33 12 139939 10 2154.3 142093.3 48.7879673499116 0.000420121155203731 59.6964013427103 58.4680676550636 0.000292524683648118 41.5657976310172
"CARNEGIE PUBLIC LIBRARY" 13753 "500 NATIONAL AVENUE
LAS VEGAS, NM 87701
" 35.59747 -105.215209 1 0 5 44840 1381 1381 57 7 619882 4.5 2606.655 622488.655 83.5961045615678 0.000143096140029561 89.0757237426931 132.668050256627 5.68155619787107e-05 35.3670427591967
"LOS ALAMOS COUNTY LIBRARY SYSTEM" 17950 "2400 CENTRAL AVENUE
LOS ALAMOS, NM 87544
" 35.881954 -106.303835 1 1 26 147388 9707 11820 404 21 2202092 4.5 6323.25 2208415.25 61.2453685530244 0.00026659591785462 588.754490577891 106.746243801807 8.77596325281143e-05 193.809710809484
"LOS LUNAS PUBLIC LIBRARY" 27703 "460 MAIN ST. NE
LOS LUNAS, NM 87031
