"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"SATSUMA PUBLIC LIBRARY" 6133 "5466 OLD HIGHWAY 43
SATSUMA, AL 36572
" 30.845112 -88.059791 1 0 4 15451 184 46 5 15 204593 7 1887.93 206480.93 59.5299200940562 0.000282182060771165 58.2652143373466 77.012936980377 0.000168605845707797 34.8138918251824
"BALDWIN COUNTY LIBRARY COOPERATIVE" 102376 "22251 PALMER STREET
ROBERTSDALE, AL 36567
" 30.550709 -87.716861 1 0 7 18944 1363 1383 2 7 282311 2.25 7960.38 290271.38 72.580713363153 0.000189826803744513 55.101288283909 90.870791753141 0.000121102016816717 35.1524495421718
"DAPHNE PUBLIC LIBRARY" 22845 "2607 U.S. HIGHWAY 98
DAPHNE, AL 36526
" 30.6181 -87.905194 1 0 13.3 59022 4421 6110 82 24 906335 4.5 5079.075 911414.075 62.3516689970458 0.000257219467091631 234.433442671312 76.5754905737756 0.000170537709041947 155.430468339085
"FAIRHOPE PUBLIC LIBRARY" 16479 "501 FAIRHOPE AVENUE
FAIRHOPE, AL 36532
" 30.523053 -87.90089 1 0 14.39 71065 5987 5471 107 91 1078285 4.5 4383.165 1082668.165 61.4635586280837 0.000264706494657594 286.58929483452 84.2102973889918 0.000141016391706694 152.673958044007
"FOLEY PUBLIC LIBRARY" 15402 "319 EAST LAUREL AVENUE
FOLEY, AL 36535
" 30.406366 -87.679586 1 0 15 80123 7207 6252 54 36 1218888 4.5 4329.27 1223217.27 74.2158866388264 0.000181554174663674 222.080201889203 105.157393714193 9.04316328287462e-05 110.617535030421
"BAY MINETTE PUBLIC LIBRARY" 8316 "205 WEST SECOND STREET
BAY MINETTE, AL 36507
" 30.882616 -87.776059 1 0 7 43195 4964 3520 44 11 672894 7 2796.36 675690.36 75.6722953736332 0.000174632947696097 117.997799296637 98.8908496650801 0.000102255760570093 69.0932316716801
"LOXLEY PUBLIC LIBRARY" 1680 "1001 EAST LOXLEY AVENUE
LOXLEY, AL 36551
" 30.619925 -87.752939 1 0 2 9542 213 743 0 13 137059 14.25 1018.2 138077.2 71.2382544986958 0.000197048648534489 27.2079256534263 85.333117924118 0.000137329794892172 18.9621135552855
"OSCAR JOHNSON MEMORIAL LIBRARY" 729 "21967 SIXTH STREET
SILVERHILL, AL 36576
" 30.545083 -87.751866 1 0 1 9421 393 913 0 5 139676 22.5 642.075 140318.075 70.4628680336837 0.000201409229298657 28.2613553424211 90.6166503038513 0.000121782249428879 17.0882508090302
"ROBERTSDALE PUBLIC LIBRARY" 5547 "18301 PENNSYLVANIA STREET
ROBERTSDALE, AL 36567
" 30.552994 -87.713401 1 0 4 30243 3138 1628 29 13 456079 7 1764.87 457843.87 72.8054080205908 0.000188656911257573 86.3754103524139 90.9509488361689 0.000120888651107777 55.3481278622642
"GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY" 10118 "221 WEST 19TH AVENUE
GULF SHORES, AL 36542
" 30.272484 -87.692269 1 0 10 44728 4879 4182 56 24 701065 4.5 2865.93 703930.93 74.134051903362 0.000181955222167551 128.083908758761 116.567661277294 7.3594241496671e-05 51.8052628593962
"ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM" 21099 "700 EAST CHURCH STREET
ATMORE, AL 36502
" 31.022624 -87.485738 1 0 1.5 6809 19 22 5 24 90195 4.5 3073.365 93268.365 95.3890118247872 0.000109901419145778 10.2503256749064 115.826363602471 7.45392736512721e-05 6.95215618174173
"ATMORE PUBLIC" 10121 "700 E. CHURCH STREET
ATMORE, AL 36502
" 31.022624 -87.485738 1 0 5.3 50721 863 948 35 32 684811 4.5 2161.335 686972.335 95.3890118247872 0.000109901419145778 75.4992345303887 115.826363602471 7.45392736512721e-05 51.2064188694184
"CITRONELLE MEMORIAL LIBRARY" 3886 "7855 STATE STREET
CITRONELLE, AL 36522
" 31.09093 -88.2292 1 0 4 29123 45 0 25 17 380274 10 1765.8 382039.8 62.5590678797534 0.000255516801033829 97.6175875636037 96.9993910547181 0.000106282554542572 40.6041658809331
"CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY" 6023 "224 GRANT STREET
CHICKASAW, AL 36611
" 30.764924 -88.07839 1 0 2 29900 71 2695 49 9 425700 7 1564.83 427264.83 55.9574118536459 0.000319363119285928 136.452628869972 70.5239414915431 0.00020106054113365 85.9060979271771
"JACKSON - WHITE SMITH MEMORIAL LIBRARY" 9899 "213 COLLEGE AVENUE
JACKSON, AL 36545
" 31.512301 -87.893706 1 0 4 21232 834 1265 13 23 304507 7 2678.79 307185.79 97.6278758498675 0.000104918559589981 32.2294906133103 130.437943504791 5.87749290944554e-05 18.0548230260743
"CITY OF BAYOU LA BATRE PUBLIC LIBRARY" 2659 "12747 PADGETT SWITCH ROAD
IRVINGTON, AL 36544
" 30.425201 -88.241603 1 0 1.5 19062 0 0 0 7 248121 10 1022.7 249143.7 40.694136211707 0.000603860095218372 150.447938405057 50.7226564927237 0.00038868342280416 96.8380260860929
"PRICHARD PUBLIC LIBRARY" 22416 "300 WEST LOVEJOY LOOP
PRICHARD, AL 36610
" 30.732233 -88.083942 1 1 11 68425 1376 1180 24 16 923785 4.5 4676.16 928461.16 54.7121413845693 0.000334066228438828 310.16751797314 70.295276324456 0.000202370737838328 187.89337000343
"WASHINGTON COUNTY PUBLIC LIBRARY" 17109 "14102 ST. STEPHENS AVENUE
CHATOM, AL 36518
" 31.452943 -88.209023 1 1 8 82812 2154 669 20 35 1115090 4.5 3509.715 1118599.715 83.5975664593057 0.000143091135336167 160.061703206063 119.499297848808 7.00276081712831e-05 78.332862542529
"MOBILE PUBLIC LIBRARY" 371257 "701 GOVERNMENT STREET
MOBILE, AL 36602
" 30.6871 -88.050915 1 8 134 585342 68738 68738 527 404 9421665 2.25 45159.8475 9466824.8475 55.3755305313397 0.000326110062664498 3087.22684425205 66.0388730784048 0.000229298224936661 2170.72613331802
"ORANGE BEACH PUBLIC LIBRARY" 5620 "26267 CANAL ROAD
ORANGE BEACH, AL 36561
" 30.292057 -87.576965 1 0 7.5 39547 3880 3018 0 16 604505 7 2305.2 606810.2 80.8067717545051 0.000153145586735314 92.9303041159735 117.363018380206 7.26001402018707e-05 44.0545055959252
"SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY" 927 "202 WEST BROADWAY STREET
SUMMERDALE, AL 36580
" 30.487189 -87.701463 1 0 2.5 16303 959 907 48 13 237406 22.5 1000.725 238406.725 73.0681268065797 0.000187302706273926 44.6542247864036 95.82499658245 0.000108903634796477 25.9633589124242
"MAGNOLIA SPRINGS PUBLIC LIBRARY" 751 "12440 MAGNOLIA AVENUE STE 600
MAGNOLIA SPRINGS, AL 36555
" 30.405049 -87.770505 1 0 1 4053 133 285 0 4 58303 22.5 656.925 58959.925 68.7930091737278 0.000211305784518753 12.4585732072919 97.8295450308822 0.000104486440004845 6.16051266620268
"MT. VERNON PUBLIC LIBRARY" 1562 "19180 SHEPARD LAKE ROAD EAST
MT. VERNON, AL 36560
" 31.092219 -87.991731 1 0 1 4075 0 0 0 15 53650 14.25 817.755 54467.755 72.7099840733054 0.000189152419555978 10.3027076460322 95.1582636360247 0.00011043506277243 6.01514994249832
"PLAQUEMINES PARISH" 23447 "8442 HWY. 23
BELLE CHASSE, LA 70037
" 29.852031 -89.987041 1 2 16 58128 638 3993 132 35 819158 4.5 5565.345 824723.345 74.4624473926216 0.000180353837473203 148.742020124487 98.2098251457119 0.000103678838774809 85.5063587200765
"ST. JOHN THE BAPTIST PARISH LIBRARY" 43745 "2920 HIGHWAY 51
LAPLACE, LA 70068
" 30.075256 -90.472657 1 3 31.95 162788 4818 9911 345 76 2315626 3 8729.55 2324355.55 95.4431160631932 0.0001097768539079 255.160439642367 111.647010575764 8.02242751729723e-05 186.469739243025
"ST. CHARLES PARISH LIBRARY" 52745 "160 W. CAMPUS DRIVE
DESTREHAN, LA 70047
" 29.947366 -90.362775 1 5 46.63 232258 8193 6759 436 72 3222638 2.25 10554.7875 3233192.7875 91.8482450095032 0.000118538185512696 383.256806442984 106.027315545503 8.89537924082318e-05 287.604760035067
"WASHINGTON PARISH" 46286 "825 FREE ST.
FRANKLINTON, LA 70438
" 30.848623 -90.159318 1 3 14.58 100609 815 2369 80 37 1352014 3 6352.74 1358366.74 79.5267123426408 0.000158115316629108 214.778587193549 107.3819081114 8.67236935858702e-05 117.802580936997
"ST. BERNARD PARISH LIBRARY" 44409 "2600 PALMISANO BLVD.
CHALMETTE, LA 70043
" 29.938518 -89.952236 1 1 6.63 64838 297 16497 0 40 1063016 3 4991.31 1068007.31 69.6675988948815 0.00020603372500726 220.045524414284 84.5315470938397 0.000139946604272867 149.463996373099
"TANGIPAHOA PARISH LIBRARY" 127049 "204 NE CENTRAL AVENUE
AMITE, LA 70422
" 30.728168 -90.508348 1 5 42.01 189592 1400 11030 283 50 2632215 2.25 14877.3075 2647092.3075 96.8945485433363 0.000106512680149782 281.948896275697 120.684877030335 6.86584975406623e-05 181.745380684395
"ST. TAMMANY PARISH LIBRARY" 245829 "310 WEST 21ST AVENUE
COVINGTON, LA 70433
" 30.476526 -90.1029 1 11 118 427545 15547 51353 885 201 6448335 2.25 34293.4575 6482628.4575 70.472025732527 0.000201356887246444 1305.32188737742 81.2370288441224 0.000151527667346433 982.297568438578
"JEFFERSON PARISH LIBRARY" 435716 "4747 W. NAPOLEON AVE.
METAIRIE, LA 70001
" 29.994279 -90.185466 1 15 197.48 743802 18799 123654 1513 371 11557679 2.25 59032.83 11616711.83 80.7663434959872 0.000153298941677084 1780.82962930666 93.0350329948923 0.000115533244045876 1342.116402866
"NEW ORLEANS PUBLIC" 384320 "219 LOYOLA AVENUE
NEW ORLEANS, LA 70112
" 29.954158 -90.07522 1 13 161.43 603816 31506 40484 595 297 8806578 2.25 50156.1 8856734.1 75.7763185515013 0.00017415381633219 1542.43404375444 87.5253209390185 0.000130536683991351 1156.12870040712
"HANCOCK COUNTY LIBRARY" 45949 "312 HIGHWAY 90
BAY SAINT LOUIS, MS 39520
" 30.319506 -89.338163 1 4 31.1 92909 4108 9675 194 145 1396043 3 8800.41 1404843.41 25.5454377304868 0.00153240408927892 2152.78778628054 28.192923807275 0.00125811333257772 1767.45222430495
"HARRISON COUNTY LIBRARY SYSTEM" 199058 "12135 OLD HIGHWAY 49
GULFPORT, MS 39503
" 30.465344 -89.104098 1 8 72 269113 14519 24360 99 216 4014903 2.25 24236.415 4039139.415 11.3928317780745 0.00770436111053422 31118.988628952 16.4545714392235 0.00369340428678939 14918.174830301
"THE LIBRARY OF HATTIESBURG, PETAL & FORREST C" 76330 "329 HARDY STREET
HATTIESBURG, MS 39401
" 31.324779 -89.295828 1 1 27.9 153743 5101 10639 192 66 2208745 2.25 9337.275 2218082.275 66.9357833864444 0.000223194402602497 495.063548291812 78.7639653522562 0.000161192508938019 357.538246938199
"JACKSON-GEORGE REGIONAL LIBRARY SYSTEM" 164440 "3214 PASCAGOULA STREET
PASCAGOULA, MS 39567
" 30.366482 -88.556694 1 7 76.05 263023 18379 34715 989 145 4128903 2.25 22507.2 4151410.2 22.1130905453092 0.00204503672530937 8489.78632082391 32.5847863099159 0.000941825067739324 3909.90219282872
"LAUREL-JONES COUNTY LIBRARY SYSTEM, INC." 68290 "530 COMMERCE STREET
LAUREL, MS 39440
" 31.692615 -89.131943 1 1 12 56389 2385 3351 57 36 809986 2.25 6409.575 816395.575 89.4823738528187 0.000124889235263671 101.959019034395 112.087563846049 7.95948813544418e-05 64.9809089304163
"LONG BEACH PUBLIC LIBRARY" 15416 "209 JEFF DAVIS AVENUE
LONG BEACH, MS 39560
" 30.3493 -89.150649 1 0 6.65 89143 3821 9083 48 38 1328945 4.5 3078.66 1332023.66 14.2129320090213 0.00495031281199595 6593.93378997974 15.6542433544186 0.00408071099534568 5435.60359542259
"PEARL RIVER COUNTY LIBRARY SYSTEM" 55224 "900 GOODYEAR BLVD.
PICAYUNE, MS 39466
" 30.530749 -89.688555 1 1 12.6 108674 1405 1565 31 12 1452315 2.25 5617.62 1457932.62 46.346825479702 0.0004655432294051 678.730660169838 58.3102389799545 0.000294110383406086 428.793121848439
