"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ALHAMBRA CIVIC CENTER LIBRARY" 84697 "101 S. FIRST ST.
ALHAMBRA, CA 91801
" 34.092705 -118.126548 1 0 30.9 144185 5035 5142 140 87 2012441 2.25 10352.0475 2022793.0475 18.9070083928518 0.00279739868265999 5658.5586063703 27.9760647221843 0.001277693695679 2584.50992445407
"ALTADENA LIBRARY DISTRICT" 52908 "600 E. MARIPOSA ST.
ALTADENA, CA 91001
" 34.189651 -118.137351 1 1 27.2 118754 4891 4161 211 39 1665976 2.25 7651.29 1673627.29 23.359101602014 0.00183268459225401 3067.23094755884 30.1123441907863 0.00110283583213505 1845.73614505107
"ANAHEIM PUBLIC LIBRARY" 348305 "500 W. BROADWAY
ANAHEIM, CA 92805
" 33.831939 -117.918888 1 7 78.7399999999999 522659 10682 36817 523 227 7429068 2.25 35321.5875 7464389.5875 27.2230245853413 0.00134935818961768 10072.1352203901 31.1804839250873 0.00102857105238201 7677.6550534042
"ARCADIA PUBLIC LIBRARY" 57500 "20 W. DUARTE ROAD
ARCADIA, CA 91006
" 34.1293 -118.032463 1 0 27.5 183470 7045 5686 215 74 2556738 2.25 8006.25 2564744.25 24.7219256437444 0.00163619630768008 4196.42507199371 35.8084680676551 0.000779881317212892 2000.19612400419
"AZUSA CITY LIBRARY" 48385 "729 N. DALTON AVE.
AZUSA, CA 91702
" 34.134326 -117.904988 1 0 14.25 103350 3712 3267 71 16 1435920 3 6492.15 1442412.15 31.0960279982422 0.00103416577903449 1491.69328479356 40.5333863571402 0.000608659245510103 877.937490933605
"BEVERLY HILLS PUBLIC LIBRARY" 34677 "444 N. REXFORD DR.
BEVERLY HILLS, CA 90210
" 34.072882 -118.399741 1 1 60.75 211271 21314 13768 275 60 3208864 3 12233.43 3221097.43 10.6957465955173 0.00874133551558939 28156.6933640327 14.1480358407795 0.00499583052600497 16092.0568680302
"BUENA PARK LIBRARY DISTRICT" 82344 "7150 LA PALMA AVE.
BUENA PARK, CA 90620
" 33.846577 -118.008057 1 0 26.75 99252 6396 6578 113 21 1461352 2.25 9570.72 1470922.72 22.0035404473354 0.00206545086535021 3038.11860488728 26.0000994196379 0.0014792786277802 2175.90454281232
"BURBANK PUBLIC LIBRARY" 105543 "110 N. GLENOAKS BLVD.
BURBANK, CA 91502
" 34.183412 -118.306514 1 2 62.62 500922 31288 48343 428 123 7558288 2.25 16517.1525 7574805.1525 18.7817437579429 0.0028348375567212 21473.3421311523 31.1786198068774 0.00102869404918939 7792.1569841459
"CARLSBAD CITY LIBRARY" 110169 "1775 DOVE LANE
CARLSBAD, CA 92011
" 33.106424 -117.269812 1 2 104.58 268530 42439 25995 555 81 4391392 2.25 23123.4075 4414515.4075 85.2505245480642 0.000137596022600512 607.419761780679 98.4130140305964 0.000103251158748205 455.80383113618
"CERRITOS PUBLIC LIBRARY" 49741 "18025 BLOOMFIELD AVE.
CERRITOS, CA 90703
" 33.866993 -118.063843 1 0 54 232344 7395 12369 276 153 3287877 3 12576.69 3300453.69 18.5715798761929 0.00289936104060088 9569.20684509341 22.3551269464501 0.00200099369029743 6604.18700880887
"COLTON PUBLIC LIBRARY" 53057 "656 N. NINTH ST.
COLTON, CA 92324
" 34.071618 -117.321705 1 1 2 64255 5162 3703 147 12 953011 2.25 3881.3475 956892.3475 61.6691498187981 0.000262944491798496 251.609572019257 70.3791616439037 0.000201888611687961 193.185667571609
"CITY OF COMMERCE PUBLIC LIBRARY" 13003 "5655 JILLSON ST.
COMMERCE, CA 90040
" 34.000249 -118.156698 1 3 39.7 90353 9065 16551 186 54 1512445 4.5 7710.405 1520155.405 14.0498366007357 0.00506590980401723 7700.97016981929 21.2552972025799 0.00221342920662583 3364.75637203712
"CORONA PUBLIC LIBRARY" 159132 "650 SOUTH MAIN ST.
CORONA, CA 92882
" 33.874992 -117.567483 1 0 20.3999999999999 112478 4574 4986 60 45 1589299 2.25 13801.41 1603100.41 46.8170108749692 0.000456239241221451 731.397314660197 53.0347844457977 0.000355531744572305 569.953085491878
"COVINA PUBLIC LIBRARY" 48619 "234 N. SECOND AVE.
COVINA, CA 91723
" 34.087807 -117.887894 1 0 9.98 87648 4458 3812 109 36 1249971 3 5872.71 1255843.71 30.6002278908665 0.00106794940550484 1341.17754350149 37.9851367641393 0.000693062835718416 870.378602871735
"DOWNEY CITY LIBRARY" 113363 "11121 BROOKSHIRE AVE.
DOWNEY, CA 90241
" 33.938104 -118.12973 1 0 7 129414 6117 3821 173 18 1814635 2.25 8702.0025 1823337.0025 14.4903878368189 0.0047625547449117 8683.74229282945 17.9116905066673 0.00311692854981686 5683.21115902974
