"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM" 49279 "702 PORTER ST
HELENA, AR 72342
" 34.528105 -90.592508 1 5 9 44061 471 1200 6 21 595539 3 5785.11 601324.11 91.862264737025 0.000118502006429768 71.2581135495945 119.341469173699 7.02129531825698e-05 42.2207415829804
"CENTRAL ARKANSAS LIBRARY SYSTEM" 311250 "100 ROCK STREET
LITTLE ROCK, AR 72201
" 34.746915 -92.266848 1 13 245 885018 24998 83672 1190 333 12948399 2.25 57759.375 13006158.375 12.4526315779362 0.00644878237804343 83873.8849347419 17.0827792759765 0.00342675409995599 44568.9065362082
"MARION COUNTY LIBRARY" 16224 "308 OLD MAIN
YELLVILLE, AR 72687
" 36.225324 -92.686583 1 0 5 24228 734 1527 38 4 345031 4.5 2940.24 347971.24 96.8504250667207 0.00010660975314258 37.0971279971175 127.611940298507 6.14069286276119e-05 21.3678450991416
"SOUTHWEST ARKANSAS REGIONAL LIBRARY" 108759 "210 2ND ST.
PRESCOTT, AR 71857
" 34.326023 -93.549987 0 5 5 55449 516 965 26 35 742003 2.25 8091.2325 750094.2325 89.2045899000425 0.000125668258886376 94.2630361989875 103.478444579766 9.33899656952169e-05 70.0512746413551
"MID ARKANSAS REGIONAL LIBRARY SYSTEM" 66431 "202 EAST THIRD STREET
MALVERN, AR 72104
" 34.363812 -92.812016 1 4 11 158135 4537 7262 92 49 2212543 2.25 6134.0925 2218677.0925 52.9153240304362 0.000357138837131212 792.375756785108 62.3323847042887 0.000257378648000042 571.040110416314
"GARLAND COUNTY LIBRARY" 88068 "1427 MALVERN AVENUE
HOT SPRINGS, AR 71901
" 34.497702 -93.039889 1 0 40 134808 13305 15162 239 35 2127257 2.25 11944.59 2139201.59 57.9025420729123 0.000298266678807451 638.052553548919 70.7153242944313 0.000199973719851022 427.78409946352
"WHITE RIVER REGIONAL LIBRARY" 111788 "368 E. MAIN STREET
BATESVILLE, AR 72501
" 35.771548 -91.651515 0 16 27.37 171384 5973 9028 342 86 2431321 2.25 11651.19 2442972.19 66.6264425487663 0.000225271758724324 550.332641755913 81.1432015608883 0.000151878298058991 371.034458422647
"PINE BLUFF JEFFERSON COUNTY LIBRARY SYSTEM" 84278 "200 E. 8TH AVENUE
PINE BLUFF, AR 71601
