"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"MARICOPA COUNTY LIBRARY DISTRICT OFFICE" 4008651 "2700 NORTH CENTRAL AVENUE SUITE 700
PHOENIX, AZ 85004
" 33.478012 -112.073879 1 17 212 497342 51167 122233 1011 402 8750879 2.25 302383.9425 9053262.9425 17.0571159054695 0.00343707333767803 31116.7286786553 23.6792722482508 0.00178345969263779 16146.1295448002
"AVONDALE PUBLIC LIBRARY" 78090 "11350 NORTH CIVIC CENTER DRIVE
AVONDALE, AZ 85323
" 33.445574 -112.302116 1 1 16.8299999999999 82699 3873 5283 82 80 1198781 2.25 7795.57499999998 1206576.575 7.59624456614686 0.0173301420543765 20910.1434442331 10.3265935103831 0.00937747329140631 11314.639606099
"BUCKEYE PUBLIC LIBRARY" 58795 "310 NORTH 6TH STREET
BUCKEYE, AZ 85326
" 33.372702 -112.583529 1 0 9.75 33859 1008 666 34 21 463316 2.25 5431.1625 468747.1625 17.6132369739521 0.00322345523528287 1510.98549498462 24.3652677495122 0.00168444805830008 789.580247706796
"CHANDLER PUBLIC LIBRARY" 249423 "22 SOUTH DELAWARE STREET
CHANDLER, AZ 85225
" 33.302642 -111.837484 1 3 78.7399999999999 353685 28373 22283 437 258 5273724 2.25 28647.0525 5302371.0525 34.4328086034546 0.000843441766191332 4472.24120552239 47.5045670896144 0.000443128079432866 2349.62950093475
"GLENDALE PUBLIC LIBRARY" 232680 "5959 WEST BROWN STREET
GLENDALE, AZ 85302
" 33.578273 -112.188052 1 2 51.25 344730 26356 36155 609 153 5308935 2.25 23393.4 5332328.4 10.0985468761018 0.00980578187841754 52287.6491944912 12.2652764487305 0.00664730058229036 35445.5896782834
"CITY OF MESA MAIN LIBRARY" 455567 "64 EAST 1ST STREET
MESA, AZ 85201
" 33.417276 -111.829846 1 3 78.7 397962 18357 30937 301 139 5824496 2.25 42555.7725 5867051.7725 31.7546518269938 0.000991711363050046 5818.42191039116 40.0288316949806 0.000624099982737085 3661.62690993483
"PHOENIX PUBLIC LIBRARY" 1506439 "1221 NORTH CENTRAL AVENUE
PHOENIX, AZ 85004
" 33.463235 -112.073724 1 16 381.93 1496224 195818 277081 2576 945 25674612 2.25 158974.1325 25833586.1325 17.3715899344689 0.00331375855449709 85606.2670399093 23.4561994357936 0.00181754306094193 46953.655214371
"SCOTTSDALE PUBLIC LIBRARY" 225698 "3839 NORTH DRINKWATER BOULEVARD
SCOTTSDALE, AZ 85251
