"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"BOULDER COMMUNITY LIBRARY" 11406 "202 S MAIN
BOULDER, MT 59632
" 46.235231 -112.119689 1 1 4 31124 1067 5173 97 24 488073 4.5 2139.81 490212.81 98.408337309879 0.000103260972719672 50.6198516002438 126.28158126934 6.27075708075298e-05 30.7400544938332
"WEDSWORTH MEMORIAL LIBRARY" 1547 "13 FRONT STREET NORTH
CASCADE, MT 59421
" 47.270797 -111.699531 1 0 0.57 8374 256 1098 6 4 126722 14.25 746.8425 127468.8425 29.2392965557234 0.00116967756458176 149.097445255456 34.852175425951 0.000823266070891202 104.940773126024
"LIBERTY COUNTY LIBRARY" 2339 "110 EAST 1ST STREET
CHESTER, MT 59522
" 48.512557 -110.96449 1 0 1 23367 1479 1798 15 9 346972 14.25 1149.9225 348121.9225 70.4506241443245 0.00020147924277661 70.1393413392376 100.243578112767 9.95146179203015e-05 34.6432201072683
"CHOTEAU/TETON PUBLIC LIBRARY" 2828 "17 MAIN AVENUE NORTH
CHOTEAU, MT 59422
" 47.81158 -112.182952 1 0 1.7 18930 1473 3840 35 16 316334 10 1103.4 317437.4 51.3771389544982 0.00037884378592058 120.259186408786 61.9440267438826 0.000260616034590807 82.7292764188157
"CONRAD PUBLIC LIBRARY" 4261 "15 4TH AVENUE SW
CONRAD, MT 59425
" 48.169061 -111.947163 1 0 2.7 17301 228 1118 3 12 242990 10 1683.3 244673.3 58.195054268029 0.000295275793298221 72.2461027563935 69.6608547603365 0.000206073620768786 50.4207128364474
"GLACIER COUNTY LIBRARY" 13399 "21 1ST AVENUE SE
CUT BANK, MT 59427
" 48.634978 -112.331789 1 2 4.25 35872 651 1315 61 11 493182 4.5 2446.365 495628.365 94.637645831922 0.000111653449024043 55.3386163863973 116.416046329551 7.37860578872351e-05 36.5704632304457
"DENTON PUBLIC LIBRARY" 557 "515 BROADWAY
DENTON, MT 59430
" 47.319491 -109.950155 1 0 0.38 6030 128 346 1 2 84655 22.5 432.975 85087.975 58.9286467053733 0.000287969879523305 24.502773909632 91.0398051375098 0.000120652787765339 10.2661013890574
"DUTTON/TETON PUBLIC LIBRARY" 1426 "22 MAIN ST W
DUTTON, MT 59433
" 47.848147 -111.717163 1 0 0.62 6860 400 1004 8 5 107761 14.25 702.615 108463.615 34.5540247959951 0.000837534525441282 90.8420223166709 44.4001888973119 0.000507259704552378 55.0192212995828
"FAIRFIELD/TETON PUBLIC LIBRARY" 1818 "14 NORTH 4TH ST
FAIRFIELD, MT 59436
" 47.614877 -111.981708 1 0 0.75 5069 149 991 0 8 81077 14.25 889.695 81966.695 38.2405164175327 0.000683836854592345 56.0518468901301 44.6481166192352 0.000501641793919538 41.1179199214556
"CHOUTEAU COUNTY LIBRARY" 5813 "1518 MAIN
FORT BENTON, MT 59442
" 47.818206 -110.668351 1 3 4.3 33623 830 1194 51 15 464749 7 1865.73 466614.73 32.2140611446188 0.000963627183287216 449.642637950225 47.2864652590503 0.000447225231963614 208.681880861889
"GREAT FALLS PUBLIC LIBRARY" 78322 "301 2ND AVE NORTH
GREAT FALLS, MT 59401
" 47.507525 -111.30205 1 0 22.37 142014 3583 5397 260 40 1968102 2.25 8642.235 1976744.235 5.75136238140318 0.0302314191779284 59759.7835758384 8.52399120136205 0.0137630286676957 27205.9875750072
"HARLOWTON PUBLIC LIBRARY" 2168 "13 SOUTH CENTRAL AVE
HARLOWTON, MT 59036
" 46.433498 -109.830569 1 0 1.28 13378 754 734 10 17 194153 14.25 1118.82 195271.82 97.6588316080368 0.000104852056258785 20.4746518563954 129.906048442219 5.92572175737853e-05 11.571264723769
"LEWIS AND CLARK LIBRARY" 63395 "120 SOUTH LAST CHANCE GULCH
HELENA, MT 59601
" 46.58501 -112.041393 1 3 31.09 115155 7415 11050 225 50 1742235 2.25 8942.6625 1751177.6625 75.4678992884174 0.000175580175010678 307.472080456539 99.4811537648974 0.000101045824746949 176.949191185746
"LEWISTOWN PUBLIC LIBRARY" 10025 "701 WEST MAIN
