"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"CLIO - ELTON B. STEPHENS LIBRARY" 3859 "17 SCHOOL STREET
CLIO, AL 36017
" 31.70876 -85.61209 1 0 1 20083 239 644 0 18 273368 10 1307.7 274675.7 63.9270554826263 0.000244698100401428 67.2126220164326 79.5618079461146 0.000157975854525313 43.3921284248387
"FLORALA PUBLIC LIBRARY" 6445 "1214 FOURTH STREET
FLORALA, AL 36442
" 31.020628 -86.326526 1 0 3 16945 201 1409 31 10 242068 7 1803.45 243871.45 93.9977769046335 0.000113178734900343 27.6010621893122 120.076553121155 6.93559260084943e-05 16.9139302417842
"CHEAHA REGIONAL LIBRARY" 100328 "935 COLEMAN STREET
HEFLIN, AL 36264
" 33.643758 -85.58892 1 0 3 20650 2690 590 2 6 311386 2.25 7222.14 318608.14 98.3146805746532 0.000103457803792497 32.9624984348125 114.781836032162 7.59020778866931e-05 24.1830198576144
"ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY" 6015 "736 COLLEGE STREET
ROANOKE, AL 36274
" 33.149541 -85.370689 1 0 4 19886 375 227 0 18 267154 7 1863.15 269017.15 78.5389763748497 0.00016211736142343 43.6123505356512 108.743335777399 8.45657875382094e-05 22.7496471510346
"ASHLAND CITY PUBLIC LIBRARY" 1952 "11 2ND AVENUE NORTH
ASHLAND, AL 36251
" 33.274741 -85.837242 1 0 2 24119 341 1697 0 15 340716 14.25 1134.48 341850.48 69.0666324104911 0.000209634828783821 71.6637668444671 81.6726111325139 0.000149915700695394 51.2487542422569
"SYLACAUGA - B. B. COMER MEMORIAL LIBRARY" 12761 "314 NORTH BROADWAY AVENUE
SYLACAUGA, AL 35150
" 33.171811 -86.250731 1 0 13.2 100884 1269 95 101 50 1332787 4.5 3702.735 1336489.735 55.2149529125644 0.000328009625034128 438.381496839311 68.2478531571949 0.000214695039861092 286.937716929765
"CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY" 5124 "124 NINTH AVENUE SW
CHILDERSBURG, AL 35044
" 33.277559 -86.355669 1 0 5 59707 1758 2981 36 19 839121 7 1826.04 840947.04 62.1468575068294 0.000258917648244925 217.736029895331 81.2531845352753 0.000151467416395393 127.376075474153
"LINCOLN PUBLIC LIBRARY" 6337 "49 COMPLEX DRIVE
LINCOLN, AL 35096
" 33.604489 -86.123587 1 0 2 14447 155 67 4 15 191424 7 1630.77 193054.77 85.8867290977589 0.000135565092004919 26.1714876570384 127.242223520201 6.17642967168381e-05 11.9238920968809
"LINEVILLE PUBLIC LIBRARY" 2308 "60119 HIGHWAY 49
LINEVILLE, AL 36266
" 33.314594 -85.754458 1 0 1 15415 678 0 2 3 209370 14.25 1136.67 210506.67 73.7279088101951 0.00018396540808206 38.7259454505456 87.6595374501348 0.000130137257616641 27.3947607438112
"HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY" 3457 "541 ROSS STREET
HEFLIN, AL 36264
" 33.643722 -85.587874 1 0 0.55 17526 301 1075 25 7 246366 10 1119.6 247485.6 98.3401762431639 0.000103404165817811 25.5910420199203 114.721562876707 7.59818546855656e-05 18.80441489597
"OXFORD PUBLIC LIBRARY" 21275 "110 EAST 6TH STREET
OXFORD, AL 36203
" 33.60972 -85.835517 1 0 8 55199 3320 2608 32 53 797452 4.5 4072.125 801524.125 90.4470359329215 0.000122239431633287 97.977853480368 108.085302049287 8.55986112794825e-05 68.6093520070024
"TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY" 15591 "202 SOUTH STREET EAST
TALLADEGA, AL 35160
" 33.433119 -86.099763 1 0 8 150437 1819 121 144 27 1983988 4.5 3304.785 1987292.785 74.4862734275351 0.000180238475826872 358.186622590139 89.215454782706 0.000125637652356342 249.678800052096
"ABBEVILLE MEMORIAL LIBRARY" 7645 "301 KIRKLAND STREET
ABBEVILLE, AL 36310
" 31.567293 -85.250467 1 0 2.65 26348 844 489 40 19 361228 7 2002.95 363230.95 86.0933110948199 0.000134915292211267 49.0054097594261 103.914648240894 9.26075631279875e-05 33.6379331321639
"HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY" 9642 "17 PARK STREET
HEADLAND, AL 36345
" 31.352359 -85.341934 1 0 3 15276 489 522 30 16 212841 7 2474.82 215315.82 92.949922021583 0.000115744920367268 24.9217124397131 112.221158984428 7.94054846328738e-05 17.0972570362246
"BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY" 8496 "164 SOUTH MAIN STREET
BRUNDIDGE, AL 36010
" 31.718949 -85.815511 1 0 4 12109 147 528 24 19 167359 7 2384.16 169743.16 55.8059161591735 0.000321099415797211 54.5044295115726 66.9479413921235 0.000223113344025999 37.8719640531401
"OZARK - DALE COUNTY PUBLIC LIBRARY" 37931 "416 JAMES STREET
OZARK, AL 36360
" 31.452208 -85.632765 1 0 7 62515 2472 2289 0 42 876478 3 4463.79 880941.79 77.1195235369229 0.000168140108971286 148.12164856796 89.5994631339555 0.0001245630360786 109.732783970916
"LOUISVILLE PUBLIC LIBRARY" 2810 "1951 MAIN STREET
LOUISVILLE, AL 36048
" 31.782949 -85.555864 1 0 0.6 4071 0 15 0 2 53208 10 933 54141 62.7393423180733 0.000254050513136857 13.7545488317426 77.2627288205103 0.000167517396371269 9.06955935693685
"MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY" 2403 "1318 HINTON WATERS AVENUE
MIDLAND CITY, AL 36350
" 31.336223 -85.523526 1 0 2 8581 130 771 0 18 124076 14.25 1327.2825 125403.2825 87.3755992965035 0.000130984427108546 16.4258771157936 100.292666558962 9.94172265028811e-05 12.4672465405073
"NEWTON PUBLIC LIBRARY" 2162 "209 OATES DRIVE
NEWTON, AL 36352
" 31.331947 -85.596851 1 0 1 12955 260 50 0 8 172805 14.25 1074.255 173879.255 85.2713622863756 0.000137528782216224 23.9134021928143 98.3247791019921 0.000103436553446094 17.9854708529745
"CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY" 5283 "45 NORTH MIDWAY STREET
CLAYTON, AL 36016
" 31.88458 -85.458798 1 0 2 16209 152 164 5 16 215610 7 1409.43 217019.43 63.0316104280815 0.000251699987177969 54.62378774837 74.8474529931525 0.000178503175983513 38.7386575051318
"TROY PUBLIC LIBRARY" 24686 "500 EAST WALNUT STREET
TROY, AL 36081
" 31.808533 -85.967735 1 0 12 77367 3470 2765 89 16 1088703 4.5 5132.61 1093835.61 45.7529938710518 0.000477706295553602 522.532157197714 55.3680390719177 0.000326198315946275 356.807333904067
"UNION SPRINGS PUBLIC LIBRARY" 10474 "103 NORTH PRAIRIE STREET
UNION SPRINGS, AL 36089
" 32.140621 -85.716112 1 0 5 13112 0 46 14 24 172316 4.5 2163.99 174479.99 41.2567383896154 0.000587503174427917 102.507547999151 47.6182783004213 0.000441014249664916 76.948161871392
"ANDALUSIA PUBLIC LIBRARY" 18322 "212 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
" 31.306848 -86.482913 1 0 8 49917 1211 1660 0 32 687684 4.5 3673.47 691357.47 74.5115059366821 0.000180116424906288 124.524835828657 93.1617930331689 0.000115219058699156 79.6575569180302
"BRANTLEY PUBLIC LIBRARY" 3526 "10 MLK DRIVE
BRANTLEY, AL 36009
" 31.579297 -86.292382 1 0 2 6385 0 0 0 4 83185 10 1357.8 84542.8 55.4818334990644 0.000324861608715648 27.4647100133253 65.8375483117303 0.000230702712023827 19.504253242088
"ELBA PUBLIC LIBRARY" 9806 "406 SIMMONS STREET
ELBA, AL 36323
" 31.414525 -86.066332 1 0 2 19381 577 573 21 8 267536 7 2359.26 269895.26 68.9570016474122 0.000210301931323535 56.7594944330676 85.036723128736 0.000138288786993453 37.3234881206827
"GENEVA - EMMA KNOX KENAN LIBRARY" 8456 "312 SOUTH COMMERCE STREET
GENEVA, AL 36340
" 31.036254 -85.865089 1 0 2.5 17272 263 693 48 3 237723 7 2150.76 239873.76 97.3962604941807 0.000105418160782974 25.2870505992966 114.297165297575 7.65471597389225e-05 18.361655023896
"ENTERPRISE PUBLIC LIBRARY" 41446 "101 EAST GRUBBS STREET
ENTERPRISE, AL 36330
" 31.314037 -85.852791 1 0 5.6 54307 3613 3589 9 28 800994 3 4570.14 805564.14 79.533465005078 0.000158088468709591 127.350401339959 90.8776268532442 0.00012108380081993 97.5407678754379
"HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY" 6613 "101 EAST FULTON STREET
HARTFORD, AL 36344
" 31.098268 -85.696746 1 0 2 22683 1170 583 39 10 318625 7 1688.73 320313.73 96.8739425290824 0.000106557997500883 34.1319896408386 109.510109734425 8.3385698620608e-05 26.7095841538228
"LUVERNE PUBLIC LIBRARY" 10557 "148 EAST THIRD STREET
LUVERNE, AL 36049
" 31.716331 -86.261409 1 0 4 15601 1634 1418 25 14 243444 4.5 2025.195 245469.195 46.2316550858295 0.000467865602721531 114.846592868244 54.2669665825742 0.000339569681982621 83.3538964826799
"OPP PUBLIC LIBRARY" 13188 "1604 NORTH MAIN STREET
OPP, AL 36467
" 31.307106 -86.254976 1 0 4 27587 1081 994 24 9 386323 4.5 2380.38 388703.38 74.4261411304905 0.000180529839364563 70.1725587518628 84.2102973889918 0.000141016391706694 54.8135480917958
"SAMSON PUBLIC LIBRARY" 5906 "200 NORTH JOHNSON STREET
SAMSON, AL 36477
" 31.116736 -86.045997 1 0 0.2 8055 178 202 20 7 110230 7 1270.26 111500.26 89.288756849713 0.000125431451270264 13.9856394288118 101.808816036388 9.64782075320491e-05 10.7573452241574
"SLOCOMB PUBLIC LIBRARY" 5956 "134 SOUTH DALTON AVENUE
SLOCOMB, AL 36375
" 31.107025 -85.593672 1 0 1 8843 116 0 0 10 116917 7 1400.76 118317.76 98.9400145119102 0.000102154160833394 12.0866514844869 115.73564318292 7.46561760041083e-05 8.83315151497184
"HORSESHOE BEND REGIONAL LIBRARY" 147615 "207 NORTH WEST STREET
DADEVILLE, AL 36853
" 32.833347 -85.765396 1 0 3.6 48017 1283 572 9 4 648633 2.25 10504.0125 659137.0125 46.8816399083896 0.000454982204268552 299.895610862238 65.4659674152137 0.000233329053866399 153.79581549495
"ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY" 14728 "318 CHURCH STREET
ALEXANDER CITY, AL 35010
" 32.941472 -85.953922 1 1 10.8 30465 1296 1074 48 30 428829 4.5 3608.28 432437.28 45.5990976554706 0.00048093623888562 207.974758997128 56.0043247542471 0.000318828304330903 137.873244711868
"DADEVILLE PUBLIC LIBRARY" 3194 "205 NORTH WEST STREET
DADEVILLE, AL 36853
" 32.833341 -85.765396 1 0 2.5 10347 375 780 10 10 150106 10 1333.2 151439.2 46.8813626374818 0.000454987586095988 68.9029560483076 65.4659674152137 0.000233329053866399 35.3351652542844
"GOODWATER PUBLIC LIBRARY" 1396 "36 WEOGUFKA STREET
GOODWATER, AL 35072
" 33.063838 -86.05249 1 0 1 17175 451 1842 32 12 254040 14.25 746.79 254786.79 50.6825714431345 0.00038929848850158 99.1881122371695 61.6911280400661 0.000262757170769479 66.9470560898375
"AUBURN PUBLIC LIBRARY" 56908 "749 EAST THACH AVENUE
AUBURN, AL 36830
