"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"MOHAVE COUNTY LIBRARY DISTRICT" 204000 "3269 NORTH BURBANK STREET
KINGMAN, AZ 86409
" 35.224368 -114.029158 0 10 79.3499999999999 178748 14667 17170 553 219 2754649 2.25 25672.5 2780321.5 90.7755781930972 0.000121356195341788 337.409239066974 116.118408788696 7.41648031211034e-05 206.201996660871
"AVA ICH ASIIT TRIBAL LIBRARY" 1028 "1605 PLANTATION ROAD
MOHAVE VALLEY, AZ 86440
" 34.851592 -114.587333 1 0 2.5 6221 256 150 2 3 86312 14.25 814.47 87126.47 99.6143942973643 0.000100775695203624 8.78023058488773 122.764611579902 6.63519379430573e-05 5.78101013063764
"AMARGOSA VALLEY LIBRARY DISTRICT" 1342 "829 EAST FARM ROAD
AMARGOSA VALLEY, NV 89020
" 36.568854 -116.463791 1 0 2 15731 240 1477 29 5 227426 14.25 873.705 228299.705 81.8606966825422 0.000149227590648407 34.0686149228921 98.8144208184722 0.000102414002903055 23.3810866506366
"BOULDER CITY LIBRARY DISTRICT" 15635 "701 ADAMS BOULEVARD
BOULDER CITY, NV 89005
" 35.969093 -114.828817 1 0 16.61 83834 4614 2110 210 14 1180614 4.5 4602.225 1185216.225 22.5559568174921 0.00196552010742642 2329.56632188553 36.523668087539 0.000749637364479279 888.482367247081
"PAHRUMP COMMUNITY LIBRARY" 37030 "701 EAST STREET
PAHRUMP, NV 89048
" 36.209605 -115.991797 1 0 9.27999999999999 47660 4720 4057 44 24 735333 3 4724.7 740057.7 52.5549679775407 0.000362053248401659 267.940294289661 71.3690084133869 0.00019632729115382 145.293523538527
"LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT" 1515619 "7060 W WINDMILL LN
LAS VEGAS, NV 89113
" 36.041194 -115.246131 0 25 494.55 2279973 270777 421848 4093 485 38718808 2.25 176486.7825 38895294.7825 17.6317190687376 0.00321670093297304 125114.531015129 22.0599748965414 0.00205489659358391 79925.8087550013
"HENDERSON DISTRICT PUBLIC LIBRARIES" 274270 "280 S. GREEN VALLEY PKWY.
HENDERSON, NV 89012
" 36.018957 -115.082968 1 3 75.5 360011 31127 21848 142 147 5377279 2.25 29838.225 5407117.225 15.4927960752782 0.00416620265185103 22527.1461216644 24.802092783377 0.00162563613506084 8790.00514746987
"NORTH LAS VEGAS LIBRARY DISTRICT" 226199 "2250 LAS VEGAS BLVD. N
NORTH LAS VEGAS, NV 89030
" 36.2004978 -115.1214764 1 2 19 180684 3168 18310 162 60 2632912 2.25 18118.4325 2651030.4325 4.85433923881825 0.0424365191501049 112500.503716297 5.06853741285247 0.0389255436594049 103192.80084269
