"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ORANGE COUNTY LIBRARY DISTRICT" 1182511 "101 EAST CENTRAL BLVD.
ORLANDO, FL 32801
" 28.542187 -81.376276 1 14 293 1252212 88435 357976 1064 527 22119646 2.25 123769.4925 22243415.4925 51.2543028306108 0.000380661836831751 8467.21939878687 66.5614475499273 0.000225711914000951 5020.60388473059
"BREVARD COUNTY LIBRARY SYSTEM" 552427 "308 FORREST AVENUE
COCOA, FL 32922
" 28.359562 -80.730352 1 16 206.28 1184819 38965 114567 1260 363 17431278 2.25 68230.8225 17499508.8225 11.17971066179 0.0080009005505567 140011.829772412 17.1498875315347 0.00339998849453896 59498.1286565831
"FLAGLER BEACH PUBLIC LIBRARY" 4462 "315 SOUTH SEVENTH STREET
FLAGLER BEACH, FL 32136
" 29.476321 -81.127883 1 0 2.59 24411 601 1268 17 15 342536 10 1727.1 344263.1 91.1804003334386 0.000120280994614451 41.4083080770541 107.301751028372 8.68533115039252e-05 29.900390263607
"FLAGLER COUNTY PUBLIC LIBRARY" 99121 "2500 PALM COAST PARKWAY NW
PALM COAST, FL 32137
" 29.553327 -81.238988 1 1 16.35 139915 4380 7710 40 44 1978565 2.25 9143.1675 1987708.1675 98.6017474483375 0.000102856271342683 204.448250626446 110.973442529236 8.12010944543913e-05 161.404078656933
"INDIAN RIVER COUNTY LIBRARY" 140955 "1600 21ST STREET
VERO BEACH, FL 32960
" 27.639795 -80.401892 1 3 41.5 429343 32416 31343 1600 128 6436886 2.25 15739.4625 6452625.4625 43.34262872792 0.000532315980953951 3434.83565279913 57.61554426038 0.000301245565423838 1943.82480591907
"LAKE COUNTY LIBRARY SYSTEM" 309736 "2401 WOODLEA RD.
TAVARES, FL 32778
" 28.789553 -81.753016 0 15 108.73 495963 32419 52639 910 446 7585173 2.25 37216.68 7622389.68 79.3448230669913 0.000158841071461493 1210.74854386823 107.739197434973 8.61494537006625e-05 656.664706825568
"MARTIN COUNTY LIBRARY SYSTEM" 148585 "2351 SE MONTEREY ROAD
STUART, FL 34996
" 27.194389 -80.22412 1 6 45.5 258940 28119 33609 1765 230 4201979 2.25 16854.4875 4218833.4875 76.0080047364936 0.000173093729625232 730.2536230192 94.8742962953757 0.000111097136356103 468.70031922448
"MAITLAND PUBLIC LIBRARY" 16411 "501 SOUTH MAITLAND AVENUE
MAITLAND, FL 32751
" 28.623642 -81.365553 1 0 15.5 64232 0 0 51 11 836174 4.5 4540.485 840714.485 53.22086330393 0.000353049962692346 296.814217564165 75.6552375507972 0.000174711704799977 146.882660924385
"WINTER PARK PUBLIC LIBRARY" 29073 "460 E. NEW ENGLAND AVENUE
WINTER PARK, FL 32789
" 28.595989 -81.346325 1 0 31 101489 14407 13859 223 23 1690749 3 7266.57 1698015.57 51.2687383838539 0.000380447503857165 646.005785117101 70.0622615482123 0.000203719075342563 345.918161837674
"ST. LUCIE COUNTY LIBRARY SYSTEM" 282821 "101 MELODY LANE
FORT PIERCE, FL 34950
" 27.448419 -80.321761 1 5 46 238360 8037 19485 341 124 3466479 2.25 25990.4175 3492469.4175 57.4427921405908 0.000303060207826267 1058.42850749443 70.8762598332236 0.000199066608208387 695.234041213246
"ALTAMONTE SPRINGS CITY LIBRARY" 42719 "281 NORTH MAITLAND AVENUE
ALTAMONTE SPRINGS, FL 32701
" 28.629157 -81.365712 1 0 7.5 33047 434 2382 19 16 467186 3 4969.71 472155.71 53.4196846922523 0.000350426837613897 165.456032316644 75.2737146904942 0.000176487236484797 83.3294564484174
"SEMINOLE COUNTY PUBLIC LIBRARY SYSTEM" 437086 "215 N. OXFORD ROAD
CASSELBERRY, FL 32707
" 28.660438 -81.336681 1 4 70 555024 22326 4920 544 94 7580812 2.25 40003.305 7620815.305 53.0532834319455 0.000355283849258777 2707.5525960506 71.3702511588602 0.000196320454055052 1496.12192094729
"VOLUSIA COUNTY PUBLIC LIBRARY" 503851 "1290 INDIAN LAKE RD.
DAYTONA BEACH, FL 32124
" 29.144195 -81.14557 0 13 180 666099 65237 117233 1279 373 11064809 2.25 61009.9425 11125818.9425 70.5873299180565 0.000200699592821954 2232.94733157053 86.9598717486672 0.000132239810697311 1471.27619080876
"OSCEOLA LIBRARY SYSTEM" 295553 "211 E. DAKIN AVENUE
KISSIMMEE, FL 34741
" 28.292309 -81.404182 1 5 60.75 203818 9334 19183 218 218 3032999 2.25 29062.3275 3062061.3275 48.6742208863543 0.000422087006190384 1292.45629849583 64.1231809313135 0.000243203535370803 744.704140370216
"EUSTIS MEMORIAL LIBRARY" 19098 "120 NORTH CENTER STREET
EUSTIS, FL 32726
" 28.854093 -81.6815 1 0 11.5 116733 1836 3897 139 55 1596340 4.5 4303.23 1600643.23 77.8862054142439 0.000164846187959459 263.859934748616 105.096499186002 9.05364581467589e-05 144.916568800788
"SUMTER COUNTY LIBRARY SYSTEM" 111125 "7375 POWELL ROAD, SUITE 150
WILDWOOD, FL 34785
" 28.863718 -82.020518 0 6 37.5 135662 21860 12831 158 71 2219838 2.25 13125.9375 2232963.9375 96.101854748095 0.000108277061457279 241.778773492575 117.407135844508 7.25455893043334e-05 161.991684741262
"HEARTLAND LIBRARY COOPERATIVE" 214636 "319 W. CENTER AVE.
SEBRING, FL 33870
" 27.494898 -81.443815 0 7 39.26 471729 19461 50193 356 114 7047737 2.25 20376.93 7068113.93 72.5809276813463 0.000189825682698562 1341.70955215347 134.377446655151 5.53792705093536e-05 391.426993320401
"BRUTON MEMORIAL LIBRARY" 35956 "302 MCLENDON STREET
PLANT CITY, FL 33563
" 28.0184363 -82.1260158 1 0 12 88430 2708 10480 140 46 1324924 3 5036.04 1329960.04 93.885829526776 0.000113448799433315 150.882369832284 119.540308449426 6.99795677791774e-05 93.0700287627775
"POLK COUNTY LIBRARY COOPERATIVE" 623174 "2150 S. BROADWAY AVE.
BARTOW, FL 33830
" 27.873513 -81.843178 0 17 143.63 636375 35306 57283 712 298 9499198 2.25 63608.745 9562806.745 79.5639707414607 0.00015796726609525 1510.61043770486 123.185280922614 6.58995370273296e-05 630.184537177324
