"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"GIDDINGS PUBLIC LIBRARY" 5009 "276 N ORANGE ST
GIDDINGS, TX 78942
" 30.183048 -96.92977 1 0 4.95 31460 1445 648 46 22 437777 7 1794.39 439571.39 92.6770237695211 0.000116427572665571 51.178229950931 107.811898045161 8.60333068510805e-05 37.817780278826
"HONDO PUBLIC LIBRARY" 9002 "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 1 0 4.18 23590 521 716 15 18 323756 7 2517.42 326273.42 53.322071940637 0.000351711012662634 114.753954953101 60.4813153218089 0.000273374212573477 89.1947392761553
"DRISCOLL PUBLIC LIBRARY" 4543 "202 E HONDO AVE
DEVINE, TX 78016
" 29.13969 -98.904766 1 0 2.08 18482 428 1567 25 10 266976 10 1674.9 268650.9 46.4362903237488 0.000463751112480555 124.587153743902 53.3373929685461 0.000351508985528794 94.4332053203974
"FLORENCE PUBLIC LIBRARY" 1194 "207 E MAIN ST
FLORENCE, TX 76527
" 30.841553 -97.793173 1 0 0.6 13690 819 448 0 6 194711 14.25 600.435 195311.435 95.1245137241878 0.000110513440777882 21.5845387051157 114.071606994172 7.6850178485801e-05 15.0097186400679
"SAM FORE JR WILSON COUNTY PUBLIC LIBRARY" 45418 "1 LIBRARY LN
FLORESVILLE, TX 78114
" 29.130587 -98.157763 1 0 6.32 42132 1971 2153 54 15 602705 3 5035.62 607740.62 28.7605074131741 0.00120894602651294 734.72560769951 35.9625685063442 0.000773212017942359 469.91235117574
"PIONEER MEMORIAL LIBRARY" 24886 "115 W MAIN ST
FREDERICKSBURG, TX 78624
" 30.275635 -98.87312 1 0 5.43 37336 1058 838 61 4 510989 4.5 4174.11 515163.11 62.505530575986 0.000255954699534516 131.858419031317 78.4961537027601 0.000162294292188218 83.6080322989312
"LIVE OAK COUNTY LIBRARY" 10824 "402 HOUSTON ST
GEORGE WEST, TX 78022
" 28.334276 -98.114991 1 1 3.29 29157 643 1704 25 14 410507 4.5 1954.74 412461.74 83.4810048859878 0.000143491000478754 59.1845477318078 97.3436315508221 0.000105532180490338 43.5279867910389
"GEORGETOWN PUBLIC LIBRARY" 54898 "402 W 8TH ST
GEORGETOWN, TX 78626
" 30.636525 -97.680036 1 0 20.5 90529 9556 6162 131 35 1384489 2.25 6780.615 1391269.615 84.401516167137 0.000140378146385539 195.303849676222 95.8647644375955 0.000108813299923045 151.388637890814
"FRIENCH SIMPSON MEMORIAL LIBRARY" 2593 "705 E 4TH ST
HALLETTSVILLE, TX 77964
" 29.444616 -96.937903 1 0 2.88 29059 788 2238 37 19 418441 10 1209.9 419650.9 81.0522892551616 0.000152219197743494 63.8789233303351 94.2578945406191 0.000112554932224934 47.2337786076327
"AUSTIN PUBLIC LIBRARY" 885400 "800 GUADALUPE ST
AUSTIN, TX 78701
