"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"RANGEVIEW LIBRARY DISTRICT" 359495 "5877 EAST 120TH AVENUE
THORNTON, CO 80602
" 39.914076 -104.919411 0 7 112.5 303465 34578 53424 816 312 5113719 2.25 41140.9125 5154859.9125 80.1904405834033 0.000155508739384431 801.625766696212 109.815825120857 8.29220713217685e-05 427.45166131805
"ARAPAHOE LIBRARY DISTRICT" 253896 "12855 E. ADAM AIRCRAFT CIRCLE
ENGLEWOOD, CO 80112
" 39.577378 -104.839443 0 8 233.68 424638 52654 74932 1963 235 7215006 2.25 52189.98 7267195.98 56.6679981103128 0.000311404051409934 2263.03427056199 81.3911292828116 0.00015095442613181 1097.01539874829
"AURORA PUBLIC LIBRARY" 344637 "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
" 39.709076 -104.81416 1 3 61.6 209135 17173 11608 156 252 3106276 2.25 32502.9975 3138778.9975 65.0400537269549 0.000236394962330321 741.991542877214 91.4685523257982 0.000119524349534314 375.160518008155
"BOULDER PUBLIC LIBRARY" 102760 "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
" 40.013593 -105.281293 1 4 76.88 226712 18722 19530 407 60 3452523 2.25 18468.3 3470991.3 93.5627934254894 0.000114233541365401 396.503628247496 120.991213789504 6.83112657905459e-05 237.107809250972
"BROOMFIELD/EISENHOWER PUBLIC LIBRARY" 59450 "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
" 39.917283 -105.06854 1 0 28.84 139238 10096 11061 226 37 2089738 2.25 8338.875 2098076.875 82.9157992219277 0.000145453915811286 305.173497141855 109.038487827308 8.41085914649604e-05 176.466290741456
"NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA)" 9000 "131 LINDERMAN AVENUE
BUENA VISTA, CO 81211
" 38.841104 -106.133358 1 0 4.5 24565 2363 3171 100 12 393127 7 2565 395692 87.3725374488768 0.000130993607599262 51.8331225781673 116.150098798265 7.41243388817589e-05 29.3304079008009
"WEST CUSTER COUNTY LIBRARY DISTRICT" 3943 "209 MAIN STREET
WESTCLIFFE, CO 81252
" 38.136067 -105.468499 1 0 3.2 8920 511 1584 26 9 143938 10 1662.9 145600.9 69.1025017026765 0.00020941725340911 30.4913405718945 91.9575726695416 0.000118256494764576 17.2182520685676
"DACONO PUBLIC LIBRARY" 4411 "512 CHERRY STREET
DACONO, CO 80514
" 40.085316 -104.937268 1 0 0.7 13957 47 421 11 9 188073 10 1428.3 189501.3 91.8728613542941 0.000118474671959679 22.4511043534327 120.026843302223 6.94133862293136e-05 13.153926927857
"DENVER PUBLIC LIBRARY" 648937 "10 W 14TH AVENUE PARKWAY
DENVER, CO 80204
" 39.737901 -104.988633 1 24 673.3 1340106 126905 217622 5155 961 22010489 2.25 144798.2475 22155287.2475 69.8134579435678 0.000205173704868254 4545.68236698995 94.1367268569724 0.000112844867894806 2500.11046261562
