"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"AUBURN PUBLIC LIBRARY" 4771 "338 WEST JEFFERSON STREET
AUBURN, IL 62615
" 39.591834 -89.745744 1 0 1.53 34851 661 2595 46 7 496304 10 1660.8 497964.8 72.8097833786401 0.000188634238020673 93.9332106091168 86.3521692122236 0.000134107632760227 66.78088052592
"BLUFFS PUBLIC LIBRARY" 715 "110 NORTH BLUFF STREET
BLUFFS, IL 62621
" 39.750481 -90.535223 1 0 0.63 9004 239 115 5 1 121764 22.5 577.125 122341.125 91.1632899037068 0.000120326149909901 14.720836546896 111.663787639654 8.0200170193046e-05 9.81177904660871
"ALBION PUBLIC LIBRARY" 1988 "6 NORTH FOURTH STREET
ALBION, IL 62806
" 38.377131 -88.056268 1 0 1.23 14268 210 343 77 4 193854 14.25 1034.37 194888.37 98.1086060590479 0.000103892880973253 20.2475142274813 119.79196440777 6.9685853970523e-05 13.5809624923733
"ALTAMONT PUBLIC LIBRARY" 2319 "121 WEST WASHINGTON AVENUE
ALTAMONT, IL 62411
" 39.060372 -88.749383 1 0 1.21 21353 546 1702 10 5 307168 14.25 1172.8725 308340.8725 69.5394471571268 0.000206793808961863 63.7629834828992 83.0880982266022 0.000144851288467794 44.6635726689088
"STINSON MEMORIAL PUBLIC LIBRARY DISTRICT" 14068 "409 SOUTH MAIN STREET
ANNA, IL 62906
" 37.457846 -89.252195 1 2 5.58 27201 1181 3677 6 16 417565 4.5 2736.18 420301.18 81.9247352597769 0.000148994386657298 62.6225165254386 105.801135869363 8.93345264217132e-05 37.5474068697872
"PRAIRIE SKIES PUBLIC LIBRARY DISTRICT" 7500 "125 WEST EDITOR STREET
ASHLAND, IL 62612
" 39.888703 -90.007488 1 1 6.63 45521 903 577 69 14 612540 7 2569.5 615109.5 93.4646720967175 0.000114473517181196 70.4137479165668 121.111760100414 6.81753488000672e-05 41.935304712735
"ASHLEY PUBLIC LIBRARY DISTRICT" 1907 "70 NORTH SECOND STREET
ASHLEY, IL 62808
" 38.327168 -89.188644 1 0 0.4 10872 39 873 19 4 153619 14.25 875.2425 154494.2425 39.0721544906933 0.000655036169108099 101.199316756458 50.9426224414978 0.000385334065071569 59.5318944926777
"ASSUMPTION PUBLIC LIBRARY DISTRICT" 1858 "205 NORTH OAK STREET
ASSUMPTION, IL 62510
" 39.520318 -89.04857 1 0 1.61 12126 412 979 17 3 176077 14.25 1035.795 177112.795 80.3217050913518 0.000155000879186497 27.4526389401778 102.266767743299 9.56160812275612e-05 16.9348313931604
"CARLINVILLE PUBLIC LIBRARY" 5917 "510 NORTH BROAD STREET
CARLINVILLE, IL 62626
" 39.284464 -89.881668 1 0 5.53 33858 455 1636 79 10 468814 7 2072.07 470886.07 51.3301766861101 0.000379537315668972 178.718834993712 62.9195819404228 0.000252597090145316 118.944451071964
"BELLEVILLE PUBLIC LIBRARY" 44478 "121 EAST WASHINGTON STREET
BELLEVILLE, IL 62220
