"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"EAST CENTRAL GEORGIA REGIONAL LIBRARY SYSTEM" 234310 "823 TELFAIR STREET
AUGUSTA, GA 30901
" 33.472678 -81.968658 1 8 58.5 348983 5767 26134 265 293 4968122 2.25 24590.925 4992712.925 92.9709987805261 0.000115692446987528 577.619175399507 108.4686890278 8.49945771377573e-05 424.35352383059
"SANDHILL REGIONAL LIBRARY SYSTEM" 229647 "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
" 34.938556 -79.7706 0 15 50 329170 7210 17995 313 125 4616569 2.25 23001.1725 4639570.1725 77.7226730273971 0.000165540606967255 768.037262422821 91.1522736028434 0.000120355235946202 558.396562800197
"CABARRUS COUNTY PUBLIC LIBRARY" 186457 "27 UNION ST N
CONCORD, NC 28025
" 35.411094 -80.58198 1 3 34.4 206978 7003 5549 395 52 2861365 2.25 17745.8475 2879110.8475 99.6242070173127 0.000100755843904366 290.087243134078 113.103508270471 7.81713923818033e-05 225.064103770629
"CHARLOTTE MECKLENBURG LIBRARY" 991867 "310 N TRYON ST
CHARLOTTE, NC 28202
" 35.229 -80.840496 1 19 385.25 960911 62137 33515 2177 919 13804975 2.25 124738.5225 13929713.5225 89.3576200040761 0.000125238199097268 1744.53223549876 124.084407272547 6.49479696403975e-05 904.706610958764
"ROBESON COUNTY PUBLIC LIBRARY" 134010 "101 N CHESTNUT ST
LUMBERTON, NC 28358
" 34.617196 -79.007799 1 6 15.83 150918 377 7140 58 55 2062884 2.25 11420.175 2074304.175 94.6317666294835 0.000111667322877281 231.631994055417 104.65532454298 9.13013801107994e-05 189.386833947093
"SCOTLAND COUNTY MEMORIAL LIBRARY" 36223 "312 W CHURCH ST
LAURINBURG, NC 28352
" 34.775241 -79.465908 1 0 6.25 42976 1531 1742 50 13 602472 3 4197.57 606669.57 79.712877873047 0.000157377637853932 95.4762238844607 108.203362869251 8.5411919688404e-05 51.8168125902386
"STANLY COUNTY PUBLIC LIBRARY" 60612 "133 E MAIN ST
ALBEMARLE, NC 28001
" 35.350314 -80.197215 1 4 16.47 100909 3011 5783 250 36 1431009 2.25 6561.81 1437570.81 96.4629467299841 0.000107467946624005 154.492783077308 112.890998794537 7.8465973835183e-05 112.800393563683
"UNION COUNTY PUBLIC LIBRARY" 211539 "316 E WINDSOR ST
MONROE, NC 28112
" 34.981428 -80.545991 1 3 45.1 200631 10856 10526 276 109 2894662 2.25 21043.8825 2915705.8825 69.8335051740503 0.00020505592260447 597.882759779319 80.2130065741236 0.000155421254441422 453.162665840384
"GASTON COUNTY PUBLIC LIBRARY" 208510 "1555 EAST GARRISON BOULEVARD
GASTONIA, NC 28054
" 35.252829 -81.157729 1 9 51.95 470241 13838 20637 299 69 6568300 2.25 21866.925 6590166.925 96.7628840544297 0.000106802739274445 703.847879865845 136.048939316739 5.40268540468683e-05 356.045986601474
"ABBE REGIONAL LIBRARY SYSTEM" 225692 "314 CHESTERFIELD STREET SW
AIKEN, SC 29801
" 33.573389 -81.713585 0 14 54.5 261980 13001 26919 187 169 3934736 2.25 23409.21 3958145.21 76.724252775047 0.000169877032155578 672.397961115616 90.9242298084929 0.000120959710314106 478.776097982766
"ALLENDALE HAMPTON JASPER REGIONAL LIBRARY" 56286 "297 MAIN STREET NORTH
ALLENDALE, SC 29810
" 33.009419 -81.307225 1 4 19.5 91376 2945 3034 451 83 1275213 2.25 6724.305 1281937.305 82.3866510651531 0.000147328341800533 188.865697437894 94.2436029676762 0.000112589071602896 144.332131023068
"BERKELEY COUNTY LIBRARY SYSTEM" 177843 "100 LIBRARY ST.
MONCKS CORNER, SC 29461
" 33.194792 -80.009137 1 5 57 230195 9629 18660 370 128 3370862 2.25 20554.4025 3391416.4025 60.060423080879 0.000277219148800335 940.165568328545 79.4636310537239 0.000158366452318669 537.086583999268
"CALHOUN COUNTY LIBRARY SYSTEM" 15175 "900 F.R. HUFF DRIVE
ST. MATTHEWS, SC 29135
" 33.663446 -80.778288 1 0 11.06 37777 1283 2230 101 33 539568 4.5 3707.625 543275.625 27.8662097532637 0.00128778747377443 699.623544681976 36.3503050940137 0.000756804802571407 411.153602119983
"CHAPIN MEMORIAL LIBRARY" 27109 "400 14TH AVE. N.
MYRTLE BEACH, SC 29577
" 33.697153 -78.87746 1 0 11 123644 4749 8054 112 49 1777472 3 4089.81 1781561.81 93.4412802907675 0.000114530838259437 204.0437675103 106.987957796364 8.73635361972719e-05 155.643539675612
"CHARLESTON COUNTY PUBLIC LIBRARY SYSTEM" 350209 "68 CALHOUN STREET
CHARLESTON, SC 29401
" 32.788162 -79.930928 1 15 221 925340 37329 150581 1205 337 14503080 2.25 56789.1075 14559869.1075 87.7149952604652 0.000129972751061887 1892.38624300276 108.005144966259 8.5725714133652e-05 1248.15517693294
"CHESTER COUNTY LIBRARY" 33140 "100 CENTER STREET
CHESTER, SC 29706
" 34.705135 -81.214524 1 2 10.68 83559 4530 2379 92 37 1178945 3 4584.6 1183529.6 66.111609202065 0.000228793953765058 270.784416581977 77.2602433295637 0.000167528174739325 198.274553637963
"CHESTERFIELD COUNTY LIBRARY SYSTEM" 46734 "119 W. MAIN STREET
CHESTERFIELD, SC 29709
" 34.736026 -80.088672 1 4 10.39 72804 0 2220 127 57 979528 3 5764.56 985292.56 57.024663744353 0.000307520826967745 302.997982856367 66.6024581505462 0.00022543403442901 222.118476893687
"CLARENDON COUNTY LIBRARY SYSTEM" 34971 "215 N. BROOKS ST.
MANNING, SC 29102
" 33.699525 -80.210583 1 0 11.5 46291 1029 4678 52 27 677865 3 4872.39 682737.39 24.1041875774186 0.00172113526584724 1175.0833992415 30.0769259447972 0.00110543473532525 754.721626011305
"COLLETON COUNTY MEMORIAL LIBRARY" 38892 "600 HAMPTON STREET
WALTERBORO, SC 29488
" 32.901621 -80.656694 1 1 9 123951 925 3822 124 25 1675811 3 4850.28 1680661.28 74.955993342933 0.000177986585690586 299.13516292957 85.9849379248636 0.000135255593950934 227.318839656737
"DARLINGTON COUNTY LIBRARY SYSTEM" 68681 "204 N. MAIN STREET
DARLINGTON, SC 29532
" 34.305655 -79.873202 1 3 26.75 232111 5198 11177 320 61 3237223 2.25 8648.4675 3245871.4675 41.1247329738641 0.000591280855838335 1919.22165924463 47.5604906359129 0.000442086596306344 1434.95626911495
"DILLON COUNTY LIBRARY SYSTEM" 32062 "600 EAST MAIN STREET
DILLON, SC 29536
" 34.414437 -79.366906 1 2 7 143179 1111 179 199 50 1882934 3 3935.58 1886869.58 70.04750714002 0.000203804904833844 384.553275185775 79.105098984677 0.000159805250190071 301.531665307934
"DORCHESTER COUNTY LIBRARY SYSTEM" 136555 "506 N. PARLER AVENUE
ST. GEORGE, SC 29477
" 33.188299 -80.571704 1 1 39 186710 9929 19389 249 96 2815921 2.25 15067.4625 2830988.4625 54.6603091059605 0.000334700093262558 947.532102423977 65.8288490934172 0.00023076369033021 653.289344888749
"FAIRFIELD COUNTY LIBRARY" 23956 "300 W. WASHINGTON STREET
WINNSBORO, SC 29180
" 34.379224 -81.090208 1 1 8 80013 1816 2766 151 28 1102958 4.5 4434.06 1107392.06 45.2664730738567 0.000488030185028797 540.440751941221 63.8690394820237 0.000245142849624837 271.469245240318
"FLORENCE COUNTY LIBRARY SYSTEM" 136885 "509 SOUTH DARGAN STREET
FLORENCE, SC 29506
" 34.188838 -79.765337 1 5 48 336479 15019 9603 82 202 4704469 2.25 16439.7375 4720908.7375 42.9824610481191 0.000541274345365055 2555.30678641848 54.3303466017125 0.00033877788215457 1599.33946393525
"GEORGETOWN COUNTY LIBRARY" 60158 "405 CLELAND STREET
GEORGETOWN, SC 29440
" 33.373314 -79.285044 1 3 31 172882 8617 13012 147 99 2535009 2.25 8710.665 2543719.665 79.8300113391458 0.0001569161406354 399.150672690172 94.6661364285981 0.000111586252985042 283.844146061715
"HORRY COUNTY MEMORIAL LIBRARY" 269291 "1008 5TH AVENUE
CONWAY, SC 29526
" 33.837094 -79.048436 1 9 56 339362 28803 15388 659 188 5003216 2.25 26577.1425 5029793.1425 82.1161684740161 0.000148300510448029 745.920890480744 92.9673033665975 0.000115701644629315 581.9553387325
"KERSHAW COUNTY LIBRARY SYSTEM" 61697 "1304 BROAD STREET
CAMDEN, SC 29020
" 34.249947 -80.607458 0 3 15.01 107673 2460 3142 191 32 1476498 2.25 6416.0475 1482914.0475 20.6728085341387 0.00233992013924486 3469.90044451437 23.6519318478382 0.00178758524861603 2650.8352762765
"LANCASTER COUNTY LIBRARY SYSTEM" 76652 "313 S. WHITE ST.
LANCASTER, SC 29720
" 34.717813 -80.768207 1 2 20 168868 4691 5775 221 64 2337095 2.25 8174.01 2345269.01 54.2197409361342 0.0003401614731404 797.770161352128 60.2507860365119 0.000275470162844933 646.051636099876
"LAURENS COUNTY LIBRARY SYSTEM" 66537 "1017 WEST MAIN STREET
LAURENS, SC 29360
" 34.49354 -82.035171 1 1 15.3 123483 3914 3362 118 40 1703201 2.25 6786.2475 1709987.2475 96.4978113139754 0.000107390304481911 183.636051169209 112.780394447413 7.86199533182892e-05 134.43911757332
"LEE COUNTY PUBLIC LIBRARY SYSTEM" 19220 "200 NORTH MAIN STREET
BISHOPVILLE, SC 29010
" 34.218938 -80.247429 1 0 4 24952 370 667 93 15 339741 4.5 3194.7 342935.7 21.1854018708317 0.00222805848561951 764.080796406866 23.9464625250103 0.00174388268961618 598.039630881407
"LEXINGTON COUNTY PUBLIC LIBRARY SYSTEM" 262391 "5440 AUGUSTA ROAD
LEXINGTON, SC 29072
" 33.974548 -81.220203 1 9 105.5 587468 21837 49099 1364 91 8581079 2.25 33536.3925 8614615.3925 43.0785058593879 0.000538863461399529 4642.10146902821 49.052406576609 0.000415603657976445 3580.26566918319
"MARION COUNTY LIBRARY SYSTEM" 33062 "101 EAST COURT STREET
MARION, SC 29571
" 34.172949 -79.391056 1 2 14.82 88960 1482 1080 186 30 1193554 3 5198.58 1198752.58 63.2935545156408 0.000249620947893195 299.233755309013 77.653572271863 0.000165835353756621 198.795558170962
"MARLBORO COUNTY LIBRARY SYSTEM" 28819 "203 FAYETTEVILLE AVENUE
BENNETTSVILLE, SC 29512
" 34.614608 -79.68129 1 0 6 47184 737 801 35 22 634831 3 3493.71 638324.71 63.1828754423174 0.000250496248777486 159.897945356977 69.4029850746269 0.000207607815932478 132.521198898832
"ORANGEBURG COUNTY LIBRARY COMMISSION" 92501 "510 LOUIS ST
ORANGEBURG, SC 29115
" 33.495709 -80.862346 1 5 23.43 174574 3060 7547 144 47 2411340 2.25 9758.3175 2421098.3175 40.0671668638137 0.000622906310476401 1508.11742025455 49.5109796562566 0.00040794062854077 987.66436939995
"RICHLAND COUNTY PUBLIC LIBRARY" 384504 "1431 ASSEMBLY STREET
COLUMBIA, SC 29201
" 34.00436 -81.036955 1 10 283.57 976101 64646 117138 1408 444 15090789 2.25 68489.52 15159278.52 32.6290998444123 0.000939268622278087 14238.6346502102 36.8461605378602 0.000736572533309809 11165.9081826254
"SUMTER COUNTY PUBLIC LIBRARY SYSTEM" 107457 "111 N. HARVIN STREET
SUMTER, SC 29150
" 33.922331 -80.339846 1 2 25.05 194750 22969 5807 178 71 2911347 2.25 11010.8475 2922357.8475 8.23660711992406 0.0147401973485532 43076.1313952431 13.254501845477 0.00569210863545509 16634.3783396447
"UNION COUNTY LIBRARY SYSTEM" 28961 "300 EAST SOUTH STREET
UNION, SC 29379
" 34.713495 -81.620919 1 0 7.25 40696 1606 1747 25 27 574177 3 3693.99 577870.99 83.3308325674811 0.000144008643035839 83.218417119677 111.505337591808 8.04282624076337e-05 46.4771596214791
"WILLIAMSBURG COUNTY LIBRARY SYSTEM" 34423 "215 NORTH JACKSON STREET
KINGSTREE, SC 29556
" 33.665023 -79.832274 1 2 9.34 74221 1685 5054 31 46 1054953 3 4499.07 1059452.07 42.3839234987321 0.000556669831925761 589.7650057403 50.6170231274933 0.000390307413217255 413.511996869367
"YORK COUNTY LIBRARY SYSTEM" 226073 "138 EAST BLACK STREET
ROCK HILL, SC 29730
" 34.924926 -81.028099 1 4 114.99 291220 7223 11925 391 115 4045042 2.25 32508.4275 4077550.4275 73.1040725124751 0.000187118555856564 762.985347426117 99.2773435072763 0.000101461132291057 413.712883348032
"NEWBERRY COUNTY LIBRARY SYSTEM" 37508 "1100 FRIEND STREET
NEWBERRY, SC 29108
" 34.273501 -81.619928 1 1 9.83 67586 1295 4645 139 41 959490 3 4850.22 964340.22 69.0748272467703 0.000209585090803602 202.111332574266 82.149825394261 0.000148179017408971 142.894986247551
"SALUDA COUNTY LIBRARY SYSTEM" 19875 "101 S MAIN STREET
SALUDA, SC 29138
" 34.001547 -81.772103 1 0 3.5 19675 584 582 22 10 271669 4.5 3208.125 274877.125 74.7503045044061 0.000178967457236443 49.194060113714 87.7937539612512 0.000129739661735212 35.6624652162475
"GREENWOOD COUNTY LIBRARY SYSTEM" 69661 "600 SOUTH MAIN ST.
GREENWOOD, SC 29646
" 34.187014 -82.159505 1 2 26 99094 5115 5294 269 112 1432076 2.25 8602.1175 1440678.1175 97.9547831532789 0.000104219432720039 150.146656138024 119.269389936247 7.02978437882441e-05 101.276565253157
