"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"APACHE PUBLIC LIBRARY" 1445 "111 E. EVANS
APACHE, OK 73006
" 34.893499 -98.365706 1 0 1 16962 75 1112 0 6 236207 14.25 767.7375 236974.7375 64.2485130264989 0.000242255607496203 57.4084589943159 70.4947369729206 0.000201227166129182 47.6857548713317
"CARNEGIE PUBLIC LIBRARY" 1716 "6 E MAIN
CARNEGIE, OK 73015
" 35.105764 -98.600265 1 0 1 11206 496 425 0 6 157921 14.25 883.59 158804.59 78.6053659073843 0.000161843630728742 25.7015114219893 91.7338784843476 0.000118833937777209 18.8713747667951
"SOUTHERN PRAIRIE LIBRARY SYSTEM" 29143 "421 N. HUDSON
ALTUS, OK 73521
" 34.641377 -99.335261 1 1 8.25 69264 2216 1805 65 26 954720 3 3860.37 958580.37 66.214560253658 0.000228083044665825 218.635929346493 84.0978289236582 0.000141393821243319 135.537341483134
"ANADARKO COMMUNITY LIBRARY" 6804 "215 W BROADWAY
ANADARKO, OK 73005
" 35.074877 -98.253552 1 0 4.05 21070 513 583 66 22 290006 7 2036.34 292042.34 77.6421221244737 0.000165884269968725 48.445230370858 88.0273901102315 0.000129051883781792 37.6886141210427
"ARDMORE PUBLIC LIBRARY" 24950 "320 E STREET NW
ARDMORE, OK 73401
" 34.178052 -97.133342 1 0 14 64199 6343 6114 143 24 999467 4.5 5468.25 1004935.25 79.9768028625764 0.000156340653245451 157.112233454381 92.8728547106267 0.000115937093868029 116.509272410541
"CHICKASAW REGIONAL LIBRARY SYSTEM" 96833 "601 RAILWAY EXPRESS
ARDMORE, OK 73401
" 34.170281 -97.163544 1 7 18 162726 3667 7378 190 52 2263833 2.25 9236.2275 2273069.2275 78.1820714959847 0.000163600886841671 371.876141471512 90.9938235549977 0.000120774756655657 274.529382812776
"CHICKASHA PUBLIC LIBRARY" 16374 "527 IOWA AVENUE
CHICKASHA, OK 73018
" 35.047601 -97.93921 1 0 6.5 47516 1826 625 83 12 651190 4.5 3185.49 654375.49 81.1322194623294 0.000151919417489375 99.4123432601241 94.263486895249 0.000112541577564598 73.644449964207
"DUNCAN PUBLIC LIBRARY" 23507 "2211 N. HIGHWAY 81
DUNCAN, OK 73533
" 34.53319 -97.966972 1 0 9.61999999999999 50588 1548 2809 48 14 715539 4.5 4616.445 720155.445 49.5950858019566 0.000406558184264156 292.785090107145 75.9510109734425 0.000173353606731281 124.841543797921
"FREDERICK PUBLIC LIBRARY" 3797 "200 EAST GRAND
FREDERICK, OK 73542
" 34.389643 -99.015705 1 0 1.88 13157 157 581 56 4 181543 10 1421.1 182964.1 41.0177641591167 0.000594368839085073 108.748159711245 60.7391850075186 0.000271057906277431 49.5938658699346
"GRANDFIELD PUBLIC LIBRARY" 998 "101 W 2ND
GRANDFIELD, OK 73546
" 34.230739 -98.683459 1 0 1 10790 35 318 2 5 145110 22.5 823.65 145933.65 20.5576615326199 0.00236620614095917 345.309098802585 27.8368772291747 0.00129050286161008 188.327792930204
"HOBART PUBLIC LIBRARY" 3756 "200 S MAIN
HOBART, OK 73651
" 35.027088 -99.093134 1 0 2 32796 391 776 42 5 442290 10 1426.8 443716.8 80.2712295134342 0.000155195873553522 68.8630163863732 109.738153528776 8.30394957255789e-05 36.8460193169676
"LAWTON PUBLIC LIBRARY" 98177 "110 S W 4TH ST
LAWTON, OK 73501
" 34.607384 -98.393615 1 1 16.25 130876 3042 3974 127 35 1795822 2.25 9064.4475 1804886.4475 44.424240524671 0.000506710584588013 914.555066927706 50.6095666546535 0.000390422432223007 704.668156719292
"LINDSAY COMMUNITY LIBRARY" 2807 "112 W CHOCTAW
LINDSAY, OK 73052
" 34.835793 -97.603851 1 0 2 12528 747 0 3 4 172794 10 1142.1 173936.1 78.9051011211912 0.000160616381865326 27.9369870577655 109.978003405123 8.26776907507049e-05 14.3806350861837
"MADILL CITY-COUNTY LIBRARY" 15988 "500 WEST OVERTON ST
MADILL, OK 73446
" 34.09215 -96.775185 1 0 3 20449 504 541 6 7 279815 4.5 2608.38 282423.38 99.6148218136585 0.000100774830208666 28.4611681664577 115.800265947531 7.45728749462485e-05 21.0611233986368
"MANGUM- MARGARET CARDER LIBRARY" 2945 "201 W. LINCOLN ST.
MANGUM, OK 73554
" 34.872277 -99.507238 1 0 2 15051 275 0 1 5 199476 10 1183.5 200659.5 84.4766011699321 0.000140128713782329 28.1181576432052 107.774615680962 8.60928399767048e-05 17.2753462233056
"MARLOW - GARLAND SMITH PUBLIC LIBRARY" 4642 "407 W SEMINOLE
MARLOW, OK 73055
" 34.646467 -97.959442 1 0 2.13 14503 588 30 26 4 197091 10 1712.1 198803.1 56.1680161825562 0.000316972678452118 63.0151510915842 75.6713932419501 0.0001746371115643 34.7183991540287
"MAYSVILLE PUBLIC LIBRARY" 1208 "506 WILLIAMS
MAYSVILLE, OK 73057
" 34.81772 -97.40841 1 0 1 12046 29 87 4 2 158248 14.25 666.42 158914.42 85.7503124060611 0.000135996765103122 21.6118470482389 120.722780767271 6.86153904308299e-05 10.9039749733889
"MT VIEW - ADDIE DAVIS MEMORIAL LIBRARY" 787 "301 N. 4TH
MTN. VIEW, OK 73062
" 35.101864 -98.747732 1 0 0.38 4651 87 0 0 4 61774 22.5 588.225 62362.225 79.3512353076439 0.000158815401135908 9.90408177910272 100.180198093628 9.96405756180817e-05 6.21380799582433
"PAULS VALLEY-NORA SPARKS WARREN MEM LIBRARY" 6027 "210 N WILLOW ST.
PAULS VALLEY, OK 73075
" 34.740626 -97.221435 1 0 3 36222 205 580 46 3 481824 7 1715.67 483539.67 90.6349721513724 0.000121733017874529 58.8627432911539 122.768961189059 6.63472364308589e-05 32.0815208091895
"RUSH SPRINGS-GLOVER SPENCER MEMORIAL LIBRARY" 1246 "100 S 6TH ST
RUSH SPRINGS, OK 73082
" 34.782615 -97.960565 1 0 0.75 12965 283 1570 0 3 192769 14.25 645.165 193414.165 64.1614621653084 0.000242913412492122 46.9828948444643 83.5665552338226 0.00014319735617552 27.6963970748957
"WALTERS PUBLIC LIBRARY" 2574 "202 NORTH BROADWAY
WALTERS, OK 73572
" 34.359126 -98.309189 1 0 1.25 10696 34 67 17 9 140987 10 959.7 141946.7 29.069290353049 0.00118339884322197 167.979560579176 37.751500615159 0.000701667822955406 99.5994319647041
"WAURIKA PUBLIC LIBRARY" 2064 "203 S. MERIDIAN
WAURIKA, OK 73573
" 34.163046 -97.999755 1 0 1.62 9903 90 649 7 11 138932 14.25 1125.36 140057.36 31.9208667839072 0.000981410383378818 137.453747372625 42.948662184498 0.000542126602704383 75.9288207605447
"WYNNEWOOD PUBLIC LIBRARY" 2193 "108 N. DEAN A MCGEE
WYNNEWOOD, OK 73098
" 34.642914 -97.170408 1 0 1 11797 455 802 0 4 169882 14.25 1087.5075 170969.5075 89.3574565891723 0.000125238657163282 21.4119915351676 121.695229100128 6.75231811782656e-05 11.5444050308813
"RINGLING - GLEASON MEMORIAL LIBRARY" 1027 "5TH AND MAIN ST.
RINGLING, OK 73456
" 34.176893 -97.592643 1 0 0.96 8937 44 155 1 8 119141 14.25 583.0425 119724.0425 54.2643814885948 0.000339602036187186 40.6585286135612 66.535349894988 0.000225889014050895 27.0443459185125
"ELGIN COMMUNITY LIBRARY" 2751 "8171 SH 17
ELGIN, OK 73538
" 34.776292 -98.298 1 0 0.75 9905 135 0 0 3 130655 10 937.8 131592.8 56.897713860544 0.000308894635622809 40.6483100065852 65.6629425727317 0.000231931276365597 30.5204860645228
"DECATUR PUBLIC LIBRARY" 10893 "1700 S FM 51
DECATUR, TX 76234
" 33.221629 -97.594971 1 0 8.89 48947 1626 2470 45 14 690774 4.5 2804.055 693578.055 73.8562983338043 0.000183326364367085 127.151143227944 80.34535896703 0.000154909627323815 107.441918020027
"DENTON PUBLIC LIBRARY" 123099 "502 OAKLAND ST
DENTON, TX 76201
" 33.218228 -97.131342 1 2 50.5 186053 26189 34060 353 125 3212140 2.25 15884.1825 3228024.1825 94.8682067065045 0.000111111399461143 358.670284411986 107.046366833609 8.72682237073107e-05 281.703936491019
"ELECTRA PUBLIC LIBRARY" 2765 "401 N WAGGONER ST
ELECTRA, TX 76360
" 34.032988 -98.917717 1 0 2 15707 1078 3699 45 16 267597 10 1129.5 268726.5 23.9358193297067 0.00174543388870468 469.044339892998 26.9675767706016 0.00137504259784663 369.510384670233
"COOKE COUNTY LIBRARY" 35408 "200 S WEAVER ST
GAINESVILLE, TX 76240
" 33.623261 -97.147932 1 0 7.68 44708 1558 3215 33 16 644402 3 4338.72 648740.72 81.7551207859927 0.000149613254791819 97.0602106351882 89.2291249829123 0.000125599159088617 81.4812888985437
"ARCHER PUBLIC LIBRARY" 8681 "105 N CENTER
ARCHER CITY, TX 76351
" 33.595712 -98.625658 1 0 1.2 26121 628 2756 4 6 383887 7 2003.01 385890.01 26.9116386916057 0.0013807648195058 532.823350006743 30.3652428946028 0.0010845422645857 418.514025326398
"LIBRARY OF GRAHAM" 8846 "910 CHERRY ST
GRAHAM, TX 76450
" 33.099344 -98.587927 1 0 3 57035 2141 2315 96 20 801531 7 2307.66 803838.66 60.5465313826817 0.000272785614442508 219.275622780742 66.0171250326221 0.000229449325418274 184.440238282129
"HASKELL COUNTY LIBRARY" 5875 "300 N AVE E
HASKELL, TX 79521
" 33.158718 -99.733902 1 0 1.82 10404 354 486 9 13 146874 7 1506.75 148380.75 90.3712627136371 0.0001224445047531 18.1684074486435 102.642076876235 9.49181222211464e-05 14.0840221637654
"EDWARDS PUBLIC LIBRARY" 10473 "210 W GILBERT ST
HENRIETTA, TX 76365
" 33.815657 -98.196518 1 0 2 30175 1559 2157 55 6 441568 4.5 1713.855 443281.855 20.8447113559395 0.00230148542362063 1020.20672783802 24.8654728025153 0.00161735947456107 716.946108085256
"TOM BURNETT MEMORIAL LIBRARY" 6398 "400 W ALAMEDA ST
IOWA PARK, TX 76367
" 33.955353 -98.672508 1 0 2.5 16388 244 2032 10 3 242897 7 1718.58 244615.58 9.57369345831284 0.010910407327051 2668.85561634283 11.8943169249506 0.00706839787668319 1729.04024627563
"GLADYS JOHNSON RITCHIE PUBLIC LIBRARY" 8957 "626 W COLLEGE ST
JACKSBORO, TX 76458
" 33.220207 -98.167809 1 0 2.5 24094 488 2115 39 14 348198 7 2255.97 350453.97 55.5532118994187 0.00032402733813509 113.556667037975 62.6517702909267 0.000254761211870359 89.2820781019784
"AZLE MEMORIAL LIBRARY" 15813 "333 W MAIN ST
AZLE, TX 76020
" 32.895983 -97.546812 1 0 7.5 47886 1964 7902 83 44 753835 4.5 3259.755 757094.755 92.7975713071592 0.000116125281539485 87.9178415764423 104.877775982701 9.09144805254788e-05 68.8308763593897
"BOYCE DITTO PUBLIC LIBRARY" 30040 "2300 SE MARTIN LUTHER KING JR ST
MINERAL WELLS, TX 76067
" 32.803821 -98.08991 1 0 6 36675 595 4186 48 10 540002 3 3603.6 543605.6 84.3197272206475 0.0001406506081088 76.4584582113489 94.9929784880759 0.000110819705007605 60.2422122324821
"MUENSTER PUBLIC LIBRARY" 3059 "418 N ELM ST
MUENSTER, TX 76252
" 33.652211 -97.377619 1 0 0.6 18273 471 1194 23 7 259808 10 1007.7 260815.7 68.5674790085304 0.000212698112288857 55.475007045297 75.245752917345 0.000176618428287589 46.0648590067273
"MUNDAY CITY-COUNTY LIBRARY" 3767 "131 S MUNDAY AVE
MUNDAY, TX 76371
" 33.445576 -99.627065 1 0 0.5 8388 0 0 5 4 109289 10 1205.1 110494.1 74.034945357005 0.000182442695304453 20.1588414192397 82.4126660618639 0.000147235342955238 16.2686367080304
"NOCONA PUBLIC LIBRARY" 2988 "10 COOKE ST
NOCONA, TX 76255
" 33.787369 -97.725245 1 0 1.45 19128 755 2121 14 6 286504 10 1113.9 287617.9 46.6681684593755 0.000459154120666272 132.06094396238 52.3568667901127 0.000364798212770268 104.922495880738
"OLNEY COMMUNITY LIBRARY AND ARTS CENTER" 9495 "807 W HAMILTON ST
OLNEY, TX 76374
" 33.36963 -98.762731 1 0 4 35588 1841 3484 53 16 533278 7 2593.95 535871.95 44.1962771283776 0.000511951268921045 274.340324781695 49.0319012762996 0.000415951344261289 222.896657954418
"PILOT POINT COMMUNITY LIBRARY" 5156 "324 S WASHINGTON ST
PILOT POINT, TX 76258
" 33.393786 -96.961334 1 0 2.39 16024 590 782 24 4 226640 7 1441.26 228081.26 97.5375164454028 0.000105113044138089 23.9743155494509 124.920774976077 6.40812036166411e-05 14.6157216632001
"THOMPSON SAWYER PUBLIC LIBRARY" 4016 "403 W 3RD ST
QUANAH, TX 79252
" 34.298353 -99.742868 1 0 1.4 28123 532 910 15 12 385080 10 1414.8 386494.8 74.2816148597883 0.000181233019735634 70.0456197161198 79.3772602433296 0.000158711278543851 61.34108385855
"BAYLOR COUNTY FREE LIBRARY" 3614 "101 S WASHINGTON ST
SEYMOUR, TX 76380
" 33.587956 -99.261581 1 0 1.25 22836 415 2869 10 6 339960 10 1271.7 341231.7 50.8799578643971 0.000386283816880976 131.812283516784 58.3096176072179 0.000294116651776727 100.361925084081
"CARNEGIE CITY-COUNTY LIBRARY" 13131 "2810 WILBARGER ST
VERNON, TX 76384
