"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"CHANDLER PUBLIC LIBRARY" 3126 "1021 S MANVEL
CHANDLER, OK 74834
" 35.700036 -96.880779 1 0 2 12543 205 172 7 4 168231 10 1237.8 169468.8 34.5650578099753 0.000836999936122169 141.845374774701 50.5368660444654 0.00039154653695553 66.3549217620094
"TRYON PUBLIC LIBRARY" 488 "25 S MAIN ST
TRYON, OK 74875
" 35.869459 -96.963879 1 0 0.43 4990 0 355 0 7 69800 22.5 393.9 70193.9 39.2958212364891 0.000647600627808264 45.4576137083105 57.6167870058533 0.000301232570338732 21.1446889190999
"APACHE PUBLIC LIBRARY" 1445 "111 E. EVANS
APACHE, OK 73006
" 34.893499 -98.365706 1 0 1 16962 75 1112 0 6 236207 14.25 767.7375 236974.7375 66.1440309632363 0.000228569713276386 54.1652478041218 80.7188039817565 0.000153479566337758 36.370779944504
"FAIRVIEW CITY LIBRARY" 2635 "115 S. 6TH
FAIRVIEW, OK 73737
" 36.268852 -98.478545 1 0 3 26714 456 833 41 10 365022 10 1240.5 366262.5 84.9184036896193 0.000138674419554065 50.7912395919209 113.078031988268 7.82066201048199e-05 28.6441521961416
"CARNEGIE PUBLIC LIBRARY" 1716 "6 E MAIN
CARNEGIE, OK 73015
" 35.105764 -98.600265 1 0 1 11206 496 425 0 6 157921 14.25 883.59 158804.59 71.8174329428102 0.00019388322939447 30.7895467518648 89.7038537537127 0.000124273290523435 19.735168949525
"ADA PUBLIC LIBRARY" 17140 "124 S. RENNIE
ADA, OK 74820
" 34.774238 -96.677013 1 0 7.28 62845 3578 4295 180 15 922349 4.5 3405.9 925754.9 59.9717951655411 0.000278039117914339 257.396075800877 77.7312438639442 0.000165504103157658 153.216234468307
"ANADARKO COMMUNITY LIBRARY" 6804 "215 W BROADWAY
ANADARKO, OK 73005
" 35.074877 -98.253552 1 0 4.05 21070 513 583 66 22 290006 7 2036.34 292042.34 54.3682627447596 0.000338305523064094 98.7995365905621 65.1018429915369 0.000235946442335103 68.9063511342186
"ARDMORE PUBLIC LIBRARY" 24950 "320 E STREET NW
ARDMORE, OK 73401
" 34.178052 -97.133342 1 0 14 64199 6343 6114 143 24 999467 4.5 5468.25 1004935.25 86.9444122911495 0.000132286841608987 132.939710244037 99.7359165869238 0.000100530266418896 101.02640841624
"CHICKASAW REGIONAL LIBRARY SYSTEM" 96833 "601 RAILWAY EXPRESS
ARDMORE, OK 73401
" 34.170281 -97.163544 1 7 18 162726 3667 7378 190 52 2263833 2.25 9236.2275 2273069.2275 87.2080279366574 0.000131488287291209 298.881979618326 98.8566741645644 0.000102326473971888 232.595159144079
"BLACKWELL PUBLIC LIBRARY" 6944 "123 WEST PADON
BLACKWELL, OK 74631
" 36.802301 -97.2833 1 0 4 34988 473 519 26 4 468258 7 2058.24 470316.24 95.9662439928524 0.000108583292235619 51.0684857310775 105.415263399903 8.99897413323349e-05 42.3236367819963
"BRISTOW - MONTFORT & ALLIE JONES MEM LIBRARY" 4253 "111 W. 7TH AVE
BRISTOW, OK 74010
" 35.833832 -96.391825 1 0 4.25 36271 1336 1252 30 12 506097 10 1913.4 508010.4 62.9513861580292 0.000252341921071653 128.192320260379 80.1974722557073 0.000155481470730523 78.9862041384013
"CHICKASHA PUBLIC LIBRARY" 16374 "527 IOWA AVENUE
CHICKASHA, OK 73018
" 35.047601 -97.93921 1 0 6.5 47516 1826 625 83 12 651190 4.5 3185.49 654375.49 40.3336573005466 0.000614702234911052 402.246076174015 46.7626480420545 0.000457300638530626 299.246329415791
"CLEVELAND - JAY C BYERS MEMORIAL LIBRARY" 3251 "215 E. WICHITA
CLEVELAND, OK 74020
" 36.311096 -96.462388 1 0 2.28 14717 192 124 28 17 196558 10 1317.3 197875.3 80.6815357814082 0.000153621388831205 30.3978784013912 114.086519939851 7.6830088686701e-05 15.2027768479076
"WESTERN PLAINS LIBRARY SYSTEM" 48715 "501 S. 28TH STREET
CLINTON, OK 73601
" 35.508086 -98.993736 1 6 27.78 171826 4168 3531 152 53 2338186 3 8551.35 2346737.35 90.717429777574 0.000121511819946599 285.156326335158 99.5644177116085 0.000100876889773166 236.731564982521
"CRESCENT COMMUNITY LIBRARY" 1411 "205 N. GRAND
CRESCENT, OK 73028
" 35.953669 -97.595506 1 0 1 11752 62 50 0 4 154412 14.25 753.2025 155165.2025 38.8861645314033 0.000661317143572057 102.61340849908 51.2862415648651 0.000380187866768953 58.9919273352476
"CUSHING PUBLIC LIBRARY" 7889 "215 NORTH STEELE AVENUE
CUSHING, OK 74023
" 35.981251 -96.768961 1 0 4 37696 327 390 74 4 500511 7 2256.69 502767.69 52.2260802084758 0.000366627584247289 184.32850362229 74.2279443747126 0.000181495195407221 91.2499201409873
"DRUMRIGHT PUBLIC LIBRARY" 2899 "104 EAST BROADWAY
DRUMRIGHT, OK 74030
" 35.988473 -96.601563 1 0 1.93 13945 145 1299 4 7 200424 10 1159.2 201583.2 59.2317052088905 0.000285030627379877 57.4573859652432 80.9487118943169 0.000152608988991231 30.7634083496172
"DUNCAN PUBLIC LIBRARY" 23507 "2211 N. HIGHWAY 81
DUNCAN, OK 73533
" 34.53319 -97.966972 1 0 9.61999999999999 50588 1548 2809 48 14 715539 4.5 4616.445 720155.445 69.4339962522053 0.000207422410354185 149.376378231591 82.5009009904682 0.000146920574202334 105.805651494338
"EL RENO CARNEGIE LIBRARY" 17857 "215 E WADE
EL RENO, OK 73036
" 35.531395 -97.952473 1 0 4.85 27765 507 1084 37 5 382334 4.5 3138.195 385472.195 32.7913916233158 0.00092999433719742 358.48695849706 40.2755166714305 0.000616478250399259 237.635224351162
"ENID-PUBLIC LIBRARY OF ENID AND GARFIELD CO" 62267 "120 W. MAINE
ENID, OK 73701
" 36.395512 -97.8787 1 0 11.4 63779 1628 1336 107 38 870760 2.25 5913.0225 876673.0225 73.0359898048035 0.000187467574901702 164.347765509821 105.451303018629 8.99282410631538e-05 78.8376629009436
"FAIRFAX PUBLIC LIBRARY" 1379 "158 EAST ELM
FAIRFAX, OK 74637
" 36.573489 -96.703663 1 0 1.13 13512 53 111 13 6 178227 14.25 759.0225 178986.0225 88.6460882834183 0.000127256755912047 22.7771805769506 121.440466278102 6.78067841759365e-05 12.1364665981668
"GEARY PUBLIC LIBRARY" 1291 "106 W. MAIN ST
GEARY, OK 73040
" 35.627887 -98.312609 1 0 1.21 13682 139 42 0 6 180489 14.25 733.4025 181222.4025 54.0817499300089 0.000341899549564191 61.9598577856906 63.9585171561013 0.000244457421956254 44.3011613158686
"GUTHRIE PUBLIC LIBRARY" 10908 "201 N DIVISION
GUTHRIE, OK 73044
" 35.879094 -97.425326 1 0 5 25462 1678 3586 40 15 400633 4.5 2222.58 402855.58 31.9994414184289 0.000976596594006171 393.42738730438 37.1382057240857 0.000725033652296845 292.083852515564
"HENNESSEY PUBLIC LIBRARY" 2162 "525 S. MAIN
HENNESSEY, OK 73742
" 36.104915 -97.898961 1 0 3 26053 977 1364 22 8 369768 14.25 1374.255 371142.255 55.546158982659 0.000324109629439288 120.290778737312 80.1471410640387 0.000155676812068202 57.7782430822038
"HENRYETTA PUBLIC LIBRARY" 5827 "518 W. MAIN
HENRYETTA, OK 74437
" 35.439792 -95.987338 1 0 2.25 25557 137 262 56 11 338651 7 1561.17 340212.17 78.9298707272634 0.000160515589092612 54.6093568840258 84.2966681993861 0.000140727567472042 47.8772311084849
"HINTON - NORMAN SMITH MEMORIAL LIBRARY" 3241 "123 E MAIN
HINTON, OK 73047
" 35.471406 -98.355203 1 0 1 8910 345 787 0 4 130726 10 1122.3 131848.3 54.6656317882713 0.000334634918289659 44.1210450971304 66.082990542707 0.00022899216495374 30.1922276624702
"HOLDENVILLE - GRACE PICKENS PUBLIC LIBRARY" 5795 "209 E 9TH
HOLDENVILLE, OK 74848
" 35.08361 -96.397492 1 0 2 24120 1503 3165 0 5 374469 7 1516.95 375985.95 60.5023863846557 0.000273183830590365 102.713282069157 70.5487964010091 0.000200918895591838 75.542681832048
"HOMINY PUBLIC LIBRARY" 3552 "121 WEST MAIN
HOMINY, OK 74035
" 36.415571 -96.395093 1 0 2 17277 123 0 0 4 226380 10 1365.6 227745.6 88.6367683649679 0.0001272835187321 28.9882613437533 123.791740713584 6.52554306714193e-05 14.8616372115208
"KINGFISHER MEMORIAL LIBRARY" 4739 "505 WEST WILL ROGERS DR.
KINGFISHER, OK 73750
" 35.842258 -97.937675 1 0 5.13 50567 10302 6248 87 22 874642 10 2191.2 876833.2 42.6653294004054 0.000549350841414065 481.689056199787 61.4574918910858 0.00026475875790161 232.149268918894
"KONAWA - KENNEDY LIBRARY OF KONAWA" 1286 "701 WEST SOUTH STREET
KONAWA, OK 74849
" 34.963324 -96.755311 1 0 2 21144 125 1147 22 16 292414 14.25 849.765 293263.765 47.5814909275199 0.000441696448856049 129.533563578655 65.9612014863236 0.000229838556031638 67.4033202840016
"LAWTON PUBLIC LIBRARY" 98177 "110 S W 4TH ST
LAWTON, OK 73501
" 34.607384 -98.393615 1 1 16.25 130876 3042 3974 127 35 1795822 2.25 9064.4475 1804886.4475 79.9375305989205 0.000156494307218065 282.454454208787 89.9679371667889 0.000123544801029103 222.984337036511
"LINDSAY COMMUNITY LIBRARY" 2807 "112 W CHOCTAW
LINDSAY, OK 73052
" 34.835793 -97.603851 1 0 2 12528 747 0 3 4 172794 10 1142.1 173936.1 42.0619573159179 0.000565224584593263 98.3129598682723 54.3477450383387 0.000338561009787637 58.8879816545234
"MADILL CITY-COUNTY LIBRARY" 15988 "500 WEST OVERTON ST
MADILL, OK 73446
" 34.09215 -96.775185 1 0 3 20449 504 541 6 7 279815 4.5 2608.38 282423.38 98.0604295213773 0.000103994990026446 29.3706165863352 123.467384145053 6.55987412543543e-05 18.5266182288002
"MANNFORD PUBLIC LIBRARY" 3073 "101 GREEN VALLEY PARK RD
MANNFORD, OK 74044
" 36.104831 -96.370446 1 0 2.57 19644 432 596 24 3 269183 10 1307.4 270490.4 74.2887874765398 0.00018119802516152 49.0123263051496 98.6205525246374 0.000102817049586742 27.8110248695377
"MARLOW - GARLAND SMITH PUBLIC LIBRARY" 4642 "407 W SEMINOLE
MARLOW, OK 73055
" 34.646467 -97.959442 1 0 2.13 14503 588 30 26 4 197091 10 1712.1 198803.1 62.4060812300536 0.000256771120271773 51.0468947005014 74.557271925137 0.000179895368635885 35.7637569604566
"MAYSVILLE PUBLIC LIBRARY" 1208 "506 WILLIAMS
MAYSVILLE, OK 73057
" 34.81772 -97.40841 1 0 1 12046 29 87 4 2 158248 14.25 666.42 158914.42 41.50736551837 0.000580429745819071 92.238656407585 50.7462686567164 0.000388321799307958 61.7099335103806
"SOUTHEASTERN PUBLIC LIBRARY SYSTEM OF OKLA" 172281 "401 N 2ND
MCALESTER, OK 74501
" 34.935182 -95.766029 1 14 58.82 400486 24207 33712 604 191 5975712 2.25 20451.9675 5996163.9675 97.5562860899783 0.000105072600928054 630.032543656303 132.304547205687 5.71281891985509e-05 342.549989600874
"MEDFORD PUBLIC LIBRARY" 991 "123 S MAIN
MEDFORD, OK 73759
" 36.806133 -97.734979 1 0 0.88 6462 114 0 12 6 85914 22.5 800.925 86714.925 97.9985706519533 0.000104126319346782 9.02930597268226 124.841239265786 6.41628812358419e-05 5.56387943414993
"MT VIEW - ADDIE DAVIS MEMORIAL LIBRARY" 787 "301 N. 4TH
MTN. VIEW, OK 73062
" 35.101864 -98.747732 1 0 0.38 4651 87 0 0 4 61774 22.5 588.225 62362.225 79.8763444368517 0.000156734151780289 9.77429043850651 98.1501733629935 0.000103804900843511 6.4735045825057
"MUSTANG PUBLIC LIBRARY" 18000 "1201 N. MUSTANG RD.
MUSTANG, OK 73064
" 35.404156 -97.724591 1 0 6.5 61312 2230 4344 41 14 883681 4.5 3405 887086 19.0315344203925 0.00276091089460627 2449.1654018527 22.6092683957399 0.00195626182996451 1735.3724816959
