"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ALAMEDA COUNTY LIBRARY" 557378 "2450 STEVENSON BLVD.
FREMONT, CA 94538
" 37.55128 -121.971956 1 9 222.54 883786 44817 92893 1481 226 13308871 2.25 71004.015 13379875.015 49.8935754601368 0.000401708244675568 5374.80610625413 69.9932891744442 0.000204120768459001 2731.11036994719
"ALAMEDA FREE LIBRARY" 75988 "1550 OAK ST
ALAMEDA, CA 94501
" 37.766836 -122.242712 1 2 31.75 173200 7684 8314 243 53 2465118 2.25 9891.69 2475009.69 38.6526224283208 0.000669332743665164 1656.60502640557 51.6485018703319 0.00037487332859898 927.815120805031
"AMADOR COUNTY LIBRARY" 36151 "530 SUTTER ST.
JACKSON, CA 95642
" 38.352807 -120.7813 1 4 7.5 92420 3879 6224 45 21 1334329 3 4378.59 1338707.59 63.1289880002969 0.000250924082765357 335.913974111772 84.5240906209999 0.000139971296738027 187.380637325339
"PLACER COUNTY LIBRARY" 193953 "350 NEVADA ST.
AUBURN, CA 95603
" 38.905918 -121.082449 1 10 40.1199999999999 260435 27137 19765 378 70 4003445 2.25 19109.8275 4022554.8275 63.8058976542634 0.000245628272665401 988.053193980694 71.595809462264 0.000195085410958568 784.741761626209
"BERKELEY PUBLIC LIBRARY" 117372 "2090 KITTREDGE STREET
BERKELEY, CA 94704
" 37.868392 -122.268643 1 4 112.4 463916 48054 38636 755 129 7173498 2.25 24782.61 7198280.61 33.1737500828849 0.00090867977728774 6540.93202154946 43.991947009333 0.000516718050385625 3719.48152292784
"BURLINGAME PUBLIC LIBRARY" 37192 "480 PRIMROSE RD.
BURLINGAME, CA 94010
" 37.578878 -122.34935 1 1 31.69 195725 9984 11869 286 35 2833807 3 8100.78 2841907.78 52.903608285258 0.000357297034692549 1015.40522266368 67.5127692097382 0.000219395722442258 623.502410507372
"BUTTE COUNTY LIBRARY" 222316 "1820 MITCHELL AVENUE
OROVILLE, CA 95966
" 39.506008 -121.552846 1 5 28.25 236139 10140 13998 184 56 3388513 2.25 19243.83 3407756.83 87.8587156198049 0.000129547876828529 441.467662074418 103.122398001665 9.40359665808767e-05 320.451707381634
"CALAVERAS COUNTY LIBRARY" 44650 "1299 GOLD HUNTER ROAD
SAN ANDREAS, CA 95249
