"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"FLORALA PUBLIC LIBRARY" 6445 "1214 FOURTH STREET
FLORALA, AL 36442
" 31.020628 -86.326526 1 0 3 16945 201 1409 31 10 242068 7 1803.45 243871.45 77.8980962166268 0.000164795865706788 40.1890067239196 99.1648750419427 0.000101691408361378 24.7996312096313
"HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY" 9642 "17 PARK STREET
HEADLAND, AL 36345
" 31.352359 -85.341934 1 0 3 15276 489 522 30 16 212841 7 2474.82 215315.82 89.4184668960058 0.000125067814551307 26.9290790457226 99.0362508854562 0.00010195572502051 21.9526805364856
"OZARK - DALE COUNTY PUBLIC LIBRARY" 37931 "416 JAMES STREET
OZARK, AL 36360
" 31.452208 -85.632765 1 0 7 62515 2472 2289 0 42 876478 3 4463.79 880941.79 94.9315731383153 0.000110963116169196 97.7520461820691 109.121751774019 8.39802844810999e-05 73.9817421354893
"MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY" 2403 "1318 HINTON WATERS AVENUE
MIDLAND CITY, AL 36350
" 31.336223 -85.523526 1 0 2 8581 130 771 0 18 124076 14.25 1327.2825 125403.2825 87.0400435535814 0.000131996313079137 16.5527709380215 98.500627586464 0.000103067562395261 12.9250106436393
"NEWTON PUBLIC LIBRARY" 2162 "209 OATES DRIVE
NEWTON, AL 36352
" 31.331947 -85.596851 1 0 1 12955 260 50 0 8 172805 14.25 1074.255 173879.255 86.6031664544276 0.00013333140554017 23.1835654634277 100.773609057129 9.84705525962754e-05 17.1219863248787
"ANDALUSIA PUBLIC LIBRARY" 18322 "212 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
" 31.306848 -86.482913 1 0 8 49917 1211 1660 0 32 687684 4.5 3673.47 691357.47 99.5652996685897 0.000100875102630789 69.7407557408128 123.7258752035 6.53249266642769e-05 45.16287602655
"ELBA PUBLIC LIBRARY" 9806 "406 SIMMONS STREET
