"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"RANGEVIEW LIBRARY DISTRICT" 359495 "5877 EAST 120TH AVENUE
THORNTON, CO 80602
" 39.914076 -104.919411 0 7 112.5 303465 34578 53424 816 312 5113719 2.25 41140.9125 5154859.9125 63.4181198661049 0.000248641304109539 1281.71109114598 75.1767805435769 0.000176942660859697 912.114629276734
"ARAPAHOE LIBRARY DISTRICT" 253896 "12855 E. ADAM AIRCRAFT CIRCLE
ENGLEWOOD, CO 80112
" 39.577378 -104.839443 0 8 233.68 424638 52654 74932 1963 235 7215006 2.25 52189.98 7267195.98 40.0705975185468 0.00062279965446747 4526.00714529139 46.7520847055315 0.000457507310224153 3324.79528568158
"AURORA PUBLIC LIBRARY" 344637 "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
" 39.709076 -104.81416 1 3 61.6 209135 17173 11608 156 252 3106276 2.25 32502.9975 3138778.9975 49.2286421767743 0.000412633311771425 1295.16477265702 56.8288863757814 0.000309643315275752 971.901934703801
"BERTHOUD COMMUNITY LIBRARY DISTRICT" 11696 "236 WELCH AVENUE
BERTHOUD, CO 80513
" 40.304205 -105.076525 1 0 6 21551 1286 2654 22 11 332164 4.5 2478.96 334642.96 91.0511081890792 0.00012062283403799 40.3655822260619 103.352305914226 9.36180646075669e-05 31.3286262497474
"BOULDER PUBLIC LIBRARY" 102760 "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
" 40.013593 -105.281293 1 4 76.88 226712 18722 19530 407 60 3452523 2.25 18468.3 3470991.3 73.7102230701748 0.000184053698540785 638.848786367887 86.351547839487 0.000134109562803838 465.493125738925
"BROOMFIELD/EISENHOWER PUBLIC LIBRARY" 59450 "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
" 39.917283 -105.06854 1 0 28.84 139238 10096 11061 226 37 2089738 2.25 8338.875 2098076.875 64.517385547369 0.000240240642062966 504.043335547461 74.3988218772913 0.000180662444848672 379.043697717961
"NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA)" 9000 "131 LINDERMAN AVENUE
BUENA VISTA, CO 81211
" 38.841104 -106.133358 1 0 4.5 24565 2363 3171 100 12 393127 7 2565 395692 69.2946154210126 0.000208257678249932 82.405897222072 107.105397243591 8.7172055641927e-05 34.4932850410654
"WEST CUSTER COUNTY LIBRARY DISTRICT" 3943 "209 MAIN STREET
WESTCLIFFE, CO 81252
" 38.136067 -105.468499 1 0 3.2 8920 511 1584 26 9 143938 10 1662.9 145600.9 68.0782080296577 0.000215766376745626 31.4157786439022 91.6394298283768 0.000119079017643227 17.3380121399697
"DACONO PUBLIC LIBRARY" 4411 "512 CHERRY STREET
DACONO, CO 80514
" 40.085316 -104.937268 1 0 0.7 13957 47 421 11 9 188073 10 1428.3 189501.3 75.2963747577002 0.000176381026567492 33.4244338298742 85.3871773522065 0.000137155960358494 25.991232790683
