"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ZENDA PUBLIC LIBRARY" 168 "215 N. MAIN
ZENDA, KS 67159
" 37.443572 -98.281903 1 0 0.28 5803 5 650 12 4 84290 22.5 155.4 84445.4 78.9957736509103 0.000160247877706495 13.532196132076 97.5859669181155 0.000105008694863684 8.86750124124175
"HARDTNER PUBLIC LIBRARY" 177 "102 E CENTRAL
HARDTNER, KS 67057
" 37.013827 -98.649357 1 0 0.33 13036 164 5457 22 4 243007 22.5 168.975 243175.975 61.8538023009347 0.000261376896016804 63.5605815313599 86.5398237786919 0.000133526660359908 32.4704758215145
"VIOLA TOWNSHIP" 482 "100 N. GRICE
VIOLA, KS 67149
" 37.482007 -97.642858 1 0 0.35 3760 0 94 38 1 50641 22.5 377.85 51018.85 80.4783716659476 0.000154397988742818 7.87720782797152 94.2498166950427 0.000112574226486835 5.74340757499789
"NORWICH PUBLIC" 487 "209 SOUTH PARKWAY
NORWICH, KS 67118
" 37.457779 -97.846516 1 0 0.43 4576 14 58 14 4 60786 22.5 393.225 61179.225 77.457765788371 0.000166674848153653 10.1970380370331 92.4080679036127 0.0001171062893453 7.16447202477119
"CUNNINGHAM PUBLIC LIBRARY" 475 "105 NORTH MAIN
CUNNINGHAM, KS 67035
" 37.645368 -98.432879 1 0 0.25 6248 92 416 13 3 88132 22.5 358.125 88490.125 94.7207103267455 0.000111457707865888 9.86290650126593 119.077385760622 7.05247275301365e-05 6.24074195473272
"PRETTY PRAIRIE PUBLIC LIBRARY" 688 "119 W. MAIN ST.
PRETTY PRAIRIE, KS 67570
" 37.780734 -98.019734 1 0 2 13412 59 2417 39 1 207096 22.5 764.4 207860.4 99.8592695249165 0.000100282056219001 20.8446683185039 114.705407185554 7.60032595321911e-05 15.798067927665
"SOUTH HAVEN TOWNSHIP LIBRARY" 492 "104 W. BAIRD
SOUTH HAVEN, KS 67140
" 37.0485 -97.401623 1 0 0.26 5449 0 205 3 1 73586 22.5 371.1 73957.1 56.775934884637 0.000310221155908952 22.943057049674 69.1581642163869 0.000209080286692897 15.4629716709753
"ATTICA CITY LIBRARY" 600 "125 NORTH MAIN
ATTICA, KS 67009
" 37.240207 -98.225896 1 0 0.51 12521 210 708 18 2 175031 22.5 481.5 175512.5 64.6123842705664 0.000239534716204769 42.0413368778895 82.3039258329502 0.000147624655645633 25.9099723740042
"DIXON TOWNSHIP LIBRARY" 643 "120 W WALNUT
ARGONIA, KS 67004
" 37.265766 -97.764852 1 0 0.38 18362 134 236 0 1 243561 22.5 491.025 244052.025 64.6301210424581 0.000239403260791278 58.4268505877144 87.5862154672102 0.000130355235198964 31.8134591196586
"UDALL PUBLIC LIBRARY" 748 "109 E. FIRST ST
UDALL, KS 67146
" 37.387419 -97.117099 1 0 0.45 2425 0 310 0 2 35645 22.5 572.4 36217.4 84.9456922521019 0.000138585336338035 5.01920056028914 118.912100612674 7.07209193597716e-05 2.56132782482059
"OXFORD PUBLIC LIBRARY" 1021 "115 SOUTH SUMNER
OXFORD, KS 67119
" 37.273499 -97.169006 1 0 1.05 9685 53 508 2 2 133314 14.25 593.9775 133907.9775 76.758083278446 0.000169727321303225 22.7278423222076 107.932444356071 8.58412384457085e-05 11.4948266263601
"CALDWELL PUBLIC LIBRARY" 1035 "120 S. MAIN ST.
CALDWELL, KS 67022
" 37.030674 -97.606971 1 0 0.73 9217 85 210 18 4 124070 14.25 551.9625 124621.9625 50.8176092762606 0.000387232268629849 48.2576452599789 57.2781388643792 0.000304805082182591 37.9854075215683
"KIOWA PUBLIC LIBRARY" 1040 "123 N 7TH
KIOWA, KS 67070
" 37.017246 -98.485302 1 0 0.55 19492 455 695 12 3 268637 14.25 527.1 269164.1 56.4930926184876 0.000313335281987912 84.3386091745226 80.8468067655064 0.000152993950141961 41.1804788954058
"CONWAY SPRINGS CITY LIBRARY" 1243 "210 W. SPRINGS AVE
CONWAY SPRINGS, KS 67031
" 37.39036 -97.636452 1 0 0.35 11590 69 0 1 1 151625 14.25 583.8825 152208.8825 74.3373445086647 0.000180961385964247 27.5439303332692 88.1671989759777 0.000128642926881468 19.5805961421575
"CHENEY PUBLIC LIBRARY" 2705 "203 N. MAIN
CHENEY, KS 67025
" 37.628126 -97.78115 1 0 1.25 14151 270 890 0 4 199223 10 999 200222 89.4589205576474 0.000124954727850302 25.0186855196431 106.75680713833 8.7742266166335e-05 17.5679320163559
"HARPER PUBLIC LIBRARY" 1412 "708 WEST 14TH
HARPER, KS 67058
" 37.283077 -98.03399 1 0 2.2 17116 93 550 34 6 231579 14.25 933.63 232512.63 65.5937688098113 0.000232420713670718 54.0407514020557 75.0779822784496 0.000177408659806197 41.2497540763142
"CLEARWATER PUBLIC LIBRARY" 2530 "109 E. ROSS
CLEARWATER, KS 67026
" 37.504652 -97.50537 1 0 2.25 16332 1052 1610 2 6 247218 10 1096.5 248314.5 83.7571469562783 0.000142546398504697 35.3963376714947 97.088247356059 0.000106088101488193 26.3432138769898
"BELLE PLAINE PUBLIC LIBRARY" 1630 "222 W. 5TH
BELLE PLAINE, KS 67013
" 37.393648 -97.282001 1 0 0.81 9008 8 135 28 2 119417 14.25 818.325 120235.325 80.9532486131331 0.000152591884682662 18.3469348471824 110.44403295761 8.19814293938613e-05 9.85706380713546
"GODDARD PUBLIC LIBRARY" 4582 "201 N. MAIN
GODDARD, KS 67052
" 37.65826 -97.574925 1 0 2.86 25085 257 1433 49 10 349162 10 1803.6 350965.6 93.165985274224 0.000115208689781803 40.4342869344844 117.034933575254 7.30077516404926e-05 25.6232093591565
"DOUGLASS PUBLIC LIBRARY" 2479 "319 S. FOREST
DOUGLASS, KS 67039
" 37.517173 -97.016288 1 0 1.88 29394 652 1570 27 6 411629 14.25 1341.7725 412970.7725 95.4911343002576 0.000109666477888492 45.2890500909646 132.837685013732 5.66705468013952e-05 23.4032794905696
"ANTHONY PUBLIC LIBRARY" 2254 "624 E. MAIN ST.
ANTHONY, KS 67003
" 37.152296 -98.023245 1 0 2.3 26120 601 849 0 10 358860 14.25 1308.585 360168.585 56.5339369503674 0.000312882691992124 112.690516445794 65.6287670722159 0.000232172890876904 83.6213815824941
"LINCOLN LIBRARY" 2041 "201 N. MAIN
MEDICINE LODGE, KS 67104
" 37.281894 -98.579352 1 0 2.15 17349 356 955 52 4 243436 14.25 1195.0275 244631.0275 74.7972996064887 0.000178742637576355 43.7259950883638 104.571439223533 9.14479194983651e-05 22.3709985096223
"KINGMAN CARNEGIE LIBRARY" 3158 "455 NORTH MAIN
KINGMAN, KS 67068
" 37.645905 -98.113206 1 0 3.98 29636 375 1464 48 12 410339 10 1544.4 411883.4 91.0185595934557 0.000120709119864985 49.7180827009975 100.949457541601 9.81277906600946e-05 40.417208051568
"MULVANE PUBLIC LIBRARY" 6287 "101 EAST MAIN
MULVANE, KS 67110
" 37.474735 -97.244035 1 0 5.1 30632 475 2514 67 6 438214 7 2085.27 440299.27 86.9113344363887 0.00013238755569087 58.2901441277742 117.146780667851 7.28684083898076e-05 32.0839070200942
"WELLINGTON PUBLIC" 7967 "121 WEST 7TH
WELLINGTON, KS 67152
" 37.266835 -97.398368 1 0 5.35 32799 951 291 88 4 443857 7 2475.57 446332.57 70.2931299806878 0.00020238309648002 90.3301675764852 84.5551592578324 0.000139868454558197 62.4278467848884
"HAYSVILLE COMMUNITY LIBRARY" 11004 "210 S. HAYS AVENUE
HAYSVILLE, KS 67060
" 37.562629 -97.350679 1 0 8 55672 1601 1985 126 32 773432 4.5 2685.54 776117.54 90.2213542860666 0.000122851741214868 95.3473911763999 120.001988392757 6.94421431211377e-05 53.8952652915053
"WINFIELD PUBLIC LIBRARY" 12333 "605 COLLEGE
WINFIELD, KS 67156
" 37.242676 -96.978332 1 0 8.25 63748 1298 4358 95 10 903937 4.5 2902.455 906839.455 81.2933922146139 0.000151317622001307 137.220789867561 114.230678414754 7.66362927673489e-05 69.4968139663631
"DERBY PUBLIC LIBRARY" 23047 "1600 E WALNUT GROVE
DERBY, KS 67037
" 37.550206 -97.247863 1 0 17.98 85668 13570 12498 81 47 1455736 4.5 5808.345 1461544.345 91.5625682726341 0.000119279021646335 174.331579564334 121.536157679546 6.77000509705932e-05 98.9466266522823
"ARKANSAS CITY PUBLIC LIBRARY" 12305 "120 E. 5TH AVENUE
ARKANSAS CITY, KS 67005
" 37.061109 -97.038101 1 0 6.38 37790 1360 2288 64 12 540066 4.5 2618.175 542684.175 69.7794138495822 0.000205373954667487 111.453195155212 99.9173574260256 0.000100165490267806 54.3582264494549
"WICHITA PUBLIC LIBRARY" 386552 "223 S. MAIN ST
WICHITA, KS 67202
" 37.684588 -97.338173 1 8 104.5 647742 45816 52990 907 88 9720875 2.25 41767.26 9762642.26 98.3910528713894 0.00010329725578909 1008.4541547086 128.971503846297 6.01191002503883e-05 586.921268737617
"CEDAR VALE MEMORIAL LIBRARY" 555 "608 CEDAR
CEDAR VALE, KS 67024
" 37.104871 -96.498238 1 0 0.45 3107 8 836 0 5 51588 22.5 442.125 52030.125 94.8314159068604 0.000111197629750191 5.78562657560615 131.81614823468 5.75523108039049e-05 2.99445392516602
"GARDEN PLAIN COMMUNITY LIBRARY" 866 "421 AVE B
GARDEN PLAIN, KS 67050
" 37.658658 -97.684897 1 0 0.45 6672 176 897 0 2 100775 22.5 652.05 101427.05 92.1524971591352 0.000117756742542503 11.9437190136956 113.700026097655 7.73533044912514e-05 7.84571748229938
"ROSE HILL PUBLIC LIBRARY" 3942 "306 N ROSE HILL RD
ROSE HILL, KS 67133
" 37.560825 -97.135072 1 0 1.78 8160 139 605 0 4 115932 10 1449.6 117381.6 94.907026880661 0.000111020521433162 13.0317664386588 129.00630071955 6.00866727709858e-05 7.05306978853475
"CHANDLER PUBLIC LIBRARY" 3126 "1021 S MANVEL
CHANDLER, OK 74834
" 35.700036 -96.880779 1 0 2 12543 205 172 7 4 168231 10 1237.8 169468.8 72.9294063610493 0.000188015928203879 31.8628337335976 103.797208793667 9.28172399343424e-05 15.7296262709851
"TRYON PUBLIC LIBRARY" 488 "25 S MAIN ST
TRYON, OK 74875
" 35.869459 -96.963879 1 0 0.43 4990 0 355 0 7 69800 22.5 393.9 70193.9 62.4154421355733 0.000256694106319097 18.0183604295521 89.2763493108976 0.000125466318371317 8.80697020512438
"FAIRVIEW CITY LIBRARY" 2635 "115 S. 6TH
FAIRVIEW, OK 73737
" 36.268852 -98.478545 1 0 3 26714 456 833 41 10 365022 10 1240.5 366262.5 31.6700557710048 0.000997016495397696 365.169754145599 41.7500341755005 0.000573701954377588 210.125512065221
"CARMEN PUBLIC LIBRARY" 379 "110 N 6TH
CARMEN, OK 73726
" 36.579475 -98.461118 1 0 0.56 5161 181 311 0 3 73624 22.5 339.825 73963.825 34.5153653305008 0.000839411763006147 62.0861047419281 46.3463283084991 0.000465553217507167 34.434096707887
"CARNEGIE PUBLIC LIBRARY" 1716 "6 E MAIN
CARNEGIE, OK 73015
" 35.105764 -98.600265 1 0 1 11206 496 425 0 6 157921 14.25 883.59 158804.59 93.5616067883084 0.000114236439020364 18.1412708616888 126.710949830365 6.22833132122573e-05 9.8908760185141
"ALVA PUBLIC LIBRARY" 5031 "504 SEVENTH STREET
ALVA, OK 73717
" 36.803682 -98.668467 1 0 4.5 49220 688 1489 84 9 669658 7 1731.51 671389.51 52.6591608357775 0.000360621928876348 242.117780123546 73.0516857842345 0.000187387024506328 125.809682563661
"ANADARKO COMMUNITY LIBRARY" 6804 "215 W BROADWAY
ANADARKO, OK 73005
" 35.074877 -98.253552 1 0 4.05 21070 513 583 66 22 290006 7 2036.34 292042.34 89.4908166201708 0.000124865671705751 36.4660629506193 109.751823728982 8.3018810951561e-05 24.2450078143115
"BARNSDALL - ETHEL BRIGGS MEMORIAL LIBRARY" 1234 "410 S FIFTH
BARNSDALL, OK 74002
" 36.559546 -96.161779 1 0 0.5 11105 46 74 0 2 146015 14.25 602.535 146617.535 98.8538424090183 0.000102332336520139 15.0037149313733 120.648216038873 6.87002299608286e-05 10.0726583707898
"BLACKWELL PUBLIC LIBRARY" 6944 "123 WEST PADON
BLACKWELL, OK 74631
" 36.802301 -97.2833 1 0 4 34988 473 519 26 4 468258 7 2058.24 470316.24 47.5956140618382 0.000441434356943971 207.613746964707 68.7511650738812 0.000211563077353398 99.5015510636795
"BRISTOW - MONTFORT & ALLIE JONES MEM LIBRARY" 4253 "111 W. 7TH AVE
BRISTOW, OK 74010
" 35.833832 -96.391825 1 0 4.25 36271 1336 1252 30 12 506097 10 1913.4 508010.4 92.163512724459 0.000117728595187176 59.8073507324755 123.010675183616 6.60867501073146e-05 33.5727563567169
"CHEROKEE CITY- COUNTY LIBRARY" 5847 "123 SOUTH GRAND
CHEROKEE, OK 73728
" 36.757442 -98.35713 1 0 2 14923 676 1220 23 11 219441 7 1527.87 220968.87 37.8633746112437 0.000697527546741427 154.131873797325 52.7495743596754 0.000359386766053634 79.4132875878258
"CHICKASHA PUBLIC LIBRARY" 16374 "527 IOWA AVENUE
CHICKASHA, OK 73018
" 35.047601 -97.93921 1 0 6.5 47516 1826 625 83 12 651190 4.5 3185.49 654375.49 89.3696216163582 0.000125204564415663 81.9307981897361 95.3782295847987 0.000109926268641538 71.9330559061779
"CLEVELAND - JAY C BYERS MEMORIAL LIBRARY" 3251 "215 E. WICHITA
CLEVELAND, OK 74020
" 36.311096 -96.462388 1 0 2.28 14717 192 124 28 17 196558 10 1317.3 197875.3 81.1018284437096 0.000152033295338694 30.0836339251327 97.1429281568842 0.000105968703199518 20.9685889362156
"WESTERN PLAINS LIBRARY SYSTEM" 48715 "501 S. 28TH STREET
CLINTON, OK 73601
" 35.508086 -98.993736 1 6 27.78 171826 4168 3531 152 53 2338186 3 8551.35 2346737.35 83.326688852717 0.000144022966071731 337.984073738313 107.641641915319 8.63056788009767e-05 202.536759959355
"CRESCENT COMMUNITY LIBRARY" 1411 "205 N. GRAND
CRESCENT, OK 73028
" 35.953669 -97.595506 1 0 1 11752 62 50 0 4 154412 14.25 753.2025 155165.2025 32.172072563115 0.000966144132855874 149.911950018769 45.7684516634148 0.000477383669924887 74.0733338140883
"CUSHING PUBLIC LIBRARY" 7889 "215 NORTH STEELE AVENUE
CUSHING, OK 74023
" 35.981251 -96.768961 1 0 4 37696 327 390 74 4 500511 7 2256.69 502767.69 68.7481323534666 0.000211581743338744 106.376464344593 90.8664421439845 0.000121113610955015 60.8920104074116
"DRUMRIGHT PUBLIC LIBRARY" 2899 "104 EAST BROADWAY
DRUMRIGHT, OK 74030
" 35.988473 -96.601563 1 0 1.93 13945 145 1299 4 7 200424 10 1159.2 201583.2 77.380384389868 0.00016700836889791 33.6660814292212 100.377173251146 9.9249899925666e-05 20.0071124266955
"EL RENO CARNEGIE LIBRARY" 17857 "215 E WADE
EL RENO, OK 73036
" 35.531395 -97.952473 1 0 4.85 27765 507 1084 37 5 382334 4.5 3138.195 385472.195 55.930298707065 0.000319672827549558 123.224986517385 59.7903488386544 0.000279729214291104 107.827834238417
"ENID-PUBLIC LIBRARY OF ENID AND GARFIELD CO" 62267 "120 W. MAINE
ENID, OK 73701
" 36.395512 -97.8787 1 0 11.4 63779 1628 1336 107 38 870760 2.25 5913.0225 876673.0225 4.43238852092091 0.0509007705755714 44623.3323880652 6.47905352504754 0.0238219256285431 20884.0395425451
"FAIRFAX PUBLIC LIBRARY" 1379 "158 EAST ELM
FAIRFAX, OK 74637
" 36.573489 -96.703663 1 0 1.13 13512 53 111 13 6 178227 14.25 759.0225 178986.0225 69.4317370634456 0.000207435908907487 37.1281282590234 84.630345358967 0.000139620045021069 24.9900365195921
