"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"LIBRARY DISTRICT #1, MIAMI COUNTY" 8858 "206 S. BROADWAY ST.
LOUISBURG, KS 66053
" 38.61919 -94.681293 1 0 10.25 38460 1659 3224 83 30 565888 7 3397.68 569285.68 60.9994537260217 0.000268749774486115 152.995398118175 93.9198677718816 0.000113366582573828 64.5379720498176
"RICHMOND PUBLIC LIBRARY" 462 "107 E. CENTRAL
RICHMOND, KS 66080
" 38.401602 -95.25613 1 0 0.85 4860 52 820 10 5 74871 22.5 439.35 75310.35 94.4611983055078 0.000112070961724185 8.44010335228501 124.79960729243 6.42056966415652e-05 4.8353534860701
"BALDWIN CITY LIBRARY" 4540 "800 7TH ST.
BALDWIN CITY, KS 66006
" 38.774582 -95.187454 1 0 3.13 21186 1160 2006 63 9 317800 10 1831.5 319631.5 87.8201197904434 0.000129661771149788 41.4439864052635 102.525258801745 9.51345463368244e-05 30.4079977474587
"WELLSVILLE CITY LIBRARY" 1834 "115 W. 6TH ST.
WELLSVILLE, KS 66092
" 38.718477 -95.082163 1 0 1.93 18329 219 2211 25 9 270597 14.25 1073.535 271670.535 82.1191624023288 0.000148289697064398 40.2859413364729 98.3229149837822 0.0001034404756201 28.1017293523671
"LINWOOD COMMUNITY LIBRARY DISTRICT #1" 4127 "19649 LINWOOD RD
LINWOOD, KS 66052
" 39.004061 -95.037974 1 0 3.15 13291 614 1811 25 10 205083 10 1710.6 206793.6 81.8147414932783 0.000149395279454806 30.8939876614654 92.1116731082307 0.000117861145652186 24.3729306095399
"TONGANOXIE PUBLIC LIBRARY" 5165 "303 BURY ST.
TONGANOXIE, KS 66086
