"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"DUNKIRK PUBLIC LIBRARY" 2362 "127 WEST WASHINGTON STREET
DUNKIRK, IN 47336
" 40.373674 -85.21126 1 0 3.75 18086 555 2643 49 5 277554 14.25 1572.255 279126.255 72.4704032898236 0.000190405129360103 53.147070691076 90.0611430772863 0.000123289215841573 34.4132570997448
"BERNE PUBLIC LIBRARY" 3999 "166 NORTH SPRUNGER STREET
BERNE, IN 46711
" 40.658497 -84.951506 1 0 8.25 50995 3516 3426 100 10 754931 10 2437.2 757368.2 75.2462538477523 0.000176616076722103 133.763400118081 108.24250935166 8.53501515047115e-05 64.6414906148507
"WARREN PUBLIC LIBRARY" 2049 "123 EAST THIRD STREET
WARREN, IN 46792
" 40.683315 -85.42556 1 0 1.35 19913 615 1915 60 7 292854 14.25 1078.4475 293932.4475 94.1463094734298 0.00011282189739151 33.1620164318804 134.148781488063 5.55682264240346e-05 16.3333047960507
"WELLS COUNTY PUBLIC LIBRARY" 27188 "200 WEST WASHINGTON STREET
BLUFFTON, IN 46714
" 40.738711 -85.173306 1 1 27.48 95412 7471 7026 306 77 1436260 3 6568.92 1442828.92 87.0900265403639 0.000131844845064147 190.229555411471 122.266270645109 6.68939234418676e-05 96.5164873141925
"HARTFORD CITY PUBLIC LIBRARY" 6220 "314 NORTH HIGH STREET
HARTFORD CITY, IN 47348
" 40.453274 -85.368518 1 0 7.45 49117 1316 3171 170 13 699647 7 2423.7 702070.7 82.4120692683424 0.000147237475395735 103.371117417316 111.652602930394 8.0216238972305e-05 56.3174710466535
"MONTPELIER-HARRISON TOWNSHIP PUBLIC LIBRARY" 2640 "301 SOUTH MAIN STREET
MONTPELIER, IN 47359
" 40.551996 -85.27865 1 0 2.21 22543 1457 3246 58 3 355087 10 1123.5 356210.5 82.4508166798181 0.000147099120659262 52.3982513195962 106.809623820945 8.76555116314284e-05 31.2238136259869
"MUNCIE-CENTER TOWNSHIP PUBLIC LIBRARY" 69656 "2005 SOUTH HIGH STREET
MUNCIE, IN 47302
" 40.177214 -85.387424 1 3 50.78 159391 17487 29421 185 132 2690232 2.25 12318.78 2702550.78 75.0144193533548 0.000177709439070504 480.268783173354 93.3289422993277 0.000114806720689261 310.270992548005
"FAYETTE COUNTY PUBLIC LIBRARY" 24277 "828 GRAND AVENUE
CONNERSVILLE, IN 47331
" 39.645631 -85.137826 1 0 12.13 107131 4372 9637 124 16 1577152 4.5 5096.895 1582248.895 58.8322150151517 0.000288914674159798 457.134923938626 83.4814271689015 0.000143489548811082 227.036180050383
"FRANKLIN COUNTY PUBLIC LIBRARY DISTRICT" 11123 "919 MAIN STREET
BROOKVILLE, IN 47012
" 39.424633 -85.012664 1 1 13.13 41405 1195 2587 138 42 591115 4.5 3471.105 594586.105 57.7502605244492 0.000299841750362791 178.281738464594 91.1087775112779 0.000120470180567747 71.6298954324236
"MARION PUBLIC LIBRARY" 29817 "600 SOUTH WASHINGTON STREET
MARION, IN 46953
" 40.555885 -85.659798 1 0 26.95 133361 18333 9023 265 51 2095061 3 6726.03 2101787.03 99.1895228662202 0.000101640875593964 213.627474041237 134.832291498378 5.5006266551034e-05 115.611457605686
"GAS CITY-MILL TOWNSHIP PUBLIC LIBRARY" 9126 "135 EAST MAIN STREET
GAS CITY, IN 46933
" 40.487887 -85.614431 1 0 7.96 53453 3398 2055 105 14 767773 7 3110.46 770883.46 94.7809706014593 0.000111316026747034 85.8116838522061 127.319273739545 6.16895631360606e-05 47.5554638762149
"JONESBORO PUBLIC LIBRARY" 1756 "124 EAST 4TH STREET
JONESBORO, IN 46938
