"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Altus AFB" "altus" "alts" -99.285251 34.651461 958580.370000003 0.0358267479271313 958580.370000003 0.0300398168831972 958580.370000003 0.0370812234957729 942353.896208839 0.036185987459729 931207.160640583 0.0399646235990237 926177.386981342 0.0410640226837474 923155.288694682 0.0287669220451547 919758.742702752 0.0295528825079632 916127.540569425 0.0253429353896533 905869.626111895 0.0250967975494041 901000.96674586 0.0248553095767775 894981.49006742 0.024380063383906 897943.944993488 0.0246482728060413 897940.892598065 0.024706186462714 894095.714785458 0.0247437443191058 890359.812861703 0.0248242441092544 887472.475930589 0.024682659070278 885974.713406653 0.0248630278958644 884702.895762928 0.0246148216569451 882726.908021325 0.0245554003059376
"Andrews AFB" "andrews" "andw" -76.8836261 38.7965203 0 0 0 0 16764199.2066202 0.648497545916092 14068408.3518264 0.540220876939758 14278356.3612984 0.612784310205989 14626996.1347437 0.648518641801282 14626996.1347437 0.662259818656611 14714829.5068743 0.688281836962087 14414270.4074181 0.672573788426055 14016297.1495235 0.659952785499764 13809097.0737435 0.649917325207552 13505410.9594243 0.635142898949723 13323820.3887377 0.629757948326645 12866869.0265926 0.609693443309144 12533980.5593948 0.598357986727341 12090625.5891502 0.582657859315456 11870929.1160276 0.573346455034469 11753732.4379906 0.573980158313132 11293312.0157051 0.550794642584629 10938907.7207139 0.533790655418782
"Arnold AFB" "arnold" "arnl" -86.0494122 35.3788236 0 0 961722.123113571 0.0301382725695199 916981.229554982 0.0354720240250244 700228.569978701 0.0268884782608018 656445.501774737 0.0281726757488126 654513.741358233 0.0290192435053484 633375.281007758 0.0153711464730379 658456.593592531 0.0170754335392316 655722.0549577 0.0128565906939119 672087.510158182 0.0137761921821202 683287.911746953 0.0143127663652362 706780.275860394 0.015264885544378 711963.279254978 0.0155914709934985 785978.238678711 0.0192339566145371 786834.056214296 0.0194578831751064 778306.66394163 0.0192433932253715 772654.649570387 0.0189470890653702 766833.619380581 0.0188431646154769 769406.670705163 0.0187863246545647 759572.695361488 0.0183189902741194
"Barksdale AFB" "barksdale" "brkd" -93.6571416 32.5018595 3173680.82000001 0.118615680330812 5836204.59224237 0.18289391555539 5836204.59224237 0.225764697071769 5836204.59224237 0.224107765709808 5666233.76049013 0.243177790113097 5666233.76049013 0.251224392802919 5635602.12194651 0.246611074502959 5603472.09223197 0.253205058741181 5502879.66377266 0.245275967559466 5482525.67037328 0.246715618850242 5465012.42095549 0.245863130969096 5407050.64980542 0.242913790642538 5388423.97452552 0.243323625478638 5343021.96715795 0.24196171303583 5294312.16237216 0.241586682003633 5252244.06042826 0.242069594133202 5228527.55448772 0.241534223740337 5202063.12239929 0.242942795759295 5192784.89421353 0.242398560902512 5174102.12177859 0.241866484152439
"Beale AFB" "beale" "beal" -121.3598812 39.111504 0 0 0 0 1612608.75213517 0.0623813166017195 1695613.17658218 0.0651108223685387 2090307.89508808 0.0897097571455488 2162765.27365826 0.0958907478259486 2122655.57086705 0.084216698263091 2731675.32905939 0.116073781087817 2731675.32905939 0.112397766225582 2731675.32905939 0.113509145756986 2678374.57565517 0.11092290012652 2678374.57565517 0.11075541011804 2633095.07409118 0.109145872750882 2626512.02554833 0.109190951849222 2647217.01406346 0.111137669977297 2684809.19643195 0.114197497113724 2674870.28715283 0.113969711419821 2708801.54243721 0.116965323785349 2767192.0017034 0.119779100500339 2780085.74211976 0.120635813727226
"Bolling AFB" "bolling" "blln" -77.0144498 38.8451309 26755997.2775 1 16799044.7762765 0.526445402686449 16799044.7762765 0.649845493773884 17404211.386517 0.668314289899648 17108994.6602675 0.73426683197425 17022914.7753038 0.754746734591411 16933137.1061522 0.768866713787996 16954220.5136049 0.795215083024795 16775664.8882717 0.785801762027667 16751190.063032 0.792386540191851 16621365.3176902 0.78609868320835 16488641.0178728 0.77963013105159 16393078.3341457 0.779223274804271 16209701.2716781 0.773076015520957 16145022.1969917 0.776310341145522 16035173.1839052 0.77911759420795 15883943.8348161 0.773811204977818 15763960.7511287 0.776605678630644 15587316.7435898 0.767866742492013 15459339.2528914 0.762700929347339
"Brooks City-Base" "brooks" "brks" -98.4458421 29.3417239 13083.1275 0.000488979250681941 5471707.07575477 0.171471358832611 5060062.96262101 0.195740838735965 4822244.71792282 0.185172139248871 4485510.10678804 0.192504665604252 4317605.48549329 0.191430121365444 4194404.76814337 0.179988271705833 4114365.57540465 0.182098676202853 4068538.76726314 0.176499863235302 4017614.6198447 0.175779140952631 3961720.03592448 0.173067657455347 3940462.90377425 0.171882324779405 3899058.89700286 0.170795202805871 3894388.07213885 0.17115901801295 3864764.59748689 0.171138489915379 3860371.48101995 0.172746836228522 3850365.9468853 0.172690015231441 3839763.47146281 0.174109638630801 3824844.13315703 0.173245918469881 3811659.76083174 0.172873722767559
"Buckley AFB" "buckley" "bckl" -104.7579278 39.7025365 3138778.99750001 0.117311231756609 3506034.19685089 0.109871460501145 4249477.891656 0.164384588264458 4425072.81717787 0.169920907755551 4416599.33832567 0.189547221718594 4320943.90038962 0.191578137012293 4320943.90038962 0.185837846458045 4312436.63871487 0.191556775162434 4271922.98781031 0.186252059804668 4266649.5618846 0.187838345267714 4245762.51207215 0.186822138456566 4245762.51207215 0.186668946830166 4239985.14276711 0.187397473952284 4225976.54358951 0.187365567851351 4209597.02400282 0.188131853143137 4205541.75770938 0.189938176787156 4205541.75770938 0.190432344899315 4190122.89067344 0.191812311414571 4184710.24787905 0.191438002121056 4185015.87677463 0.191780114815537
"Cannon AFB" "cannon" "cnnn" -103.3183038 34.3897838 0 0 1697157.75 0.0531852201729301 1522530.86700853 0.0588967906350471 1522530.86700853 0.0584645355447348 1522530.86700853 0.0653424668427527 1522530.86700853 0.0675046086617566 1522530.86700853 0.0564744950919972 1464019.59596134 0.0555419034377062 1464019.59596134 0.0516141525401328 1464019.59596134 0.0521245088807448 1450201.82010278 0.0514498274312982 1405002.52178057 0.0490819890625097 1399885.51658604 0.0490915950048213 1382987.53814529 0.0484130801331112 1382987.53814529 0.0488363635004722 1372701.42366688 0.0488474565842174 1372701.42366688 0.0489216181794526 1344190.89621128 0.0480153985862097 1341761.17998002 0.0477201994621403 1338703.76549348 0.0476456266717277
"Charleston AFB" "charleston" "chrl" -80.0690944 32.8940204 0 0 0 0 14559869.1075 0.563226389086608 14559869.1075 0.559092760224053 12217280.8999988 0.524329121606107 12217280.8999988 0.541678847986569 11435799.3869979 0.51473909843682 10885125.2418745 0.505409481359255 10885125.2418745 0.503352610482089 10661285.6347655 0.497490566324759 10661285.6347655 0.497487613919104 10016398.6352909 0.466159037964656 9875453.11559581 0.461830928355569 9730421.97781319 0.456398049204609 9532274.23007759 0.450433713849271 9532274.23007759 0.455238169809473 9504031.33468013 0.455111261513292 9399959.08633783 0.455050632897927 9273171.53194685 0.448671760867789 9128657.78382887 0.442121352171556
"Columbus AFB" "columbus" "clmb" -88.4355422 33.6356982 0 0 1197233.235 0.0375186768594872 1514733.15862729 0.0585951481475845 1514733.15862729 0.05816510687061 1219117.066536 0.0523208548501081 1099932.89127539 0.0487678384646659 1006520.48272526 0.032620677998416 939156.338905154 0.0304791378700247 920572.669798223 0.0255560776575188 941248.165153917 0.0268099588719968 952579.365626892 0.0273529434416283 951201.629492636 0.0271029818899481 935984.842348692 0.0265007711114392 925727.117646283 0.0260642518957337 911561.262543077 0.0256044475888526 915019.921802678 0.0260524504747717 891245.149803829 0.0248711179167098 879694.006997753 0.0245456815243634 896360.801078676 0.0252041563567832 897724.335354776 0.0253148554983649
"Creech AFB" "creech" "crch" -115.673355 36.587181 0 0 0 0 0 0 0 0 0 0 0 0 740057.699999998 0.0203027970507222 740057.699999998 0.0209719711087016 8366599.33287503 0.382590244239883 8366599.33287503 0.386373263962086 7992038.49439248 0.368231913934521 7992038.49439248 0.368112897437406 6975447.63430672 0.32060778134172 6975447.63430672 0.321747321432859 6975447.63430672 0.324433141654473 6975447.63430672 0.327894421735767 6975447.63430672 0.328799265488714 6975447.63430672 0.332546910884369 6975447.63430672 0.332516380732978 6975447.63430672 0.333084875975789
"Davis-Monthan AFB" "davis monthan" "dvsm" -110.8605934 32.155285 0 0 15704835.435 0.492155269826927 9284429.86894443 0.359154046729704 9284429.86894443 0.35651814478613 9284429.86894443 0.398459935368893 9284429.86894443 0.411644728216277 9284429.86894443 0.415286884784892 9027829.867729 0.416721698538967 8676175.75900448 0.39743431696457 8547426.11027271 0.395129573564323 8462294.01684056 0.391003580823766 8142515.23936825 0.375400960359565 8008214.2674317 0.370900980786286 7853019.93831028 0.364639099966089 7688726.05106087 0.359583545985326 7651377.21195038 0.361559358573249 7551513.87778189 0.357575879466327 7432571.4725828 0.355644088488142 7383403.58210522 0.353139519241247 7337165.33557827 0.351401909978734
"Dover AFB" "dover" "dovr" -75.4865456 39.1317247 1368130.27490605 0.051133592992871 1368130.27490605 0.0428742171410581 1314550.89349878 0.050851401722733 1302194.24652397 0.0500037033479882 1290605.49626099 0.0553889242404671 1284326.27886524 0.0569433071784957 1262575.55791485 0.0444574377139001 1295318.17344068 0.0474862353246741 1291558.35673643 0.043344701247437 1316710.16993361 0.0449912349254726 1285924.64065358 0.043494864588018 1332377.47553323 0.0455645292260378 1386968.6123726 0.0484625734824594 1387267.45534661 0.048622263194042 1395447.81127078 0.0494504065279157 1402751.61193031 0.050344117957388 1414559.6661927 0.0510125903559862 1442750.91430821 0.0529953581770306 1443342.23398961 0.0528553621137962 1440345.06065139 0.0527926434004255
"Dyess AFB" "dyess" "dyss" -99.8418696 32.422379 0 0 4543010.68250002 0.142368040564725 3319292.03127604 0.128401763181823 3319292.03127604 0.127459397474932 2962062.09629943 0.127122837708968 2857492.27281711 0.126692930705248 2742957.31163756 0.112891633337744 2652921.90815146 0.112313223458124 2623853.12905962 0.107227732453492 2552367.76998665 0.104826402394207 2474080.66787957 0.101030166084504 2435157.93629575 0.0989756618808438 2435157.93629575 0.0995068201040022 2404632.896099 0.0983465001293234 2379303.77074552 0.0979348888374029 2368519.05032489 0.098444542748076 2362234.46588495 0.0983524096839534 2346755.61336081 0.0986721646358803 2326907.89659855 0.0975216971420449 2314980.72424578 0.0970833461609723
"Edwards AFB" "edwards" "edwr" -117.8912085 34.9240314 0 0 0 0 0 0 0 0 0 0 1049067.3475 0.0465126075847353 1049067.3475 0.0345875088242174 1049067.3475 0.0357275026673059 1046211.32940804 0.0315804039397162 1046211.32940804 0.0318926682818884 1537693.44757006 0.0556865245059247 2525012.76650829 0.103327614447031 4863521.92919075 0.217762184579833 4737307.10067004 0.212357100641888 5628706.59860386 0.258065660426982 5384672.1637898 0.248665227587674 5602178.34899901 0.260199446356428 5525396.18860201 0.259279903190446 5491950.31944435 0.257522081063732 5466921.23382564 0.256694560337883
