"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"CHEROKEE COUNTY PUBLIC LIBRARY" 3574 "310 MARY STREET
CENTRE, AL 35960
" 34.149362 -85.676366 1 0 2.8 32438 1263 18 15 23 439577 10 1492.2 441069.2 87.6479517719392 0.000130171664080374 57.4147117385993 127.634931089764 6.13848082454724e-05 27.0749482649839
"LEIGHTON PUBLIC LIBRARY" 5102 "8740 MAIN STREET
LEIGHTON, AL 35646
" 34.700231 -87.528957 1 0 1 7304 56 517 0 7 102716 7 1221.42 103937.42 96.04576075442 0.000108403573369402 11.2671877347964 120.101408030621 6.93272226499437e-05 7.20569265800071
"ROGERSVILLE PUBLIC LIBRARY" 1250 "74 BANK STREET
ROGERSVILLE, AL 35652
" 34.824235 -87.292073 1 0 2.5 35858 860 1475 26 10 497297 14.25 909.375 498206.375 80.1079688676691 0.000155829098881273 77.6350504731557 101.304882746965 9.74404416087944e-05 48.5454491923166
"ATHENS - LIMESTONE PUBLIC LIBRARY" 87654 "405 EAST SOUTH STREET
ATHENS, AL 35611
" 34.799816 -86.964579 1 0 11.05 72829 1484 2585 34 16 1000836 2.25 7574.145 1008410.145 65.4775073694086 0.000233246815875811 235.208455418115 89.6243180434215 0.000124493957200115 125.540969431792
"DECATUR PUBLIC LIBRARY" 89412 "504 CHERRY STREET NE
DECATUR, AL 35601
" 34.606014 -86.981431 1 0 19.36 106630 3273 5652 155 38 1505940 2.25 8939.31 1514879.31 75.1476996976524 0.000177079634790115 268.254274965901 86.3484409758038 0.000134119213646896 203.174421827152
"HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE" 22954 "152 SPARKMAN STREET NW
HARTSELLE, AL 35640
" 34.444159 -86.934983 1 0 3 27891 497 0 6 8 369482 4.5 3548.79 373030.79 81.8742722957198 0.000149178107751395 55.6480273852079 95.7815004908845 0.000109002567429567 40.6613138402797
"LAWRENCE COUNTY PUBLIC LIBRARY" 31520 "401 COLLEGE STREET
MOULTON, AL 35650
" 34.475889 -87.294496 1 0 3 33685 1541 2431 0 17 490306 3 3286.8 493592.8 94.2711686353771 0.000112523237282151 55.5406597551613 108.783103632545 8.45039693850107e-05 41.7105508598617
"FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY" 58308 "504 GRAND AVENUE NW
FORT PAYNE, AL 35967
" 34.444889 -85.720282 1 0 3.8 86119 2126 1257 27 10 1164327 2.25 4505.79 1168832.79 67.2468191220938 0.000221134501803244 258.469256707946 96.6762772316602 0.000106994182085115 125.058308360314
"COLLINSVILLE PUBLIC LIBRARY" 1979 "151 MAIN STREET
COLLINSVILLE, AL 35961
" 34.262949 -85.85884 1 0 2 8548 116 843 3 15 124305 14.25 1146.0225 125451.0225 77.9436554222851 0.000164603270826859 20.6496486320739 112.230479575478 7.93922961421935e-05 9.95984472966098
"GERALDINE PUBLIC LIBRARY" 900 "13543 ALABAMA HIGHWAY 227
GERALDINE, AL 35974
" 34.351313 -86.000527 1 0 2 43020 1172 1507 0 19 594942 22.5 907.5 595849.5 71.1304626229511 0.000197646320375848 117.767461172789 98.2179029912884 0.00010366178552517 61.7668230742799
"RAINSVILLE PUBLIC LIBRARY" 4978 "941 EAST MAIN STREET
RAINSVILLE, AL 35986
" 34.48667 -85.829108 1 0 4 55572 1905 1961 16 14 773532 10 2093.4 775625.4 62.9650873360481 0.000252232114016153 195.637634326625 90.4600643742155 0.000122204223288386 94.7846995697439
"GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY" 68234 "254 COLLEGE STREET
GADSDEN, AL 35901
" 34.012704 -86.00984 1 2 36 99389 2446 4549 54 40 1385494 2.25 10005.795 1395499.795 94.5258386240319 0.000111917737467084 156.181179692179 133.140293536481 5.64132317329755e-05 78.7246533186547
"ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY" 6010 "604 NORTH 4TH STREET
ATTALLA, AL 35954
" 34.023806 -86.087937 1 0 3 25243 127 31 0 10 330663 7 1712.1 332375.1 93.756681519847 0.000113761561730449 37.8115104563142 133.810754719326 5.58493289877746e-05 18.5629263072445
"RAINBOW CITY PUBLIC LIBRARY" 9666 "3702 RAINBOW DRIVE
RAINBOW CITY, AL 35906
" 33.950372 -86.046756 1 0 6.8 54447 3141 2192 64 13 778557 7 3049.86 781606.86 98.8108728616647 0.000102421357700594 80.0532357892983 139.987199721625 5.10297390919052e-05 39.8851941382433
"MARSHALL COUNTY COOPERATIVE LIBRARY" 46115 "600 COLLEGE STREET SUITE 100
ALBERTVILLE, AL 35950
" 34.257267 -86.210218 0 0 2 13495 381 0 0 0 180388 3 4450.35 184838.35 78.1173751482029 0.000163871985628921 30.2898274348735 109.780406874868 8.2975585936546e-05 15.3370703947944
"ARAB PUBLIC LIBRARY" 8237 "325 2ND STREET NW
ARAB, AL 35016
" 34.320356 -86.496944 1 0 7 53399 2220 2805 49 24 761229 7 2779.77 764008.77 77.4997800380287 0.00016649418130483 127.20301467086 111.873811624641 7.98993285882591e-05 61.0437877585417
"BOAZ PUBLIC LIBRARY" 9653 "404 THOMAS AVE.
BOAZ, AL 35957
" 34.200788 -86.16185 1 0 6.25 51584 1662 3310 71 18 736961 7 2964.63 739925.63 81.7385810573657 0.000149673809133821 110.747487517842 113.417922875216 7.77385831888237e-05 57.5207701412978
"GUNTERSVILLE PUBLIC LIBRARY" 8343 "1240 O'BRIG AVENUE
GUNTERSVILLE, AL 35976
" 34.349128 -86.302134 1 0 11 42463 1699 3655 82 12 623227 7 3402.03 626629.03 72.6573186549243 0.00018942673195517 118.700289301138 99.6023214485441 0.000100800126832338 63.1642857008249
"ALBERTVILLE PUBLIC LIBRARY" 21516 "200 JACKSON STREET
ALBERTVILLE, AL 35950
" 34.264445 -86.203001 1 0 7 82216 1788 3524 0 13 1138449 4.5 3954.66 1142403.66 77.5770878349393 0.000166162514174629 189.824664347898 109.401990878248 8.35505954601822e-05 95.4485060488916
"BLOUNTSVILLE PUBLIC LIBRARY" 14067 "65 CHESTNUT STREET
BLOUNTSVILLE, AL 35031
" 34.078939 -86.589964 1 0 3 7550 200 155 48 11 103884 4.5 2349.045 106233.045 95.0231743315474 0.000110749285074621 11.76523378505 126.371058943418 6.2618801413543e-05 6.65218594841098
"HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY" 343080 "915 MONROE STREET
HUNTSVILLE, AL 35801
" 34.723381 -86.59028 1 11 107.65 436105 40899 75207 555 352 7201798 2.25 39305.4 7241103.4 54.7147458608164 0.000334034425427219 2418.77781367808 63.5763729230616 0.000247405018608696 1791.48532142449
"WOODVILLE PUBLIC LIBRARY" 743 "26 VENSON STREET
WOODVILLE, AL 35776
" 34.627236 -86.274701 1 0 1 24192 41 341 23 10 320211 22.5 651.525 320862.525 53.533962009783 0.000348932343458212 111.959312776169 74.003628816782 0.000182597138620248 58.5885789554679
"SCOTTSBORO PUBLIC LIBRARY" 44265 "1002 SOUTH BROAD STREET
SCOTTSBORO, AL 35768
" 34.657799 -86.035165 1 0 6 82935 2897 334 10 10 1120738 3 4883.85 1125621.85 49.8822042540889 0.000401891413320275 452.377756160682 73.7488659947556 0.000183860868190778 206.95781059551
"STEVENSON PUBLIC LIBRARY" 2027 "102 WEST MAIN STREET
STEVENSON, AL 35772
" 34.87041 -85.836217 1 0 1.5 12152 0 928 0 10 170490 14.25 1091.5425 171581.5425 37.1796071163541 0.000723419827298808 124.125489843013 53.8233064486063 0.000345190832059669 59.2283754216565
"KILLEN PUBLIC LIBRARY" 989 "325 J. C. MAULDIN HIGHWAY
KILLEN, AL 35645
" 34.859024 -87.541704 1 0 3 24684 448 589 0 19 335228 22.5 1117.575 336345.575 91.7710712857197 0.000118737635721129 39.9368783607637 112.109311891831 7.95640031839614e-05 26.7610004002113
"LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY" 731 "11075 HIGHWAY 101
LEXINGTON, AL 35648
" 34.968624 -87.371197 1 0 2 16697 278 222 0 14 224191 22.5 793.425 224984.425 79.9418272041321 0.000156477485581382 35.2049971189731 97.2317844582251 0.000105775110443268 23.79775240239
"CULLMAN COUNTY PUBLIC LIBRARY" 80440 "200 CLARK STREET NE
CULLMAN, AL 35055
" 34.179117 -86.842659 1 4 13.53 81091 4016 12315 72 40 1269222 2.25 7459.2 1276681.2 94.4351605952636 0.000112132770768525 143.157800344085 113.53039134055 7.75846365959173e-05 99.0508469508396
"HOKES BLUFF - RUFUS FLOYD PUBLIC LIBRARY" 4343 "3310 ALFORDS BEND ROAD
HOKES BLUFF, AL 35903
" 33.991834 -85.866037 1 0 1.59 14080 460 0 0 12 189560 10 1541.4 191101.4 96.5079382702589 0.000107367767893139 20.5181307592539 139.170094572931 5.16307168932204e-05 9.86670228129807
"IDER PUBLIC LIBRARY" 719 "11309 ALABAMA HIGHWAY 75 UNIT 1
IDER, AL 35981
" 34.661511 -85.697972 1 0 1.3 8130 198 754 11 10 118659 22.5 680.325 119339.325 53.4638866965808 0.000349847636719885 41.7505808189963 74.3634036313023 0.000180834579807987 21.5806766909439
"GRANT PUBLIC LIBRARY" 912 "5379 MAIN STREET
GRANT, AL 35747
" 34.52494 -86.252558 1 0 1.05 17924 217 324 3 4 240264 22.5 773.1 241037.1 60.1784088252935 0.00027613318309519 66.5583416670337 93.6632408316453 0.000113988657459254 27.4754954268718
"EVA PUBLIC LIBRARY" 967 "4549 HIGHWAY 55 EAST
EVA, AL 35621
" 34.333763 -86.772298 1 0 1 14691 233 818 15 7 205156 22.5 802.725 205958.725 83.123274151045 0.000144728718707968 29.8081423759767 107.63418544248 8.63176370508222e-05 17.7778704720001
"CROSSVILLE PUBLIC LIBRARY" 1853 "8075 AL HWY 227
CROSSVILLE, AL 35962
" 34.288339 -85.987618 1 0 1.25 9985 324 163 2 12 136702 14.25 979.6575 137681.6575 75.5140006609209 0.000175365856708498 24.1446618205335 119.447723911666 7.00880928592081e-05 9.64984479586969
"WALNUT GROVE - WESTSIDE PUBLIC LIBRARY" 697 "5151 WALNUT GROVE ROAD
WALNUT GROVE, AL 35990
