"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"DISTRICT OF COLUMBIA PUBLIC LIBRARY" 658893 "901 G STREET, N.W. " 38.89841 -77.024209 1 25 570 1815540 86416 140667 2071 1000 26626022 2.25 129975.2775 26755997.2775 3.72278049813825 0.0721547854437253 1930573.24289091 6.67913554624877 0.0224160705999076 599764.323943377
"FRANKFORD PUBLIC LIBRARY" 7719 "8 MAIN STREET
FRANKFORD, DE 19945
" 38.517361 -75.234625 1 0 4.21 13428 713 1900 56 10 209711 7 2252.49 211963.49 98.74530312904 0.000102557424339707 21.7384295884553 120.620254265724 6.87320853555081e-05 14.5686926869314
"GEORGETOWN PUBLIC LIBRARY" 15885 "123 WEST PINE STREET
GEORGETOWN, DE 19947
" 38.687288 -75.387152 1 0 5.28 27990 985 1154 73 24 393706 4.5 2936.475 396642.475 88.4435425736761 0.000127840288036189 50.7068882513869 106.092559682851 8.88444175585494e-05 35.2394696703565
"HARRINGTON PUBLIC LIBRARY" 12346 "110 CENTER STREET
HARRINGTON, DE 19952
" 38.928421 -75.575476 1 0 3.45 19177 755 1350 3 8 277065 4.5 2184.21 279249.21 77.692765757666 0.000165668078822223 46.2626801333236 88.526973790498 0.000127599438397479 35.6320423689396
"LAUREL PUBLIC LIBRARY" 15185 "101 E. FOURTH ST
LAUREL, DE 19956
" 38.556064 -75.570801 1 0 8.16 52929 1741 3195 105 19 754465 4.5 3273.975 757738.975 80.4579471959661 0.000154476387395981 117.052779447134 106.25225247617 8.85775591903058e-05 67.1186689088641
"MILFORD PUBLIC LIBRARY" 26077 "11 S.E. FRONT STREET
MILFORD, DE 19963
" 38.912449 -75.427281 1 0 11.38 46997 3080 3930 79 34 704648 3 4053.93 708701.93 85.594311197412 0.000136492942778774 96.7328119786969 97.1012961835287 0.000106059590389537 75.1646364040742
"MILLSBORO PUBLIC LIBRARY" 17639 "217 WEST STATE STREET
MILLSBORO, DE 19966
" 38.593069 -75.29572 1 0 5.46 34243 1339 2848 86 8 501068 4.5 3200.265 504268.265 94.3837099154531 0.000112255056272659 56.6066624640913 114.502839673406 7.62724128497126e-05 38.4617572950883
"NEW CASTLE PUBLIC LIBRARY" 28130 "424 DELAWARE STREET
NEW CASTLE, DE 19720
" 39.66111 -75.565671 1 0 8.43 30067 1775 2918 96 22 454118 3 3796.2 457914.2 95.9574452425569 0.00010860320608544 49.7309502320493 110.598754769036 8.17522144638686e-05 37.4354998844508
"SEAFORD DISTRICT LIBRARY" 22874 "600 N MARKET ST EXT
SEAFORD, DE 19973
" 38.656285 -75.617502 1 0 9.77 33317 1357 1885 57 42 477898 4.5 4553.49 482451.49 76.4836742223641 0.000170947405593555 82.4738305402449 97.0491008736501 0.000106173703797739 51.2236615960379
