"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"DISTRICT OF COLUMBIA PUBLIC LIBRARY" 658893 "901 G STREET, N.W. " 38.89841 -77.024209 1 25 570 1815540 86416 140667 2071 1000 26626022 2.25 129975.2775 26755997.2775 84.2037569557317 0.000141038299140554 3773.62034782791 95.2079734549567 0.00011031977255803 2951.71553421706
"FRANKFORD PUBLIC LIBRARY" 7719 "8 MAIN STREET
FRANKFORD, DE 19945
" 38.517361 -75.234625 1 0 4.21 13428 713 1900 56 10 209711 7 2252.49 211963.49 44.613370966419 0.000502423472531679 106.495432695734 48.4322765854325 0.000426314625780432 90.3631359184644
"GEORGETOWN PUBLIC LIBRARY" 15885 "123 WEST PINE STREET
GEORGETOWN, DE 19947
" 38.687288 -75.387152 1 0 5.28 27990 985 1154 73 24 393706 4.5 2936.475 396642.475 31.2051997262926 0.00102694235650689 407.328957967224 33.9045820025601 0.000869927802718275 345.050316741488
"HARRINGTON PUBLIC LIBRARY" 12346 "110 CENTER STREET
HARRINGTON, DE 19952
" 38.928421 -75.575476 1 0 3.45 19177 755 1350 3 8 277065 4.5 2184.21 279249.21 14.8529132178488 0.00453290599758746 1265.81041883056 16.3458312103098 0.00374270829724861 1045.14833526712
"LAUREL PUBLIC LIBRARY" 15185 "101 E. FOURTH ST
LAUREL, DE 19956
" 38.556064 -75.570801 1 0 8.16 52929 1741 3195 105 19 754465 4.5 3273.975 757738.975 40.0782616004981 0.000622561483897333 471.739100682844 42.6193346340736 0.00055053719957811 417.163493307687
"LEWES PUBLIC LIBRARY" 17602 "111 ADAMS AVENUE
LEWES, DE 19958
" 38.767708 -75.141499 1 0 7.65 48680 2243 3568 94 25 710730 4.5 3523.77 714253.77 31.2824726435603 0.00102187518532569 729.878203588325 38.0454099195944 0.000690868615980583 493.455513538814
"MILFORD PUBLIC LIBRARY" 26077 "11 S.E. FRONT STREET
MILFORD, DE 19963
" 38.912449 -75.427281 1 0 11.38 46997 3080 3930 79 34 704648 3 4053.93 708701.93 15.4988049762079 0.00416297279688915 2950.30685569284 17.9036126610909 0.00311974180856648 2210.96704083275
"MILLSBORO PUBLIC LIBRARY" 17639 "217 WEST STATE STREET
MILLSBORO, DE 19966
" 38.593069 -75.29572 1 0 5.46 34243 1339 2848 86 8 501068 4.5 3200.265 504268.265 38.652215490713 0.000669346837454921 337.53036840663 42.2912498291225 0.00055911218867351 281.942533322744
"NEW CASTLE PUBLIC LIBRARY" 28130 "424 DELAWARE STREET
NEW CASTLE, DE 19720
" 39.66111 -75.565671 1 0 8.43 30067 1775 2918 96 22 454118 3 3796.2 457914.2 36.8628022724962 0.00073590763118744 336.982554209091 44.7189531112133 0.000500053813950536 228.981742172109
"REHOBOTH BEACH PUBLIC LIBRARY" 14537 "226 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
" 38.71584 -75.082919 1 0 6.28 33566 1885 1741 108 21 485845 4.5 2904.495 488749.495 36.0474498535641 0.000769574922576594 376.129354773975 41.1199622205376 0.000591418065047482 289.055280625834
"SEAFORD DISTRICT LIBRARY" 22874 "600 N MARKET ST EXT
SEAFORD, DE 19973
" 38.656285 -75.617502 1 0 9.77 33317 1357 1885 57 42 477898 4.5 4553.49 482451.49 33.6349835242699 0.000883929364193936 426.453038810117 36.6174953707731 0.000745800601593281 359.812611481575
"SELBYVILLE PUBLIC LIBRARY" 5161 "11 MAIN & MCCABE STREET
SELBYVILLE, DE 19975
" 38.455674 -75.219479 1 0 4.03 21632 1341 2302 37 9 329461 7 1688.31 331149.31 48.9310726997397 0.000417667349683561 138.31025465724 53.0975430921993 0.000354691799689743 117.455944729917
"SMYRNA PUBLIC LIBRARY" 33116 "107 SOUTH MAIN STREET
SMYRNA, DE 19977
" 39.299674 -75.604654 1 0 5.53 24024 833 2272 7 7 353083 3 3809.94 356892.94 13.2301080023549 0.00571311835268298 2038.97160545698 14.5407434103421 0.0047296257659152 1687.97004469723
"WILMINGTON INSTITUTE LIBRARY" 62169 "10 EAST 10TH STREET
WILMINGTON, DE 19801
" 39.745197 -75.547473 1 1 27.64 161008 4674 8506 244 45 2269641 2.25 8342.4075 2277983.4075 42.5605667483429 0.000552058619377865 1257.58037491014 52.0579865037842 0.00036899906613436 840.573750037068
"BRIDGEVILLE PUBLIC LIBRARY" 8511 "600 SOUTH CANNON STREET
BRIDGEVILLE, DE 19933
" 38.736125 -75.601878 1 0 5.98 26175 3046 2003 104 11 407759 7 2684.31 410443.31 28.0597923865625 0.00127008004686255 521.295858399222 30.1806951918178 0.00109784624689328 450.603647445955
"CORBIT-CALLOWAY MEMORIAL LIBRARY" 16232 "115 HIGH STREET
ODESSA, DE 19730
" 39.454694 -75.655652 1 0 4.23 39374 438 1155 109 4 534168 4.5 2825.82 536993.82 24.105396566996 0.00172096262546686 924.146294326679 27.4932581058073 0.00132296264455745 710.422764218207
"DELAWARE CITY PUBLIC LIBRARY" 7353 "250 FIFTH STREET
DELAWARE CITY, DE 19706
" 39.571461 -75.592415 1 0 3 19754 883 2431 82 11 301445 7 1994.13 303439.13 30.9406591732379 0.00104457800341032 316.965840571966 38.7655809213715 0.000665437707839781 201.919839136097
"DELMAR PUBLIC LIBRARY" 6237 "101 NORTH BI-STATE BLVD
DELMAR, DE 19940
" 38.456999 -75.574218 1 0 5.71 19288 1264 2291 48 12 298123 7 2166.27 300289.27 46.911753224289 0.00045439827276037 136.450925616472 49.7831409149092 0.000403492449986778 121.164453257041
"DOVER PUBLIC LIBRARY" 61194 "35 LOOCKERMAN PLAZA
DOVER, DE 19901
" 39.165299 -75.50791 1 0 18.8999999999999 100262 8946 9514 191 81 1549514 2.25 6965.59499999998 1556479.595 2.58984057574543 0.149091861913212 232058.440848472 2.8881404799483 0.119884592877287 186597.92256838
"SUSSEX COUNTY DEPT. OF LIBRARIES" 55375 "22215 DUPONT BLVD.
GEORGETOWN, DE 19947
" 38.680838 -75.394773 0 3 29.33 108090 7255 16677 718 82 1729310 2.25 8137.3125 1737447.3125 31.5781263897614 0.00100282991955766 1742.36414863004 34.1114991238644 0.000859406012656201 1493.17266703586
"KENT COUNTY PUBLIC LIBRARY" 56937 "497 SOUTH RED HAVEN LANE
DOVER, DE 19901
