"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ANSON PUBLIC LIBRARY" 2347 "1137 12TH ST
ANSON, TX 79501
" 32.756029 -99.898509 1 0 0.7 17120 76 0 8 6 223922 14.25 1108.3425 225030.3425 23.3145608307662 0.0018396937020626 413.98690387024 25.5141859395777 0.00153616040760754 345.682702658864
"DELEON CITY COUNTY LIBRARY" 4668 "125 E REYNOSA AVE
DE LEON, TX 76444
" 32.108804 -98.536364 1 0 1.5 10475 615 815 20 11 155520 10 1625.4 157145.4 79.3816669242043 0.000158693658088892 24.9379783778422 92.9001951110393 0.000115868863653093 18.2082589263107
"DUBLIN PUBLIC LIBRARY" 3698 "206 W BLACKJACK ST
DUBLIN, TX 76446
" 32.085509 -98.343785 1 0 3 16053 776 1590 30 20 240737 10 1559.4 242296.4 90.6810247646021 0.000121609404360871 29.4655208827832 104.116594380305 9.2248665434977e-05 22.3515195396994
"CENTENNIAL MEMORIAL LIBRARY" 3890 "210 S LAMAR ST
EASTLAND, TX 76448
" 32.40059 -98.819021 1 0 0.62 17243 550 344 0 7 236096 10 1260 237356 59.7506320694798 0.000280101214810193 66.4837039424881 66.1494774255285 0.000228532075939758 54.2434594167573
"LIBRARY OF GRAHAM" 8846 "910 CHERRY ST
GRAHAM, TX 76450
" 33.099344 -98.587927 1 0 3 57035 2141 2315 96 20 801531 7 2307.66 803838.66 86.6789166181718 0.000133098466251815 106.989692759914 100.277753613282 9.94467986440343e-05 79.9391813633104
"STONEWALL COUNTY LIBRARY" 1432 "516 S WASHINGTON AVE
ASPERMONT, TX 79502
" 33.139764 -100.228807 1 0 0.82 14265 514 111 0 8 193930 14.25 735.18 194665.18 54.4877088911381 0.000336823904552436 65.5678860080027 61.657573912287 0.000263043234139224 51.2053585214942
"HASKELL COUNTY LIBRARY" 5875 "300 N AVE E
HASKELL, TX 79521
" 33.158718 -99.733902 1 0 1.82 10404 354 486 9 13 146874 7 1506.75 148380.75 51.3205013147849 0.000379680436274594 56.3372678947515 55.6377148396237 0.000323043815737239 47.9334836619533
"ABILENE PUBLIC LIBRARY" 120099 "202 CEDAR ST
ABILENE, TX 79601
" 32.450889 -99.735428 1 2 35.5 306501 14470 27069 133 74 4529579 2.25 13431.6825 4543010.6825 6.51962590583232 0.0235263550258074 106880.482202531 8.08405930381399 0.0153017470484775 69516.000302146
"KENT COUNTY LIBRARY" 807 "156 W 4TH ST
JAYTON, TX 79528
" 33.248005 -100.577501 1 0 1 21693 220 13 5 3 285238 22.5 694.725 285932.725 71.3422355319078 0.000196474671833001 56.1785383106906 85.492810717437 0.000136817234918872 39.1205248073181
"CALLAHAN COUNTY LIBRARY" 3262 "100 W 4TH STE B1
BAIRD, TX 79504
" 32.394349 -99.394444 1 0 0.5 16105 303 0 13 2 213563 10 1053.6 214616.6 26.201280804368 0.00145664914026448 312.621085876487 30.8287869561435 0.0010521729365569 225.813778255857
"CARNEGIE LIBRARY OF BALLINGER" 5365 "204 N 8TH ST
BALLINGER, TX 76821
" 31.737814 -99.948525 1 0 1.3 14602 500 735 0 8 206241 7 1321.65 207562.65 47.7644604696767 0.000438318949983705 90.9786428038353 58.6464016304821 0.000290748350486551 60.3484981101172
"MUNDAY CITY-COUNTY LIBRARY" 3767 "131 S MUNDAY AVE
MUNDAY, TX 76371
" 33.445576 -99.627065 1 0 0.5 8388 0 0 5 4 109289 10 1205.1 110494.1 71.8681567255985 0.000193609644521215 21.3927234226916 76.8383312413785 0.000169372988791337 18.7147159608089
