"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"JACKSON COUNTY PUBLIC LIBRARY" 1353 "412 4TH STREET
WALDEN, CO 80480
" 40.731479 -106.282354 1 0 1.57 18970 971 96 12 8 260997 14.25 813.9075 261810.9075 79.4850559637077 0.000158281089613427 41.4397157117801 111.965153416929 7.97690171347674e-05 20.8843987664365
"RANGEVIEW LIBRARY DISTRICT" 359495 "5877 EAST 120TH AVENUE
THORNTON, CO 80602
" 39.914076 -104.919411 0 7 112.5 303465 34578 53424 816 312 5113719 2.25 41140.9125 5154859.9125 85.1769908174951 0.000137833699846317 710.513413929337 92.0308946524662 0.000118068137438192 608.624708623675
"AURORA PUBLIC LIBRARY" 344637 "14949 E ALAMEDA PARKWAY
AURORA, CO 80012
" 39.709076 -104.81416 1 3 61.6 209135 17173 11608 156 252 3106276 2.25 32502.9975 3138778.9975 99.3390863692389 0.000101335047904602 318.068320073623 108.770054805075 8.45242459926028e-05 265.302928101105
"BERTHOUD COMMUNITY LIBRARY DISTRICT" 11696 "236 WELCH AVENUE
BERTHOUD, CO 80513
" 40.304205 -105.076525 1 0 6 21551 1286 2654 22 11 332164 4.5 2478.96 334642.96 59.2067465315567 0.000285270988059394 95.4639278463203 65.7194874917668 0.0002315323416239 77.480668136753
"BOULDER PUBLIC LIBRARY" 102760 "1001 ARAPAHOE AVENUE
BOULDER, CO 80302
" 40.013593 -105.281293 1 4 76.88 226712 18722 19530 407 60 3452523 2.25 18468.3 3470991.3 81.2691321358081 0.000151407976734019 525.535769994381 101.890837237625 9.63229418842482e-05 334.336093270631
"BROOMFIELD/EISENHOWER PUBLIC LIBRARY" 59450 "3 COMMUNITY PARK ROAD
BROOMFIELD, CO 80020
" 39.917283 -105.06854 1 0 28.84 139238 10096 11061 226 37 2089738 2.25 8338.875 2098076.875 85.5884894274762 0.000136511512040637 286.411646583744 92.1912088185219 0.000117657869734941 246.855255652641
"EAST MORGAN COUNTY LIBRARY DISTRICT/BRUSH" 8184 "500 CLAYTON STREET
BRUSH, CO 80723
" 40.258432 -103.623143 1 0 8 31191 2280 2143 57 17 464488 7 2918.64 467406.64 89.3609611451154 0.000125228834142845 58.5327885978245 130.498216660246 5.87206489298573e-05 27.4464212149242
"DACONO PUBLIC LIBRARY" 4411 "512 CHERRY STREET
DACONO, CO 80514
" 40.085316 -104.937268 1 0 0.7 13957 47 421 11 9 188073 10 1428.3 189501.3 73.3838124745729 0.000185694678656333 35.1893830084573 78.2699740266196 0.000163233623232312 30.9329838062334
"DENVER PUBLIC LIBRARY" 648937 "10 W 14TH AVENUE PARKWAY
DENVER, CO 80204
" 39.737901 -104.988633 1 24 673.3 1340106 126905 217622 5155 961 22010489 2.25 144798.2475 22155287.2475 97.5364758271712 0.000105115287055576 2328.8593788197 101.481352604173 9.71018503387995e-05 2151.31938651986
"ESTES VALLEY PUBLIC LIBRARY DISTRICT" 12120 "335 EAST ELKHORN AVENUE
ESTES PARK, CO 80517
" 40.377144 -105.51959 1 0 15 33094 4425 5050 190 21 556812 4.5 3886.2 560698.2 63.2646641099731 0.000249848983469875 140.089875303389 105.184112741869 9.0385695503266e-05 50.6790967744293
"POUDRE RIVER PUBLIC LIBRARY DISTRICT" 186277 "301 E OLIVE STREET
FORT COLLINS, CO 80524
" 40.58422 -105.073641 0 3 96.88 306808 26667 26324 474 106 4688319 2.25 27105.6975 4715424.6975 40.3051036702489 0.000615573499142968 2902.69048098525 45.2272360097928 0.000488877337305353 2305.2642703777
"FORT MORGAN PUBLIC LIBRARY" 11327 "414 MAIN STREET
FORT MORGAN, CO 80701
" 40.251524 -103.801484 1 0 7 29828 1552 1925 53 18 434464 4.5 2579.145 437043.145 83.1620306106636 0.000144593852696058 63.1937521299519 121.051486944959 6.82432565391443e-05 29.8252474629094
"GILPIN COUNTY LIBRARY DISTRICT" 5589 "15131 HIGHWAY 119
BLACK HAWK, CO 80422
" 39.833866 -105.517189 1 0 4.5 33750 1500 2500 22 9 491441 7 1848.69 493289.69 96.9849571426739 0.000106314192174726 52.4436949004711 131.157493133831 5.81318019847455e-05 28.6758185801965
"GRAND COUNTY LIBRARY DISTRICT" 14287 "225 E JASPER AVE
GRANBY, CO 80446
" 40.086285 -105.938432 0 5 20 55337 6496 8960 199 30 924246 4.5 4928.745 929174.745 92.4598927622199 0.000116975047228781 108.690259680165 168.501373233748 3.52203048609706e-05 32.7258177880146
"JEFFERSON COUNTY PUBLIC LIBRARY" 552213 "10200 W 20TH AVE
LAKEWOOD, CO 80215
" 39.747433 -105.113061 0 10 186.5 727728 87386 121209 2715 332 12222434 2.25 65249.3775 12287683.3775 97.5448969503697 0.000105097138477833 1291.40036149689 104.513651559024 9.15490741816517e-05 1124.9260370474
"LAFAYETTE PUBLIC LIBRARY" 26685 "775 W BASELINE RD
LAFAYETTE, CO 80026
" 40.000258 -105.099546 1 0 18.25 61965 7146 5072 159 27 967661 3 5139.15 972800.15 80.1336371678655 0.000155729284930115 151.493471739409 87.9913504915058 0.000129157619928331 125.644552039924
"LONGMONT PUBLIC LIBRARY" 90227 "409 4TH AVE
LONGMONT, CO 80501
" 40.16572 -105.100021 1 0 49.5 237567 12106 15590 325 38 3454354 2.25 13515.3225 3467869.3225 68.8512497053332 0.000210948453133182 731.54166924939 76.487877017908 0.00017092861994323 592.75811743839
"LOUISVILLE PUBLIC LIBRARY" 32302 "951 SPRUCE STREET
LOUISVILLE, CO 80027
" 39.977799 -105.131452 1 0 17.85 74198 8933 5940 207 32 1162054 3 5584.68 1167638.68 81.9410380919106 0.000148935105279042 173.902389733681 93.1568220512757 0.000115231355536325 134.548587873046
"LOVELAND PUBLIC LIBRARY" 71224 "300 NORTH ADAMS AVENUE
LOVELAND, CO 80537
" 40.394907 -105.069234 1 0 35.5 133318 11191 5598 188 86 1957705 2.25 10132.62 1967837.62 52.9782096248686 0.000356291486540116 701.123790899365 58.4301639181279 0.000292904329168238 576.388157998122
"LYONS REGIONAL LIBRARY DISTRICT" 2102 "405 MAIN STREET
LYONS, CO 80540
