"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ANSON PUBLIC LIBRARY" 2347 "1137 12TH ST
ANSON, TX 79501
" 32.756029 -99.898509 1 0 0.7 17120 76 0 8 6 223922 14.25 1108.3425 225030.3425 96.0204235099771 0.000108460790576332 24.4069688512128 111.904880261474 7.98549691533061e-05 17.9697910588954
"IRAAN PUBLIC LIBRARY" 2369 "120 W 5TH ST
IRAAN, TX 79744
" 30.913013 -101.898354 1 0 1.62 17666 631 1274 17 4 254824 14.25 1255.7475 256079.7475 95.7198902582723 0.000109142931878222 27.9492944367847 123.147377185679 6.59401099275363e-05 16.8859267003657
"SCHLEICHER COUNTY PUBLIC LIBRARY" 3206 "201 SW MAIN ST
ELDORADO, TX 76936
" 30.855312 -100.605257 1 0 1.15 13537 293 1380 5 8 198155 10 1134.3 199289.3 41.8683446019741 0.000570464232705889 113.687417610994 44.4182087066748 0.000506848212539909 101.00942548333
"ABILENE PUBLIC LIBRARY" 120099 "202 CEDAR ST
ABILENE, TX 79601
" 32.450889 -99.735428 1 2 35.5 306501 14470 27069 133 74 4529579 2.25 13431.6825 4543010.6825 80.4061546453739 0.00015467545929353 702.692263891103 93.5979966942971 0.000114147628462143 518.573895485557
"KIMBLE COUNTY LIBRARY" 4481 "208 N 10TH ST
JUNCTION, TX 76849
" 30.489447 -99.770928 1 0 3 20304 1061 1392 49 18 297288 10 1794.3 299082.3 75.2878846059322 0.000176420809492152 52.7643414707747 93.2848248350255 0.000114915338122136 34.3691436308461
"CALLAHAN COUNTY LIBRARY" 3262 "100 W 4TH STE B1
BAIRD, TX 79504
" 32.394349 -99.394444 1 0 0.5 16105 303 0 13 2 213563 10 1053.6 214616.6 88.8568840482069 0.000126653688030628 27.181983902594 116.516087340152 7.36594064861498e-05 15.8085313780754
"CARNEGIE LIBRARY OF BALLINGER" 5365 "204 N 8TH ST
BALLINGER, TX 76821
" 31.737814 -99.948525 1 0 1.3 14602 500 735 0 8 206241 7 1321.65 207562.65 33.8915806547551 0.000870595366939379 180.70308143966 39.9791218760486 0.000625652952544905 129.862184810545
"MASON COUNTY M BEVEN ECKERT MEMORIAL LIBRARY" 4128 "410 POST HILL RD
MASON, TX 76856
" 30.741735 -99.232104 1 0 2 9684 644 2138 21 15 163006 10 1538.4 164544.4 84.1785739816524 0.000141122698173197 23.2209496972898 100.564827817615 9.88798437052405e-05 16.2701245545726
"MENARD PUBLIC LIBRARY" 2148 "105 E MISSION ST
MENARD, TX 76859
" 30.914583 -99.783454 1 0 0.89 10622 277 1340 23 10 159856 14.25 1051.77 160907.77 51.2528079007607 0.000380684043265509 61.2550204764366 62.5821765444219 0.000255328135115108 41.0842808396307
"CROCKETT COUNTY PUBLIC LIBRARY" 3807 "1201 AVE G
OZONA, TX 76943
" 30.708798 -101.20321 1 0 3.5 21730 1610 9 8 12 304181 10 1667.1 305848.1 69.1631860615591 0.000209049925722857 63.937522587477 92.5770812879814 0.000116679089375335 35.6860777951765
"COKE COUNTY LIBRARY" 3210 "706 AUSTIN ST
ROBERT LEE, TX 76945
" 31.893255 -100.486026 1 0 0.5 8035 247 40 5 2 108341 10 1038 109379 32.1248557791831 0.000968986277497848 105.986750046437 41.9724856152211 0.000567636903293549 62.0875568453451
"ROTAN PUBLIC LIBRARY" 3856 "404 E SAMMY BAUGH AVE
ROTAN, TX 79546
" 32.852766 -100.46229 1 0 0.5 13935 418 1612 6 8 207983 10 1231.8 209214.8 98.1657734543939 0.000103771910989459 21.7106196032775 110.236494463569 8.22904072618978e-05 17.2163710972165
