"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"MICHAEL NIVISON PUBLIC LIBRARY" 674 "90 SWALLOW PLACE
CLOUDCROFT, NM 88317
" 32.956902 -105.742848 1 0 1 11609 1331 400 9 7 173852 22.5 604.95 174456.95 22.1249943317442 0.00204283675803995 356.387070155538 29.5997116830502 0.00114136628145501 199.119280295482
"ALAMOGORDO PUBLIC LIBRARY" 56668 "920 OREGON AVENUE
ALAMOGORDO, NM 88310
" 32.899078 -105.944547 1 0 14 91280 6864 5142 88 18 1344672 2.25 5925.09 1350597.09 9.76319080448516 0.0104909893501974 14169.0996875976 10.7360781438354 0.00867578282738922 11717.4870401439
"ARTESIA PUBLIC LIBRARY" 11301 "205 W. QUAY AVE.
ARTESIA, NM 88210
" 32.840036 -104.399523 1 0 10 61995 2167 489 169 31 844055 4.5 3025.635 847080.635 98.7852226873777 0.000102474553242978 86.8042096324031 120.094572930518 6.9335114296998e-05 58.7324326464986
"HATCH PUBLIC LIBRARY" 1644 "530 E. HALL
HATCH, NM 87937
" 32.595052 -107.019294 1 0 2 10345 134 354 6 6 141177 14.25 1002.81 142179.81 56.2435222199045 0.000316122188124292 44.9461926442961 82.6873128114631 0.000146258879943766 20.7950597612175
"THOMAS BRANIGAN MEMORIAL LIBRARY" 120001 "200 E. PICACHO AVE.
LAS CRUCES, NM 88001
" 32.316336 -106.778939 1 1 38 184208 11425 18762 194 26 2790827 2.25 13800.0675 2804627.0675 53.8685867768218 0.000344610761710599 966.504670045339 59.8108541389638 0.000279537444807599 783.99828408718
"ROSWELL PUBLIC LIBRARY" 48366 "301 N. PENNSYLVANIA AVE
ROSWELL, NM 88201
" 33.395417 -104.526015 1 0 22.5 159012 8185 2262 130 26 2205827 3 7727.94 2213554.94 98.8040983908109 0.000102435403156211 226.746392687323 126.710949830365 6.22833132122573e-05 137.867535640559
"RUIDOSO PUBLIC LIBRARY" 15619 "107 KANSAS CITY ROAD
RUIDOSO, NM 88345
" 33.349725 -105.661222 1 0 6 42923 1755 1276 40 20 598822 4.5 3008.565 601830.565 43.2207455882519 0.000535322492013941 322.173437825958 59.2541041669256 0.00028481517623256 171.410478432616
"SOCORRO PUBLIC LIBRARY" 16844 "401 PARK STREET
SOCORRO, NM 87801
" 34.054967 -106.893973 1 0 8.25 58090 9371 1610 90 18 899903 4.5 3511.44 903414.44 95.4980966359761 0.000109650487894343 99.059834116795 142.266394919657 4.94077807423646e-05 44.6357025710061
"TRUTH OR CONSEQUENCES PUBLIC LIBRARY" 6475 "325 LIBRARY LANE
TRUTH OR CONSEQUENCE, NM 87901
" 33.133895 -107.253325 1 1 5.5 47475 2488 3129 63 12 691555 7 2184.75 693739.75 69.8951278417878 0.00020469450906667 142.004717546284 129.578585010004 5.95570987755909e-05 41.3171268153037
"SUNLAND PARK COMMUNITY LIBRARY" 14106 "984 MCNUTT RD
SUNLAND PARK, NM 88063
" 31.79569 -106.556496 1 0 5.07 38520 1509 2308 52 19 551912 4.5 2664.81 554576.81 77.2859444641249 0.00016741677160449 92.8454591369165 99.3854623634533 0.000101240498520369 56.1456327122361
"MESCALERO COMMUNITY LIBRARY" 3613 "148 COTTONWOOD DRIVE
MESCALERO, NM 88340
" 33.156739 -105.782384 1 0 2 9803 780 670 24 12 147141 10 1383.9 148524.9 28.3879344024768 0.00124088751209221 184.302693644744 39.2782134291076 0.000648181376369523 96.2710741071458
"TULAROSA PUBLIC LIBRARY" 2842 "515 FRESNO ST.
TULAROSA, NM 88352
" 33.072852 -106.019273 1 0 1 24000 66 2500 16 20 346466 10 1002.6 347468.6 16.4949839232948 0.00367532887664467 1277.06137930729 22.8292343445139 0.00191874520538771 666.70371027278
"ANTHONY PUBLIC LIBRARY" 9360 "750 LANDERS RD
ANTHONY, NM 88021
" 32.0140217 -106.5976427 1 0 2 2593 0 26 0 11 34542 7 2265.6 36807.6 64.3668649471282 0.000241365551494217 8.88408667317852 84.4035443100899 0.00014037140013975 5.16673434778385
"GRACE GREBING PUBLIC/SCHOOL LIBRARY" 592 "110 N MAIN
DELL CITY, TX 79837
" 31.88945 -105.396751 1 0 0.9 17392 160 2014 24 5 254895 22.5 534.6 255429.6 77.7496654953177 0.000165425684958192 42.2546165385971 155.591733257112 4.1307314616103e-05 10.5511108494654
"EL PASO PUBLIC LIBRARY" 674433 "501 N OREGON ST
EL PASO, TX 79901
" 31.760518 -106.489936 1 12 148.75 605844 25921 43189 1490 603 8820907 2.25 67836.7275 8888743.7275 78.3535195143775 0.000162885708749122 1447.84932194315 94.2554090496725 0.000112560868392553 1000.52471288626
"CLINT ISD PUBLIC LIBRARY" 43217 "12625 ALAMEDA AVE
EL PASO, TX 79836
" 31.592938 -106.237675 1 0 2 16396 106 686 21 34 225247 3 4189.53 229436.53 86.9209855269649 0.000132358158570005 30.3677966194916 108.604769657127 8.47817159628308e-05 19.4520227179575
