"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ANDOVER PUBLIC LIBRARY" 3273 "355 ROUTE 6
ANDOVER, CT 06232
" 41.739419 -72.375283 1 0 1.73 19961 770 1142 15 2 284634 10 1241.4 285875.4 75.1316619624904 0.000177155242312221 50.6443257581031 93.4128276187754 0.000114600618925392 32.761497775544
"BABCOCK LIBRARY" 4281 "25 POMPEY HOLLOW RD.
ASHFORD, CT 06278
" 41.863665 -72.16198 1 0 3.99 26877 762 1183 60 7 375781 10 1882.8 377663.8 61.2078624309981 0.000266922740002912 100.807056295912 77.1036573999279 0.000168209314728108 63.5265689956132
"AVON FREE PUBLIC LIBRARY" 18386 "281 COUNTRY CLUB RD.
AVON, CT 06001
" 41.790295 -72.860347 1 0 14.59 94973 6155 6163 246 37 1399646 4.5 4670.61 1404316.61 93.4324483882906 0.000114552491828831 160.867966992116 113.522313494973 7.75956782844048e-05 108.968899879006
"EAST BERLIN LIBRARY ASSOCIATION" 20590 "80 MAIN ST.
BERLIN, CT 06037
" 41.630817 -72.777044 1 0 0.2 7984 0 0 3 1 103876 4.5 2809.65 106685.65 95.9572254314915 0.000108603703644924 11.5864567157661 114.103918376477 7.68066605426551e-05 8.19416850432251
"BERLIN-PECK MEMORIAL LIBRARY" 20590 "234 KENSINGTON ROAD
BERLIN, CT 06037
" 41.627771 -72.770625 1 0 10.73 83789 6842 6739 129 14 1268117 4.5 4389.15 1272506.15 95.8200818054944 0.000108914806792811 138.594761469913 112.101234046255 7.95754701208392e-05 101.260275117909
"BERLIN FREE LIBRARY ASSOCIATION" 20590 "834 WORTHINGTON RIDGE
BERLIN, CT 06037
" 41.620536 -72.746025 1 0 0.75 23205 56 88 2 0 303563 4.5 2892.15 306455.15 95.1181191376574 0.000110528300439128 33.8719668903181 110.725514807312 8.15651395687635e-05 24.9960570813164
"PROSSER PUBLIC LIBRARY" 20673 "1 TUNXIS AVE.
BLOOMFIELD, CT 06002
" 41.894616 -72.747509 1 1 15.75 112344 6838 12942 155 32 1721067 4.5 5153.355 1726220.355 84.8492295004307 0.000138900623159193 239.773083019584 106.104365764848 8.88246474743309e-05 153.330914495889
"BENTLEY MEMORIAL LIBRARY" 4948 "206 BOLTON CENTER ROAD
BOLTON, CT 06043
" 41.770766 -72.435137 1 0 5.7 39661 3658 4473 69 9 622598 10 2339.4 624937.4 76.0806277849357 0.000172763432806621 107.966330513244 91.9557085513316 0.000118261289384143 73.9059027083739
"BROOKLYN TOWN LIBRARY ASSOCIATION" 8280 "10 CANTERBURY RD.
BROOKLYN, CT 06234
" 41.787556 -71.949659 1 0 2.15 23508 105 25 12 3 307585 7 2061.3 309646.3 57.7756013707765 0.000299578782008931 92.7634614075721 77.2658356841935 0.000167503924873892 51.8669705726786
"BURLINGTON PUBLIC LIBRARY" 9494 "34 LIBRARY LANE
BURLINGTON, CT 06013
" 41.770054 -72.967235 1 0 5.23 54270 2044 1972 71 6 758911 7 2778.24 761689.24 98.915579291324 0.000102204637568932 77.8481727143552 117.323871897797 7.26485960566816e-05 55.3356539174808
"CANTERBURY PUBLIC LIBRARY" 5096 "1 MUNICIPAL DRIVE
CANTERBURY, CT 06331
" 41.697844 -71.994018 1 0 3.12 17389 556 1884 24 6 258359 7 1538.16 259897.16 64.1538040249415 0.000242971409864827 63.1475793850644 84.4464190289187 0.000140228898975825 36.4450925937439
"CANTON PUBLIC LIBRARY" 10357 "40 DYER AVENUE
CANTON, CT 06019
" 41.821904 -72.919724 1 0 9.36999999999999 67327 3688 6071 107 16 1004229 4.5 2803.695 1007032.695 95.0442600040579 0.000110700150826643 111.478671223861 117.876272260678 7.19692892311244e-05 72.4754272916537
"CHAPLIN PUBLIC LIBRARY" 2276 "130 CHAPLIN ST.
CHAPLIN, CT 06235
" 41.799049 -72.127616 1 0 0.83 15580 325 1561 10 3 227323 14.25 1097.49 228420.49 63.0752888571997 0.000251351513037639 57.4138357702988 82.7109249754558 0.000146175384427018 33.3894529367577
"CHESTER PUBLIC LIBRARY" 4343 "21 WEST MAIN STREET
CHESTER, CT 06412
" 41.401637 -72.453393 1 0 1.99 18684 927 1198 73 1 271511 10 1601.4 273112.4 94.8602265704796 0.000111130094786041 30.3510068992433 129.081486820684 6.00166957811075e-05 16.3913038248481
"CRAGIN MEMORIAL LIBRARY" 16210 "8 LINWOOD AVENUE
COLCHESTER, CT 06415
" 41.574391 -72.332926 1 0 8.35 53197 2754 4451 86 18 787154 4.5 3440.85 790594.85 81.7060115595725 0.000149793158305203 118.425699521328 109.60020878124 8.32486572052198e-05 65.8159596558621
"SAXTON B. LITTLE FREE LIBRARY" 5460 "319 ROUTE 87
COLUMBIA, CT 06237
" 41.703646 -72.303463 1 0 4.31 49121 5142 5770 93 6 781908 7 1793.1 783701.1 74.1355932934 0.000181947656002941 142.592578151926 93.330185044801 0.000114803663273647 89.9717571915865
"CROMWELL BELDEN PUBLIC LIBRARY" 14178 "39 WEST ST.
CROMWELL, CT 06416
" 41.598364 -72.651177 1 0 9.43 73136 3900 4700 125 7 1064508 4.5 3328.53 1067836.53 92.2888481551789 0.000117409043152907 125.373665231021 110.69444617048 8.16109318088053e-05 87.1471342327813
"DEEP RIVER PUBLIC LIBRARY" 4589 "150 MAIN ST.
DEEP RIVER, CT 06417
" 41.386815 -72.435993 1 0 3.02 33042 2176 2252 113 5 488804 10 1829.7 490633.7 95.0916734012445 0.000110589786553525 54.2590761589662 130.646724744305 5.85872275260203e-05 28.7448682138332
"DURHAM PUBLIC LIBRARY" 7361 "7 MAPLE AVE.
DURHAM, CT 06422
" 41.471397 -72.68099 1 0 10.06 55383 2689 6275 67 12 837922 7 3054.81 840976.81 99.3324812558559 0.00010134852490077 85.2317591692553 119.973405246871 6.947523564439e-05 58.4270620462174
"EAST GRANBY PUBLIC LIBRARY" 5212 "24 CENTER STREET
EAST GRANBY, CT 06026
" 41.942936 -72.72962 1 0 4.58 37864 732 2824 86 17 540343 7 1781.52 542124.52 82.5151392160204 0.000146869875438133 79.6217607243578 109.569761517144 8.32949299357073e-05 45.1562239098289
"EAST HADDAM FREE PUBLIC LIBRARY" 9147 "18 PLAINS RD.
MOODUS, CT 06469
" 41.499992 -72.449655 1 1 6.86 41677 1477 4652 87 12 623149 7 2949.87 626098.87 89.5676331730598 0.000124651584607255 78.0442162663118 117.835883032796 7.20186338299111e-05 45.0907852598511
"EAST HAMPTON PUBLIC LIBRARY" 12912 "105 MAIN ST.
EAST HAMPTON, CT 06424
" 41.594192 -72.510936 1 0 6.91 67430 4527 6017 75 8 1014997 4.5 2779.62 1017776.62 87.09778973707 0.000131821342932691 134.164680853895 116.727354070613 7.33930130715286e-05 74.6976927755562
"MIDDLE HADDAM PUBLIC LIBRARY" 12912 "2 KNOWLES RD.
EAST HAMPTON, CT 06456
" 41.55229 -72.550293 1 0 7.58 55505 3433 4396 109 16 825479 4.5 2880.12 828359.12 90.5753076682759 0.000121893448570047 100.971549791249 119.553978649633 6.99635653002922e-05 57.9549573842126
"EAST HARTFORD PUBLIC LIBRARY" 51199 "840 MAIN ST.
EAST HARTFORD, CT 06108
" 41.768424 -72.644339 1 1 16.98 190188 4576 3740 25 38 2582587 2.25 6002.9325 2588589.9325 84.824780756479 0.000138980704360482 359.764052119303 97.996694297041 0.000104130306824169 269.550663913181
"EAST LYME PUBLIC LIBRARY" 18937 "39 SOCIETY ROAD
NIANTIC, CT 06357
" 41.346711 -72.216958 1 0 13.23 111573 3495 5672 174 25 1573007 4.5 4540.995 1577547.995 90.7981461989353 0.000121295876335787 191.350066515288 114.470528291101 7.63154774698909e-05 120.391328470094
"BROAD BROOK LIBRARY" 11406 "78 MAIN ST.
BROAD BROOK, CT 06016
" 41.919319 -72.54611 1 0 6.7 49031 3032 3883 96 14 729176 4.5 2544.81 731720.81 74.9496421544183 0.000178016751925464 130.25856191247 92.8821753016765 0.000115913826798379 84.8165592351096
"LIBRARY ASSOCIATION OF WAREHOUSE POINT" 11406 "107 MAIN ST.
EAST WINDSOR, CT 06088
" 41.897782 -72.608186 1 0 4.38 36651 1119 2271 46 11 521626 4.5 2196.81 523822.81 78.4615452761643 0.000162437495812826 85.0884655060379 97.8432152310885 0.000104457245322944 54.7170877699237
"HALL MEMORIAL LIBRARY" 15786 "93 MAIN STREET
ELLINGTON, CT 06029
" 41.903438 -72.4735 1 0 9.35 59617 4206 3409 75 15 875666 4.5 3533.61 879199.61 72.3254041868873 0.000191169349022947 168.076017104929 88.1529074030348 0.000128684642097885 113.13948714545
"ENFIELD PUBLIC LIBRARY" 44748 "104 MIDDLE ROAD
ENFIELD, CT 06082
" 41.985814 -72.554892 1 1 22.15 119278 4792 15862 232 32 1823572 3 7349.82 1830921.82 73.1476917493114 0.000186895458316573 342.190972690713 98.6062609516945 0.000102846855480107 188.304551816914
"ESSEX LIBRARY ASSOCIATION" 6633 "33 WEST AVE.
ESSEX, CT 06426
" 41.353862 -72.396756 1 0 6.73 38030 2758 3026 42 13 570713 7 2402.43 573115.43 95.6555951398809 0.000109289702510564 62.6356148489143 133.351560266942 5.62346241776983e-05 32.22893081649
"IVORYTON LIBRARY ASSOCIATION" 6633 "106 MAIN ST.
IVORYTON, CT 06442
" 41.34829 -72.440763 1 0 1.81 9428 519 1676 20 6 151629 7 1664.43 153293.43 97.343026811798 0.000105533491721932 16.1775909259315 132.768091267228 5.67299729674597e-05 8.69633213998918
"FARMINGTON LIBRARIES" 25613 "6 MONTEITH DRIVE
FARMINGTON, CT 06032
" 41.749709 -72.867243 1 1 30.01 178979 11316 12355 148 40 2638174 3 6806.67 2644980.67 95.1755828372785 0.000110394874459473 291.992309012384 111.025016466378 8.11256720389599e-05 214.575834383808
"WELLES-TURNER MEMORIAL LIBRARY" 34768 "2407 MAIN ST.
GLASTONBURY, CT 06033
" 41.713039 -72.608983 1 0 13.02 123324 10854 9644 200 30 1873636 3 5082.12 1878718.12 85.6020973139216 0.000136468113909944 256.385118404836 102.83035281544 9.45708621376573e-05 177.671992322039
"SOUTH GLASTONBURY PUBLIC LIBRARY" 34768 "80 HIGH ST.
GLASTONBURY, CT 06073
" 41.667389 -72.606014 1 0 16.8099999999999 108199 6518 7646 167 26 1594060 3 5650.61999999998 1599710.62 87.4374085509904 0.000130799307526759 209.241041339203 105.845874706401 8.92590227109632e-05 142.788606561549
"GRANBY PUBLIC LIBRARY" 11323 "15 NORTH GRANBY RD.
GRANBY, CT 06035
" 41.955809 -72.792439 1 1 7.88 60948 2904 6139 233 23 913947 4.5 2710.605 916657.605 85.0566600713169 0.000138223965908729 126.704049543497 112.949407831782 7.83848412812162e-05 71.8520608771447
"WILLIMANTIC PUBLIC LIBRARY" 25213 "905 MAIN ST.
WILLIMANTIC, CT 06226
" 41.712621 -72.216079 1 0 10.25 48941 2120 1493 45 15 684462 3 3806.67 688268.67 70.5590375089886 0.000200860576123413 138.246041583895 90.8533933165149 0.000121148403361721 83.3826504543955
"SLATER LIBRARY" 16307 "26 MAIN ST.
GRISWOLD, CT 06351
" 41.604563 -71.98417 1 0 2.88 25599 423 1373 12 9 356696 4.5 2633.445 359329.445 69.283320730841 0.000208325584858832 74.8575167866244 89.3782544397082 0.000125180379188624 44.9809961787377
"BILL MEMORIAL LIBRARY" 40176 "240 MONUMENT ST.
GROTON, CT 06340
" 41.35574 -72.080235 1 0 3.13 19256 500 260 40 9 261133 3 4085.34 265218.34 86.6983025533501 0.000133038950674472 35.2843696532254 112.470950824562 7.90531658176199e-05 20.9663494098939
"GROTON PUBLIC LIBRARY" 40176 "52 NEWTOWN ROAD, ROUTE 117
GROTON, CT 06340
" 41.355988 -72.051577 1 0 25.1 127972 10718 7828 154 51 1909031 3 7380.84 1916411.84 85.9889683617896 0.000135242914967224 259.181123519301 113.945468328632 7.70204203506778e-05 147.602845481816
