"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"HONDO PUBLIC LIBRARY" 9002 "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 1 0 4.18 23590 521 716 15 18 323756 7 2517.42 326273.42 31.4143560105985 0.0010133131477219 330.617146238188 33.8001913828029 0.000875309579207638 285.590249966837
"DRISCOLL PUBLIC LIBRARY" 4543 "202 E HONDO AVE
DEVINE, TX 78016
" 29.13969 -98.904766 1 0 2.08 18482 428 1567 25 10 266976 10 1674.9 268650.9 24.263597124573 0.0016985941632627 456.328850695271 29.1274684031963 0.00117867621650251 316.652426371995
"SAM FORE JR WILSON COUNTY PUBLIC LIBRARY" 45418 "1 LIBRARY LN
FLORESVILLE, TX 78114
" 29.130587 -98.157763 1 0 6.32 42132 1971 2153 54 15 602705 3 5035.62 607740.62 33.1117747787661 0.000912084512248012 554.310806966004 39.116035144842 0.000653567344714304 397.199423288425
"PIONEER MEMORIAL LIBRARY" 24886 "115 W MAIN ST
FREDERICKSBURG, TX 78624
" 30.275635 -98.87312 1 0 5.43 37336 1058 838 61 4 510989 4.5 4174.11 515163.11 63.2589333173209 0.000249894254469568 128.736301303674 76.4928479998012 0.000170906404651523 88.0446749391971
"LIVE OAK COUNTY LIBRARY" 10824 "402 HOUSTON ST
GEORGE WEST, TX 78022
" 28.334276 -98.114991 1 1 3.29 29157 643 1704 25 14 410507 4.5 1954.74 412461.74 79.0475829578375 0.000160037887459708 66.0095055275553 93.2127455975742 0.000115093129526502 47.4715124665464
"AUSTIN PUBLIC LIBRARY" 885400 "800 GUADALUPE ST
AUSTIN, TX 78701
" 30.271168 -97.745485 1 21 338.95 1079228 105368 110820 366 610 16872616 2.25 110607 16983223 80.5680494390701 0.000154054468896201 2616.34139941074 92.3558725937341 0.000117238692972994 1991.09086698888
"JOHNSON CITY LIBRARY" 5119 "501 NUGENT ST
JOHNSON CITY, TX 78636
" 30.280735 -98.411992 1 0 2.33 15780 916 1108 14 20 232534 7 1424.49 233958.49 63.0235128961745 0.000251764670326163 58.9024821048569 74.163321610101 0.000181811627600135 42.5363738577699
"JOURDANTON COMMUNITY LIBRARY" 9250 "1101 CAMPBELL AVE
JOURDANTON, TX 78026
" 28.917233 -98.54409 1 0 3 32994 1016 68 53 12 444243 7 2392.5 446635.5 32.8749050147829 0.000925275337650924 413.260813069389 37.0220090223321 0.000729591953085631 325.861666762377
"KENDALIA PUBLIC LIBRARY" 3074 "2610B HWY 473
KENDALIA, TX 78027
" 29.968924 -98.522498 1 0 0.5 9501 392 767 5 4 138825 10 997.2 139822.2 40.6292489923264 0.000605790433190512 84.7029511076504 51.0532267886214 0.000383666258404139 53.6450603158353
"KENEDY PUBLIC LIBRARY" 6179 "303 W MAIN ST
KENEDY, TX 78119
" 28.818619 -97.85026 1 0 2.62 21443 300 886 36 8 295005 7 1690.59 296695.59 60.9697018697256 0.00026901212628749 79.8147115260213 67.9806628804355 0.000216386025411032 64.2007794770813
"BUTT-HOLDSWORTH MEMORIAL LIBRARY" 22663 "505 WATER ST
KERRVILLE, TX 78028
" 30.048378 -99.143204 1 1 8.6 51024 1618 3035 139 27 726823 4.5 4349.505 731172.505 55.4444775785181 0.000325299509590334 237.850057302436 72.050032932755 0.000192633418911459 140.848259452206
"KYLE PUBLIC LIBRARY" 41016 "550 SCOTT ST
KYLE, TX 78640
" 29.987615 -97.882242 1 0 7 46026 1056 4612 52 49 674903 3 4741.44 679644.44 60.7447500793005 0.000271008243134342 184.189245640424 70.0840095939951 0.000203592661218104 138.370620221688
"LEON VALLEY PUBLIC LIBRARY" 10808 "6425 EVERS RD
LEON VALLEY, TX 78238
" 29.500845 -98.61338 1 0 4.35 52280 1770 3525 42 7 749336 4.5 2111.58 751447.58 7.83313958072106 0.0162977731739022 12246.9222109177 12.4349112058359 0.00646717515063618 4859.74311638169
"LLANO COUNTY LIBRARY SYSTEM" 19444 "102 E HAYNIE ST
LLANO, TX 78643
" 30.75126 -98.675528 1 2 9.82 47341 3624 4922 11 28 727934 4.5 4097.94 732031.94 94.3741619009461 0.000112277771539272 82.1909149187699 114.087762685324 7.68284148923754e-05 56.2408536007904
"DR EUGENE CLARK LIBRARY" 13098 "217 S MAIN ST
LOCKHART, TX 78644
" 29.883175 -97.672136 1 0 6.88 43126 1458 1753 186 30 606149 4.5 2800.23 608949.23 66.5258329615907 0.000225953648325288 137.594300163375 78.4625995749811 0.000162433130509868 98.9135297504734
"BANDERA COUNTY LIBRARY" 8328 "515 MAIN ST
BANDERA, TX 78003
" 29.726059 -99.072683 1 0 2.35 30149 1051 2881 43 13 444197 7 2101.38 446298.38 35.885966511452 0.000776516529671641 346.558069235675 48.4434612946922 0.000426117792004752 190.175680260898
"JB NICKELLS MEMORIAL LIBRARY" 5659 "215 S PECAN AVE
LULING, TX 78648
" 29.679137 -97.650518 1 0 1.85 19205 260 1700 16 6 275623 7 1465.89 277088.89 61.7607564301248 0.000262165045710075 72.643021512604 67.1231685038587 0.000221949975915781 61.4998724620304
"LYTLE PUBLIC LIBRARY" 5396 "19325 W FM 2790 S
LYTLE, TX 78052
" 29.232542 -98.804427 1 0 3.75 19652 890 1495 3 15 287195 7 1695.66 288890.66 15.438895936158 0.00419534345214024 1211.99553881547 19.7397690978911 0.00256634987037094 741.394507842376
"BASTROP PUBLIC LIBRARY" 30229 "1100 CHURCH ST
BASTROP, TX 78602
" 30.111881 -97.321248 1 0 9.8 45417 2816 3217 87 31 671376 3 4190.61 675566.61 92.7213478092566 0.000116316286386416 78.5793992818604 111.254924378938 8.07907266429509e-05 54.579517317615
"NEW BRAUNFELS PUBLIC LIBRARY" 63279 "700 E COMMON ST
NEW BRAUNFELS, TX 78130
" 29.713597 -98.112608 1 1 21.62 103951 9817 14167 222 45 1668066 2.25 7514.3325 1675580.3325 37.9749663637328 0.000693434115596243 1161.9045659776 47.1087526563685 0.000450605812669163 755.026237418629
"PEARSALL PUBLIC LIBRARY" 9618 "200 E TRINITY ST
PEARSALL, TX 78061
" 28.895129 -99.095325 1 0 2.62 40196 651 1801 71 15 556022 7 2412.78 558434.78 44.5445861199912 0.000503976334828067 281.437913664918 49.9552611629612 0.000400716783290613 223.774188719201
"PLEASANTON PUBLIC LIBRARY" 9512 "115 N MAIN ST
PLEASANTON, TX 78064
" 28.95927 -98.484163 1 0 4.5 32298 378 2409 61 15 457573 7 2672.52 460245.52 30.764078261721 0.00105660384072063 486.297184106464 44.9302198416742 0.000495362256319949 227.988259248348
"JOE BARNHART BEE COUNTY LIBRARY" 25391 "110 W CORPUS CHRISTI ST
BEEVILLE, TX 78102
" 28.40199 -97.748273 1 0 6.9 40740 2658 2240 48 26 595088 3 3320.19 598408.19 86.2566468909216 0.00013440482413092 80.4289475354519 113.450234257522 7.7694308562099e-05 46.4929105599472
"POTEET PUBLIC LIBRARY" 7577 "500 AVE H
POTEET, TX 78065
" 29.037364 -98.574646 1 0 2 13025 274 256 21 12 177028 7 1891.17 178919.17 24.3969179652539 0.00168008041130033 300.598592723114 28.4961537027601 0.00123148041889373 220.335454419719
"ROUND ROCK PUBLIC LIBRARY SYSTEM" 109821 "216 E MAIN AVE
ROUND ROCK, TX 78664
" 30.509119 -97.677109 1 0 30.5 172791 17589 18513 293 56 2721938 2.25 11987.9175 2733925.9175 95.9883883557975 0.000108533198041598 296.721723035084 109.057129009408 8.40798404867463e-05 229.868055045981
"SAN ANTONIO PUBLIC LIBRARY" 1682012 "600 SOLEDAD ST
SAN ANTONIO, TX 78205
" 29.432011 -98.493364 1 26 406 1687560 131590 199564 1872 694 26298848 2.25 174435.81 26473283.81 8.25060917372186 0.014690208820967 388898.067345624 12.8108417115091 0.0060931892847894 161306.729244281
