"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"GYPSUM COMMUNITY LIBRARY" 399 "521 MAPLE ST.
GYPSUM, KS 67448
" 38.70609 -97.427632 1 0 0.38 5928 55 258 32 3 81684 22.5 326.325 82010.325 74.9211029677173 0.000178152399179685 14.6103361562557 83.6336634893807 0.000142967643188753 11.7248228823936
"KANOPOLIS PUBLIC LIBRARY" 482 "221 N. KANSAS
KANOPOLIS, KS 67454
" 38.71171 -98.157913 1 0 0.4 6520 50 598 9 3 93436 22.5 385.35 93821.35 89.4938813186184 0.000124857119856792 11.714263542076 119.90878248226 6.95501407768515e-05 6.52528810037426
"INDEPENDENT TOWNSHIP" 754 "108 MAIN
CLAFLIN, KS 67525
" 38.522551 -98.533616 1 0 0.53 11191 180 540 10 5 155198 22.5 588.45 155786.45 93.1124321618683 0.000115341251202956 17.9686040634667 121.879776802913 6.73188517312857e-05 10.4873649292934
"J.H. ROBBINS MEMORIAL LIBRARY" 3077 "219 N. LINCOLN AVE.
ELLSWORTH, KS 67439
" 38.72913 -98.229652 1 0 3.23 16168 718 1351 52 7 238072 10 1407.6 239479.6 92.6809038694701 0.000116417824354029 27.8796940091731 119.527880994693 6.99941202520193e-05 16.7621639203055
"ELLINWOOD SCHOOL COMMUNITY LIBRARY" 2114 "210 N. SCHILLER
ELLINWOOD, KS 67526
" 38.355799 -98.577623 1 0 3.28 28342 956 977 57 9 394721 14.25 1395.735 396116.735 87.942978433872 0.000129299742430053 51.2177918077335 114.811661923521 7.58626471696597e-05 30.0504641053026
"GREAT BEND PUBLIC LIBRARY" 15901 "1409 WILLIAMS
GREAT BEND, KS 67530
" 38.365851 -98.766558 1 0 12.68 69777 1964 2678 122 27 970248 4.5 4048.635 974296.635 96.9450770885814 0.00010640167857266 103.666797391694 121.535536306809 6.77007432302361e-05 65.9606063162181
"SALINA PUBLIC LIBRARY" 47846 "301 W. ELM STREET
SALINA, KS 67401
" 38.845133 -97.611348 1 0 36.24 242166 15078 22060 261 70 3637495 3 9742.14 3647237.14 86.1717928050783 0.000134669653567871 491.172162123673 97.0416444008103 0.000106190020746182 387.300187562844
"BURNS PUBLIC LIBRARY" 217 "104 NORTH WASHINGTON AVE
BURNS, KS 66840
" 38.089352 -96.886623 1 0 0.25 6784 79 354 5 4 94066 22.5 183.975 94249.975 37.3932202824189 0.000715178193792334 67.4055268854726 47.0317024370239 0.000452083442205318 42.6088531257652
"ELM CREEK TOWNSHIP LIBRARY" 299 "213 NORTH 5TH ST.
WILSEY, KS 66873
" 38.637252 -96.676747 1 0 0.25 6664 34 46 0 4 87852 22.5 239.325 88091.325 76.2493819113224 0.00017199956353396 15.1516694511282 103.204419202903 9.38865567380336e-05 8.27059118274106
"GOESSEL PUBLIC LIBRARY" 517 "101 S. CEDAR
GOESSEL, KS 67053
" 38.245954 -97.34934 1 0 0.63 7573 74 627 19 3 107944 22.5 443.475 108387.475 42.8112005303318 0.000545613599502542 59.1376803757418 48.3278859656754 0.000428158336164738 46.4070009570971
"HOPE COMMUNITY LIBRARY" 355 "216 N. MAIN
HOPE, KS 67451
" 38.690683 -97.077756 1 0 0.4 2960 11 160 0 3 40838 22.5 299.625 41137.625 73.8465732496643 0.00018337465318092 7.54359771706175 92.077497607715 0.000117948652616614 4.85212744059752
"FLORENCE PUBLIC LIBRARY" 447 "324 MAIN ST.
FLORENCE, KS 66851
