"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"MARION COUNTY PUBLIC LIBRARY SYSTEM" 337455 "2720 EAST SILVER SPRINGS BLVD.
OCALA, FL 34470
" 29.18869 -82.10021 1 7 107.85 519466 23954 27050 422 212 7431136 2.25 38955.7125 7470091.7125 95.0881998371309 0.000110597866372701 826.176205010894 107.985882411423 8.57563004197823e-05 640.607429060476
"ORANGE COUNTY LIBRARY DISTRICT" 1182511 "101 EAST CENTRAL BLVD.
ORLANDO, FL 32801
" 28.542187 -81.376276 1 14 293 1252212 88435 357976 1064 527 22119646 2.25 123769.4925 22243415.4925 82.6983476699137 0.000146219850424935 3252.42888625304 92.5230218598929 0.000116815475918295 2598.37516680476
"CITRUS COUNTY LIBRARY SYSTEM" 140798 "425 W. ROOSEVELT BOULEVARD
BEVERLY HILLS, FL 34465
" 28.910327 -82.442133 0 5 45.75 203699 7597 11778 152 133 2907923 2.25 16366.365 2924289.365 72.9212405902203 0.000188058038868239 549.936123065149 90.1531062423105 0.000123037814994267 359.798173880574
"TAMPA-HILLSBOROUGH COUNTY PUBLIC LIBRARY" 1276410 "900 NORTH ASHLEY DRIVE
TAMPA, FL 33602
" 27.951147 -82.46159 1 24 319.12 2071830 64306 299992 2924 1525 31776301 2.25 134025.675 31910326.675 6.71332656659575 0.0221883216274968 708036.59150339 8.76135558676228 0.0130273891434032 415708.243288346
"LAKE COUNTY LIBRARY SYSTEM" 309736 "2401 WOODLEA RD.
TAVARES, FL 32778
" 28.789553 -81.753016 0 15 108.73 495963 32419 52639 910 446 7585173 2.25 37216.68 7622389.68 78.5121704755558 0.000162228081672281 1236.56565554499 98.807585718369 0.000102428172547392 780.747445366498
"LEE COUNTY LIBRARY SYSTEM" 653485 "2345 UNION STREET
FORT MYERS, FL 33901
" 26.638562 -81.865468 0 13 231.5 1070367 94371 214916 1894 523 17983659 2.25 78835.2375 18062494.2375 92.5612893314407 0.000116718906199516 2108.23457063605 139.488237414095 5.13954682265762e-05 928.330348676148
"MANATEE COUNTY PUBLIC LIBRARY SYSTEM" 339545 "1301 BARCARROTA BLVD., WEST
BRADENTON, FL 34205
" 27.499142 -82.574034 1 5 63.48 438769 23019 21086 475 125 6289162 2.25 32441.2875 6321603.2875 25.3049934046608 0.00156166379928613 9872.21900753692 43.7856512607653 0.000521598546564924 3297.33908672004
"MAITLAND PUBLIC LIBRARY" 16411 "501 SOUTH MAITLAND AVENUE
MAITLAND, FL 32751
" 28.623642 -81.365553 1 0 15.5 64232 0 0 51 11 836174 4.5 4540.485 840714.485 86.5469307646773 0.000133504731606756 112.239361677837 100.820212012378 9.83795399301748e-05 82.7091042469338
"WINTER PARK PUBLIC LIBRARY" 29073 "460 E. NEW ENGLAND AVENUE
WINTER PARK, FL 32789
" 28.595989 -81.346325 1 0 31 101489 14407 13859 223 23 1690749 3 7266.57 1698015.57 86.3367507451857 0.000134155536317653 227.798189469075 98.1725427815129 0.000103757600638058 176.182021389265
"NEW PORT RICHEY PUBLIC LIBRARY" 15107 "5939 MAIN STREET
NEW PORT RICHEY, FL 34652
" 28.250197 -82.716162 1 1 15.05 88196 4091 7525 126 22 1300184 4.5 4296.945 1304480.945 30.5669396312878 0.00107027672613486 1396.15559511991 41.6164390371208 0.000577391208571889 753.19582939255
"PASCO COUNTY PUBLIC LIBRARY COOPERATIVE" 479340 "8012 LIBRARY ROAD
HUDSON, FL 34667
" 28.354464 -82.68244 0 8 105.5 532761 13602 21620 886 160 7402497 2.25 48180.45 7450677.45 36.4074880883103 0.000754429336357051 5621.00964401395 47.2261921035953 0.000448367516616536 3340.64174536733
"SARASOTA COUNTY PUBLIC LIBRARIES" 387140 "1660 RINGLING BLVD.
SARASOTA, FL 34236
" 27.334898 -82.537158 0 9 126.66 734898 61391 88795 2254 298 11548804 2.25 45130.95 11593934.95 36.2358015201432 0.000761595300749557 8829.88637511605 68.5051014701679 0.000213085634525736 2470.50098547086
"ALTAMONTE SPRINGS CITY LIBRARY" 42719 "281 NORTH MAITLAND AVENUE
ALTAMONTE SPRINGS, FL 32701
" 28.629157 -81.365712 1 0 7.5 33047 434 2382 19 16 467186 3 4969.71 472155.71 86.7721976217728 0.000132812455630364 62.7081592849978 100.438689152075 9.91283615552563e-05 46.8040219312588
"SEMINOLE COUNTY PUBLIC LIBRARY SYSTEM" 437086 "215 N. OXFORD ROAD
CASSELBERRY, FL 32707
" 28.660438 -81.336681 1 4 70 555024 22326 4920 544 94 7580812 2.25 40003.305 7620815.305 89.4923623353487 0.000124861358374599 951.545350904238 102.811090260604 9.46063028098007e-05 720.977160402393
"HERNANDO COUNTY PUBLIC LIBRARY SYSTEM" 174955 "238 HOWELL AVE
BROOKSVILLE, FL 34601
" 28.556899 -82.387612 1 4 36.2999999999999 154625 4078 7464 457 101 2170657 2.25 17254.4625 2187911.4625 48.8044145122689 0.000419838039972797 918.568460050016 59.0534007729877 0.000286754455314381 627.393359705279
"OSCEOLA LIBRARY SYSTEM" 295553 "211 E. DAKIN AVENUE
KISSIMMEE, FL 34741
" 28.292309 -81.404182 1 5 60.75 203818 9334 19183 218 218 3032999 2.25 29062.3275 3062061.3275 72.6750769472831 0.000189334169705749 579.752839030295 81.2743112083214 0.000151388680897622 463.561425197846
"CITRUS SPRINGS MEMORIAL LIBRARY" 8622 "1826 W COUNTRY CLUB BLVD
CITRUS SPRINGS, FL 34434
" 28.990633 -82.465738 1 0 4.22 28444 1088 1792 39 15 408394 7 2443.62 410837.62 78.4347062290298 0.000162548681631424 66.7811134955921 95.45403705867 0.000109751735977223 45.0901419997506
"EUSTIS MEMORIAL LIBRARY" 19098 "120 NORTH CENTER STREET
EUSTIS, FL 32726
" 28.854093 -81.6815 1 0 11.5 116733 1836 3897 139 55 1596340 4.5 4303.23 1600643.23 84.6599870958406 0.000139522292676317 223.325413206426 117.592926292766 7.23165341986108e-05 115.75297088207
"PINELLAS PUBLIC LIBRARY COOPERATIVE" 909924 "1330 CLEVELAND STREET
CLEARWATER, FL 33755
" 27.965675 -82.781725 0 25 360.46 1860710 125082 157556 2037 910 27930955 2.25 115488.87 28046443.87 19.4749636564343 0.0026366148163112 73947.6694524824 25.2289758534555 0.00157108889106732 44063.4563981003
"SUMTER COUNTY LIBRARY SYSTEM" 111125 "7375 POWELL ROAD, SUITE 150
WILDWOOD, FL 34785
