"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"DARIEN LIBRARY" 21330 "1441 POST ROAD
DARIEN, CT 06820
" 41.068646 -73.477842 1 0 28.05 116720 5863 11299 275 71 1747236 4.5 7087.05 1754323.05 92.1566448405885 0.000117746143057966 206.564772815188 115.34045012241 7.51686440413337e-05 131.870084878957
"GREENWICH LIBRARY" 62396 "101 WEST PUTNAM AVE.
GREENWICH, CT 06830
" 41.028823 -73.628911 1 2 92.23 356941 53256 35194 597 100 5802344 2.25 18046.23 5820390.23 85.1331137439616 0.000137975813710148 803.073078094844 106.095666546535 8.88392142649217e-05 517.078894748427
"PERROT MEMORIAL LIBRARY" 62396 "90 SOUND BEACH AVE.
OLD GREENWICH, CT 06870
" 41.038074 -73.569621 1 0 21.08 62938 3954 3514 115 16 917493 2.25 7373.73 924866.73 87.5128091834823 0.000130574012465815 120.763559932238 110.128996980129 8.245113385078e-05 76.2563105493632
"NEW CANAAN LIBRARY" 20194 "151 MAIN ST.
NEW CANAAN, CT 06840
" 41.145663 -73.491674 1 0 24.14 142091 12426 13692 168 30 2190251 4.5 6347.19 2196598.19 95.890965742794 0.000108753843623956 238.888496059925 118.575316589409 7.11232206238456e-05 156.22913768931
"EAST NORWALK LIBRARY" 87776 "51 VAN ZANT ST.
NORWALK, CT 06855
" 41.101715 -73.405715 1 0 1.95 27188 451 2432 32 14 391969 2.25 6217.38 398186.38 96.3249767200413 0.000107776028142779 42.9149464969512 120.340015161495 6.90525746840661e-05 27.4957947431279
"NORWALK PUBLIC LIBRARY" 87776 "1 BELDEN AVE.
NORWALK, CT 06850
" 41.116988 -73.415139 1 1 41.91 223974 17417 23649 235 71 3451770 2.25 12211.38 3463981.38 96.8170657107075 0.000106683232862027 369.548732192264 120.203934532168 6.92090094427214e-05 239.738720037831
"ROWAYTON LIBRARY" 87776 "33 HIGHLAND AVE.
NORWALK, CT 06853
" 41.06512 -73.436574 1 0 4.15 26140 555 5811 27 10 423379 2.25 6547.38 429926.38 93.355246644629 0.000114742032516341 49.3306266735929 117.862602060472 7.19859848008799e-05 30.9486738561773
"FERGUSON LIBRARY" 126456 "ONE PUBLIC LIBRARY PLAZA
STAMFORD, CT 06904
" 41.048979 -73.538892 1 3 86.85 397181 11898 36293 313 200 5802905 2.25 21563.28 5824468.28 89.0964705370235 0.000125973443055803 733.728323200911 111.701070003853 8.01466424522571e-05 466.811576711673
"WESTPORT LIBRARY" 27308 "20 JESUP ROAD
WESTPORT, CT 06880
" 41.140755 -73.361705 1 0 45.36 142154 8555 18520 324 52 2206529 3 9261.72 2215790.72 99.8678929842407 0.000100264738523179 222.165677162886 123.463655908633 6.56027030892287e-05 145.361860712028
"HARRINGTON PUBLIC LIBRARY" 12346 "110 CENTER STREET
HARRINGTON, DE 19952
" 38.928421 -75.575476 1 0 3.45 19177 755 1350 3 8 277065 4.5 2184.21 279249.21 93.0625126956642 0.000115465024305189 32.2435168198549 132.720245566506 5.67708826952476e-05 15.8532241436506
"LEWES PUBLIC LIBRARY" 17602 "111 ADAMS AVENUE
LEWES, DE 19958
" 38.767708 -75.141499 1 0 7.65 48680 2243 3568 94 25 710730 4.5 3523.77 714253.77 92.5932245205625 0.000116638407921805 83.309422584947 154.6590527794 4.18070292266663e-05 29.8608282376466
"MILFORD PUBLIC LIBRARY" 26077 "11 S.E. FRONT STREET
MILFORD, DE 19963
" 38.912449 -75.427281 1 0 11.38 46997 3080 3930 79 34 704648 3 4053.93 708701.93 89.7600171368388 0.00012411782208528 87.9625400592347 134.517255520897 5.52642147951605e-05 39.1658556852648
"NEW CASTLE PUBLIC LIBRARY" 28130 "424 DELAWARE STREET
NEW CASTLE, DE 19720
" 39.66111 -75.565671 1 0 8.43 30067 1775 2918 96 22 454118 3 3796.2 457914.2 58.1824768592493 0.000295403467675985 135.269442578074 70.1654094224962 0.000203120554095583 93.0117860322357
"REHOBOTH BEACH PUBLIC LIBRARY" 14537 "226 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
" 38.71584 -75.082919 1 0 6.28 33566 1885 1741 108 21 485845 4.5 2904.495 488749.495 95.0756777492861 0.00011062700121417 54.0688909767901 157.733605080343 4.01931034703604e-05 19.6443590236214
"SMYRNA PUBLIC LIBRARY" 33116 "107 SOUTH MAIN STREET
SMYRNA, DE 19977
" 39.299674 -75.604654 1 0 5.53 24024 833 2272 7 7 353083 3 3809.94 356892.94 74.4282389892153 0.000180519662561611 64.4261930994213 102.908024407521 9.44281580597268e-05 33.7007429487206
"WILMINGTON INSTITUTE LIBRARY" 62169 "10 EAST 10TH STREET
WILMINGTON, DE 19801
" 39.745197 -75.547473 1 1 27.64 161008 4674 8506 244 45 2269641 2.25 8342.4075 2277983.4075 54.9093350199944 0.000331671100338 755.541263317231 70.9458535797283 0.000198676254283814 452.581210722779
"CORBIT-CALLOWAY MEMORIAL LIBRARY" 16232 "115 HIGH STREET
ODESSA, DE 19730
" 39.454694 -75.655652 1 0 4.23 39374 438 1155 109 4 534168 4.5 2825.82 536993.82 69.703338803589 0.000205822494417039 110.525407518935 90.3997912187605 0.000122367234497363 65.710448695575
"DELAWARE CITY PUBLIC LIBRARY" 7353 "250 FIFTH STREET
DELAWARE CITY, DE 19706
" 39.571461 -75.592415 1 0 3 19754 883 2431 82 11 301445 7 1994.13 303439.13 62.4367728728333 0.000256518743661075 77.8378244052097 86.0520461804218 0.000135044716276806 40.9778512181307
"DOVER PUBLIC LIBRARY" 61194 "35 LOOCKERMAN PLAZA
DOVER, DE 19901
" 39.165299 -75.50791 1 0 18.8999999999999 100262 8946 9514 191 81 1549514 2.25 6965.59499999998 1556479.595 77.7388188696277 0.000165471850713919 257.553559183101 115.451675842271 7.50238794174143e-05 116.773137450946
"KENT COUNTY PUBLIC LIBRARY" 56937 "497 SOUTH RED HAVEN LANE
DOVER, DE 19901
" 39.080051 -75.55067 1 0 9.68 42897 2588 5995 97 19 671356 2.25 5295.2475 676651.2475 83.7885650608196 0.000142439517619678 96.3818772906536 121.894068375856 6.73030669454941e-05 45.5407042092446
"DEPARTMENT OF COMMUNITY SERVICES" 434965 "77 READS WAY
NEW CASTLE, DE 19720
" 39.686953 -75.612016 0 9 145.93 739817 67459 98008 1960 278 11806682 2.25 51249.6375 11857931.6375 59.6434584269134 0.000281108749897529 3333.36833898798 72.9938981197261 0.000187683842327814 2225.54217178655
"CECIL COUNTY PUBLIC LIBRARY" 101694 "301 NEWARK AVENUE
ELKTON, MD 21921
" 39.619614 -75.835391 1 6 69.3 273425 23748 33549 660 112 4313006 2.25 17259.345 4330265.345 72.4064746096416 0.000190741500444407 825.961309227717 84.9093417177228 0.000138704021261633 600.625216481393
