"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"BOISE PUBLIC" 216282 "715 S CAPITOL BLVD
BOISE, ID 83702
" 43.610066 -116.20707 1 3 113.34 354810 31241 25705 769 152 5369665 2.25 31600.035 5401265.035 42.8082001980528 0.000545690083888923 2947.41677005546 53.6412442367679 0.000347538013208878 1877.14491907848
"ADA COUNTY DISTRICT" 51743 "10664 W VICTORY RD
BOISE, ID 83709
" 43.575717 -116.314839 1 3 39.35 149601 13290 19128 182 101 2373158 2.25 9395.1525 2382553.1525 43.2467603956214 0.000534678646197889 1273.90029407321 56.14102675631 0.000317277516734558 755.930547713294
"BELLEVUE PUBLIC" 2300 "117 E PINE
BELLEVUE, ID 83313
" 43.463032 -114.25924 1 0 1.23 17118 150 205 2 3 227310 14.25 1167.75 228477.75 85.7806923245218 0.000135900453476148 31.0502298342101 106.456062733791 8.82387201719264e-05 20.1605842477614
"BRUNEAU VALLEY DISTRICT" 842 "32073 RUTH ST
BRUNEAU, ID 83604
" 42.880712 -115.798888 1 0 0.55 9583 26 441 7 5 130966 22.5 650.85 131616.85 11.7654875751945 0.00722403998144944 950.805386632434 19.8609367815378 0.00253513179403599 333.666061065865
"BUHL PUBLIC" 4231 "215 BROADWAY N
BUHL, ID 83316
" 42.600062 -114.761162 1 0 4.18 32806 1301 2847 38 16 481616 10 1896.3 483512.3 63.7499018758218 0.000246059965468714 118.973019841699 89.7398933724384 0.00012417349404491 60.0394117046905
"CALDWELL PUBLIC" 50224 "1010 DEARBORN ST
CALDWELL, ID 83605
" 43.661688 -116.687878 1 0 12.5 67654 1751 1724 143 19 927391 2.25 5265.12 932656.12 59.5720205220096 0.000281783357234355 262.806972638767 77.7250301365777 0.000165530566665767 154.383096047896
"LITTLE WOOD RIVER DISTRICT" 1194 "16 PANTHER AVE
CAREY, ID 83320
" 43.314511 -113.9439 1 0 0.48 16639 76 1300 2 4 234401 14.25 582.435 234983.435 98.5370826412456 0.000102991314174879 24.2012527799773 115.823256738787 7.45432726144306e-05 17.5164342550803
"EAGLE PUBLIC" 22502 "100 N STIERMAN WY
EAGLE, ID 83616
" 43.695482 -116.347195 1 0 14.18 77624 7467 5999 151 13 1186718 4.5 5164.77 1191882.77 51.2208670432267 0.000381158973376232 454.29681299802 65.4510544695341 0.000233435393479964 278.227623396939
"EMMETT PUBLIC" 6599 "275 S HAYES AVE
EMMETT, ID 83617
" 43.873871 -116.498684 1 0 3.7 49140 1791 4912 3 7 726313 7 1940.79 728253.79 65.6811611144576 0.000231802628712605 168.811142891918 85.8445076863808 0.00013569847635868 98.8229297054338
"CAMAS COUNTY DISTRICT" 1096 "607 SOLDIER RD
FAIRFIELD, ID 83327
" 43.34693 -114.79197 1 0 1.27 13473 1232 1552 8 18 212255 14.25 659.04 212914.04 57.8742920528899 0.000298557934072586 63.5671759174479 71.475263151354 0.000195744006860682 41.6766473064955
"FILER PUBLIC" 2655 "219 MAIN ST
FILER, ID 83328
" 42.570216 -114.606365 1 0 1.08 15241 168 694 3 3 209513 10 958.5 210471.5 71.6666371880366 0.000194699997921894 40.9788006126179 98.4092857941765 0.000103258982238014 21.7330728801082
"GARDEN VALLEY DISTRICT" 1670 "85 OLD CROUCH RD
GARDEN VALLEY, ID 83622
" 44.112063 -115.969525 1 0 3.7 27401 1597 3600 48 9 424803 14.25 1268.925 426071.925 74.0492723876519 0.000182372104219948 77.7036335112941 109.602694272186 8.3244881541874e-05 35.4683069249432
"GARDEN CITY PUBLIC" 11420 "6015 GLENWOOD ST
GARDEN CITY, ID 83714
" 43.659476 -116.279731 1 0 12.18 31540 2866 4209 71 36 504538 4.5 3368.7 507906.7 47.4518386950794 0.000444113432778787 225.568188068346 60.8386046453826 0.000270172729503262 137.222539471994
"GLENNS FERRY PUBLIC" 1241 "298 S LINCOLN
GLENNS FERRY, ID 83623
" 42.9514 -115.297846 1 0 0.9 19865 841 512 0 4 276014 14.25 665.5275 276679.5275 29.2567008334723 0.00116828633881058 323.240912206815 40.1475138876807 0.000620415566603356 171.656285821461
"GOODING PUBLIC" 3461 "306 5TH AVE W
GOODING, ID 83330
" 42.940654 -114.71606 1 0 3 25877 679 1396 32 12 364332 10 1488.3 365820.3 58.4213387922209 0.000292992828092633 107.182724270695 71.3801931226466 0.000196265770120098 71.7980029050652
"EASTERN OWYHEE COUNTY DISTRICT" 1696 "520 BOISE AVE
GRAND VIEW, ID 83624
" 42.989086 -116.0962 1 0 1.3 18430 388 314 36 9 249589 14.25 920.04 250509.04 12.4489573776719 0.00645258954257204 1616.43201182376 17.1679073408975 0.00339285483641429 849.940807929501
"HORSESHOE BEND DISTRICT" 1714 "392 HWY 55
HORSESHOE BEND, ID 83629
" 43.904303 -116.20153 1 0 1.15 11587 115 290 35 4 156531 14.25 905.235 157436.235 61.8752617389256 0.00026119562717093 41.1216561402549 85.0516360744156 0.000138240296159824 21.7640317526877
"HAGERMAN PUBLIC" 856 "290 S STATE ST
HAGERMAN, ID 83332
" 42.814778 -114.898583 1 0 0.75 8081 93 49 3 4 107118 22.5 690.3 107808.3 51.3142525234671 0.000379772913048796 40.9426721418385 67.5711782469832 0.000219016591733067 23.611806426536
"HAILEY PUBLIC" 8076 "7 W CROY ST
HAILEY, ID 83333
" 43.518664 -114.314771 1 0 7.93 43316 1916 2096 85 12 616909 7 2885.46 619794.46 84.5368307333698 0.000139929111203952 86.7272879169331 111.349373034909 8.06537283080921e-05 49.9887339837007
"HOMEDALE PUBLIC" 2582 "125 W OWYHEE AVE
HOMEDALE, ID 83628
" 43.618697 -116.93652 1 0 1.57 9023 248 336 2 3 125052 10 1010.1 126062.1 67.0909576061336 0.000222163146942847 28.0063528462239 89.6392309891011 0.000124452537451971 15.6887482215241
"HANSEN DISTRICT" 2136 "120 W MAPLE AVE
HANSEN, ID 83334
" 42.530714 -114.301287 1 0 0.83 11018 642 1669 19 7 173839 14.25 1037.64 174876.64 86.8299806755693 0.000132635748099532 23.1948939715325 103.984863360135 9.24825400138875e-05 16.1730358562942
"BOISE BASIN DISTRICT" 3594 "123 MONTGOMERY ST
IDAHO CITY, ID 83631
" 43.825428 -115.834173 1 0 8 19201 539 3162 33 10 298605 10 2278.2 300883.2 54.0434667950213 0.000342384108507261 103.017626196812 81.3420408366163 0.000151136677624023 45.4744872008845
"JEROME PUBLIC" 11189 "100 1ST AVE E
JEROME, ID 83338
" 42.725152 -114.518434 1 0 5.8 35265 1449 680 18 29 487661 4.5 2380.515 490041.515 71.5879969702506 0.00019512799313556 95.6208173750594 85.2082220040514 0.000137732678583477 67.4947304780552
"KIMBERLY PUBLIC" 3510 "120 MADISON ST W
KIMBERLY, ID 83341
" 42.53462 -114.365076 1 0 1.45 16943 267 874 11 6 235505 10 1270.5 236775.5 83.769696086987 0.000142503693338456 33.7413832420597 106.013645345297 8.8976734635122e-05 21.0675108315983
"KUNA DISTRICT" 27931 "457 N LOCUST
KUNA, ID 83634
" 43.49486 -116.374234 1 0 24 65173 2478 4417 54 21 938531 3 6113.79 944644.79 40.4544201697147 0.000611037745032973 577.213622338746 58.6072551480731 0.000291136888607459 275.020944999847
"LIZARD BUTTE DISTRICT" 5854 "111 3RD AVE W
MARSING, ID 83639
" 43.544992 -116.806223 1 0 1 17179 942 6 0 14 236281 7 1379.34 237660.34 58.8129288149253 0.00028910418962774 68.7086000023532 76.6867162936359 0.000170043375088698 40.4125663383276
"MERIDIAN DISTRICT" 87743 "1326 W CHERRY LN
MERIDIAN, ID 83642
" 43.619218 -116.409089 1 1 45 130231 5440 18409 143 47 2007014 2.25 12672.6525 2019686.6525 48.3605518387927 0.000427580119342678 863.577859910763 62.8692507487541 0.000253001694985726 510.984146422547
"MOUNTAIN HOME PUBLIC" 13780 "790 N 10TH E
MOUNTAIN HOME, ID 83647
" 43.137335 -115.687513 1 0 7.98 36807 2245 56 96 23 510687 4.5 3057.3 513744.3 10.9081435803667 0.00840423733656502 4317.62902750746 13.5005654491904 0.0054865088340871 2818.6626404119
"PRAIRIE DISTRICT" 115 "71 SMITH CREEK RD
PRAIRIE, ID 83647
" 43.503695 -115.573724 1 0 0.1 2665 86 365 3 0 40547 22.5 92.625 40639.625 34.9298549252373 0.000819608466986232 33.3085807451453 54.4695340947221 0.000337048717461409 13.6975334843626
"MIDDLETON PUBLIC" 6420 "307 CORNELL ST
MIDDLETON, ID 83644
" 43.719289 -116.633299 1 0 2.25 16971 350 443 7 13 231608 7 1685.7 233293.7 60.6876504336111 0.00027151845416884 63.343544791329 83.9474567213889 0.000141900822736783 33.1045679693083
"NAMPA PUBLIC" 88211 "101 11TH AVE S
NAMPA, ID 83651
" 43.579329 -116.561066 1 0 27 103665 10679 8257 167 15 1596659 2.25 10004.2425 1606663.2425 51.0609641456272 0.000383549991978455 616.235673772954 69.9870754470777 0.000204157015354632 328.011572268796
"NOTUS PUBLIC" 545 "387 FIRST ST
NOTUS, ID 83656
" 43.725834 -116.800326 1 0 0.45 6985 96 451 0 8 98276 22.5 435.375 98711.375 66.6854358106923 0.000224873361760392 22.1975587402407 84.3544558638945 0.000140534820525368 13.8723853694373
"ARMORAL TUTTLE PUBLIC" 1510 "301 N PLYMOUTH AVE
NEW PLYMOUTH, ID 83655
" 43.972764 -116.819759 1 0 0.63 10972 105 674 0 2 152853 14.25 740.025 153593.025 80.2032168150223 0.000155459198792322 23.877448606589 99.556339866032 0.000100893260423141 15.496501070503
"PATRICIA ROMANKO PUBLIC" 2066 "121 N 3RD ST
