"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"SUWANNEE RIVER REGIONAL LIBRARY SYSTEM" 77822 "1848 OHIO/M L KING AVENUE SOUTH
LIVE OAK, FL 32064
" 30.29342 -82.992586 1 7 38.68 210710 10342 27894 358 130 3246802 2.25 11054.985 3257856.985 48.2052784226523 0.000430339101550337 1401.98324790439 60.6851255794301 0.000271541048132649 884.641900373172
"COLUMBIA COUNTY PUBLIC LIBRARY" 67826 "308 NW COLUMBIA AVENUE
LAKE CITY, FL 32055
" 30.192183 -82.637974 1 2 24.3 123025 4549 7739 178 50 1763633 2.25 8223.255 1771856.255 63.0654285569844 0.000251430116963253 445.498025436721 74.6728472541539 0.000179338931399948 317.762807366014
"GADSDEN COUNTY PUBLIC LIBRARY" 48096 "732 S. PAT THOMAS PARKWAY
QUINCY, FL 32351
" 30.576529 -84.592494 1 2 12 145350 3233 7737 107 79 2037106 3 6128.64 2043234.64 87.4838237459048 0.000130660551250078 266.970164395656 118.411274186934 7.13204198470391e-05 145.724352370814
"LEROY COLLINS LEON COUNTY PUBLIC LIBRARY SYST" 281292 "200 WEST PARK AVENUE
TALLAHASSEE, FL 32301
" 30.442224 -84.283729 1 6 103.5 672719 33894 44656 261 347 9785505 2.25 34512.21 9820017.21 74.388515449141 0.000180712509391129 1774.59995228317 96.7843960878373 0.00010675526697822 1048.33855898427
"WILDERNESS COAST PUBLIC LIBRARIES" 57676 "1180 WEST WASHINGTON STREET
MONTICELLO, FL 32344
" 30.545001 -83.88198 0 4 19.8 104119 3211 8190 12 86 1505786 2.25 6863.13 1512649.13 50.3558730167923 0.00039436624981748 596.537764687774 60.7652826624579 0.000270825126758581 409.663392373507
"THREE RIVERS REGIONAL LIBRARY SYSTEM" 64837 "305 W. MAIN ST.
MAYO, FL 32066
" 30.053015 -83.177744 0 6 21.5 145985 5810 10356 202 60 2113289 2.25 7601.4975 2120890.4975 63.3413978314996 0.000249244000621474 528.619232476968 76.1026259211851 0.000172663569649271 366.200524133568
"NEW RIVER PUBLIC LIBRARY COOPERATIVE" 69961 "110 N. LAKE AVE
LAKE BUTLER, FL 32054
" 30.023778 -82.338123 0 3 26.82 140228 4640 4365 151 55 1944467 2.25 8745.3675 1953212.3675 82.8739552222172 0.000145600835555475 284.389352725288 96.3923098910112 0.000107625510593269 210.215478349276
"FITZGERALD-BEN HILL COUNTY LIBRARY" 18092 "123 NORTH MAIN STREET
FITZGERALD, GA 31750
" 31.715232 -83.254279 1 0 7.25 55280 697 2498 36 26 761813 4.5 3529.92 765342.92 51.7727703270129 0.00037307589641315 285.530995942458 56.7002622192949 0.000311049756198912 238.059728674563
"BROOKS COUNTY PUBLIC LIBRARY" 16570 "404 BARWICK RD.
QUITMAN, GA 31643
" 30.788801 -83.569888 1 0 4.9 63332 1703 4910 40 17 910570 4.5 2971.95 913541.95 25.5971063252881 0.00152622391765261 1394.26957386901 32.2138267861359 0.000963641204286816 880.326664864526
"SATILLA REGIONAL LIBRARY SYSTEM" 53946 "200 S. MADISON AVENUE, SUITE D
DOUGLAS, GA 31533
" 31.50801 -82.849457 1 5 9.88 89732 698 1537 114 48 1199213 2.25 5123.355 1204336.355 42.4871509577087 0.000553968130178718 667.163958685603 51.706910907577 0.000374026879922 450.454169237284
"MOULTRIE-COLQUITT COUNTY LIBRARY SYSTEM" 47638 "204 5TH STREET SE
MOULTRIE, GA 31768
" 31.177743 -83.782947 1 1 12.77 123924 1464 1008 40 31 1645063 3 6202.92 1651265.92 37.8252973679125 0.000698932600839852 1154.12358414381 47.2193570034921 0.000448497330271777 740.588356688769
"SOUTHWEST GEORGIA REGIONAL LIBRARY SYSTEM" 43433 "301 S. MONROE STREET
BAINBRIDGE, GA 39819
" 30.903936 -84.570008 1 2 18.64 171593 5390 10272 92 64 2438391 3 6704.97 2445095.97 81.8202810667517 0.000149375050775539 365.236334669817 94.9724731877664 0.000110867563856988 271.081833590439
"OCMULGEE REGIONAL LIBRARY SYSTEM" 83071 "531 SECOND AVENUE
EASTMAN, GA 31023
" 32.192318 -83.18045 1 5 13 121465 1668 1187 120 83 1621455 2.25 7557.2925 1629012.2925 84.6511493139209 0.000139551427117449 227.330990210243 97.7655436390073 0.000104623287123542 170.432620806007
"DOUGHERTY COUNTY PUBLIC LIBRARY" 97331 "300 PINE AVENUE
ALBANY, GA 31701
" 31.578402 -84.153985 1 3 36 279104 7541 23349 160 112 4037042 2.25 11969.8425 4049011.8425 70.7590153083738 0.000199726843685664 808.696355348402 89.9934134489915 0.0001234748622061 499.951179323553
"THREE RIVERS REGIONAL LIBRARY SYSTEM" 151031 "280 S. MAHOGANY ST.
JESUP, GA 31546
" 31.597337 -81.8776419 1 8 37.5 240058 9271 18083 138 147 3484765 2.25 15819.5925 3500584.5925 89.0970115831563 0.000125971913100173 440.975338086214 100.681645892105 9.8650521831869e-05 345.334496766725
"RODDENBERY MEMORIAL LIBRARY" 25865 "320 NORTH BROAD STREET
CAIRO, GA 39828
" 30.879413 -84.208193 1 0 7.37 63139 1491 1721 68 21 864392 3 3433.35 867825.35 60.5536217579486 0.000272721735880655 236.674835893237 72.1084419700001 0.000192321472757351 166.901449408164
"SOUTH GEORGIA REGIONAL LIBRARY" 134337 "300 WOODROW WILSON DRIVE
VALDOSTA, GA 31602
" 30.859609 -83.28565 1 5 21 263130 5448 17379 118 95 3723250 2.25 12217.7475 3735467.7475 9.33004662130566 0.0114876811335455 42911.8623679235 12.972398623038 0.00594236643662078 22197.5181678234
"DE SOTO TRAIL REGIONAL LIBRARY SYSTEM" 38051 "145 EAST BROAD STREET
CAMILLA, GA 31730
" 31.231175 -84.204277 1 5 10.8 121933 2924 8663 62 56 1739086 3 5044.59 1744130.59 62.588546936309 0.000255276162107784 445.234963229985 73.9303068338574 0.000182959507558339 319.105273863835
"LAKE BLACKSHEAR REGIONAL LIBRARY SYSTEM" 78425 "307 EAST LAMAR STREET
AMERICUS, GA 31709
" 32.071975 -84.22895 1 5 17.9899999999999 196282 3259 6036 113 81 2677615 2.25 7992.18749999999 2685607.1875 97.7559129400585 0.000104643902654287 281.032417096404 122.903799072912 6.62017370463314e-05 177.791860836613
"KINCHAFOONEE REGIONAL LIBRARY SYSTEM" 32515 "913 FORRESTER DRIVE, SE
DAWSON, GA 39842
" 31.761446 -84.437316 1 5 10.74 100129 1607 10614 56 74 1464608 3 4537.35 1469145.35 91.6985901266153 0.000118925417076607 174.718723494909 111.335081461966 8.06744359342507e-05 118.522472416677
"THOMAS COUNTY PUBLIC LIBRARY SYSTEM" 45590 "201 NORTH MADISON STREET
THOMASVILLE, GA 31792
" 30.838373 -83.982344 1 5 19.36 113796 2914 6206 133 81 1603282 3 7007.1 1610289.1 47.7050331900574 0.000439411678588077 707.579836443084 57.4751140218972 0.000302719443934774 487.465820926228
"COASTAL PLAIN REGIONAL LIBRARY" 98774 "2014 CHESTNUT AVENUE
TIFTON, GA 31794
" 31.473835 -83.501205 1 5 23.5 235106 4327 23695 91 98 3426257 2.25 10192.245 3436449.245 39.4163130185375 0.000643647376888541 2211.86154235486 53.5828351995228 0.000348296107645028 1196.9018961532
"OHOOPEE REGIONAL LIBRARY SYSTEM" 80456 "610 JACKSON STREET
VIDALIA, GA 30474
" 32.212185 -82.41459 1 6 6 164831 2472 5670 82 44 2251695 2.25 6330.78 2258025.78 97.486520518371 0.000105223043738375 237.596345411318 111.252438887991 8.07943365748272e-05 182.435694863957
"OKEFENOKEE REGIONAL LIBRARY SYSTEM" 94635 "401 LEE AVENUE
WAYCROSS, GA 31501
" 31.208166 -82.354096 1 4 14.86 125192 2248 5349 120 76 1731237 2.25 8616.8625 1739853.8625 52.3878849736875 0.00036436635612657 633.944212071864 59.8922539674649 0.000278778119992602 485.033188849616
"LEE COUNTY PUBLIC LIBRARY" 30127 "445 OAKLAND PARKWAY, W.
LEESBURG, GA 31763
" 31.6478229 -84.2579342 1 3 14.38 63522 3035 11449 29 47 1016570 3 4868.43 1021438.43 78.5374405635005 0.000162123701943728 165.59937957919 97.9482272235824 0.000104233384542534 106.467984660712
"WORTH COUNTY LIBRARY SYSTEM" 22142 "205 EAST POPE STREET
SYLVESTER, GA 31791
" 31.52901 -83.835269 1 0 5 33053 423 4647 54 23 497336 4.5 3739.17 501075.17 54.2686991807817 0.000339547999928712 170.139071787439 70.2169833596381 0.000202822282110371 101.629209488242
