"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ANDOVER PUBLIC LIBRARY" 3273 "355 ROUTE 6
ANDOVER, CT 06232
" 41.739419 -72.375283 1 0 1.73 19961 770 1142 15 2 284634 10 1241.4 285875.4 76.3755257494239 0.000171431874670969 49.008155744313 95.1893322728572 0.000110362985222398 31.5500625456473
"BABCOCK LIBRARY" 4281 "25 POMPEY HOLLOW RD.
ASHFORD, CT 06278
" 41.863665 -72.16198 1 0 3.99 26877 762 1183 60 7 375781 10 1882.8 377663.8 62.4807402118076 0.00025615784914451 96.7415467077424 78.8807834267464 0.000160715428096322 60.6963992934838
"AVON FREE PUBLIC LIBRARY" 18386 "281 COUNTRY CLUB RD.
AVON, CT 06001
" 41.790295 -72.860347 1 0 14.59 94973 6155 6163 246 37 1399646 4.5 4670.61 1404316.61 94.2912611694836 0.000112475287216162 157.950914052178 115.298818149055 7.52229374680968e-05 105.63682053944
"EAST BERLIN LIBRARY ASSOCIATION" 20590 "80 MAIN ST.
BERLIN, CT 06037
" 41.630817 -72.777044 1 0 0.2 7984 0 0 3 1 103876 4.5 2809.65 106685.65 97.0448444649857 0.000106183017606956 11.3282042523595 115.880423030559 7.44697431734803e-05 7.94485295579581
"BERLIN-PECK MEMORIAL LIBRARY" 20590 "234 KENSINGTON ROAD
BERLIN, CT 06037
" 41.627771 -72.770625 1 0 10.73 83789 6842 6739 129 14 1268117 4.5 4389.15 1272506.15 96.9146854076845 0.000106468422490445 135.48172239989 113.878360073073 7.71112230106751e-05 98.1245055151056
"BERLIN FREE LIBRARY ASSOCIATION" 20590 "834 WORTHINGTON RIDGE
BERLIN, CT 06037
" 41.620536 -72.746025 1 0 0.75 23205 56 88 2 0 303563 4.5 2892.15 306455.15 96.2349933254689 0.000107977671776876 33.0903136010334 112.502019461394 7.90095090908264e-05 24.2128709598556
"PROSSER PUBLIC LIBRARY" 20673 "1 TUNXIS AVE.
BLOOMFIELD, CT 06002
" 41.894616 -72.747509 1 1 15.75 112344 6838 12942 155 32 1721067 4.5 5153.355 1726220.355 85.6335920065498 0.000136367750703683 235.400787030263 107.88087041893 8.59233332388551e-05 148.32260680636
"BENTLEY MEMORIAL LIBRARY" 4948 "206 BOLTON CENTER ROAD
BOLTON, CT 06043
" 41.770766 -72.435137 1 0 5.7 39661 3658 4473 69 9 622598 10 2339.4 624937.4 77.240343145095 0.00016761450970135 104.748575895036 93.7322132054134 0.000113820963229334 71.1309768260356
"BROOKLYN TOWN LIBRARY ASSOCIATION" 8280 "10 CANTERBURY RD.
BROOKLYN, CT 06234
" 41.787556 -71.949659 1 0 2.15 23508 105 25 12 3 307585 7 2061.3 309646.3 59.3531601915518 0.000283865298699452 87.8978394406801 79.0423403382753 0.000160059117741619 49.5617135899566
"BURLINGTON PUBLIC LIBRARY" 9494 "34 LIBRARY LANE
BURLINGTON, CT 06013
" 41.770054 -72.967235 1 0 5.23 54270 2044 1972 71 6 758911 7 2778.24 761689.24 99.7426922107352 0.000100516608633728 76.5624192376021 119.100376551878 7.0497502380411e-05 53.6971890100334
"CANTERBURY PUBLIC LIBRARY" 5096 "1 MUNICIPAL DRIVE
CANTERBURY, CT 06331
" 41.697844 -71.994018 1 0 3.12 17389 556 1884 24 6 258359 7 1538.16 259897.16 65.7694900172531 0.000231180421579689 60.083135016164 86.2229236830005 0.000134509980579251 34.9587619442024
"CANTON PUBLIC LIBRARY" 10357 "40 DYER AVENUE
CANTON, CT 06019
" 41.821904 -72.919724 1 0 9.36999999999999 67327 3688 6071 107 16 1004229 4.5 2803.695 1007032.695 95.8324276346578 0.000108886746207937 109.65251348356 119.653398287497 6.98473485831941e-05 70.3385636823384
"CHAPLIN PUBLIC LIBRARY" 2276 "130 CHAPLIN ST.
CHAPLIN, CT 06235
" 41.799049 -72.127616 1 0 0.83 15580 325 1561 10 3 227323 14.25 1097.49 228420.49 64.464200872725 0.00024063721538406 54.9664706502626 84.4874296295376 0.000140092796465756 32.0000652141782
"CHESTER PUBLIC LIBRARY" 4343 "21 WEST MAIN STREET
CHESTER, CT 06412
" 41.401637 -72.453393 1 0 1.99 18684 927 1198 73 1 271511 10 1601.4 273112.4 96.3511393991178 0.000107717506223277 29.4189866466541 130.857991474766 5.83982052084762e-05 15.9492739801794
"CRAGIN MEMORIAL LIBRARY" 16210 "8 LINWOOD AVENUE
COLCHESTER, CT 06415
" 41.574391 -72.332926 1 0 8.35 53197 2754 4451 86 18 787154 4.5 3440.85 790594.85 83.1477636088144 0.000144643477548454 114.354388435898 111.376713435321 8.06141359281842e-05 63.7331207020224
"SAXTON B. LITTLE FREE LIBRARY" 5460 "319 ROUTE 87
COLUMBIA, CT 06237
" 41.703646 -72.303463 1 0 4.31 49121 5142 5770 93 6 781908 7 1793.1 783701.1 75.4769289123462 0.000175538166727163 137.569454356061 95.1066896988828 0.000110554867494586 86.6419712658611
"CROMWELL BELDEN PUBLIC LIBRARY" 14178 "39 WEST ST.
CROMWELL, CT 06416
" 41.598364 -72.651177 1 0 9.43 73136 3900 4700 125 7 1064508 4.5 3328.53 1067836.53 93.4872477518986 0.000114418236858407 122.179973015599 112.470950824562 7.90531658176199e-05 84.4158582722018
"DEEP RIVER PUBLIC LIBRARY" 4589 "150 MAIN ST.
DEEP RIVER, CT 06417
" 41.386815 -72.435993 1 0 3.02 33042 2176 2252 113 5 488804 10 1829.7 490633.7 96.6036790393238 0.000107155055935431 52.5738815673077 129.842047050344 5.93156497873081e-05 29.1022567230512
"EAST GRANBY PUBLIC LIBRARY" 5212 "24 CENTER STREET
EAST GRANBY, CT 06026
" 41.942936 -72.72962 1 0 4.58 37864 732 2824 86 17 540343 7 1781.52 542124.52 83.2396133549201 0.000144324443465771 78.2418196381484 111.346266171225 8.0658229287675e-05 43.7268038366307
"EAST HADDAM FREE PUBLIC LIBRARY" 9147 "18 PLAINS RD.
MOODUS, CT 06469
" 41.499992 -72.449655 1 1 6.86 41677 1477 4652 87 12 623149 7 2949.87 626098.87 90.9880762502493 0.000120790014726462 75.6264917275214 119.613009059615 6.98945266751482e-05 43.7608841704952
"EAST HAMPTON PUBLIC LIBRARY" 12912 "105 MAIN ST.
EAST HAMPTON, CT 06424
" 41.594192 -72.510936 1 0 6.91 67430 4527 6017 75 8 1014997 4.5 2779.62 1017776.62 88.393745799445 0.000127984366716455 130.259496169514 118.503858724695 7.12090211344863e-05 72.4748768437661
"MIDDLE HADDAM PUBLIC LIBRARY" 12912 "2 KNOWLES RD.
EAST HAMPTON, CT 06456
" 41.55229 -72.550293 1 0 7.58 55505 3433 4396 109 16 825479 4.5 2880.12 828359.12 91.8833175895558 0.000118447708881114 98.1172398947757 121.331104676451 6.79290743421062e-05 56.2696682444416
"EAST HARTFORD PUBLIC LIBRARY" 51199 "840 MAIN ST.
EAST HARTFORD, CT 06108
" 41.768424 -72.644339 1 1 16.98 190188 4576 3740 25 38 2582587 2.25 6002.9325 2588589.9325 85.8395826694687 0.000135714048113398 351.308018645164 99.7738203238595 0.000100453898711071 260.033950883852
"EAST LYME PUBLIC LIBRARY" 18937 "39 SOCIETY ROAD
NIANTIC, CT 06357
" 41.346711 -72.216958 1 0 13.23 111573 3495 5672 174 25 1573007 4.5 4540.995 1577547.995 92.4733371068595 0.000116941036592258 184.480097809338 116.247032945182 7.40007712750131e-05 116.739768353351
"BROAD BROOK LIBRARY" 11406 "78 MAIN ST.
BROAD BROOK, CT 06016
" 41.919319 -72.54611 1 0 6.7 49031 3032 3883 96 14 729176 4.5 2544.81 731720.81 75.8228856049574 0.000173939966920866 127.275493486709 94.6586799557583 0.000111603833467589 81.6628474240097
"LIBRARY ASSOCIATION OF WAREHOUSE POINT" 11406 "107 MAIN ST.
EAST WINDSOR, CT 06088
" 41.897782 -72.608186 1 0 4.38 36651 1119 2271 46 11 521626 4.5 2196.81 523822.81 79.3258082845978 0.000158917230544345 83.2444702611565 99.620341257907 0.000100763663701078 52.7823054657935
"HALL MEMORIAL LIBRARY" 15786 "93 MAIN STREET
ELLINGTON, CT 06029
" 41.903438 -72.4735 1 0 9.35 59617 4206 3409 75 15 875666 4.5 3533.61 879199.61 73.27407670553 0.000186251290432721 163.752061910445 89.9300334298532 0.000123648966374435 108.712123013306
"ENFIELD PUBLIC LIBRARY" 44748 "104 MIDDLE ROAD
ENFIELD, CT 06082
" 41.985814 -72.554892 1 1 22.15 119278 4792 15862 232 32 1823572 3 7349.82 1830921.82 73.9095392332443 0.000183062340395442 335.172833450281 100.383386978513 9.92376131768197e-05 181.696311330159
"ESSEX LIBRARY ASSOCIATION" 6633 "33 WEST AVE.
ESSEX, CT 06426
" 41.353862 -72.396756 1 0 6.73 38030 2758 3026 42 13 570713 7 2402.43 573115.43 97.2133882634845 0.000105815146978929 60.644293461342 126.570519591882 6.24215967977815e-05 35.7747802900472
"IVORYTON LIBRARY ASSOCIATION" 6633 "106 MAIN ST.
IVORYTON, CT 06442
" 41.34829 -72.440763 1 0 1.81 9428 519 1676 20 6 151629 7 1664.43 153293.43 98.8768557833981 0.000102284706803542 15.6795735424593 128.289857954192 6.07596623068269e-05 9.31405704065521
"FARMINGTON LIBRARIES" 25613 "6 MONTEITH DRIVE
FARMINGTON, CT 06032
" 41.749709 -72.867243 1 1 30.01 178979 11316 12355 148 40 2638174 3 6806.67 2644980.67 96.0794938893285 0.000108327466590021 286.524055160675 112.801521120459 7.85905065078329e-05 207.870370558727
"WELLES-TURNER MEMORIAL LIBRARY" 34768 "2407 MAIN ST.
GLASTONBURY, CT 06033
" 41.713039 -72.608983 1 0 13.02 123324 10854 9644 200 30 1873636 3 5082.12 1878718.12 86.7062515894685 0.000133014558362993 249.896861020352 104.607478842258 9.13849186410855e-05 171.686502545733
"SOUTH GLASTONBURY PUBLIC LIBRARY" 34768 "80 HIGH ST.
GLASTONBURY, CT 06073
" 41.667389 -72.606014 1 0 16.8099999999999 108199 6518 7646 167 26 1594060 3 5650.61999999998 1599710.62 88.5943078061938 0.00012740555421215 203.812018120161 107.622379360483 8.6336576029918e-05 138.113537569497
"GRANBY PUBLIC LIBRARY" 11323 "15 NORTH GRANBY RD.
GRANBY, CT 06035
" 41.955809 -72.792439 1 1 7.88 60948 2904 6139 233 23 913947 4.5 2710.605 916657.605 85.7283028296489 0.000136066604708719 124.726487992776 114.725912485864 7.59760933872025e-05 69.6440638015694
"WILLIMANTIC PUBLIC LIBRARY" 25213 "905 MAIN ST.
WILLIMANTIC, CT 06226
" 41.712621 -72.216079 1 0 10.25 48941 2120 1493 45 15 684462 3 3806.67 688268.67 71.9638270090858 0.000193095208918983 132.90138262604 92.6298979705966 0.000116546068706246 80.2150077021765
"SLATER LIBRARY" 16307 "26 MAIN ST.
GRISWOLD, CT 06351
" 41.604563 -71.98417 1 0 2.88 25599 423 1373 12 9 356696 4.5 2633.445 359329.445 70.9758377793427 0.000198508425616043 71.3299224044365 91.15475909379 0.000120348672651559 43.2448217503713
"BILL MEMORIAL LIBRARY" 40176 "240 MONUMENT ST.
GROTON, CT 06340
" 41.35574 -72.080235 1 0 3.13 19256 500 260 40 9 261133 3 4085.34 265218.34 88.4552058309809 0.000127806577507585 33.8966483276431 111.130028458871 8.09724255492443e-05 21.4753722899442
"GROTON PUBLIC LIBRARY" 40176 "52 NEWTOWN ROAD, ROUTE 117
GROTON, CT 06340
" 41.355988 -72.051577 1 0 25.1 127972 10718 7828 154 51 1909031 3 7380.84 1916411.84 87.7636252527126 0.000129828754668455 248.805362619082 111.670622739757 8.01903527602814e-05 153.67774148358
"MYSTIC & NOANK LIBRARY" 40176 "40 LIBRARY ST.
MYSTIC, CT 06355
