"pop" "long" "lat" "miles" "weight" "fact"
4206 -75.5064599851 39.1336987891 1.07723231799552 0.861749919744905 3624.52016244707
3740 -75.4681749813 39.1195313926 1.29739265719405 0.594096684528392 2221.92160013619
2089 -75.5257058359 39.1246165005 2.15810842062452 0.214710597948692 448.530439114818
5995 -75.4772306642 39.1627499175 2.20352619894035 0.205950837858604 1234.67527296233
2068 -75.5202776929 39.1529940946 2.33231502082874 0.183833891817913 380.168488279444
4216 -75.5230422721 39.1075432331 2.57571535037148 0.150731585559992 635.484364720927
3875 -75.5381916859 39.1323572473 2.77153547692691 0.130184450930303 504.464747354924
3790 -75.4331064656 39.1407070589 2.93378119673278 0.116183527590408 440.335569567646
3648 -75.5435938252 39.1474019739 3.24716518876267 0.0948399322450672 345.976072830005
2561 -75.5246827362 39.1691346112 3.29876470863882 0.0918961507815777 235.34604215162
9766 -75.5162684584 39.079370818 3.95735556918661 0.0638542565887848 623.600669846073
5798 -75.5592768042 39.1064310472 4.27748154884659 0.0546542212133365 316.885174594925
6131 -75.5467933121 39.1808292743 4.68840092319761 0.0454936219599286 278.921396236323
4824 -75.563957663 39.1745172992 5.09954058177259 0.0384536789064966 185.50054704494
4923 -75.5439096436 39.1995922963 5.61289284988179 0.031741430604731 156.263062867091
8857 -75.4953941791 39.0458411245 5.95981870124296 0.0281535978470897 249.356416131673
5203 -75.5995297851 39.1357531692 6.0686822152947 0.0271525865827987 141.274907990302
1981 -75.5308019711 39.2172109043 6.3718277594914 0.0246304272150832 48.7928763130799
3859 -75.5961527274 39.0729969153 7.14989495673178 0.0195614334858407 75.4875718218593
9633 -75.6031402479 39.1875734007 7.35074160105755 0.0185070708377257 178.278613379812
12763 -75.6145036238 39.2600661301 11.2191885873292 0.00794469270028924 101.398112933792
3173 -75.6751061562 39.0603568404 11.2624592840059 0.00788376249177857 25.0151783864134
4146 -75.4724195728 38.9675705919 11.3804150488569 0.00772118214076354 32.0120211556056
5276 -75.7015876071 39.1430472397 11.564250483413 0.00747764804385626 39.4520710793856
5017 -75.5536412159 39.2912098407 11.603430412061 0.00742723552245377 37.2624406161505
7085 -75.6247542709 38.9893258992 12.3342476029681 0.00657316713578542 46.5708891570397
6541 -75.6947412136 39.2373236994 13.3404484310503 0.00561900143826792 36.7538884077105
5041 -75.637775306 39.2907040345 13.6614432667878 0.00535805088990231 27.0099345359975
3455 -75.4198747576 38.9260229315 14.6731626462149 0.00464464512130815 16.0472488941197
5226 -75.5777546969 38.92044645 15.4148150286485 0.00420846155829856 21.9934201036683
4794 -75.5290136957 38.90135233 16.0982519615515 0.00385871371861924 18.4986735670606
2235 -75.6748855931 39.3220203435 16.5869453825607 0.00363468828133322 8.12352830877975
3348 -75.7890145266 39.0778165068 16.6586720923753 0.00360345614263003 12.0643711655253
4311 -75.4277202272 38.8947017911 16.6977336941567 0.00358661647650531 15.4619036302144
4111 -75.5805668288 39.3736765652 17.4779362156214 0.00327355543557043 13.4575863956301
3769 -75.4715919284 38.8642642924 18.5185845875154 0.0029159791931343 10.9903255789232
2636 -75.8310629967 39.1666630237 18.6387138511201 0.00287851248955511 7.58775892246727
4445 -75.3314081682 38.8897081278 18.7028281397885 0.00285881092899638 12.7074145793889
2630 -75.6633419481 38.890692825 19.1908457121739 0.00271526219090852 7.14113956208941
5619 -75.8011175974 38.9855556741 19.6908327640622 0.00257912168281631 14.4920847357449
5497 -75.3943503514 38.8561649692 19.6952909752148 0.00257795419890403 14.1710142313755
5747 -75.7244157702 39.3717835563 20.9308305024596 0.00228258562764915 13.1180196020997
5039 -75.2459126808 39.3716754533 21.0153466580269 0.00226426307060726 11.40962161279
3290 -75.1889037026 39.3347605638 21.2504212372921 0.00221444507751647 7.28552430502918
1585 -75.1330661853 39.2714543962 21.2708554660692 0.00221019242843433 3.50315499906842
2235 -75.3592415521 39.4250707776 21.4060623538781 0.00218236017454762 4.87757499011393
6828 -75.6428978501 39.421772384 21.7402734198518 0.00211577751035763 14.4465288407219
3838 -75.8336636433 39.310048561 22.3201247047819 0.00200727449590759 7.70391951529332
1770 -75.450466903 39.4708152451 23.5353906425014 0.00180533240517771 3.19543835716455
5087 -75.2783795246 39.4378295917 23.9284149533729 0.00174651426523376 8.88451806724415
3773 -75.8771333996 38.961845802 24.0495913573986 0.0017289586120718 6.5233608433469
4111 -75.7774494392 38.8636626482 24.2570732543733 0.00169950795017205 6.98667718315729
3195 -75.4082075302 38.7862850478 24.263891299035 0.00169855297613497 5.42687675875124
3168 -75.2403296296 39.4262426999 24.266411128648 0.00169820023820068 5.37989835461975
4995 -75.5376791809 38.7822477661 24.330451103106 0.00168927236621934 8.43791546926562
7289 -75.2210675214 39.4172363773 24.3340738810489 0.0016887694168862 12.3094402796835
4036 -75.2431355641 39.4297782771 24.3913106385997 0.0016808529686001 6.78392258127001
3089 -75.9287334475 39.2190606457 24.4694695421547 0.00167013235923153 5.1590388576662
0 -75.2076750362 39.4133010412 24.5435394153591 0.00166006699553083 0
1222 -75.2331845034 39.428437743 24.6027808240122 0.00165208201975746 2.01884422814362
11407 -75.6824037842 39.4536526892 24.6138081649365 0.00165060203823121 18.8284174501034
1256 -75.1606003691 39.3850796681 24.7369574497606 0.00163420839038798 2.0525657383273
3569 -75.3126713252 38.8001891792 24.7667739140456 0.00163027594559562 5.81845484983077
6804 -75.2271929602 39.436663166 25.2539350686692 0.00156798491793313 10.668569381617
3128 -75.8287964563 38.8751041809 25.5652871700153 0.00153002542998567 4.78591954499518
2830 -75.2157380986 39.4395058382 25.7584109030947 0.00150716869964611 4.26528741999849
5178 -75.041355336 39.2748773648 25.8364495444129 0.00149807768530313 7.75704625449959
4546 -75.9763643026 39.1408154942 26.2882664397279 0.00144702523303549 6.57817670937936
6917 -75.6526539702 38.7705040429 26.5365674814538 0.00142007246991818 9.82264127442402
2244 -75.2241814833 38.800158506 26.9286945211234 0.00137901630315006 3.09451258426873
4307 -75.6070044692 39.5104524958 26.9792506990448 0.00137385289275154 5.9171844090809
6061 -75.0746253813 39.3740652742 27.7102237475092 0.00130232667148295 7.89340195585817
2110 -75.8984038761 38.8875560137 27.8449220051275 0.00128975728173999 2.72138786447137
1036 -75.4998568101 39.5346456141 27.8804801518218 0.00128646952391935 1.33278242678045
6456 -75.6838033657 39.5052224719 27.9094318354087 0.0012838018852055 8.2882249708867
2666 -75.3846579979 39.5276538846 27.9250490262094 0.00128236634447455 3.41878867436915
11362 -75.7468438732 39.4816184258 27.9267768570939 0.00128220766926162 14.5684435381505
4468 -75.9809115703 39.006082929 27.9363660382752 0.00128132758260711 5.72497163908857
5329 -75.3872247227 38.7247245122 28.6563808373525 0.00121774770439665 6.48937751672972
6256 -75.2514298294 38.7579384103 28.7842700735024 0.00120695077593338 7.5506840542392
7660 -75.2160656812 39.4934390321 28.9067548272555 0.00119674417421456 9.16706037448352
4405 -74.9537365611 39.2394551135 29.5232741617339 0.00114728406333324 5.05378629898291
3119 -75.1369172769 39.4642259964 29.6528118272967 0.00113728218653398 3.54718313979949
5149 -75.9020447709 39.4154845445 29.6703047541483 0.00113594155120006 5.84896304712909
1805 -75.464557897 39.5608863915 29.7098358883346 0.00113292065379043 2.04492178009172
3899 -75.0491624719 39.3962645247 29.7249516438311 0.00113176871937466 4.4127662368418
7807 -75.069531473 39.4175611774 29.8259710811624 0.00112411518667781 8.77596726239369
2097 -75.8153910053 38.7825957615 29.9354166680227 0.00111591055426278 2.34006443228904
3926 -74.9433944937 39.0162055435 30.2427712359918 0.00109334401331201 4.29246859626296
1541 -75.4808778658 39.5697493762 30.3011431618979 0.00108913564905307 1.67835803519078
1800 -75.4633886935 39.5720081067 30.4810477785448 0.00107631704158651 1.93737067485572
3502 -75.4451167366 38.691868212 30.5079412144924 0.00107442028264108 3.76261982980908
996 -75.0390560181 39.4052860957 30.534866948472 0.00107252626426013 1.06823615920309
5578 -75.0300556152 39.3969857776 30.5676750698559 0.00107022522641744 5.9697163129565
2828 -74.9529209617 38.9768678308 30.6005374318207 0.0010679277998447 3.02009981796081
4748 -75.2828389402 38.7184340126 30.6183951850355 0.00106668245503816 5.06460829652119
4059 -75.0041300162 39.3703110661 30.661800027534 0.00106366460133393 4.31741461681444
3450 -75.3189364134 39.5606228757 30.9935131540335 0.00104101835337005 3.59151331912667
4360 -74.9368053418 38.98875488 31.1397405624641 0.0010312643862729 4.49631272414984
5557 -74.9232676438 39.014570711 31.3159127769789 0.00101969396851167 5.66643938301933
4738 -75.5516326587 38.6811757788 31.3622771500575 0.0010166812711193 4.81703586256325
4243 -75.1258790315 38.7698602071 31.6702903127528 0.000997001728174321 4.23027833264365
4844 -76.03323786 39.305721367 31.6737386837066 0.000996784649623371 4.82842484277561
2988 -75.6174345132 39.578341834 31.6772816018832 0.00099656169305737 2.97772633885542
5240 -75.8333001056 39.5031323069 31.6923554696602 0.000995613927168962 5.21701697836536
5828 -75.6781435211 39.5668654913 31.797098739954 0.00098906539907398 5.76427314580315
6053 -76.0751359506 39.0752303962 31.8356843757233 0.0009866693086299 5.97230932513678
1602 -74.9063052448 39.0370107434 31.8365708592269 0.000986614362141349 1.58055620815044
2319 -74.9424793993 38.9492928376 31.8386330710303 0.000986486558797089 2.28766232985045
3571 -74.9348282295 39.3067309013 31.9491994889939 0.000979670516205107 3.49840341336844
5775 -76.0723221423 39.2285871374 32.1163450430645 0.000969499902518766 5.59886193704587
2667 -74.9135571819 38.9876978736 32.3488857821915 0.000955611454832934 2.54861575003944
4996 -75.6061504607 38.6693615016 32.6248636260799 0.000939512559253773 4.69380474603185
6136 -75.3390145997 38.6740239445 32.6415452108529 0.000938552521759151 5.75895827351415
4836 -75.7668422607 38.7120632838 32.7146933830863 0.000934360115112956 4.51856551668626
4200 -75.1708486278 38.7244450806 32.8985350690471 0.000923946618658016 3.88057579836367
3713 -75.627665328 38.6688545093 32.9071836626365 0.000923461023244096 3.42881077930533
7061 -75.7245597224 39.5745796987 33.1738290763461 0.000908675449799637 6.41615735103524
6143 -75.5249252955 39.611863522 33.2761504636829 0.000903095838984559 5.54771773888215
6248 -74.8761691436 39.0416246856 33.3595534184529 0.000898585784260782 5.61436398006137
3472 -74.8645692416 39.1173029867 33.3919854829695 0.000896841123732283 3.11383238159849
6076 -75.0450338891 39.4773464289 33.6163307860282 0.000884910570467537 5.37671662616076
4720 -75.1162081982 38.7395244137 33.6614168866292 0.00088254165961597 4.16559663338738
2072 -75.489936945 39.6193523047 33.7313138113313 0.000878887901245581 1.82105573138084
4495 -76.0120297541 38.8650138203 33.7402474048547 0.000878422546756115 3.94850934766874
4594 -75.1089260304 39.5230074626 33.7765103230028 0.000876537386621043 4.02681275413707
10215 -75.7616139092 39.5716637022 33.8021707241695 0.000875207071842234 8.94024023886842
1823 -75.4193465582 39.6185987425 33.8698385701641 0.000871713449240437 1.58913361796532
7684 -75.6994393455 39.5934101837 33.9052128468117 0.000869895431067887 6.68427649232564
3607 -74.9049306264 38.9397811981 33.9540526206411 0.000867394702165296 3.12869269071022
2083 -74.8594080089 39.2242255277 34.231806152664 0.000853375895646052 1.77758199063073
7537 -74.9791519962 39.4328664918 34.2341812178756 0.000853257490413472 6.43100170524633
2524 -74.8760794424 38.9770901521 34.4924589289741 0.00084052703794454 2.12149024377202
4472 -75.5227613784 38.6335806832 34.5134178391516 0.000839506496786295 3.75427305362831
7409 -75.0089160518 39.469156513 34.6190088735087 0.000834393168839422 6.18201898793128
7102 -75.0287202736 39.4859431377 34.6526259243965 0.00083277503854899 5.91436832377493
4799 -75.1571823973 39.5640288153 34.7080585011106 0.000830117096582693 3.98373194650034
5053 -75.6766477283 39.6137658335 34.8594637040637 0.000822921856482844 4.15822414080781
3794 -75.6728092738 38.6462944514 35.0444416596479 0.000814257392081601 3.08929254555759
4205 -75.1946115954 38.6779702725 35.1018403707169 0.000811596613516549 3.41276375983709
7491 -75.6088366122 39.6333396728 35.3090273920022 0.000802099951980196 6.00853074028365
2982 -75.0594045873 39.5214065069 35.340970634277 0.000800650637292481 2.38754020040618
7434 -75.6464397094 39.6282536103 35.3945414309789 0.000798228849528149 5.93403326739226
3437 -75.0072031279 39.4846485243 35.4147059492629 0.000797320113033696 2.74038922849681
6489 -75.0222063238 39.4975359959 35.4661837338503 0.000795007234588597 5.15880194524541
652 -75.0830703494 38.7249034177 35.5432946244972 0.00079156145289512 0.516098067287618
8082 -74.9909935194 39.4743901403 35.5728893600616 0.000790244927434666 6.38675950352697
4540 -75.1157710761 38.7042916456 35.6707904483913 0.000785913110316174 3.56804552083543
3918 -75.8143260885 39.5845446054 35.8953002058827 0.000776112753931396 3.04080976990321
5338 -74.8211220076 39.0789052046 35.9046897160678 0.000775706881283306 4.14072333229029
1395 -75.1742702584 39.5915302578 35.9243839917372 0.000774856606571393 1.08092496616709
2724 -75.1462516442 38.6835475904 36.0088351227601 0.000771226342963423 2.10082055823236
7133 -75.6897173592 39.6282218203 36.0213993103247 0.000770688432570334 5.49732058952419
5135 -74.966227912 39.4638372591 36.1047953816721 0.000767132220296102 3.93922395122049
3117 -76.1547646002 39.1958809993 36.1122998074692 0.000766813420956774 2.39015743312227
6318 -75.7244784577 39.62324572 36.3023672807364 0.000758804866142196 4.79412914428639
4044 -75.9288994827 38.7352828839 36.312165578585 0.0007583954169751 3.0669510662473
3584 -75.2542856133 38.6386619571 36.3272735143929 0.00075776473894109 2.71582882436487
3505 -75.2102146674 39.6115261297 36.3302137425368 0.000757642091104726 2.65553552932207
3403 -75.6115080212 38.6147998263 36.3851755866234 0.000755354898313907 2.57047271896223
1164 -75.0826039247 38.7095243979 36.407749247892 0.000754418513070946 0.878143149214582
4726 -75.6697047134 39.6391923344 36.443449696562 0.000752941161852068 3.55839993091287
6814 -75.9406156411 39.5253273444 36.490945093542 0.000750982431187515 5.11719428611173
3387 -75.494159931 39.6598463565 36.5342022766518 0.000749205129324517 2.53755777302214
