"pop" "long" "lat" "miles"
3860 -106.526667228 35.0042149264 1.05680578307163
4669 -106.525534086 35.0568854574 3.15207681988711
5540 -106.479345627 35.0502129571 3.15491252872518
5961 -106.509052718 35.0611078493 3.3412390753993
5858 -106.520055326 35.0730922663 4.19746215658175
4204 -106.50137131 35.0786544133 4.58702147844932
4445 -106.488492976 35.0769467306 4.61832056980492
7471 -106.560559513 35.0682002445 4.73890132680744
6152 -106.541730867 35.0767783417 4.74734610320824
3715 -106.518705918 35.0824670519 4.8347304764731
4311 -106.573031985 35.0632820333 4.94071665193412
5987 -106.581092785 35.0613042627 5.18434089329598
5150 -106.555540226 35.0796920576 5.26025465124159
4692 -106.505922766 35.0901834737 5.35869932547288
3228 -106.524036467 35.0907273907 5.43603460368658
4361 -106.568929944 35.0801865877 5.68900629602513
4204 -106.488908858 35.0935847971 5.72716137169035
2866 -106.506616724 35.0976004861 5.86911370948623
5064 -106.541432464 35.0949408911 5.93047330761849
2801 -106.523854602 35.0979947118 5.93340206329007
5113 -106.595466601 35.0656962038 6.00891068710133
2645 -106.581814658 35.0800906537 6.13193810427419
3846 -106.565873305 35.0918926511 6.28197658483636
2908 -106.506414289 35.1051049737 6.38822566892484
3269 -106.52419878 35.1052745844 6.43579893163065
3642 -106.560432553 35.0981362408 6.5239800870593
3118 -106.60881907 35.065981425 6.63593826024844
2080 -106.489050715 35.1073295399 6.65617600851248
4754 -106.595210207 35.0802283994 6.65778272855127
4936 -106.629733901 34.990933591 6.88126843156814
5770 -106.541997769 35.1090952642 6.88186829701183
3157 -106.506839377 35.1125290544 6.9004157380378
3197 -106.524367496 35.1126062583 6.94091451179173
7164 -106.625605483 35.0525774319 7.03521811290927
3415 -106.590872869 35.0910490864 7.04180699138246
4088 -106.559865354 35.10919837 7.21102219744859
4932 -106.612724335 35.079287933 7.35782253708353
2807 -106.506544856 35.1197953384 7.4033225226174
3561 -106.524441114 35.1198811923 7.44187336205017
4379 -106.591471118 35.0992888038 7.50889222055143
2666 -106.542048537 35.1199174592 7.60914403260462
3383 -106.577559652 35.109350277 7.65871852417824
2715 -106.488514297 35.1224610359 7.69155964465375
1836 -106.560043092 35.1197886663 7.89656639908242
2683 -106.50684534 35.127083262 7.90658624237736
2577 -106.524584469 35.1270847092 7.9385774696317
2326 -106.542155418 35.1270456683 8.09119960431508
2931 -106.620707487 35.0896778093 8.164286004197
4595 -106.64496282 35.0585055791 8.20460559449318
2529 -106.630731994 35.0801170191 8.21133513833314
2736 -106.595348755 35.1104822771 8.26334203388768
2991 -106.577566369 35.1203687611 8.33153597388825
2828 -106.559711764 35.1269368518 8.35538494406148
5952 -106.616100854 35.0983958389 8.38218113273848
5278 -106.512658571 35.1346080159 8.42349328611394
1055 -106.630448068 35.0879890997 8.51875582744786
2456 -106.542416806 35.1340375923 8.56708197531233
2646 -106.641666879 35.078300979 8.66233599282693
1953 -106.577711494 35.1275188166 8.77937005035807
3229 -106.595243392 35.1198882652 8.79977444191848
4481 -106.52510594 35.1408105338 8.88675425953499
3173 -106.653989537 35.0747761918 9.14789059053789
2785 -106.505297325 35.1450221961 9.14976220463764
2287 -106.637186218 35.0963200948 9.17515366377802
5374 -106.541860363 35.1434124102 9.19665127784524
4975 -106.563299104 35.1391515896 9.22049654901192
3285 -106.595279194 35.1270676561 9.22251816240437
1887 -106.650196015 35.0857335052 9.34441178497565
4883 -106.5161896 35.1482334559 9.36978165656518
6941 -106.578571532 35.1368452874 9.38595060547775
2426 -106.419974236 35.1264990932 9.40907538053396
3522 -106.67380365 35.0414414707 9.41678462696287
5085 -106.671134344 35.0590591067 9.60230748955112
4533 -106.619488498 35.1216775209 9.70670964946158
3585 -106.594173564 35.1374789588 9.81632918148176
3598 -106.65181517 35.0968868838 9.85576942450206
2378 -106.510936072 35.1557647718 9.88662861305598
4236 -106.542154037 35.1539413059 9.91578936157955
3568 -106.68476808 35.0400057876 10.0058061148431
3320 -106.564892 35.1510433111 10.0302951552322
3934 -106.643482882 35.1125901917 10.1807996803798
3259 -106.668377925 35.0847966747 10.194625081295
3653 -106.694671201 35.019718775 10.4009035225573
4672 -106.578656517 35.1537664418 10.468070014993
6272 -106.452482844 35.1581826832 10.5902581364667
5562 -106.697469804 34.9953653223 10.6191488051329
8842 -106.683334869 35.0747625687 10.6443872816308
1024 -106.669745836 35.0956139701 10.6448589750667
1812 -106.510338941 35.1669287693 10.6589919345355
4903 -106.533470656 35.1669510579 10.7341986904413
4056 -106.700885707 35.0385969915 10.8876135755964
3176 -106.695124468 35.0589050727 10.8898304542125
5067 -106.551138225 35.1668747643 10.8914452764567
847 -106.565952773 34.8616670155 10.9071656937276
