"pop" "long" "lat" "miles"
7472 -100.787526103 29.3472192427 0.699320152557806
4101 -100.872861392 29.3652829458 5.4461234419386
3740 -100.877957059 29.3765594858 5.88443978234309
4062 -100.884870381 29.3562032653 6.1368948408921
6354 -100.914644118 29.3447290411 7.97445664289705
4677 -100.916239756 29.378932702 8.1750812036625
4036 -100.924870001 29.3663442666 8.57478626075728
5 -100.925752538 29.3740005585 8.68512502188925
8827 -100.918872811 29.4126382056 9.05740345898495
3598 -100.41790108 29.3505562623 22.0215263603539
9412 -100.348730022 28.8943881817 41.3635118820086
5605 -101.165839798 29.915689498 45.0055724867565
5673 -100.502154624 28.7251455611 46.8647788312433
7457 -100.484525344 28.7238614626 47.3438647483043
3650 -100.491970332 28.7132715266 47.854717110097
2666 -100.494614951 28.7008371353 48.5982727936964
5394 -100.482303265 28.6967470561 49.1333887233505
4219 -100.496578026 28.6818213498 49.7873047433416
