"pop" "long" "lat" "miles"
3436 -112.373278078 33.5361010159 1.03887819839517
5183 -112.350113487 33.5295711618 1.15985961238899
5705 -112.326865792 33.5307884412 2.06875943261053
3264 -112.349479483 33.5151012865 2.11911530159403
2452 -112.329662069 33.5693581404 2.38068729940773
4638 -112.357657946 33.4991320553 3.1582710642217
5553 -112.409140286 33.5659663222 3.26244531718513
4525 -112.385039418 33.5877215126 3.33897959077889
3708 -112.359152896 33.5947291925 3.4551049571686
4114 -112.298359059 33.5582692352 3.59453029657058
5709 -112.325203171 33.5006203139 3.61053282628559
2634 -112.305332601 33.572746176 3.62779240327691
2120 -112.31741412 33.5876279578 3.79635283043309
4960 -112.422386249 33.5286616522 3.84451302971409
2489 -112.401682625 33.5878870964 3.88119649031505
3835 -112.367812592 33.4857251826 4.11981566386999
3929 -112.337734208 33.601964582 4.13379612826951
1753 -112.348326667 33.4846932651 4.19842166413458
3957 -112.385155355 33.6022212243 4.25828588655774
4319 -112.329170549 33.6016082675 4.28055738938342
4905 -112.328064257 33.4860507648 4.42740509692111
3668 -112.303966974 33.5911976696 4.4961019187148
4983 -112.320312373 33.6017075065 4.51311680297645
3472 -112.281545591 33.5581938498 4.53649713904611
5708 -112.300005819 33.5001833848 4.57447436934581
3219 -112.294376001 33.5848482361 4.62319738904857
4660 -112.401111418 33.4859947549 4.74921645959693
4407 -112.277991517 33.529831027 4.76000764703616
3527 -112.311048699 33.6016791644 4.79505955836164
4277 -112.281156157 33.5154923293 4.90246653388495
3302 -112.28002574 33.5733063452 4.93906994795371
6699 -112.350624128 33.6163901793 4.97445629396369
6764 -112.367887928 33.6165159337 4.99094434004602
3842 -112.326075697 33.612039718 5.01523189699399
2391 -112.302035594 33.4895833145 5.02115682473978
6011 -112.385216634 33.6167125096 5.20709169803248
4640 -112.335278436 33.6178986922 5.23281516357389
5757 -112.329972242 33.4720096047 5.29741256000335
3833 -112.303216941 33.4823990496 5.36798813584945
5807 -112.281301266 33.5009679738 5.38921121936628
4614 -112.430486663 33.4949548069 5.39246048424063
2056 -112.26424861 33.5590269625 5.52629540690207
7680 -112.358111244 33.4642683447 5.56953133125805
5579 -112.401673804 33.6169364798 5.57493207303334
5148 -112.278139238 33.5899584982 5.59098821476663
3315 -112.432859868 33.5988451427 5.68464603360617
1975 -112.313840372 33.6200853119 5.81194358078601
3797 -112.262704756 33.5730087487 5.86107100888889
4171 -112.316713787 33.4659487156 5.9638653837352
4905 -112.350699887 33.6312021425 5.99510090757397
2070 -112.281290167 33.4864345485 6.01309083388961
8318 -112.401177606 33.464482976 6.07388201677299
2417 -112.37659071 33.6313039901 6.0743113955787
5366 -112.298399819 33.4696252841 6.25100481856887
5832 -112.329436321 33.6320225186 6.26389168058738
4708 -112.278640921 33.6099765617 6.44660316271215
2817 -112.258010182 33.5857734562 6.45282836973911
2801 -112.246389518 33.5447578455 6.46782555332693
5964 -112.29821956 33.6238147909 6.4795050960053
5539 -112.401715365 33.6315025063 6.49336658632613
2348 -112.263782959 33.4940595226 6.49578994707944
4130 -112.246429631 33.5591667714 6.54108978131837
4269 -112.246320734 33.5304617193 6.54770146261344
5816 -112.246194919 33.5738414234 6.78264400617429
4081 -112.281208907 33.4702225477 6.82004486463232
3496 -112.43836565 33.4711724142 6.86342583383948
6114 -112.341754465 33.4462448948 6.88492762903849
2378 -112.323592974 33.4495410506 6.89031914520492
4077 -112.250730996 33.5015203756 6.90164831457733
7272 -112.440096997 33.6180095993 6.90857335901836
5458 -112.418123516 33.6316146947 6.91749700248956
2886 -112.260701847 33.6034007963 6.94690735537815
3395 -112.367815096 33.6451318333 6.96184968038855
3559 -112.383991593 33.6438332025 7.00639493738052
1930 -112.363356774 33.4414952338 7.15008133166816
5071 -112.245705479 33.5892159934 7.19510597775224
3394 -112.280273058 33.6281811665 7.32394422363912
5058 -112.242082638 33.5015248193 7.35410636385449
4668 -112.250823883 33.4869809443 7.38943536822681
4275 -112.263855967 33.4721925451 7.42020492331334
3120 -112.229068661 33.5450259461 7.46642856728597
8869 -112.401185552 33.4428420071 7.46773292971444
5995 -112.31510145 33.4424991251 7.5066316681094
4905 -112.229097006 33.5305945227 7.52963807766254
3740 -112.24661214 33.6010762702 7.53677101108069
3978 -112.292720042 33.450444981 7.55085391464531
6097 -112.360412044 33.6552340317 7.64099879011754
7445 -112.442410287 33.6314337948 7.69835601439674
5027 -112.229083834 33.51614456 7.72510576437358
3081 -112.229017301 33.5739709065 7.73623084923479
1972 -112.349671915 33.4326981296 7.77027903117865
4723 -112.233553222 33.5018128188 7.79835612600715
3931 -112.242116892 33.487030411 7.81469785369637
4260 -112.263113394 33.6255033427 7.83833266908088
5209 -112.338381512 33.6575680947 7.88799754554781
6212 -112.403733906 33.6527457918 7.90841620223944
6813 -112.29838356 33.647623101 7.91417357609843
4685 -112.246489223 33.4760546041 8.02457296831185
3355 -112.220396713 33.5596459364 8.03177168680911
4184 -112.426579088 33.6463241776 8.04293805523962
6218 -112.228899938 33.5885292978 8.0635984391788
3674 -112.24748621 33.6164844461 8.09843820120163
