"pop" "long" "lat" "miles"
5214 -82.4956493782 27.8731416734 1.21949480360559
1643 -82.5011099492 27.8436499926 1.22420366839808
3165 -82.5128226254 27.870454711 1.79112754466134
3042 -82.4878149423 27.8869377537 2.07688626678617
4461 -82.5002046471 27.8864383711 2.17742001881774
3491 -82.5124617367 27.8845950644 2.43518503697622
3768 -82.5227013788 27.8827786108 2.78225569588609
3753 -82.5340457702 27.8594429825 2.8301025761201
5381 -82.4974081554 27.9009899837 3.10434024684252
2386 -82.5319953878 27.8833636508 3.26070608179619
0 -82.4333976832 27.8556236979 3.33186233919413
3736 -82.5123064355 27.9012032656 3.40893433337015
3100 -82.5225875573 27.9011028218 3.7219608732197
1783 -82.5321097942 27.8996392271 4.00701867332176
3526 -82.5003247285 27.9168540744 4.21577429859769
3539 -82.4909259833 27.9180803262 4.23527596075053
3733 -82.5119722863 27.9156522974 4.32239126541436
3830 -82.5254875312 27.9160627143 4.6940403622145
5465 -82.4553902499 27.9215762524 4.89363404334685
5271 -82.4949248816 27.9308011833 5.12929229072135
3073 -82.4760916677 27.9328384144 5.30102040384686
4363 -82.5119720179 27.9337149269 5.51336994230018
3670 -82.4958237199 27.9409116936 5.83081279401021
1931 -82.4680394665 27.9400998289 5.88045073892507
3533 -82.4498944677 27.9353981761 5.90434012800589
5863 -82.5274004853 27.9354741025 5.94774527082254
1184 -82.3939060171 27.8876381157 6.12556105319551
3982 -82.4805076603 27.9465824637 6.21896239569153
1965 -82.4351534579 27.9347774793 6.27632557659122
5505 -82.4694499453 27.9490833643 6.47425016487283
3886 -82.4952561804 27.9504762789 6.48783841462458
2721 -82.390297987 27.8188031017 6.5239093397838
2245 -82.5176495732 27.947967976 6.55656223172331
1134 -82.4566656551 27.9486829553 6.62821161292427
1844 -82.4465034234 27.9492937548 6.87215074789653
2960 -82.4147211599 27.780386369 6.93130958934432
3052 -82.4717920071 27.9598897451 7.19059891003016
2958 -82.5246340498 27.9558133472 7.20114536959699
4244 -82.4931702228 27.9614786439 7.24041180502743
2071 -82.4807911949 27.9614044368 7.24089022984543
140 -82.4533323976 27.9573871707 7.26348655162831
1838 -82.3851786245 27.9117815912 7.33611264023128
1055 -82.4651879891 27.9629271341 7.46310640086089
1835 -82.4563254469 27.9624511107 7.55056636246171
3346 -82.3995483244 27.9335683242 7.5673039411593
1491 -82.364598561 27.8457995409 7.57770374251699
1975 -82.4430390919 27.9604485371 7.66800584937298
4235 -82.6132913669 27.8543186225 7.67336173621013
4945 -82.608221388 27.8212484163 7.76466904470506
3266 -82.4189996697 27.7618137326 7.81181870213843
2976 -82.3948425678 27.7781455937 7.87851353924098
3095 -82.6041513223 27.8078228862 7.88272054085738
6380 -82.3641413648 27.8190705895 8.00746357755736
6298 -82.3590384242 27.8794056297 8.02962254192
6888 -82.4900557713 27.9740639355 8.10480632489314
1047 -82.4247970109 27.9602231229 8.11965423950489
2792 -82.4734968764 27.9740805608 8.15224107490828
2887 -82.3541600541 27.8561168156 8.17682569003676
2463 -82.4470888554 27.9696338492 8.18580036718049
1922 -82.4635385339 27.9742171516 8.24932909647294
2914 -82.4552532153 27.9740412998 8.34363744612046
3153 -82.6224051809 27.8364454417 8.35023109295921
2063 -82.438848031 27.9696421766 8.35348105332546
3625 -82.377130101 27.9296739533 8.43556648732103
3243 -82.4488106299 27.737527472 8.59702648832027
7802 -82.626448403 27.8779012399 8.59844906860296
2416 -82.4265363713 27.969586319 8.64845090098023
1784 -82.512693035 27.9807168283 8.69738813621972
2673 -82.4429564711 27.9778215048 8.80241410737272
0 -82.5333553188 27.9777731549 8.8106630072127
5287 -82.3566081212 27.9109389004 8.85239934379928
5115 -82.6258654002 27.812786361 8.97678089482036
2014 -82.3931060678 27.9563596551 8.99275415322169
3221 -82.6181978429 27.7965284697 9.00130810499464
4064 -82.3873167023 27.7598599066 9.10567313334852
6637 -82.4928215053 27.9886900598 9.12047750676666
4290 -82.6337249909 27.8293071617 9.12404569261461
3057 -82.4648642124 27.9874330649 9.13720840470937
3953 -82.558592228 27.9735002871 9.1505655197926
3009 -82.4263988237 27.9778241858 9.16870097945914
3583 -82.373639559 27.9430458379 9.1790043116595
3792 -82.4765765949 27.9896023179 9.20439745288999
6830 -82.3392397125 27.8791571082 9.21749755968614
1207 -82.3370552358 27.8454142527 9.25742075467468
1580 -82.4552781714 27.9888004667 9.33785680466289
6187 -82.3425837667 27.8137442131 9.37466773259515
2701 -82.4470558334 27.9887944346 9.45737541351094
3481 -82.6427838922 27.8533053037 9.47829871007538
3251 -82.3600664696 27.9349528126 9.49617643610053
4333 -82.4057867593 27.9746660851 9.5662015108199
5359 -82.6429919407 27.8776492755 9.59449496480043
2729 -82.4388617709 27.9887774334 9.60048163163727
3982 -82.6427817437 27.8321444719 9.62945725977688
2001 -82.3427710182 27.9160854466 9.76950261252545
4260 -82.640785017 27.8141662728 9.81067691173341
2831 -82.4285791279 27.9887820874 9.8150006170865
2588 -82.6304694218 27.7882984123 9.93198784441577
2017 -82.6387440508 27.8032614728 9.94825696087614
4640 -82.3348177438 27.9073324393 9.98618223714683
4375 -82.4944883571 28.0019228066 10.0389656414916
1803 -82.5030319162 28.0015129855 10.0453340603997
7227 -82.5573482379 27.9892349687 10.0905263122453
3838 -82.6509870657 27.8321837742 10.123254282369
3511 -82.6296957258 27.7814327473 10.1271562234308
1426 -82.4864584668 28.0034052038 10.1336872166582
2412 -82.465050748 28.0025407529 10.169509701859
4456 -82.3239148892 27.8822671499 10.1773999799381
2332 -82.6393645702 27.7955745669 10.193409049836
4462 -82.4763288181 28.0039393489 10.1946541111968
4561 -82.6544222339 27.8500825557 10.1978978082383
4129 -82.4139050777 27.9903105354 10.2750859447833
6670 -82.5155054803 28.0034352343 10.2752856832325
1923 -82.4553708427 28.0033653825 10.3233050211913
3427 -82.4059270758 27.7251392692 10.4031363428246
5093 -82.4339182492 27.7140073454 10.4218711759421
3185 -82.3424380056 27.9357112556 10.4281843890751
3894 -82.3244591389 27.9024117906 10.4749333969087
4184 -82.4430104012 28.0033799378 10.4957817178692
7351 -82.3180082659 27.835177611 10.4968369314199
2255 -82.3540359701 27.7618332813 10.5022299463868
3652 -82.3775593394 27.9733895971 10.5057029449491
4903 -82.5761996928 27.9872383522 10.5083259616683
3192 -82.6599550181 27.8743261877 10.5928530385352
5097 -82.655537533 27.8140130702 10.6775277915426
4512 -82.6601003233 27.8315021174 10.68075152247
3338 -82.6426333943 27.7847736414 10.7032557634722
0 -82.6058025263 27.9712930306 10.703969503794
2996 -82.6508342389 27.7993617512 10.7352828754378
3775 -82.3116383669 27.8658916158 10.7945569312035
3333 -82.6376963695 27.7740184249 10.8128616939732
6188 -82.318812127 27.8096299731 10.8455897669186
3161 -82.3239113499 27.9177266016 10.8706480630135
1888 -82.3122711662 27.8838402945 10.8974505441527
6748 -82.5411188393 28.0078435105 10.9359874518575
5172 -82.4162415241 28.0020523307 10.9523519232055
7183 -82.4952575035 28.0167489143 11.0655986660301
3327 -82.6360985437 27.7641265674 11.1111698928663
2511 -82.383281659 27.9885008995 11.1223563640278
2879 -82.4578807777 28.015531413 11.1240254430309
2599 -82.6585546367 27.7996238721 11.1688065318086
2354 -82.6537519001 27.7884783582 11.1985858354042
2688 -82.3455653943 27.9589733961 11.2026222513326
5706 -82.4715592374 28.0188650167 11.2469252740418
5649 -82.5153323626 28.0181265654 11.2773402670153
2166 -82.4409815356 28.0146987973 11.2842371681462
2493 -82.3233970836 27.9311260505 11.2892457637049
3842 -82.6715895213 27.8372168956 11.3198438184983
3285 -82.4281191087 28.0122960915 11.3514524105381
5666 -82.5722241569 28.0036926895 11.3874138030785
2748 -82.3107293664 27.9080373023 11.3929161199039
1883 -82.6536789433 27.781125211 11.4192438188541
1900 -82.372392623 27.7247848979 11.55255886169
7109 -82.3050548696 27.9005869457 11.5785656730042
2590 -82.6674487606 27.8025127522 11.6126621584103
2395 -82.6331700468 27.7489099763 11.6133856519372
5547 -82.6727936856 27.8170138595 11.6440794646321
2052 -82.6524393479 27.7717246595 11.666871724838
6648 -82.3061146918 27.802812394 11.7306680882251
5870 -82.5974914163 27.996451155 11.7500764532961
4677 -82.4239868397 27.6967117154 11.7509385769697
5024 -82.407347412 28.011436601 11.7669697646452
1241 -82.2981539912 27.886518987 11.779590263434
4107 -82.5517004268 28.0189169311 11.8660639552777
6975 -82.3058861099 27.9172584437 11.8831089939649
5724 -82.4444500225 28.0244679571 11.8899884011766
3271 -82.6826019373 27.8560877309 11.9102017296776
3435 -82.6750241706 27.9049278548 11.9162653201547
3964 -82.4759852666 28.0290614453 11.930135721779
2128 -82.3976344013 28.0102216152 11.9526569390862
4506 -82.3191758494 27.9453517535 11.9900287039356
3720 -82.6425596123 27.7503713779 11.9964968476764
4746 -82.4949224421 28.030485001 12.0142843725823
2583 -82.4595129408 28.0289979134 12.0290222144481
3374 -82.2910683378 27.8639661009 12.0446232066174
2427 -82.6736778485 27.7978282253 12.0797751271705
