"pop" "long" "lat" "miles"
3936 -79.0102579186 35.1698316017 0.25062808301184
1947 -79.0284019425 35.1553677095 1.33015910149447
1523 -78.9918351156 35.1480379947 2.03458304896763
3618 -79.0176543406 35.1410836528 2.06878700558342
4621 -78.9768105354 35.1732825501 2.13763286010226
4981 -78.9867691656 35.1980768419 2.44896691726451
1975 -79.0086978914 35.1314692529 2.74583045002042
1093 -79.0153395244 35.1246656758 3.1971231098342
4725 -78.9638944316 35.135306413 3.77452881579686
2316 -78.9826183971 35.1219409209 3.83561265609734
0 -79.0643389542 35.127629806 4.11051507836521
505 -78.9337601172 35.1616850343 4.60981805355943
1331 -78.9823759484 35.2384676901 5.01550427310226
6350 -79.00373798 35.0925139823 5.45489875626845
7404 -78.980461962 35.0920443053 5.78330592894812
1786 -78.9645633336 35.0960605001 5.89629743160884
4178 -78.9488691133 35.2422065586 6.17284757224479
4846 -78.9436238383 35.0996347847 6.35322981004417
2005 -78.9315989542 35.1076516573 6.41252889795509
6134 -78.9962077506 35.0739512887 6.78426742614571
3379 -78.9174998033 35.1113500193 6.86024990126444
6127 -78.8918868145 35.1587248397 6.984503505191
5500 -79.0055975387 35.067550234 7.1653664403803
7267 -78.8989533099 35.1179843433 7.49024712316155
8528 -79.1105966584 35.2454838146 7.49201804884551
2752 -79.0051627646 35.0614950771 7.58491783373858
2734 -78.965590766 35.0683953363 7.61017023038179
7714 -79.0205433163 35.2817857148 7.67933988161607
6980 -79.0574007354 35.0653150958 7.69511779564747
5262 -78.8857762838 35.1343451496 7.70650755455306
4258 -78.9391315377 35.0759880678 7.82746975225419
4467 -79.0232398873 35.0491284537 8.43643867126611
2605 -78.9088635436 35.0838753546 8.48166574073956
4985 -78.9922831773 35.0495935386 8.4834376614288
4251 -78.8975383376 35.0889187217 8.7136369226443
5022 -78.9629125059 35.0504884795 8.82467919630607
7080 -78.8658164005 35.1313264127 8.84328125697375
4733 -78.9152257996 35.0718174372 8.86035457871152
7126 -79.0495628456 35.045698812 8.88357649554655
5685 -78.9350538838 35.0552920779 9.17271940481331
5335 -79.0758020956 35.0454940779 9.34132229987175
5617 -78.8778437178 35.0910286132 9.50151800717007
4560 -78.9393244802 35.2963670368 9.66388989265063
5316 -79.0166093782 35.0266417962 9.97812317114017
5250 -79.0434592576 35.3156929335 10.1499351998039
2654 -78.8960280117 35.0601791788 10.1772110313297
5884 -78.9798496681 35.0262630833 10.1940174417866
2237 -78.9412608641 35.0352882448 10.2543005620732
2330 -78.9107413576 35.048932996 10.2776898800137
4326 -78.9682527303 35.0253945508 10.398494980118
8569 -78.9928032559 35.0187953761 10.5916047142645
4774 -78.9571360557 35.0238680908 10.6749546135474
2264 -78.8859164336 35.2844065784 10.6986316289615
5526 -78.9175580664 35.0339388168 10.9466785650748
2977 -78.8762126852 35.059579555 10.9773634430258
11431 -79.0265690278 35.0026977285 11.6537382116528
3908 -79.1237516801 35.3151617491 11.7347606287637
8716 -78.9421234943 35.0100105863 11.8579572171107
2194 -78.9012103306 35.0251778073 11.9452923200932
7322 -78.8069500746 35.2152294404 12.1271800895091
1633 -78.8735925266 35.0374227084 12.1988082039144
2204 -78.9659480116 34.9976324793 12.2951825750275
0 -79.2274183555 35.1151422074 12.6456168162507
4344 -78.9316943026 34.9957144419 12.9917961532839
11350 -79.1279942184 35.0067237107 13.0463705518336
3558 -79.0422881593 35.3596851606 13.1542663982272
7356 -78.9122900645 34.9924195274 13.6332989206161
8327 -79.1832829696 35.028036134 13.7432415874813
6438 -79.2287757121 35.2718964011 13.9802027296753
4218 -78.7673081983 35.1538282481 14.0286141319329
7128 -78.9465011148 34.9717457016 14.3025985981056
7549 -79.0997253011 34.9759601782 14.3204686757722
4019 -79.0177619694 34.963002719 14.3807219357556
5325 -78.9857409209 34.9619094332 14.546584556973
2863 -78.873280849 34.9855166212 15.1101884119441
4911 -78.9454769393 35.3857308254 15.364601479759
6146 -78.8175039161 35.0180290306 15.3657471641865
4377 -78.781062078 35.2958325352 15.7694106245155
6524 -78.9579038257 34.9409726355 16.223123766267
7296 -79.1951583799 35.3684187696 17.0532883701242
5125 -79.22401527 34.9831535869 17.5869540871175
8114 -78.7052338201 35.1204988823 17.836646515433
4092 -79.1161783055 35.4187072304 18.0786782080254
8128 -79.3190706165 35.2531258646 18.1289778471133
5400 -78.7925333173 35.3702726277 18.6381819442
3710 -79.1444624604 34.9200310202 18.8484004336703
4570 -79.3514482671 35.1729978778 19.0529649860859
6039 -79.0367162867 34.8911688051 19.389402058088
3410 -78.945970223 35.4514331599 19.7886067126265
10808 -78.8928796458 34.9017106372 19.8526813482662
2113 -79.1848178703 35.4237761078 19.962162672431
2751 -78.8213084298 34.921760145 20.4121514348895
3656 -79.3730526668 35.2145241514 20.492431669942
6253 -78.706037649 35.0136137307 20.570740621351
6248 -79.1681943977 35.4459809598 20.9140821150513
2422 -79.3931090984 35.1757760496 21.4103878037826
5914 -78.666256603 35.2992194855 21.5859421936913
4204 -79.3618587579 35.0388169388 21.6762326058587
4969 -78.7494568526 35.4056431441 22.0833442299601
3237 -79.1740244342 35.4691039924 22.5084103973769
4173 -79.1333358073 35.4833359266 22.6302354350013
4330 -79.053350154 35.4964976764 22.6305274234652
4445 -79.4186315668 35.1853474353 22.8713886441523
3044 -79.2320849482 34.8899039409 23.0141543350791
3643 -79.3076400131 34.9350007253 23.2760053602435
8172 -79.4230654411 35.1248991877 23.3266151888851
2070 -78.7671031996 35.4424944243 23.4103962818261
3963 -78.6917603197 35.3839685159 23.4399863665269
3646 -79.171548646 35.4870946802 23.6010170941599
4438 -79.1929743278 35.4800635118 23.6404586145983
4530 -78.6180707802 35.2817099729 23.676367046653
4125 -78.9304330318 34.8266807013 24.2812464802335
5454 -79.2119290619 35.4837576802 24.3424705701232
4664 -79.0899819254 34.8226486544 24.4650809456052
4283 -79.3734399126 35.3737373182 24.6538328617691
3102 -78.8999910916 35.5152587188 24.6825314363333
2588 -79.4523210557 35.1680044998 24.7577164912986
4711 -79.2858613274 35.452146493 24.7621879258429
5132 -78.5755396618 35.1105122661 25.1788830523856
5195 -78.9940173899 34.8068893942 25.2051601010087
6632 -79.4548857185 35.2306323292 25.233169267458
5029 -78.8272573877 35.5056036255 25.4507830629581
2266 -78.7471197666 35.4746864528 25.872243058955
6549 -78.5619734469 35.2280771865 25.8832720323873
4907 -78.6047523327 35.3432513483 26.0353837889323
6797 -79.1673080573 34.8077784696 26.5678289441464
4559 -78.6758152782 34.9034130962 26.65087507527
4542 -79.4874933032 35.1758959325 26.7467116805893
3344 -78.7709250741 35.5039442919 26.8275930339989
6679 -78.6372442875 35.4101070365 26.9731486871757
3262 -78.5673518915 35.3266882096 27.4629451028267
3377 -79.2479974345 35.5250699536 27.8178810118756
3259 -79.5089746254 35.1979141255 28.0177709104882
4751 -79.1243771873 35.5685360822 28.1967852447678
4364 -79.5068695115 35.1060122896 28.2111356217305
2680 -78.6981685903 35.4892272589 28.3481811978259
3939 -79.4810705068 35.3233798885 28.3899472334665
2574 -78.7233645991 35.515789681 28.96696317981
5315 -78.5569444295 34.978433807 29.1234976769458
8267 -78.8020738932 35.5678678799 29.9613041501816
3568 -79.1493788527 34.748215749 30.2204137356798
6473 -78.7392768295 35.5520588547 30.5989290251526
2895 -78.8214144 35.5882362298 30.8555303589828
5471 -79.0386393055 34.7235391012 30.9742855886718
7157 -79.2762975273 34.7756068488 31.109510414635
6695 -78.5289174719 35.3849028975 31.1623308341289
7486 -79.4642644272 34.9110964873 31.1731040766983
7075 -78.6000575062 35.4787283174 31.6318075676637
6663 -78.9062632499 35.6255960376 32.0408721925046
3833 -78.8952492177 34.7117288111 32.4728385451234
4397 -78.8325437281 35.6165229557 32.4893424159939
2712 -79.4687832164 35.4618867612 32.5988635024494
3526 -78.7866154692 35.607764121 32.8396311322793
5933 -78.4555107742 35.0253394286 33.1994835794308
7887 -78.7343321665 35.5933247819 33.2202574262981
6980 -78.6268036471 35.5393221078 33.5850924293561
1707 -78.8079119172 35.6286111152 33.7375338495837
2871 -78.6669241043 35.5682488021 33.7628142233608
5351 -79.2789026976 35.6087981307 33.7629073913423
3366 -78.6781354825 34.7663248583 33.8625265961289
4837 -79.6136701992 35.2190339938 34.0332837056361
3887 -79.0098444234 35.6634342864 34.0726601581964
3413 -79.2013546142 34.702649032 34.0782132910762
6719 -78.787350675 34.7123944805 34.2306477877472
4473 -78.9678829448 34.6756783355 34.3566093563519
4383 -78.8323011182 35.6476889488 34.5450512407838
6142 -79.6022719995 35.3200177917 34.7705603075865
6431 -79.1064371222 34.6709998786 34.9693034884047
6635 -78.3962896774 35.1897757862 34.9769956827223
4234 -78.7981826093 35.6473627274 35.1438566687048
3080 -79.0510294409 34.6635406681 35.1554327092365
3676 -79.6171926144 35.0468532081 35.1675844128094
6057 -79.1991946112 34.6819537856 35.4055722636277
6838 -78.5107216809 35.4848388205 35.7766858345292
3709 -79.3238383811 34.7191506785 35.8337349273738
5523 -78.7014430164 35.6247558176 36.0182652240755
6736 -78.8193812254 35.6676297962 36.0793366480293
4853 -78.9329936009 35.6950816944 36.5506454045046
7260 -78.6605077309 35.6139480041 36.5759522221186
4250 -79.4640975023 34.7905322834 36.6267844606065
10377 -78.7668373208 35.6606029143 36.640118544046
2001 -79.0154801019 34.6347081897 37.0888047843735
5312 -78.7256930176 35.6536377271 37.1518132801692
