"pop" "long" "lat" "miles"
1292 -89.8508782382 38.5430373011 0.23401234989195
10394 -89.8832146769 38.5344441587 1.62068114219502
4317 -89.8927027746 38.5810579734 3.34058454692019
5990 -89.9195298592 38.5840740268 4.50610686085422
5675 -89.9384772438 38.5572899001 4.61777365242572
6570 -89.9419500345 38.5321127382 4.75157508892561
3596 -89.9010382457 38.6015140917 4.76472848931683
7810 -89.7704178686 38.5140006479 4.99808007175018
3385 -89.8775222282 38.471376736 5.07962440022574
5265 -89.9474942631 38.5141463661 5.3716918412184
7818 -89.7844598057 38.6022130663 5.61930708042711
4557 -89.948449192 38.5836934708 5.78705317739226
6245 -89.9663567793 38.5537335498 6.06273850196794
4142 -89.8911203967 38.6278545812 6.20277420923086
5865 -89.9711635126 38.5233328779 6.41723968780463
3620 -89.9717087639 38.5095028009 6.71104596934425
5146 -89.9197263639 38.6279740702 6.85389152108727
5838 -89.975674463 38.586275684 7.18045838386122
3989 -89.9908311789 38.5319603365 7.37714660584557
3264 -89.9885015366 38.5122720809 7.51532551005489
6952 -89.9889165358 38.4962084876 7.92012941708288
4671 -89.9563135884 38.6281154584 8.05069927902464
7148 -90.0036496242 38.5590849247 8.11130259817919
2966 -89.9308252927 38.4392473801 8.24515886287536
5345 -90.011376581 38.5337042344 8.47408434689312
6385 -90.0164593693 38.522688657 8.83598298041029
4587 -90.018795378 38.547490628 8.85797669801152
7627 -90.0090605778 38.5898568188 8.93911041961407
5471 -89.9463115682 38.430021754 9.2248288089282
2884 -90.0387720764 38.5617794544 10.0188789861093
4700 -89.873047885 38.6870447343 10.0314817033816
2639 -90.0439779491 38.5473500345 10.2192682082066
6330 -90.0086635961 38.6337877064 10.4196510981819
1812 -90.0510177226 38.5822714242 10.940481097199
6152 -89.9518528682 38.6839453887 11.0799106922091
3391 -90.0293057081 38.6301361116 11.1903640365612
3102 -89.9876126239 38.6690051358 11.2952376546295
4247 -90.0667291276 38.5648057529 11.5454131074769
4649 -89.9749854659 38.6810511663 11.5552355541903
2790 -90.0635589837 38.5953119462 11.8428904596405
6787 -89.6347642547 38.5164360839 12.0650911100029
6031 -90.012670994 38.6681627361 12.1571713949178
6055 -89.6505778838 38.6188172386 12.2529417173489
4161 -90.0590679571 38.6265471919 12.4571635213191
3923 -89.9925173437 38.687343096 12.4583080156095
6110 -90.0884090624 38.516202553 12.753123813821
8226 -89.8656560977 38.7304058046 12.9966543902411
2085 -90.0919901837 38.5900911078 13.2208339168724
3782 -90.0926905022 38.6074220014 13.6021979360482
4901 -89.926212459 38.3516410515 13.7649203986105
2713 -90.1080320097 38.5677836884 13.7873217334351
9632 -89.951367009 38.7274755489 13.7978829423942
2101 -90.0886858324 38.6326901013 14.0766915007051
1394 -90.0999088697 38.6219166787 14.3229844769088
1272 -90.1147271831 38.5863632097 14.3593064781739
4093 -90.0144040796 38.7138741036 14.636815863771
6718 -90.0838951979 38.4231084575 14.8932396780893
1251 -90.1273759402 38.5795016159 14.9413615539898
2685 -90.1066745008 38.6323601314 14.9457867871038
5909 -89.7826670304 38.3318471743 15.1052447719595
3464 -90.1233363601 38.6115246961 15.2626914851729
5774 -89.691332342 38.7239917416 15.3510452967904
1826 -90.1198224445 38.6303928267 15.5419432893718
4210 -90.1420400811 38.5653440578 15.5964532416783
1777 -90.1356245461 38.6023093164 15.7171845037225
5539 -89.9422875064 38.7629487295 15.9455299543719
2582 -90.1163419147 38.6501426201 15.9558009933227
