"pop" "long" "lat" "miles"
6215 -98.5076990881 33.973447598 0.110176138721741
1375 -98.5237422894 33.9768817219 1.02569134091574
0 -98.4958777566 33.9897576115 1.37909218464214
6413 -98.5313540382 33.9989271389 2.33235071876906
2116 -98.4663150513 33.9908510824 2.6652088442907
1651 -98.5046215327 33.9302517035 2.89197958582641
2393 -98.5343167475 33.9346184564 3.02929304260578
2392 -98.476447586 33.9210384275 3.93443193770382
2480 -98.515119811 33.9113679384 4.22215067453489
8079 -98.5855543436 33.9818343553 4.56541776646437
1250 -98.4988893586 33.9060691012 4.58476410656906
1757 -98.5255226757 33.9034799243 4.8606266834711
1593 -98.4859427857 33.9036472552 4.87930784348921
2601 -98.510766532 33.8954738787 5.29961284717083
2606 -98.5201854055 33.8947703465 5.39803520868809
1313 -98.4398409911 33.9136287222 5.57682682705731
2458 -98.4972908488 33.8908157443 5.64380098878706
2567 -98.534739554 33.88968595 5.91586883008073
2406 -98.4642714819 33.8940258461 5.92267348132537
3789 -98.5113798774 33.8770203308 6.57647923988609
2610 -98.6074719968 33.9208435957 6.7727331733331
4955 -98.556361816 34.0609773237 6.77680200021312
4076 -98.5464835675 33.8794242018 6.79701829348643
2303 -98.5003633403 33.8699148358 7.07266163674799
6852 -98.5267578116 33.867217562 7.33893334649655
1997 -98.5051905408 33.861231627 7.66408999362498
4401 -98.4936593275 33.8613245621 7.69442211726514
3133 -98.5420194885 33.8645465006 7.70341636860529
2565 -98.4542740754 33.8597326578 8.33296434496884
6376 -98.5372356757 33.8490063674 8.68610339169591
5595 -98.5765398279 34.092500664 9.24216667677462
7312 -98.582901102 33.8469149221 9.69277565825363
5789 -98.6772018783 33.9459503084 9.93881936956034
7094 -98.6098751914 33.8560336884 9.96726031232856
4506 -98.6401760756 33.8791767823 9.9902579652259
2660 -98.5335796439 33.7967720171 12.2191679533396
3697 -98.7830774965 34.0080007396 16.0370228658187
4683 -98.2222947948 33.9617591012 16.3403046015422
2399 -98.369363308 34.2074609239 18.0908621069299
3250 -98.1852806181 33.8266720044 21.0230192532658
2785 -98.9188422884 34.0297303408 23.9612164615484
1487 -98.7363361436 34.3060038436 26.5776047098075
2780 -98.7796193941 33.6472906991 27.3924451736196
2819 -98.1989822735 33.6406736901 28.9563192239415
3794 -98.3765952742 34.3780710782 29.0603455917018
3614 -98.5742830227 33.5256059994 31.1224456564863
2835 -97.9658347984 34.2018123178 34.8323891860133
1687 -97.8708968776 34.0167103172 36.603396120731
5919 -98.5370621715 34.5108648094 37.313808098339
1219 -98.9867507449 34.3714801271 38.9597197276618
1760 -99.0176065795 34.3612865887 39.7443321511118
1862 -98.3923234723 34.5464250085 40.2694918635322
5774 -98.3544916858 34.5558255251 41.3125024374432
2387 -99.0194139971 34.4136377041 42.3470153095853
6958 -98.4557738092 34.5840163646 42.4344811847266
1777 -97.7905573698 33.8191028167 42.4662909193022
1849 -99.2385422631 34.0783142478 42.5875109583102
2050 -98.4119301151 34.5882820074 42.9728569545555
4086 -98.3064441529 34.5741286562 43.1966460470212
5672 -97.9069757626 34.3513817656 43.2151958688353
2545 -98.3983068315 34.5939863542 43.4685720436862
2909 -98.4224655882 34.5978169591 43.556406092745
1534 -98.4307864321 34.6051071616 44.008088590011
7888 -98.4622769965 34.608276914 44.085774754243
3013 -98.404511223 34.6048924359 44.1669800641139
4769 -98.5055965668 34.6126112208 44.311991192848
2091 -98.2300257266 34.5705763762 44.325098535136
4906 -98.7348454101 34.5852421535 44.3753574013051
2737 -99.2561929754 34.1360398142 44.4187288305085
2074 -98.4134315279 34.6124236214 44.6195051707356
1909 -98.3949144148 34.61313509 44.8071620683966
2809 -98.4265364351 34.619493324 45.0225415469406
2509 -98.4352670868 34.6205546137 45.0475260069062
2024 -98.4061197068 34.6196610121 45.1679035477388
6450 -98.4661633977 34.6270759322 45.3721165467604
5830 -98.4485442181 34.6272472197 45.4466538161141
4018 -98.4834532253 34.6307945496 45.5893441948983
4493 -98.654288209 33.3241832619 45.6100434652095
2430 -98.4046573375 34.6269007858 45.6752411066618
3225 -97.9908092794 34.4769482993 45.7282444484018
2998 -98.4308599888 34.6346547973 46.0419740424429
1762 -98.3763234377 34.6303141047 46.1433050557673
4042 -98.4047549574 34.6342911256 46.1815686235435
5037 -98.317518944 34.6229431387 46.3082709398512
2838 -97.7291967667 33.7867571959 46.4617423915798
3726 -99.213496217 33.6167510578 47.4769569821174
5994 -99.3141735631 34.1271049063 47.4979215523957
5412 -97.8435815874 33.5605714609 47.5894658811239
3228 -97.9435394584 34.4800897254 47.6776851653641
5241 -97.9871064534 34.5158883354 47.9439946826727
5108 -97.8417667255 33.5486217311 48.1733073926299
2121 -97.9604572649 34.5073454914 48.4511105258322
5437 -97.9876493134 34.5265136469 48.5027134463631
6551 -98.4051792884 34.6728500292 48.8255606694913
137 -98.5668424793 34.6763942242 48.8443937053661
2955 -99.3402870458 34.1501947012 49.3253662717184
