"pop" "long" "lat" "miles" "weight" "fact"
2859 -97.3940763243 35.4185233277 0.381761264651065 6.86145593597474 19616.9025209518
5504 -97.3848840005 35.3984042578 1.33018479988231 0.565166014669255 3110.67374473958
2328 -97.3927763165 35.4419764482 1.71829988139925 0.338689770486976 788.46978569368
240 -97.3793188421 35.4420019256 1.75372844009191 0.32514367496966 78.0344819927184
1809 -97.4013744982 35.4427007121 1.91108285676339 0.273804742772756 495.312779675915
3361 -97.3620158875 35.4424164617 2.23939380569067 0.199406382475267 670.204851499373
1958 -97.4148181978 35.4424619649 2.31547963978906 0.186516847700388 365.199987797359
3385 -97.4309313949 35.4155329592 2.4569534563783 0.165655607357832 560.744230906261
2794 -97.4320636711 35.4246646517 2.56480944871615 0.152016171290283 424.73318258505
1276 -97.3986625113 35.4534695445 2.56606161397587 0.151867848331065 193.783374470439
1835 -97.4329119017 35.4318341798 2.74892572543929 0.132334776679593 242.834315207053
3462 -97.3708205307 35.456856709 2.87712818813825 0.120804072715259 418.223699740226
1616 -97.4150493469 35.4526963669 2.88882825754519 0.119827514979642 193.641264207102
2820 -97.3960821545 35.4601742581 2.99048569832467 0.111819241095903 315.330259890447
4435 -97.4328406725 35.3945693013 3.01331465249644 0.110131367840419 488.432616372259
2529 -97.3355204052 35.4062722071 3.02746782342323 0.109104064003614 275.924177865141
2424 -97.4325418101 35.4424796521 3.07398973238535 0.10582668079471 256.523874246377
2093 -97.4149604775 35.4598642551 3.31483637316617 0.0910072117337364 190.47809415871
3401 -97.3355413736 35.4426041443 3.39987968495348 0.0865113129164039 294.22497522869
3544 -97.4502779872 35.4280209326 3.61710130669268 0.076432603831062 270.877147977284
4418 -97.3797084909 35.471314414 3.74620613352136 0.0712552156586251 314.805542779806
6402 -97.4502374795 35.3990121649 3.76616081360234 0.0705021367215879 451.354679291605
3057 -97.3974850229 35.4713557977 3.76678168772839 0.0704788970710699 215.453988346261
1655 -97.4505067935 35.438139369 3.83142921676192 0.0681205877915006 112.739572794934
2986 -97.3619881565 35.4712956091 3.98611913610864 0.0629360454393376 187.927031681862
2739 -97.3356651812 35.4569560384 3.99340812888406 0.0627065063056569 171.753120771194
2701 -97.4501988528 35.4452950471 4.02646169234608 0.0616812060456819 166.600937529387
4029 -97.4151948174 35.4713322654 4.03796099780041 0.0613303947971388 247.100160637672
2524 -97.4491492208 35.4532240346 4.26663480913838 0.0549324609402634 138.649531413225
3921 -97.4370134601 35.4697919933 4.56999983122335 0.0478814872880824 187.743311656571
3607 -97.4435659928 35.3655129334 4.79261227571567 0.043536690088336 157.036841148628
1360 -97.4677726504 35.4429095616 4.85771962624797 0.0423774782937687 57.6333704795254
3787 -97.4769895602 35.4135672703 5.05702596358457 0.0391029599604148 148.082909370091
4098 -97.4037970497 35.4910101917 5.16647762262076 0.0374637196304335 153.526323045516
3506 -97.3797438593 35.4931011597 5.24584457947648 0.0363386811350808 127.403416059593
3058 -97.3620017821 35.4930552617 5.41751656709919 0.0340721472381046 104.192626254124
1715 -97.4797602223 35.3909877878 5.52061693601377 0.0328114008981377 56.2715525403062
1675 -97.4473189546 35.4852737932 5.77559574713342 0.0299782601545789 50.2135857589196
3109 -97.4858080141 35.4424408714 5.80744570576334 0.0296503403920517 92.1829082788888
6549 -97.3267744013 35.4858157828 5.83037470200049 0.0294175883797673 192.655786299096
5409 -97.3508498932 35.3379901524 5.87540538896376 0.028968387781738 156.690009511421
3825 -97.4642664037 35.3579373413 5.98088333687756 0.02795563346754 106.93029801334
607 -97.4763589941 35.4705429066 6.21081232470696 0.0259240701341668 15.7359105714393
4912 -97.2741908783 35.4063713841 6.42972665909801 0.0241888364930126 118.815564853678
1796 -97.5013808836 35.4135298689 6.43059613040937 0.0241822958622093 43.4314033685279
3221 -97.501399008 35.428088014 6.46653285521178 0.0239142642056424 77.0278450063742
2510 -97.5013435289 35.3992849501 6.54584558359147 0.0233382607535849 58.579034491498
2615 -97.475131112 35.4814644677 6.63282019787247 0.0227302153720151 59.4395131978195
6183 -97.4590967169 35.3414634441 6.6351179312012 0.0227144752056069 140.443600196268
2264 -97.4392213332 35.3312930168 6.64204391317119 0.0226671289293225 51.3183798959861
5340 -97.2740614095 35.4497649384 6.76696218076293 0.0218379818847385 116.614823264504
3960 -97.5036369485 35.4456793048 6.83395738167423 0.0214119128863801 84.7911750300651
2895 -97.4723809683 35.4895283791 6.90866235139878 0.0209513525266293 60.6541655645918
3588 -97.4857571506 35.3560491882 6.98848960326534 0.0204754451875092 73.465897332783
4244 -97.4989687444 35.370291777 7.08821986568595 0.0199033252246679 84.4697122534904
3861 -97.5146914825 35.427968268 7.21068543878494 0.0192329941563851 74.2585904378029
5523 -97.5146493013 35.4062803576 7.21501542837513 0.019209916263883 106.096367525426
467 -97.5032243146 35.4628905649 7.24187718738336 0.0190676727198125 8.90460316015244
1258 -97.5165235561 35.4411861267 7.45889075544854 0.0179742801813353 22.6116444681198
130 -97.4960037174 35.4793206615 7.46431766859565 0.0179481533732638 2.3332599385243
358 -97.5005261006 35.4737143186 7.46574814303789 0.0179412761214399 6.42297685147547
1062 -97.4900947091 35.4882010513 7.57478637682278 0.0174284683121697 18.5090333475243
2454 -97.4848294775 35.3419266632 7.58480818348593 0.0173824422708037 42.6565133325522
2382 -97.3901805663 35.5277718122 7.62787423659065 0.0171867180295276 40.9387623463347
1972 -97.5171326588 35.3843142247 7.66624003016985 0.0170151261850939 33.5538288370052
4374 -97.4680191526 35.3269812988 7.73920775874094 0.0166957905998344 73.0273880836755
227 -97.518749726 35.4526401637 7.79042952551968 0.0164769640316271 3.74027083517934
1088 -97.3356184868 35.5220215986 7.79530985389343 0.0164563393675866 17.9044972319342
2703 -97.525785414 35.4135009175 7.80540935478272 0.016413780859239 44.3664496625231
2486 -97.5257943765 35.4279987763 7.83384095567159 0.0162948549788027 40.5090094773036
2067 -97.4418705961 35.5223020417 7.87041332604791 0.0161437684141194 33.3691693119848
1803 -97.5257193582 35.398854665 7.90364142681852 0.0160083120781703 28.862986676941
1076 -97.5258014597 35.4398769502 7.95187121129598 0.0158147133605215 17.0166315759212
4912 -97.2738981614 35.485910606 7.95584566583074 0.0157989163825868 77.6042772712666
2370 -97.485554443 35.5004350883 7.96673482685126 0.0157557570768818 37.3411442722099
437 -97.5074302384 35.4788424793 7.98306170328922 0.0156913759524792 6.8571312912334
514 -97.519349347 35.4607353858 8.01378786925441 0.0155712800537571 8.00363794763113
251 -97.5143078777 35.4712217266 8.05806064335868 0.0154006459567856 3.86556213515319
1656 -97.50324326 35.4878056218 8.13836922831881 0.0150982016408772 25.0026219172927
3895 -97.4988353752 35.3411965365 8.20756465373525 0.0148446982821138 57.8200998088333
6173 -97.5123169972 35.3560815654 8.2265947162519 0.0147760991091798 91.212859800967
226 -97.5198830586 35.4678928246 8.23826741518379 0.0147342566300825 3.32994199839864
2338 -97.4833053984 35.3270720099 8.27042986234712 0.0146198808804415 34.1812814984723
3049 -97.5346690667 35.4134986863 8.30592476359153 0.014495193399849 44.1958446761396
3192 -97.4467960507 35.3067738442 8.36119466745638 0.0143041919776389 45.6589807926234
3639 -97.5346226741 35.435150243 8.3866423626377 0.0142175168951888 51.737543981592
704 -97.5275106375 35.460132517 8.42764104333177 0.0140795229793141 9.91198417743715
2854 -97.5256212765 35.3702361256 8.45190252374962 0.0139988074724796 39.9525965264568
466 -97.5139581986 35.4855402464 8.54289408610768 0.0137021890710378 6.38522010710362
1156 -97.4810342984 35.5149632089 8.55859949240767 0.0136519469730296 15.7816507008222
2992 -97.5391001713 35.4242729561 8.56322655412253 0.0136371975477897 40.8024950629868
3498 -97.5235990916 35.4738590358 8.60705935231541 0.0134986521005611 47.2182850477627
3547 -97.5392088827 35.4027122646 8.61886654354125 0.0134616931812407 47.7486257138607
2713 -97.5086030726 35.3413514687 8.63006730182144 0.0134267726369496 36.4268341640442
2047 -97.5388615428 35.3953332183 8.67543521881623 0.0132867100488288 27.1978954699525
1909 -97.5038190891 35.5006349396 8.72165830212622 0.0131462493154064 25.0961899431109
542 -97.5229502771 35.479830481 8.76968092937019 0.0130026662378204 7.04744510089866
3145 -97.5379202871 35.4498515634 8.77245420566191 0.0129944463519694 40.8675337769437
1913 -97.5435336258 35.413477311 8.80544077084826 0.0128972702349875 24.6724779595312
4261 -97.5390022378 35.3843064645 8.85053984153941 0.0127661657004531 54.3966320496308
1505 -97.489869081 35.5149743955 8.87458585348178 0.0126970786472645 19.1091033641331
1199 -97.5209862535 35.4865224092 8.91228431453866 0.012589889972634 15.0952780771882
3729 -97.5441239851 35.4346719372 8.91241075487556 0.0125895327497273 46.9463676237333
3671 -97.5010135696 35.3270855731 8.95490203334119 0.0124703407867118 45.7786210280189
351 -97.5361838096 35.4631074576 8.95742683294549 0.0124633118319081 4.37462245299976
3177 -97.4737306493 35.5271718995 9.00958123652554 0.0123194349569311 39.1388448581702
1196 -97.5169015726 35.4968196553 9.12782051693267 0.0120023369909741 14.354795041205
4230 -97.5388973434 35.3702309038 9.14691373596412 0.0119522820590937 50.5581531099661
5074 -97.5210274619 35.3415622453 9.18663560111876 0.0118491451675616 60.1225625802074
1416 -97.5254873009 35.4896227404 9.24131268267102 0.0117093468320478 16.5804351141797
3236 -97.5523738109 35.4134786983 9.30355830228187 0.0115531877980963 37.3861157146396
1704 -97.5377923688 35.4756231368 9.37880536415303 0.0113685467931439 19.3720037355172
3372 -97.5525609048 35.438592346 9.42185424176157 0.0112648973172893 37.9852337538996
3713 -97.4775312874 35.3023520102 9.45054282937678 0.0111966084418006 41.5730071444055
727 -97.5172963507 35.5041088573 9.45637643859413 0.0111827983969451 8.12989443457908
373 -97.54355313 35.4690844301 9.49444915853113 0.0110932922240311 4.13779799956361
2785 -97.5543849564 35.3990594246 9.49981546096928 0.0110807628970005 30.8599246681464
838 -97.5254648664 35.4968818452 9.52037639930062 0.0110329528414983 9.24561448117558
3435 -97.5388091081 35.3560463856 9.53814578865527 0.0109918827590245 37.757117277249
3414 -97.5567373001 35.4242241145 9.5559528630001 0.0109509552018565 37.3865610591381
2120 -97.5527251483 35.3861642835 9.56982108980595 0.0109192387702421 23.1487861929132
2637 -97.2900845838 35.5313655365 9.59566725636921 0.0108604955119407 28.6391266649877
3389 -97.5387606027 35.4823839258 9.63646121280738 0.0107687388376411 36.4952559207657
2214 -97.5209790931 35.3270197588 9.79524275033408 0.0104224445509585 23.0752922358221
3989 -97.5611650324 35.4134447221 9.79901342853838 0.0104144249429652 41.5431410974883
1429 -97.5254200422 35.5041443562 9.81635184978968 0.0103776678622815 14.8296873752003
