"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Alachua Branch Library" "14913 Nw 140 Street, " "Alachua" "FL" -82.4939082 29.7920413
"Altamonte Springs City Library" "281 North Maitland Avenue, 32701" "Altamonte Springs" "FL" -81.3656298 28.6587827
"Altha Public Library" "5314 Brown Street, " "Altha" "FL" -85.514326 30.954104
"Sheltons Park Public Library" "25008 N.E. Highway 73, " "Altha" "FL" -84.1954471 35.7381341
"Apalachicola Municipal Library" "74- 6th Street, 32320" "Apalachicola" "FL" -84.9862065 29.7254246
"Apalachicola Program Center" "148 8th Street, " "Apalachicola" "FL" -122.4124533 37.7768699
"North Orange Library" "1211 East Semoran Blvd., " "Apopka" "FL" -81.4879559 28.6738153
"Desoto County Library" "519 West Hickory Street, " "Arcadia" "FL" -97.137938 33.214572
"Archer Branch Library" "204 N. University Ave, " "Archer" "FL" -111.6586537 40.2365049
"Astor Library" "54905 Alco Road, " "Astor" "FL" -81.53565 29.154291
"Auburndale Public Library" "100 W Bridgers Avenue, " "Auburndale" "FL" -81.7852412 28.062781
"Avon Park Public Library" "100 N. Museum Ave., " "Avon Park" "FL" -81.5050351 27.5977024
"South Mainland Library-Micco" "299 Barefoot Boulevard, " "Barefoot Bay" "FL" -80.5059181 27.8834926
"Bartow Public Library" "2150 S. Broadway Avenue, " "Bartow" "FL" -95.3006503 32.3262648
"Polk County Historical And Genealogical Lib" "100 East Main Street, " "Bartow" "FL" -82.9966115 39.9566703
"Polk County Law Library" "255 North Broadway, " "Bartow" "FL" -84.4958739 38.0519628
"Polk County Library Cooperative" "2150 S. Broadway Ave., 33830" "Bartow" "FL" -81.842798 27.8734376
"Belle Glade Branch" "530 South Main St., " "Belle Glade" "FL" -73.1980631 44.4761213
"Belleview Library" "13145 Se Highway 484, " "Belleview" "FL" -82.062189 29.032153
"Central Ridge Library" "425 W Roosevelt Blvd., " "Beverly Hills" "FL" -80.5293615 34.986141
"Citrus County Library System" "425 W. Roosevelt Boulevard, 34465" "Beverly Hills" "FL" -82.4419686 28.9110162
"Big Pine Key Library" "213 Key Deer Blvd., " "Big Pine Key" "FL" -81.356596 24.672315
"Calhoun County Public Library" "17731 N.E. Pear St., " "Blountstown" "FL" -75.8428711 37.9942609
"Hugh Creek Public Library" "11442 S.E. County Road 69, " "Blountstown" "FL" -93.3050139 47.3108923
"Johann Fust Community" "1040 West 10th Street, 33921" "Boca Grande" "FL" -82.263545 26.7561894
"Boca Raton Public Library" "1501 Nw Spanish River Blvd., 33431" "Boca Raton" "FL" -80.1142728 26.387879
"Southwest County Regional Library" "20701 95th Ave. South, " "Boca Raton" "FL" -80.1953162 26.3691849
"Pine Island Public Library" "10700 Russell Road NW, 33922" "Bokeelia" "FL" -82.1197376 26.6159911
"Holmes County Public Library" "303 North J. Harvey Etheridge Street, " "Bonifay" "FL" -85.6805475 30.7944923
"Bonita Springs Public Library" "26876 Pine Ave., 34135" "Bonita Springs" "FL" -117.6872517 33.9521436
"Boynton Beach City Library" "208 S. Seacrest Blvd., 33435" "Boynton Beach" "FL" -80.0636719 26.5261739
"West Boynton Beach Branch Library" "9451 Jog Road, " "Boynton Beach" "FL" -80.1483875 26.5365692
"Braden River Library" "4915 53rd Avenue East, " "Bradenton" "FL" -82.4990878 27.4468349
"Manatee County Public Library System" "1301 Barcarrota Blvd West, 34222" "Bradenton" "FL" -82.574475 27.49861
"South Manatee County Branch" "6081 26th Street W., " "Bradenton" "FL" -105.0636702 39.7548221
"Brandon Branch" "619 Vonderburg Drive, " "Brandon" "FL" -82.2873137 27.9299292
"Branford Public Library" "703 N.W. Suwannee Ave., " "Branford" "FL" -82.9308772 29.9635093
"Liberty County Library" "537 South 12, " "Bristol" "FL" -88.3152122 36.6004503
"Levy County Public Library System" "612 E. Hathaway Ave., 32621" "Bronson" "FL" -82.6345555 29.4437532
"East Hernando Branch Library" "31170 Cortez Blvd., " "Brooksville" "FL" -82.2225771 28.5229968
"Hernando County Public Library System" "238 Howell Ave, 34601" "Brooksville" "FL" -82.38725 28.5568522
"Istachatta Branch Library" "238 Howell Avenue, " "Brooksville" "FL" -82.38725 28.5568522
"Rock Cannery Library" "15487 Citrus Way, " "Brooksville" "FL" -82.447327 28.651881
"West Hernando Branch Library" "6335 Blackbird Ave., " "Brooksville" "FL" -82.5643137 28.5221528
"Bryceville Branch" "7280 Motes Road, " "Bryceville" "FL" -81.933787 30.397057
"Bushnell Public Library" "402 North Florida Street, " "Bushnell" "FL" -101.3806963 35.6690613
"Sumter County Public Library System" "910 North Main Street, Suite 225, 33513" "Bushnell" "FL" -82.1130428 28.6762515
"Callahan Branch" "450086 State Road 200, Suite 10, " "Callahan" "FL" -81.82566 30.5684413
"Cape Canaveral Public Library" "201 Polk Avenue, " "Cape Canaveral" "FL" -111.942841 41.258842
"Cape Coral Lee County Public Library" "921 SW 39th Terrace, 33914" "Cape Coral" "FL" -81.994977 26.579957
"Northwest Regional Library" "519 Chiquita Blvd. North, 33993" "Cape Coral" "FL" -82.0063017 26.6619754
"Captiva Memorial Library" "11550 Chapin Lane, 33924" "Captiva" "FL" -82.1917351 26.5201518
"Carrabelle Branch" "311 St. James Ave., " "Carrabelle" "FL" -80.0471107 33.0112639
"Central Branch Library" "215 North Oxford Road, " "Casselberry" "FL" -83.2593603 42.8333986
"Seminole County Public Library System" "215 N. Oxford Road, 32707" "Casselberry" "FL" -81.334914 28.6614109
"Cedar Key Library" "box 550, " "Cedar Key" "FL" -94.0286232 37.819673
"Celebration Library" "510 Campus Street, " "Celebration" "FL" -81.544709 28.319619
"Chattahoochee Public Library" "715 Main Street, " "Chattahoochee" "FL" -78.8714527 42.8933942
"Luther Callaway Library" "box 1940, " "Chiefland" "FL" -99.7106491 19.281977
"Washington County Public Library" "1444 Jackson Avenue, " "Chipley" "FL" -88.5425558 44.0354432
"Beach Library" "483 Mandalay, " "Clearwater" "FL" 96.0646964 16.9475368
"Clearwater Public Library System" "100 North Osceola Avenue, " "Clearwater" "FL" -82.8015326 27.967516
