"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"1" "Wilcox County Public Library" "Abbeville" "104 North Broad" NA "GA" -82.3868905 28.5548804
"2" "Acworth Library" "Acworth" "4569 Dallas Street" NA "GA" -84.6784411 34.0651938
"3" "Adairsville Branch Library" "Adairsville" "202 North Main Street" NA "GA" -73.211336 44.476177
"4" "Cook County Library" "Adel" "213 East Second Street" NA "GA" -104.5208883 33.3942638
"5" "Guam Public Library System" "Agana" "254 Martyr Street" 96910 "GA" 144.7536117 13.4757267
"6" "Wheeler County Library" "Alamo" "203 W. Forest Avenue" NA "GA" -82.7497524 31.0327594
"7" "Central Library" "Albany" "300 Pine Avenue" NA "GA" -118.1926182 33.7622718
"8" "Northwest Branch Library" "Albany" "2215 Barnesdale Way" NA "GA" -84.3832224 33.8026128
"9" "Southside Branch Library" "Albany" "2114 Habersham" NA "GA" -98.2730875 29.5842641
"10" "Tallulah Massey Branch" "Albany" "2004 Stratford Drive" NA "GA" -81.2887287 28.9922942
"11" "Westtown Branch Library" "Albany" "2124 Waddell Avenue" NA "GA" -84.200708 31.5664845
"12" "Alma-Bacon County Public Library" "Alma" "217 North Pierce Street" NA "GA" -101.831943 35.215312
"13" "Dr. Robert E. Fulton Regional At Ocee" "Alpharetta" "5090 Abbotts Bridge Rd." NA "GA" -84.2096254 34.0646054
"14" "Northeast-Spruill Oaks Regional" "Alpharetta" "9560 Spruill Road" NA "GA" -84.2242155 34.01417
"15" "Ambrose Public Library" "Ambrose" "1070 Cypress Avenue" NA "GA" -94.8469023 31.8169206
"16" "Lake Blackshear Regional Library System" "Americus" "307 East Lamar Street" 31709 "GA" -84.2272286 32.071418
"17" "Victoria Evans Memorial Library" "Ashburn" "605 North Street" NA "GA" -94.6543158 31.6086302
"18" "Athens Regional Library System" "Athens" "2025 Baxter Street" 30606 "GA" -83.4035953 33.9450079
"19" "East Athens Resource Center" "Athens" "400 Mckinley Drive" NA "GA" -85.9524589 31.8050834
"20" "Lay Park Resource Center" "Athens" "297 Hoyt Street" NA "GA" -73.9913479 40.6810625
"21" "Adams Park Branch" "Atlanta" "2231 Campbellton Road Sw" NA "GA" -84.4616745 33.7056691
"22" "Adamsville-Collier Heights Branch" "Atlanta" "3424 Martin Luther King Jr., Dr." NA "GA" -93.942512 29.7825642
"23" "Auburn Avenue Research Library" "Atlanta" "101 Auburn Avenue, Ne" NA "GA" -84.3842751 33.7554722
"24" "Bankhead Courts Branch" "Atlanta" "1415 Maynard Road" NA "GA" -78.6080548 35.1297128
"25" "Bowen Homes Branch" "Atlanta" "2880 Yates Drive, N.W." NA "GA" -84.4827385 33.782299
"26" "Buckhead Branch" "Atlanta" "269 Buckhead Avenue" NA "GA" -84.379144 33.837746
"27" "Carver Homes Branch" "Atlanta" "215 Lakewood Way, Suite 104" NA "GA" -85.1833991 36.7006033
"28" "Cleveland Ave.-Roy Yancy, Sr., Branch" "Atlanta" "47 Cleveland Avenue, Sw" NA "GA" -121.930176 37.324183
"29" "College Park Branch" "Atlanta" "3647 Main Street" NA "GA" -78.8140555 42.9593203
"30" "Dogwood Branch" "Atlanta" "1838 Donald Lee Hollowell Pkwy Nw" NA "GA" -84.4470367 33.7740391
"31" "East Atlanta Branch" "Atlanta" "400 Flat Shoals Ave. Se" NA "GA" -84.3480902 33.7431206
"32" "Georgia Hill Branch" "Atlanta" "250 Georgia Avenue, S.E." NA "GA" -84.3795471 33.7370101
"33" "Kirkwood Branch" "Atlanta" "11 Kirkwood Road, Se" NA "GA" -76.8801827 40.3227655
"34" "Martin Luther King Jr., Branch" "Atlanta" "409 John Wesley Dobbs Ave" NA "GA" -84.373977 33.758569
"35" "Mechanicsville Branch" "Atlanta" "400 Formwalt Street Sw" NA "GA" -84.3950944 33.7437565
"36" "Northside Branch" "Atlanta" "3295 Northside Parkway Nw" NA "GA" -84.4253753 33.8451277
"37" "Peachtree Branch" "Atlanta" "1315 Peachtree Street, N.E." NA "GA" -84.3846492 33.7906557
"38" "Perry Homes Branch" "Atlanta" "2121 Hollywood Rd Nw" NA "GA" -84.4683901 33.813602
