"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"1" "Aberdeen District" "Aberdeen" "76 E Central Ave" 83210 "ID" -112.8375617 42.9440881
"2" "American Falls District" "American Falls" "308 Roosevelt St" 83211 "ID" -112.852637 42.7823838
"3" "Lost Rivers District" "Arco" "126 S Front St" 83213 "ID" -113.2967062 43.6338755
"4" "Fremont County District" "Ashton" "925 Main" 83420 "ID" -111.4444467 44.0713542
"5" "Community Library Network - Athol" "Athol" "330399 3rd Street" NA "ID" -96.9591177 43.2576697
"6" "Bellevue Public" "Bellevue" "115 E Pine" 83313 "ID" -114.2594001 43.4631615
"7" "Blackfoot Public" "Blackfoot" "129 N Broadway" 83221 "ID" -112.3450144 43.1902959
"8" "Snake River - Junior High School Library" "Blackfoot" "918 E Hwy 39" NA "ID" -89.8711378 29.8677008
"9" "Snake River - Middle School Library" "Blackfoot" "1060 W 110 S" NA "ID" -98.1366486 37.4866977
"10" "Snake River - Moreland Elementary Library" "Blackfoot" "185 N 750 W" NA "ID" -113.8137719 42.6476375
"11" "Snake River - Riverside Elementary Library" "Blackfoot" "16 S 700 W" NA "ID" -87.5258811 40.7926428
"12" "Snake River - Rockford Elementary" "Blackfoot" "1152 W Hwy 39" NA "ID" -112.525639 43.1993382
"13" "Snake River School-Community" "Blackfoot" "924 W Hwy 39" 83221 "ID" -112.479521 43.1969891
"14" "Ada County District" "Boise" "10664 W Victory Rd" 83709 "ID" -116.314591 43.5760194
"15" "Boise Public" "Boise" "715 S Capitol Blvd" 83702 "ID" -116.2078633 43.6104584
"16" "Towne Square Library" "Boise" "350 N. Milwaukee" NA "ID" -87.953652 42.286419
"17" "Boundary County District" "Bonners Ferry" "6370 Kootenai" 83805 "ID" -116.310507 48.696298
"18" "Bovill Public Library" "Bovill" "310 First Ave" 83806 "ID" -116.3965252 46.8585499
"19" "Bruneau Valley District" "Bruneau" "32073 Ruth St" 83604 "ID" -115.799909 42.8814272
"20" "Buhl Public" "Buhl" "215 Broadway N" 83316 "ID" -114.7616419 42.600094
"21" "Burley Public" "Burley" "1300 Miller Ave" 83318 "ID" -113.79624 42.536429
"22" "Caldwell Public" "Caldwell" "1010 Dearborn St" 83605 "ID" -116.6882367 43.6615049
"23" "Cambridge District" "Cambridge" "120 N Superior St" 83610 "ID" -116.6778179 44.5707557
"24" "Little Wood River District" "Carey" "16 Panther Ave" 83320 "ID" -113.9438642 43.3161935
"25" "Cascade Public" "Cascade" "105 N Front St" 83611 "ID" -116.0414959 44.5165198
"26" "Challis Public" "Challis" "6th And Main St" 83226 "ID" -114.233287 44.505076
"27" "Portneuf District" "Chubbuck" "5210 Stuart" 83202 "ID" -112.474079 42.92818
"28" "East Bonner County Library District - Clark Fork Branch Library" "Clark Fork" "601 Main Street" 83811 "ID" -116.1766428 48.1479702
"29" "Clarkia District" "Clarkia" "377 Poplar St" 83812 "ID" -116.2533893 47.0060103
"30" "Coeur Dalene Public" "Coeur Dalene" "702 E Front Ave" 83814 "ID" -116.7767103 47.6721829
"31" "Council Valley District" "Council" "104 California Ave" 83612 "ID" -116.4363734 44.7280739
"32" "Prairie-River District - Craigmont" "Craigmont" "112 W Main" NA "ID" -92.9376602 35.2420543
"33" "Prairie-River District - Culdesac" "Culdesac" "608 Main" NA "ID" -92.4649363 33.5377724
"34" "Deary Public Library" "Deary" "304 2nd Ave" 83823 "ID" -116.562275 46.7995034
"35" "South Bannock District" "Downey" "18 N Main" 83234 "ID" -112.1243139 42.4286926
"36" "Clark County District" "Dubois" "160 W Main St" 83423 "ID" -112.2296473 44.1762528
"37" "Eagle Public" "Eagle" "100 N Stierman Way" 83616 "ID" -116.3469075 43.6961722
"38" "Elk River District" "Elk River" "203 Main St" 83827 "ID" -116.179464 46.7824219
"39" "Emmett Public" "Emmett" "275 S Hayes Ave" 83617 "ID" -116.499037 43.8738666
"40" "Camas County District" "Fairfield" "519 1st St W" 83327 "ID" -114.7938558 43.3456049
"41" "Filer Public" "Filer" "219 Main St" 83328 "ID" -114.606886 42.5702276
"42" "Garden City Public" "Garden City" "6015 Glenwood St" 83714 "ID" -116.2807169 43.6601998
"43" "Garden Valley District" "Garden Valley" "342 Village Circle" 83622 "ID" -115.9692041 44.1147709
"44" "Genesee Public Library" "Genesee" "140 E Walnut Street" 83832 "ID" -116.9253094 46.5505341
"45" "Glenns Ferry Public" "Glenns Ferry" "298 S Lincoln" 83623 "ID" -115.2997888 42.9556192
"46" "Gooding Public" "Gooding" "306 Fifth Ave W" 83330 "ID" -114.7155406 42.9406431
"47" "Grace District" "Grace" "204 S Main St" 83241 "ID" -111.7304199 42.5747242
"48" "Eastern Owyhee County District" "Grand View" "520 Boise Ave" 83624 "ID" -116.09568 42.988706
"49" "Grangeville Centennial" "Grangeville" "215 W North St" 83530 "ID" -116.1214626 45.927115
"50" "Hagerman Public" "Hagerman" "290 S State St" 83332 "ID" -114.8985646 42.8149491
"51" "Hailey Public" "Hailey" "7 W Croy St" 83333 "ID" -114.3171086 43.5176489
"52" "Hamer Public Library" "Hamer" "2450 E 2100 North" 83425 "ID" -112.208638 43.925472
"53" "Hansen District" "Hansen" "120 W Maple Ave" 83334 "ID" -114.3010593 42.5306891
"54" "Community Library Network - Harrison" "Harrison" "111 Coeur Dalene Avenue" NA "ID" -116.785845 47.453626
