"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"1" "John Mosser Public Library District" "Abingdon" "106 West Meek Street" 61410 "IL" -90.3986668 40.8023705
"2" "Addison Public Library" "Addison" "2 Friendship Plaza" 60101 "IL" -87.9930147 41.9328094
"3" "Albany Public Library District" "Albany" "302 South Main Street" 61230 "IL" -90.2230635 41.7883351
"4" "Albion Public Library" "Albion" "6 North Fourth Street" 62806 "IL" -88.0562403 38.3771016
"5" "Mercer Carnegie Public Library District" "Aledo" "200 North College Avenue" 61231 "IL" -90.7487889 41.2027267
"6" "Alexis Branch Library" "Alexis" "102 West Broadway" NA "IL" -74.0088283 40.7160619
"7" "Algonquin Area Public Library District" "Algonquin" "2600 Harnish Drive" 60102 "IL" -88.349798 42.162245
"8" "Eastgate Branch" "Algonquin" "115 Eastgate" NA "IL" -95.8477001 36.2729473
"9" "Alsip-Merrionette Park Library District" "Alsip" "11960 South Pulaski Road" 60803 "IL" -87.7201684 41.6750373
"10" "Altamont Public Library" "Altamont" "121 West Washington Avenue" 62411 "IL" -88.749482 39.060572
"11" "Alto Pass Branch Library" "Alto Pass" "25 N. Elm St." NA "IL" -72.7438828 42.1307908
"12" "Alton Square Branch Library" "Alton" "210 Alton Square" NA "IL" -90.1763102 38.9256842
"13" "Hayner Public Library District" "Alton" "326 Belle Street" 62002 "IL" -90.187769 38.8919249
"14" "Youth Library" "Alton" "401 State Street" NA "IL" -119.6944836 34.415818
"15" "Ransom Memorial Public Library" "Altona" "110 East Main Street" 61414 "IL" -90.1632847 41.1144752
"16" "Pankhurst Memorial Library" "Amboy" "3 South Jefferson Avenue" 61310 "IL" -89.327613 41.7144162
"17" "Andalusia Township Library" "Andalusia" "503 Second Street West" 61232 "IL" -90.720431 41.439704
"18" "Stinson Memorial Public Library District" "Anna" "409 South Main Street" 62906 "IL" -89.251804 37.458142
"19" "Annawan-Alba Township Library" "Annawan" "320 West Front Street" 61234 "IL" -89.9089081 41.3976728
"20" "Antioch Public Library District" "Antioch" "757 Main Street" 60002 "IL" -88.0957778 42.4823773
"21" "Arcola Public Library District" "Arcola" "407 East Main Street" 61910 "IL" -88.3032301 39.6840132
"22" "Argenta Public Library" "Argenta" "100 East Water Street" 62501 "IL" -88.8224651 39.9813921
"23" "Arlington Heights Memorial Library" "Arlington Heights" "500 North Dunton Avenue" 60004 "IL" -87.9835063 42.0876093
"24" "Arthur Public Library District" "Arthur" "225 South Walnut Street" 61911 "IL" -88.4734845 39.7157226
"25" "Ashland Public Library" "Ashland" "125 W. Editor" NA "IL" -90.0077642 39.8886846
"26" "Prairie Skies Public Library District" "Ashland" "125 West Editor Street" 62612 "IL" -90.0077642 39.8886846
"27" "Ashley Public Library District" "Ashley" "70 North Second Street" 62808 "IL" -89.1886911 38.3271003
"28" "Mills Petrie Memorial Library And Gymnasium" "Ashton" "704 North First Street" 61006 "IL" -89.2237808 41.8670294
"29" "Assumption Public Library District" "Assumption" "205 North Oak Street" 62510 "IL" -89.0486102 39.5202597
"30" "Astoria Public Library District" "Astoria" "220 West Broadway" 61501 "IL" -90.3603824 40.2269197
"31" "Athens Municipal Library" "Athens" "410 East Hargrave Street" 62613 "IL" -89.7178865 39.9604391
"32" "Atkinson Public Library District" "Atkinson" "119 West Main Street" 61235 "IL" -90.0156209 41.4210028
"33" "Atlanta Public Library District" "Atlanta" "100 Race Street" 61723 "IL" -89.232389 40.260306
"34" "Atwood-Hammond Public Library District" "Atwood" "123 North Main Street" 61913 "IL" -88.462325 39.8002419
"35" "Auburn Public Library" "Auburn" "338 West Jefferson Street" 62615 "IL" -89.7451813 39.5920706
"36" "Greater West Central Public Library District" "Augusta" "202 North Center Street" 62311 "IL" -90.9498385 40.2304776
"37" "Greater West Central Public Library District" "Augusta" "202 Center St" NA "IL" -72.5277573 41.7734316
"38" "Aurora Public Library" "Aurora" "1 East Benton Street" 60505 "IL" -88.31731 41.756124
"39" "Eola Road Branch" "Aurora" "555 S. Eola Road" NA "IL" -88.2475617 41.7458108
"40" "West Branch" "Aurora" "233 S. Constitution Drive" NA "IL" -88.3681779 41.7585146
"41" "Village Of Avon Public Library" "Avon" "105 South Main Street" 61415 "IL" -90.4350356 40.6618708
"42" "Barrington Public Library District" "Barrington" "505 North Northwest Highway" 60010 "IL" -88.1276169 42.1593535
"43" "Barry Public Library" "Barry" "880 Bainbridge Street" 62312 "IL" -91.0403802 39.6928664
"44" "Bartlett Public Library District" "Bartlett" "800 South Bartlett Road" 60103 "IL" -88.18453 41.9768035
"45" "Alpha Park Public Library District" "Bartonville" "3527 South Airport Road" 61607 "IL" -89.6809065 40.6458606
"46" "Batavia Public Library District" "Batavia" "10 South Batavia Avenue" 60510 "IL" -88.3112714 41.8494327
"47" "Beardstown Houston Memorial Public Library" "Beardstown" "13 Boulevard Road" 62618 "IL" -90.427387 40.0063264
"48" "Bedford Park Public Library District" "Bedford Park" "7816 West 65th Place" 60501 "IL" -87.8163086 41.7731171
"49" "Beecher Public Library District" "Beecher" "660 Penfield Street" 60401 "IL" -87.626998 41.342136
"50" "Beecher City Branch Library" "Beecher City" "205 S. Sweazy St." NA "IL" -88.788453 39.188625
"51" "Belleville Public Library" "Belleville" "121 East Washington Street" 62220 "IL" -89.9819046 38.5137346
"52" "West Branch" "Belleville" "3414 West Main Street" NA "IL" -85.807807 38.262076
"53" "Bellwood Public Library" "Bellwood" "600 Bohland Avenue" 60104 "IL" -87.8774804 41.8813685
"54" "Ida Public Library" "Belvidere" "320 North State Street" 61008 "IL" -88.8461174 42.2616353
"55" "Bement Public Library District" "Bement" "349 South Macon Street" 61813 "IL" -88.5714767 39.9199301
"56" "Frank Bertetti Benld Public Library" "Benld" "308 East Central Avenue" 62009 "IL" -89.8033734 39.0930482
"57" "Bensenville Community Public Library District" "Bensenville" "200 South Church Road" 60106 "IL" -87.9520007 41.9523666
"58" "Benton Public Library District" "Benton" "502 South Main Street" 62812 "IL" -88.9200189 37.9913973
"59" "Berkeley Public Library" "Berkeley" "1637 North Taft Avenue" 60163 "IL" -87.9127578 41.8840555
"60" "Berwyn Public Library" "Berwyn" "2701 South Harlem Avenue" 60402 "IL" -87.8032626 41.8418008
"61" "Bethalto Public Library District" "Bethalto" "321 South Prairie Street" 62010 "IL" -90.0403471 38.9074591
"62" "Marrowbone Public Library District" "Bethany" "216 West Main Street" 61914 "IL" -88.740166 39.6453016
"63" "Henderson County Public Library District" "Biggsville" "110 Hill Crest Drive" 61418 "IL" -90.8621242 40.8493643
"64" "Blandinsville-Hire Library District" "Blandinsville" "130 South Main Street" 61420 "IL" -90.8662575 40.5554331
"65" "Bloomingdale Public Library" "Bloomingdale" "101 Fairfield Way" 60108 "IL" -88.079309 41.948939
"66" "Bloomington Public Library" "Bloomington" "205 East Olive Street" 61701 "IL" -88.9921371 40.4768209
"67" "Blue Island Public Library" "Blue Island" "2433 York Street" 60406 "IL" -87.6814285 41.6568927
"68" "Blue Mound Memorial Library District" "Blue Mound" "213 North Saint Marie Street" 62513 "IL" -89.1226986 39.6975926
"69" "Bluffs Public Library" "Bluffs" "110 North Bluff Street" 62621 "IL" -90.5351831 39.7511136
"70" "Fountaindale Public Library District" "Bolingbrook" "300 West Briarcliff Road" 60440 "IL" -88.0793877 41.6988139
"71" "Bourbonnais Public Library District" "Bourbonnais" "250 West John Casey Road" 60914 "IL" -87.8793919 41.1652933
"72" "Bowen Branch" "Bowen" "116 Fifth St" NA "IL" -81.5856332 27.8995464
"73" "Bradford Public Library District" "Bradford" "111 South Peoria Street" 61421 "IL" -89.6578404 41.177042
"74" "Bradley Public Library District" "Bradley" "296 North Fulton Avenue" 60915 "IL" -87.8561338 41.1476874
"75" "Fossil Ridge Public Library District" "Braidwood" "386 West Kennedy Road" 60408 "IL" -88.223633 41.260535
