"location" "miles" "latitude" "longitude"
"Altus Public Library
421 N. Hudson
Altus, OK" 2.92780280364602 -99.3352599 34.6415178
"Margaret Carder Library
201 W. Lincoln St.
Mangum, OK" 19.8204910072484 -99.5075013 34.8722876
"Frederick Public Library
200 East Grand
Frederick, OK" 23.7488166745379 -99.0157154 34.3896345
"Hobart Public Library
200 S Main
Hobart, OK" 28.1805267380564 -99.092875 35.027009
"Hobart Branch
100 N Main Street
Hobart, IN" 28.2669803619299 -99.0931329 35.0284536
"Carnegie City-County Library
2810 Wilbarger St
Vernon, TX" 34.5124342437843 -99.2961448 34.1526151
"Sentinel Public Library
210 E. Main
Sentinel, OK" 35.5998106608836 -99.1764167 35.1583087
"Thompson Sawyer Public Library
403 W 3rd St
Quanah, TX" 35.7453602293334 -99.742894 34.2983314
"Hollis Public Library
201 W. Broadway
Hollis, OK" 36.1678262708498 -99.9198958 34.6817653
"Mt View - Addie Davis Memorial Library
301 N. 4th
Mtn. View, OK" 43.6021749014311 -98.7477315 35.1018658
"Grandfield Public Library
101 W 2nd
Grandfield, OK" 44.7918769568815 -98.6883331 34.230798
"Cordell Public Library
208 S College
Cordell, OK" 47.2340774781374 -98.9903168 35.2900978
"Electra Public Library
401 N Waggoner St
Electra, TX" 47.6588499266192 -98.9177492 34.0329014
"Sayre Public Library
113 E Poplar
Sayre, OK" 48.7486785019991 -99.6398295 35.2935122
"Carnegie Public Library
22 S Broadway
Carnegie, OK" 49.9291386580384 -98.6048684 35.1091339
"Lawton Public Library
110 S W 4th St
Lawton, OK" 50.8812963266456 -98.3929818 34.6067061
"Foard County Library
110 E California
Crowell, TX" 52.4958938683303 -99.7202123 33.9829702
"Elk City Carnegie Library
221 West Broadway
Elk City, OK" 52.968612311925 -99.40679 35.4107039
"Collingsworth Public Library
711 15th St
Wellington, TX" 54.6434775201972 -100.21612 34.84905
"Childress Public Library
117 Ave B Ne
Childress, TX" 54.822878575277 -100.2063632 34.4225704
"Apache Public Library
111 E. Evans
Apache, OK" 54.8842811042726 -98.3653748 34.8935279
"Burkburnett Library
215 E 4th St
Burkburnett, TX" 55.8230671263735 -98.5734919 34.0981497
"Walters Public Library
202 North Broadway
Walters, OK" 59.2012593173578 -98.3091847 34.3590761
"Tom Burnett Memorial Library
