"location" "miles"
"Prince Georges County Memorial Library - Surratts-Clinton
9400 Piscataway Rd.
Clinton, MD" 2.9931988715194
"Prince Georges County Memorial Library - Spauldings
5811 Old Silver Hill Road
District Heights, MD" 4.08889798444755
"Prince Georges County Memorial Library - Hillcrest Heights
2398 Iverson St.
Temple Hills, MD" 4.78511226340774
"Prince Georges County Memorial Library - Oxon Hill
6200 Oxon Hill Rd.
Oxon Hill, MD" 5.42419889736167
"Prince Georges County Memorial Library - Largo-Kettering
9601 Capital Lane
Largo, MD" 6.99994568518616
"Prince Georges County Memorial Library - Upper Marlboro
14730 Main St.
Upper Marlboro, MD" 7.2967342661464
"Prince Georges County Memorial Library - Fairmount Heights
5904 Kolb St.
Fairmount Heights, MD" 7.56454487152478
"Alexandria Library - Kate Waller Barrett Branch
717 Queen Street
Alexandria, VA" 8.84939107308609
"North Bend Public Library
140 East 8th Street
North Bend, NE" 8.89896181055669
"Prince Georges County Memorial Library - Glenarden
8724 Glenarden Pkwy.
Glenarden, MD" 9.36848573422756
"Alexandria Library - James M. Duncan Branch Library
2501 Commonwealth Avenue
Alexandria, VA" 9.78192912316068
"Martha Washington Library
6614 Fort Hunt Road
Alexandria, VA" 9.80550249469123
"Prince Georges County Memorial Library - Bladensburg
4820 Annapolis Rd.
Bladensburg, MD" 10.2767809308368
"Aurora Hills Library
735 S. 18th St.
Arlington, VA" 10.3587817281103
"Prince Georges County Memorial Library - Mount Rainier
3409 Rhode Island Ave.
Mount Rainier, MD" 10.527741089935
"Prince Georges County Memorial Library - South Bowie
15301 Hall Road
Bowie, MD" 10.6793472248223
"Prince Georges County Memorial Library - Accokeek
15773 Livingston Rd.
Accokeek, MD" 10.910341480688
"Sherwood Regional Library
2501 Sherwood Hall Ln.
Alexandria, VA" 10.9501426571073
"Prince Georges County Memorial Library - Baden
13603 Baden-Westwood Road
Brandywine, MD" 11.1844441531613
"Shirlington Library
2786 S. Arlington Mill Dr.
Arlington, VA" 11.3995031332005
"Prince Georges County Memorial Library - New Carrollton
7414 Riverdale Rd..
New Carrollton, MD" 11.4675345219864
"Government Reference Library
1 Courthouse Plaza Suite 406
Arlington, VA" 11.8197997375738
"Columbia Pike Library
816 S. Walter Reed Dr.
Arlington, VA" 11.9946942614337
"Alexandria Library - Ellen Coolidge Burke Branch
4701 Seminary Road
Alexandria, VA" 12.3848842973402
"Prince Georges County Memorial Library System
6532 Adelphi Road
Hyattsville, MD" 12.4616285115413
"Prince Georges County Memorial Library - Hyattsville
6530 Adelphi Rd.
Hyattsville, MD" 12.466214585075
"Alexandria Library - Charles E. Beatley, Jr. Central Library
5005 Duke Street
Alexandria, VA" 12.6329728786579
"Arlington Department Of Libraries
2100 Clarendon Blvd.
Arlington, VA" 12.665998950031
"Arlington Public Library - Plaza Branch Library Arlington Shop
2100 Clarendon Blvd
Arlington, VA" 12.665998950031
"John Marshall Library
