"location" "miles" "latitude" "longitude"
"Penn Valley Library Station
11336 Pleasant Valley Road
Penn Valley, CA" 11.4369607950625 -121.2041883 39.2244911
"Yuba County Library
303 Second St.
Marysville, CA" 12.3252053100283 -121.5871701 39.1371322
"Sutter County Library
750 Forbes Ave.
Yuba City, CA" 14.320315769023 -121.6246189 39.1375387
"Browns Branch Library
1248 Pacific Ave.
Rio Oso, CA" 14.3987496613566 -121.5242915 38.9471369
"Lincoln Public Library
590 Fifth St.
Lincoln, CA" 15.6219262905571 -121.2913114 38.8920433
"Bear River High School Library Station
11130 Magnolia Road
Grass Valley, CA" 15.9475962112251 -121.0747976 39.0468815
"Library Literacy Services
714 W. Main Street
Grass Valley, CA" 17.3944006438072 -121.067727 39.220705
"Grass Valley Library
207 Mill Street
Grass Valley, CA" 17.4972899951396 -121.0633044 39.2168943
"Lincoln Public Library
485 Twelve Bridges Drive
Lincoln, CA" 18.465045872639 -121.2922877 38.8497877
"Meadow Vista Library
16981 Placer Hills Rd. Suite B-6
Meadow Vista, CA" 19.6755345172351 -121.0227567 39.0002731
"Barber Branch Library
10321 Live Oak Blvd.
Live Oak, CA" 19.945737834896 -121.6609422 39.2809303
"Auburn Library
350 Nevada St.
Auburn, CA" 20.7086424285523 -121.0807375 38.9051678
"Penryn Library
2215 Rippey Road.
Penryn, CA" 20.7189819401632 -121.1697739 38.8509758
"Nevada County Library
980 Helling Way
Nevada City, CA" 21.0728427831002 -121.024032 39.2697728
"Doris Foley Library For Historical Research
211 N. Pine St.
Nevada City, CA" 21.0929942125295 -121.0189955 39.2637314
"Sutter Branch Library
2147 California St.
Sutter, CA" 21.1208377481454 -121.7487265 39.1590292
"Madelyn Helling Branch
980 Helling Way Government Cen
Nevada City, CA" 21.1557072753321 -121.0160594 39.2615606
"Applegate Library
18018 Applegate Road
Applegate, CA" 21.2776540316438 -120.9902242 39.0009587
"Pleasant Grove Branch Library
3075 Howsley Rd.
Pleasant Grove, CA" 21.3669170195776 -121.504408 38.8237787
"Colfax Library
10 W. Church St
Colfax, CA" 21.7931971774729 -120.954184 39.099298
"Loomis Library
6050 Library Dr.
Loomis, CA" 22.1236803622015 -121.1905828 38.8200185
"Rocklin Library
4890 Granite Drive
Rocklin, CA" 23.4218870668951 -121.2269559 38.7890731
"Gridley Branch
299 Spruce St.
Gridley, CA" 25.0322545675264 -121.690994 39.3668243
"Roseville Public Library
225 Taylor St.
Roseville, CA" 25.6029615742492 -121.2844467 38.7460579
"Maidu Branch Library
1530 Maidu Drive
Roseville, CA" 26.6364337531044 -121.2531378 38.7354974
"Granite Bay Library
6475 Douglas Blvd
Granite Bay, CA" 27.1720788542254 -121.1806527 38.7442701
"Biggs Branch
464a B St.
Biggs, CA" 28.0717862152844 -121.7102017 39.4133634
"North Highlands-Antelope Library
4235 Antelope Road
Antelope, CA" 28.142976866885 -121.3648542 38.7046752
"Grimes Branch
240 Main
Grimes, CA" 28.8071399320265 -121.8942986 39.0741961
"Knights Landing Branch Library
42351 Third St.
Knights Landing, CA" 28.8850464347252 -121.7179227 38.8002973
"Butte County Library
1820 Mitchell Avenue
Oroville, CA" 29.1868841979983 -121.551584 39.5065116
"Rio Linda Library
902 Oak Lane
Rio Linda, CA" 29.4554816510823 -121.445144 38.6908842
"Sylvan Oaks Library
6700 Auburn Blvd.
Citrus Heights, CA" 29.5121609363463 -121.3077403 38.6867974
"Foresthill Library
24580 Main St.
Foresthill, CA" 29.8610762703504 -120.8165214 39.020005
"Orangevale Library
8820 Greenback Lane L
Orangevale, CA" 30.7997699074199 -121.2295646 38.6779547
"Georgetown Library
6680 Orleans Street
Georgetown, CA" 31.4603560033713 -120.837591 38.906228
"Fair Oaks Library
11601 Fair Oaks Blvd.
Fair Oaks, CA" 31.4862761759868 -121.2630622 38.6626066
"Folsom Public Library
411 Stafford St
Folsom, CA" 31.5321966374144 -121.1666214 38.6811902
"Del Paso Heights Library
920 Grand Ave.
Sacramento, CA" 33.1817471150968 -121.445263 38.636442
"Oak Ridge Joint-Use Library
1120 Harvard Way
El Dorado Hills, CA" 33.6738773278416 -121.070664 38.6798659
"Arcade Community Library
2443 Marconi Ave.
Sacramento, CA" 34.1864605978579 -121.4040801 38.6184892
"Carmichael Regional Library
5605 Marconi Ave.
Carmichael, CA" 34.1891998267437 -121.3342318 38.6176536
"South Natomas Library
2901 Truxel Road
Sacramento, CA" 34.9001742393612 -121.500089 38.618924
"North Sacramento-Hagginwood Library
2109 Del Paso Blvd.
Sacramento, CA" 35.0185604856773 -121.4514195 38.6103033
"Colusa County Free Library
738 Market St.
Colusa, CA" 35.6577312823698 -122.0112245 39.2148494
"Cameron Park Branch
2500 Country Club Dr.
Cameron Park, CA" 36.5939055236568 -121.0057152 38.6599955
"Arden-Dimick Library
891 Watt Ave.
Sacramento, CA" 36.7338021498405 -121.3835351 38.5807837
"Rancho Cordova Library
9845 Folsom Blvd.
Sacramento, CA" 37.0353241980087 -121.3292534 38.5766368
"Alleghany Station Library
123 Main Street
Alleghany, CA" 37.1078340874449 -120.8434883 39.4693436
"Woodland Public Library
250 First St.
Woodland, CA" 37.2910812189534 -121.7737712 38.6792311
"Central Library
828 I Street
Sacramento, CA" 37.367286803502 -121.4950844 38.5816683
"Sacramento Public Library
828 I St.
Sacramento, CA" 37.367286803502 -121.4950844 38.5816683
"Mckinley Library
601 Alhambra Blvd.
Sacramento, CA" 37.3965929323769 -121.4627632 38.5768537
"Yolo County Library
226 Buckeye St.
Woodland, CA" 37.7218649735453 -121.794818 38.6839536
"A. F. Turner Branch Library
1212 Merkley Ave.
West Sacramento, CA" 37.7884590780811 -121.5233126 38.5802531
"Arbuckle Branch
610 King St.
Arbuckle, CA" 38.2271204224176 -122.0605096 39.0142593
"Ella K. Mcclatchy Library
2112 - 22nd St.
Sacramento, CA" 38.4817662640847 -121.48292 38.563512
"El Dorado County Library
345 Fair Lane
Placerville, CA" 38.9950637794229 -120.8277011 38.7289361
"Princeton Branch
232 Prince St.
Princeton, CA" 40.3125838237368 -122.0102533 39.4048186
"Colonial Heights Library
4799 Stockton Blvd.
Sacramento, CA" 40.3378183370157 -121.4455578 38.5321957
"Belle Cooledge Library
5600 South Land Park Dr.
Sacramento, CA" 41.4543562334564 -121.5119149 38.5240452
"Williams Branch
901 E St.
Williams, CA" 42.6150116024691 -122.1522417 39.1535821
"Southgate Library
6132 - 66th Ave.
Sacramento, CA" 43.0368793596582 -121.433727 38.4920113
"Martin Luther King Jr. Regional Library
7340 - 24th St. Bypass
Sacramento, CA" 43.3941888201169 -121.4808938 38.4913077
"Davis Branch Library
315 E. 14th St.
Davis, CA" 43.6706901213087 -121.7470866 38.5568902
"Valley-Hi North Laguna Library
6351 Mack Road
Sacramento, CA" 44.1455738603336 -121.4281987 38.4755414
"Durham Branch
2545 Durham Dayton Hwy
Durham, CA" 44.27556718888 -121.8094268 39.6490431
"La Porte Station Library
1861 Cedar Lane
La Porte, CA" 44.2917101960651 -120.9864879 39.6831059
"Esparto Branch Library - Esparto Union High
17065 Yolo Ave.
Esparto, CA" 45.7151559994197 -122.0167726 38.6926569
"Maxwell Branch
34 Oak St.
Maxwell, CA" 46.0529330905231 -122.192154 39.2763986
"Paradise Branch
5922 Clark Rd.
Paradise, CA" 46.6231328714908 -121.6069455 39.7579334
"Pollock Pines Library
6210 Pony Express Trail
Pollock Pines, CA" 48.1361919203225 -120.588146 38.759517
"Elk Grove Library
8962 Elk Grove Blvd.
Elk Grove, CA" 48.6180341797435 -121.368682 38.4086939
"Clarksburg Branch Library
52915 Netherlands Ave.
Clarksburg, CA" 48.910139563525 -121.5264263 38.4164646
"Bayliss Branch Library
7830 Road 39
Glenn, CA" 49.1181927842376 -122.0469919 39.5825365
"Franklin Library
10055 Franklin High Road
Elk Grove, CA" 49.9168210196021 -121.4314533 38.3920464
"Chico Branch
1108 Sherman Ave.
Chico, CA" 50.5675461363305 -121.8343825 39.7440145
"Plymouth Branch
9375 Main St.
Plymouth, CA" 51.5851025063986 -120.8484983 38.481204
"Dixon Public Library
230 North First St.
Dixon, CA" 52.295463185917 -121.8220331 38.4468614
"Winters Branch Library
201 First St.
Winters, CA" 52.439720555762 -121.969731 38.520808
"Willows Public Library
201 N. Lassen St.
Willows, CA" 53.1542701800341 -122.199643 39.5218542
"Amador City Branch
14203 Highway 49
Amador City, CA" 54.3196014583695 -120.8528256 38.4329965
"Ione Branch
25 E. Main St
Ione, CA" 57.3042621517366 -120.9328933 38.3529974
"Sutter Creek Branch
35 Main St.
Sutter Creek, CA" 58.1045422803733 -120.80316 38.39242
"Marian O. Lawrence (Galt) Library
1000 Caroline Ave.
Galt, CA" 59.6152868890768 -121.2958538 38.2511298
"Walnut Grove Library
14177 Market St.
Walnut Grove, CA" 60.8030255933764 -121.5140196 38.2407842
"Plumas County Library
445 Jackson St.
Quincy, CA" 61.1477691980398 -120.9470268 39.9361299
"Amador County Library
530 Sutter St.
Jackson, CA" 61.1705784302942 -120.7768094 38.3531302
"Thornton Library
26341 N. Thornton Rd.
Thornton, CA" 61.3581007236028 -121.423996 38.225898
"Pine Grove Branch
19889 Hwy 88
Pine Grove, CA" 61.3922280502829 -120.6575129 38.4131149
"Vacaville Public Library - Cultural Center
1020 Ulatis Dr.
Vacaville, CA" 61.5740608126325 -121.9624264 38.3555677
"Vacaville Public Library - Town Square
1 Town Square Place
Vacaville, CA" 62.1834881742138 -121.9872514 38.3574285
"Orland Free Library
333 Mill St.
Orland, CA" 62.4802636225868 -122.1932386 39.7451523
"Pioneer Branch
25100 Buckhorn Ridge Road
Pioneer, CA" 63.3563754753293 -120.5605433 38.4402609
"Truckee Library
10031 Levon Avenue
Truckee, CA" 63.9088042233121 -120.1998131 39.3256073
"Tahoe City Library
740 N. Lake Blvd.
Tahoe City, CA" 65.6754836776512 -120.1382682 39.1727796
"Stonyford Branch
5080 Stonyford-Indian Valley School
Stonyford, CA" 66.0311998752387 -122.5445485 39.3750411
"Mokelumne Hill Branch Library
8328 Main St.
Mokelumne Hill, CA" 66.2200252407105 -120.7057799 38.3016241
"Isleton Branch Library
401 Union Street
Isleton, CA" 67.0800984579584 -121.6099119 38.161634
"Lodi Public Library
201 W. Locust Street
Lodi, CA" 67.5594677834894 -121.2754048 38.137067
