"location" "miles" "latitude" "longitude"
"Aurora Hills Library
735 S. 18th St.
Arlington, VA" 2.55744236620733 -77.0591731 38.8575326
"Alexandria Library - James M. Duncan Branch Library
2501 Commonwealth Avenue
Alexandria, VA" 2.76146618390016 -77.0606148 38.8277936
"Alexandria Library - Kate Waller Barrett Branch
717 Queen Street
Alexandria, VA" 3.1259133905736 -77.0471444 38.8078034
"Prince Georges County Memorial Library - Hillcrest Heights
2398 Iverson St.
Temple Hills, MD" 3.15949307990985 -76.9572023 38.8352344
"Prince Georges County Memorial Library - Oxon Hill
6200 Oxon Hill Rd.
Oxon Hill, MD" 3.31916496584767 -76.9838447 38.803491
"North Bend Public Library
140 East 8th Street
North Bend, NE" 3.3769799086438 -76.9949807 38.891537
"Shirlington Library
2786 S. Arlington Mill Dr.
Arlington, VA" 3.93302689953387 -77.0872637 38.8410692
"Government Reference Library
1 Courthouse Plaza Suite 406
Arlington, VA" 4.00846066685402 -77.0815435 38.8701968
"Columbia Pike Library
816 S. Walter Reed Dr.
Arlington, VA" 4.20362815242504 -77.0884744 38.8643634
"Arlington Department Of Libraries
2100 Clarendon Blvd.
Arlington, VA" 4.94359578082114 -77.0854467 38.8904283
"Arlington Public Library - Plaza Branch Library Arlington Shop
2100 Clarendon Blvd
Arlington, VA" 4.94359578082114 -77.0854467 38.8904283
"Alexandria Library - Ellen Coolidge Burke Branch
4701 Seminary Road
Alexandria, VA" 5.27940086846665 -77.1098687 38.8277912
"Martha Washington Library
6614 Fort Hunt Road
Alexandria, VA" 5.63052417270739 -77.0629649 38.7730454
"Arlington Central Library
1015 N. Quincy St
Arlington, VA" 5.67072605427476 -77.1072897 38.8837948
"Central Library
1015 N. Quincy St.
Arlington, VA" 5.67072605427476 -77.1072897 38.8837948
"Prince Georges County Memorial Library - Spauldings
5811 Old Silver Hill Road
District Heights, MD" 5.90198651491064 -76.9053794 38.8531497
"Alexandria Library - Charles E. Beatley, Jr. Central Library
5005 Duke Street
Alexandria, VA" 5.97699556641621 -77.117092 38.8123849
"Arlington Public Library - Glencarlyn Branch Library
300 South Kensington Street
Arlington, VA" 6.13748366390448 -77.1258882 38.8636035
"Cherrydale Library
2190 N. Military Rd.
Arlington, VA" 6.31077001038113 -77.1092792 38.8987252
"Prince Georges County Memorial Library - Fairmount Heights
5904 Kolb St.
Fairmount Heights, MD" 6.70747564745927 -76.9146738 38.90317
"Woodrow Wilson Library
6101 Knollwood Dr.
Falls Church, VA" 6.93706658674609 -77.1429758 38.8512666
"Prince Georges County Memorial Library - Mount Rainier
3409 Rhode Island Ave.
Mount Rainier, MD" 6.99394042955172 -76.9595488 38.9367645
"John Marshall Library
6209 Rose Hill Dr.
Alexandria, VA" 7.08779417245937 -77.1187885 38.7827661
"Westover Library
1800 N. Lexington St.
Arlington, VA" 7.3673252524693 -77.140016 38.887379
"Sherwood Regional Library
2501 Sherwood Hall Ln.
Alexandria, VA" 7.75092239499784 -77.0749236 38.7434755
"Prince Georges County Memorial Library - Bladensburg
4820 Annapolis Rd.
Bladensburg, MD" 7.82612667360448 -76.9346228 38.9396818
"Prince Georges County Memorial Library - Surratts-Clinton
9400 Piscataway Rd.
Clinton, MD" 7.92280793696604 -76.9149794 38.7608137
"Mary Riley Styles Public Library
120 North Virginia Avenue
Falls Church, VA" 9.07394252504383 -77.1746309 38.885778
"Prince Georges County Memorial Library - Hyattsville
6530 Adelphi Rd.
Hyattsville, MD" 9.26736937479063 -76.949652 38.969253
"Prince Georges County Memorial Library System
6532 Adelphi Road
Hyattsville, MD" 9.28198569527112 -76.9491094 38.969309
"George Mason Regional Library
7001 Little River Turnpike
Annandale, VA" 9.33864185183545 -77.1862695 38.8274251
"Little Falls Branch Library
5501 Massachusetts Ave.
Bethesda, MD" 9.40665173421883 -77.1101676 38.9589012
"Takoma Park Maryland Library
101 Philadelphia Avenue
Takoma Park, MD" 9.41099388043388 -77.0107628 38.9811501
"Archives Records Center For Fairfax County
6800-A Industrial Road
Springfield, VA" 9.52982066798248 -77.180994 38.798831
"Prince Georges County Memorial Library - Largo-Kettering
9601 Capital Lane
Largo, MD" 9.99519794967638 -76.8386632 38.8914619
"Thomas Jefferson Library
7415 Arlington Boulevard
Falls Church, VA" 10.1838980406538 -77.2016916 38.8654691
"Prince Georges County Memorial Library - Glenarden
8724 Glenarden Pkwy.
Glenarden, MD" 10.1988787945919 -76.8602162 38.930723
"Bethesda Branch Library
7400 Arlington Rd.
Bethesda, MD" 10.5909746307341 -77.0989104 38.9834175
"Richard Byrd Library
7250 Commerce Street
Springfield, VA" 10.5959980890632 -77.1921295 38.7795851
"Chevy Chase Branch Library
8005 Connecticut Ave.
Chevy Chase, MD" 10.6413273379983 -77.0765884 38.9911721
"Silver Spring Branch Library
8901 Colesville Road
Silver Spring, MD" 10.73717530433 -77.0250422 39.0001333
"Prince Georges County Memorial Library - New Carrollton
7414 Riverdale Rd..
New Carrollton, MD" 10.7721522180548 -76.8826328 38.9622982
"Long Branch Library
8800 Garland Ave.
Silver Spring, MD" 10.7900718271869 -77.0011762 39.0007747
"Kingstowne Library
6500 Landsdowne Centre
Alexandria, VA" 10.8783804380491 -77.1645936 38.7400751
"Tysons-Pimmit Regional Library
7584 Leesburg Pike
Falls Church, VA" 11.185123201163 -77.2064149 38.906871
"Dolley Madison Library
1244 Oak Ridge Ave.
Mclean, VA" 11.270607599293 -77.1846526 38.9399888
"Prince Georges County Memorial Library - Accokeek
15773 Livingston Rd.
Accokeek, MD" 12.0496185566864 -77.0061573 38.6710564
"Noyes Library For Young Children
10237 Carroll Place
Kensington, MD" 12.8053218040704 -77.0729734 39.0245656
"Prince Georges County Memorial Library - Greenbelt
11 Crescent Road
Greenbelt, MD" 12.9913812943776 -76.8793572 39.0007782
"Kensington Park Branch Library
4201 Knowles Ave.
Kensington, MD" 13.2231095748272 -77.0813193 39.0290776
"Kings Park Library
9000 Burke Lake Rd.
Burke, VA" 13.3020030286119 -77.2565112 38.8074812
"Davis Branch Library
6400 Democracy Blvd.
Bethesda, MD" 13.757147480753 -77.1288446 39.0229927
"Patrick Henry Library
101 Maple Ave. East
Vienna, VA" 14.0154371880232 -77.264369 38.9016499
"Prince Georges County Memorial Library - Beltsville
4319 Sellman Rd.
Beltsville, MD" 14.0814376940717 -76.9188618 39.0346354
"White Oak Branch Library
11701 New Hampshire Ave.
Silver Spring, MD" 14.0908702071329 -76.9920951 39.0480914
"Wheaton Branch Library
11701 Georgia Ave.
Wheaton, MD" 14.1434234624164 -77.0513794 39.0475671
"Prince Georges County Memorial Library - Upper Marlboro
14730 Main St.
Upper Marlboro, MD" 14.3397685697462 -76.750814 38.8169083
"Pohick Regional Library
6450 Sydenstricker Rd.
Burke, VA" 14.5086098858452 -77.2680915 38.7749267
"Lorton Library
9520 Richmond Highway
Lorton, VA" 14.7702482610801 -77.2136604 38.698602
"Prince Georges County Memorial Library - South Bowie
15301 Hall Road
Bowie, MD" 15.3263076777005 -76.739597 38.9026
"City Of Fairfax Regional Library
10360 North Street
Fairfax, VA" 15.5863263411857 -77.3037471 38.8470801
"Oakton Library
10304 Lynnhaven Place
Oakton, VA" 15.7477664554985 -77.3025467 38.8839576
"Potomac Branch Library
3225 Ruth B. Swann Drive
Indian Head, MD" 15.8542519042362 -77.08686 38.623004
"Potomac Branch Library
10101 Glenolden Drive
Potomac, MD" 15.9091686652453 -77.207592 39.019264
"Aspen Hill Library
4407 Aspen Hill Rd.
Rockville, MD" 16.7049515380406 -77.0887516 39.0796124
"Twinbrook Branch Library
202 Meadow Hall Drive
Rockville, MD" 16.7780288051684 -77.1134829 39.0751326
"Burke Centre Library
5935 Freds Oak Road
Burke, VA" 16.7970321529168 -77.3171854 38.7874673
"Prince Georges County Memorial Library - Bowie
15210 Annapolis Road
Bowie, MD" 17.3339230472688 -76.7422131 38.979003
"P.D. Brown Memorial Branch Library
50 Village Street
Waldorf, MD" 17.9382139104681 -76.900187 38.601612
"Great Falls Library
9830 Georgetown Pike
Great Falls, VA" 18.0899559726922 -77.2869304 38.9982667
"Marilyn J. Praisner Library (Fairland)
14910 Old Columbia Pik
Burtonsville, MD" 18.2209221913879 -76.9407277 39.1022296
"Montgomery County Public Libraries
21 Maryland Ave., Suite 310
Rockville, MD" 18.2550049189678 -77.1512366 39.0866536
"Rockville Branch Library
21 Maryland Ave.
Rockville, MD" 18.2550049189678 -77.1512366 39.0866536
"Prince Georges County Memorial Library - Baden
13603 Baden-Westwood Road
Brandywine, MD" 18.2968518446319 -76.7715707 38.6605015
"Access Services
12000 Government Center Parkway Suite 123
Fairfax, VA" 18.4301402874002 -77.3563658 38.8541263
"Fairfax County Public Library
12000 Government Center Parkway Sui
Fairfax, VA" 18.4301402874002 -77.3563658 38.8541263
"Library Administration
12000 Government Center Parkway Suite 324
Fairfax, VA" 18.4301402874002 -77.3563658 38.8541263
"Lake Ridge Neighborhood Library
12964 Harbor Drive
Woodbridge, VA" 18.6159950159194 -77.280837 38.674025
"Prince Georges County Memorial Library - Laurel
507 7th Street
Laurel, MD" 19.7807653739109 -76.8562203 39.1032798
"Reston Regional Library
11925 Bowman Towne Dr.
Reston, VA" 20.1954286922794 -77.358419 38.961687
"Potomac Community Library
2201 Opitz Boulevard
Woodbridge, VA" 20.5492665699981 -77.2807006 38.632715
"Chinn Park Regional Library
13065 Chinn Park Drive
Prince William, VA" 21.0215755374679 -77.3332197 38.6703075
"Prince William Public Library System
13083 Chinn Park Drive
Prince William, VA" 21.0491845261384 -77.3348021 38.6713727
"Maryland City At Russett Branch
3501 Russett Common
Laurel, MD" 21.0733944689319 -76.8040104 39.1021202
"Chantilly Regional Library
4000 Stringfellow Rd
Chantilly, VA" 21.365473263202 -77.4081927 38.8826348
"Technical Operations Center
4000 Stringfellow Road
Chantilly, VA" 21.365473263202 -77.4081927 38.8826348
"Crofton Area Branch
1681 Riedel Road
Crofton, MD" 21.4640482095462 -76.6793921 39.0134896
"Olney Branch Library
3500 Olney-Laytonsville Road
Olney, MD" 21.5460962576007 -77.0690173 39.1537104
"Herndon Fortnightly Library
768 Center St.
Herndon, VA" 21.8883505885038 -77.387063 38.971844
"Charles County Public Library
2 Garrett Avenue
La Plata, MD" 21.9101616839783 -76.9709593 38.5302124
"Savage Branch Library
9525 Durness Lane
Laurel, MD" 22.0629209245928 -76.8358136 39.1322739
"Dale City Neighborhood Library
4249 Dale Boulevard
Dale City, VA" 22.2283259810436 -77.3377917 38.6459729
"Quince Orchard Branch Library
15831 Quince Orchard Rd.
Gaithersburg, MD" 22.6751015616225 -77.2521494 39.1158907
"Fairview Branch
8120 Southern Maryland Boulevard
Owings, MD" 22.7994783732294 -76.640617 38.691248
"Centreville Regional Library
14200 St. Germain Dr.
Centreville, VA" 22.9811481201785 -77.4408766 38.8374855
"Sterling Library
120 Enterprise Street
Sterling, VA" 23.4145357632455 -77.402036 38.9989109
"West County Area Library
1325 Annapolis Road
Odenton, MD" 23.7948652615147 -76.7001832 39.0872527
"Gaithersburg Branch Library
18330 Montgomery Village Ave.
Gaithersburg, MD" 23.9603246238559 -77.2054053 39.1581138
"Cascades Library
21030 Whitfield Place
Potomac Falls, VA" 24.2488255544275 -77.3947641 39.0332296
"Central Community Library
8601 Mathis Avenue
Manassas, VA" 24.3182803904923 -77.4548225 38.7687828
"Provinces Branch
2624 Annapolis Road
Severn, MD" 24.7686915686154 -76.737116 39.13104
"South County Branch
5940 Deale-Churchton Road
Deale, MD" 25.2191296018822 -76.5532496 38.7836519
"Edgewater Branch
25 Stepneys Lane
Edgewater, MD" 25.2568075882225 -76.5582571 38.9301374
"East Columbia Branch Library
6600 Cradlerock Way
Columbia, MD" 25.5350563405049 -76.8467857 39.1905285
"Anne Arundel County Public Library Headquarters
5 Harry S. Truman Parkway
Annapolis, MD" 25.9061519895396 -76.5661912 38.9815315
"Dumfries Neighborhood Library
18007 Dumfries Shopping Plaza
Dumfries, VA" 25.9245198745947 -77.3284791 38.5615819
"Central Library
10375 Little Patuxent Parkway
Columbia, MD" 26.6737504528972 -76.8584344 39.2111967
"Germantown Branch Library
19840 Century Boulevard
Germantown, MD" 26.9424071299757 -77.2660947 39.1819882
"Independent Hill Neighborhood Library
14418 Bristow Road
Manassas, VA" 27.3390436078525 -77.44564 38.6375428
"Bull Run Regional Library
8051 Ashton Avenue
Manassas, VA" 27.5631311582213 -77.520341 38.786795
"Twin Beaches Branch
3819 Harbor Road
Chesapeake Beach, MD" 27.9251314350457 -76.536665 38.689578
"Annapolis Area Library
1410 West Street
Annapolis, MD" 28.4190193946111 -76.5151597 38.9787464
"Charlotte Hall Branch Library
37600 New Market Road
Charlotte Hall, MD" 28.7087197165435 -76.7764444 38.4740433
"Elkridge Branch Library
6540 Washington Boulevard
Elkridge, MD" 28.8135424277536 -76.7363177 39.2012449
"Eastport-Annapolis Neck Branch
269 Hillsmere Drive
Annapolis, MD" 28.9531366287301 -76.4930899 38.9478308
"Poolesville Branch Library
19633 Fisher Ave.
Poolesville, MD" 29.6480192003819 -77.410304 39.1435391
"Ashburn Library
43316 Hay Rd
Ashburn, VA" 29.7110397510864 -77.502622 39.045962
"Calvert Library Prince Frederick
850 Costley Way
Prince Frederick, MD" 30.0761625862159 -76.5990829 38.5553644
"Severna Park Area Branch
45 Mckinsey Road
Severna Park, MD" 30.0916146472159 -76.5403536 39.0760866
"North County Area Library
1010 Eastway
Glen Burnie, MD" 30.3242547282794 -76.6133711 39.1533867
"Miller Branch Library
9421 Frederick Road
Ellicott City, MD" 31.0299513546251 -76.8395818 39.2726693
"Linthicum Branch
400 Shipley Road
Linthicum, MD" 31.2368589442175 -76.657929 39.2017869
"Glenwood Branch Library
2350 Route 97
Cooksville, MD" 31.9120516219451 -77.0225066 39.3064231
"Damascus Branch Library
9701 Main Street
Damascus, MD" 32.2214477520566 -77.2003648 39.2880087
"Nokesville Neighborhood Library
12993 Fitzwater Drive
Nokesville, VA" 32.2446193074713 -77.582243 38.699091
"Catonsville Library
1100 Frederick Rd.
Catonsville, MD" 32.9057737712694 -76.7400611 39.2704477
"Broadneck Branch
1275 Green Holly Drive
Annapolis, MD" 32.9207367950094 -76.4542905 39.0366323
"Arbutus Library
1581 Sulphur Spring Rd., Suite 105
Baltimore, MD" 32.9737501906388 -76.6866024 39.2481167
"Loudoun County Public Library
908a Trailview Blvd., S.E.
Leesburg, VA" 33.19870836416 -77.5377586 39.0997197
"Gainesville Neighborhood Library
4603 James Madison Highway
Haymarket, VA" 33.4267545115583 -77.6348525 38.852872
"Riviera Beach Branch
1130 Duvall Highway
Pasadena, MD" 33.4659222305569 -76.526109 39.145152
"Lansdowne Branch
500 Third Avenue
Lansdowne, MD" 33.7023955088331 -76.653667 39.2437113
"Brooklyn Park Branch
1 East 11th Avenue
Baltimore, MD" 33.9323848306109 -76.6118302 39.2230511
"Mountain Road Branch
4730 Mountain Road
Pasadena, MD" 34.0493056952536 -76.4774294 39.1058942
"Brooklyn Branch
300 E. Patapsco Ave.
Baltimore, MD" 34.9057933430069 -76.6066064 39.237934
"Cherry Hill Branch
606 Cherry Hill Road
Baltimore, MD" 35.0784848660903 -76.6223117 39.2506131
"Central Rappahannock Regional Library - Porter Branch
2001 Parkway Boulevard
Stafford, VA" 35.2064084898123 -77.4469337 38.4643755
"Rust Library
380 Old Waterford Rd.
Leesburg, VA" 35.442342955407 -77.567789 39.123557
"Edmondson Avenue Branch
4330 Edmondson Avenue
Baltimore, MD" 35.6177415445551 -76.6891233 39.2938328
"Woodlawn Library
1811 Woodlawn Dr.
Baltimore, MD" 35.8691969842513 -76.7366155 39.3166938
"Washington Village Branch
856 Washington Boulevard
Baltimore, MD" 36.6586317607167 -76.6301574 39.2831046
"Light Street Branch
1251 Light Street
Baltimore, MD" 36.7637796799551 -76.6117873 39.2749075
"Walbrook Branch
3203 W. North Avenue
Baltimore, MD" 36.97010420554 -76.6716155 39.3086097
"Mount Airy Branch
705 Ridge Avenue
Mount Airy, MD" 37.0225531287363 -77.1545806 39.3691832
"Forest Park Branch
3023 Garrison Boulevard
Baltimore, MD" 37.6251162376434 -76.6807508 39.3234222
"Tilghman Branch Library
21374 Foster Avenue
Tilghman, MD" 37.6292859986887 -76.337588 38.712854
"Enoch Pratt Free Library
400 Cathedral Street
Baltimore, MD" 37.6924657335237 -76.6175457 39.2945319
"Pennsylvania Avenue Branch
1531 W. North Avenue
Baltimore, MD" 37.8649407197156 -76.6418446 39.3098603
"Randallstown Library
8604 Liberty Rd.
Randallstown, MD" 37.9215399851688 -76.7789865 39.3619948
"Urbana Regional Library
9020 Amelung Street
